"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q2",10.6704761904762,"Down",17683000,-2878000,14805000,-17538000,-13050000,-4488000,-2733000,14000,-2719000,-4546000,1355000,-3191000,-3191000,-3191000,-3191000,19685000,10437000,9248000,12831000,12831000,4551000,2455000,37067000,4779000,84331000,2815000,89110000,126177000,10709000,4507000,6202000,8501000,4655000,3846000,19210000,11399000,2937000,11399000,30609000,120238000,-23273000,-1397000,95568000,95568000,126177000,-3191000,2147000,1030000,2310000,2296000,-508000,-778000.000000001,-1286000,586000,586000,422000,1432000,1432000,1409000,-586000,1.13686837721616e-13,-139000,0.83724,-0.15456,-0.18046,-0.03339,-0.02529,0.04356,1.92957,0.32029,-2.11758236813575e-22,-0.08343,-0.08343,0.46234,2.49871,-0.00363,-0.02983,-0.0013,33.59215,7.20270999999999
"35","2019_Q3",9.9596875,"Down",19983000,-2991000,16992000,-16869000,-11579000,-5290000,123000,140000,263000,-1510000,794000,-716000,-716000,-716000,-716000,24606000,18745000,5861000,11862000,11862000,4670000,2600000,41138000,4604000,81898000,2410000,86502000,127640000,8582000,3117000,5465000,10774000,7973000,2801000,19356000,10215000,2299000,10215000,29571000,124652000,-23989000,-2594000,98069000,98069000,127640000,-716000,2068000,1469000,1503000,4324000,-186000,3417000,3231000,2061000,2061000,946000,8501000,8501000,8308000,2191000,0,2714000,0.85032,0.00616,-0.03583,-0.0073,-0.00561,-3.7905,2.12534,0.30153,0,-0.0184,-0.0184,0.51345,2.51982,0.06973,-0.00661,0.02506,-11.23049,-200.04878
"36","2019_Q4",8.43296875,"Down",21906000,-3168000,18738000,-16672000,-12009000,-4663000,2066000,98000,2164000,-2811000,2712000,-99000.0000000002,-99000.0000000002,-99000.0000000002,-99000.0000000002,27984000,16092000,11892000,14566000,14566000,4931000,3084000,47481000,4543000,83846000,2524000,88389000,135870000,9620000,3593000,6027000,12374000,6317000,6057000,21994000,10552000,2527000,10552000,32546000,129185000,-24088000,-1773000,103324000,103324000,135870000,-99000,2130000,-513000,-250000,1268000,-281000,-5984000,-6265000,2265000,2265000,2264000,-2733000,-2733000,-2653000,4196000,-1.81898940354586e-12,953000,0.85538,0.09431,-0.00452000000000001,-0.000959999999999998,-0.000730000000000001,-9.62626,2.15882,0.31499,0,-0.00248000000000001,-0.00248,0.54853,2.58724,0.02386,-0.000870000000000002,0.00837,-6.66921,-13.54501
"37","2020_Q1",8.49806451612903,"Up",25018000,-3229000,21789000,-15205000,-7773000,-7432000,6584000,350000,6934000,4879000,-1597000,3282000,3282000,3282000,3282000,33250000,16748000,16502000,14938000,14938000,5942000,4455000,54130000,4231000,75984000,2347000,81767000,135897000,9965000,3555000,6410000,10083000,5612000,4471000,20048000,8516000,2225000,8516000,28564000,132200000,-20806000,-4061000,107333000,107333000,135897000,3282000,2067000,4214000,-3201000,6362000,-88000,-6099000,-6187000,669000,669000,751000,926000,926000,656000,8651000,0,6959000,0.87093,0.26317,0.13119,0.03058,0.02415,2.12035,2.70002,0.26613,0,0.08152,0.08152,0.62138,2.66586,0.17284,0.02833,0.06007,-3.84349,-5.05012
"38","2020_Q2",9.01555555555556,"Up",22067000,-2933000,19134000,-17228000,-11936000,-5292000,1906000,303000,2209000,600999.999999999,-41000,560000,560000,560000,560000,33064000,14793000,18271000,12875000,12875000,5872000,3894000,51811000,4062000,84319000,10191000,95186000,146997000,8825000,4268000,4557000,12051000,7981000,4070000,20876000,14597000,8079000,14597000,35473000,134576000,-20246000,-2806000,111524000,111524000,146997000,560000,2014000,2331000,285000,5190000,-205000,-6982000,-7187000,73000.0000000001,72999.9999999998,-4999.99999999988,-2002000,-2002000,-1955000,3920000,2.91038304567337e-11,4041000,0.86709,0.08637,0.02538,0.00502,0.00381,7.21607,2.48185,0.31808,5.42101086242752e-20,0.01379,0.01339,0.54332,2.74588,0.0995,0.00444,0.03204,-8.43469,-17.34732
"39","2020_Q3",11.27171875,"Up",23192000,-3186000,20006000,-17477000,-11896000,-5581000,2529000,32000,2561000,1096000,-188000,908000,908000,908000,908000,35946000,16928000,19018000,13727000,13727000,5774000,4170000,55447000,3910000,82075000,11058000,92531000,147978000,8492000,2925000,5567000,11916000,8760000,3156000,20408000,13662000,6871000,13662000,34070000,138062000,-20340000,-3814000,113908000,113908000,147978000,908000,1922000,2715000,-2366000,3179000,-217000,-431000,-648000,176000,1178000,-320000,2211000,2211000,2135000,4451000,0,2056000,0.86263,0.10905,0.03915,0.00797,0.00614,2.26432,2.71692,0.2991,0,0.02214,0.0215,0.5654,2.77696,0.05012,0.00712,0.01612,-8.07594,-14.21352
"40","2020_Q4",13.83109375,"Up",25413000,-3496000,21917000,-18786000,-12895000,-5891000,3131000,145000,3276000,1579000,-231000,1348000,1348000,1348000,1348000,49219000,18938000,30281000,12943000,12943000,6880000,4864000,69042000,3638000,81605000,11330000,88185000,157227000,11679000,4304000,7375000,12588000,9089000,3499000,24267000,13577000,6638000,13577000,37844000,140956000,-18992000,-2581000,119383000,119383000,157227000,1348000,1993000,2909000,2756000,9006000,-98000,-7597000,-7695000,393000,393000,585000,1896000,1896000,2010000,5124000,0,8013000,0.86243,0.1232,0.05304,0.01129,0.00857,5.94436,2.8451,0.317,-8.67361737988404e-19,0.032,0.0316,0.60336,2.83442,0.19025,0.01014,0.06027,-9.60558,-15.7199
"41","2021_Q1",16.0509836065574,"Up",30638000,-3577000,27061000,-19298000,-13203000,-6095000,7763000,61000,7824000,6133000,-1135000,4998000,4998000,4998000,4998000,60021000,19986000,40035000,15612000,15612000,8493000,7155000,84126000,3610000,79455000,11013000,85028000,169154000,12791000,3909000,8882000,11565000,7973000,3592000,24356000,12555000,6309000,12555000,36911000,146560000,-13994000,-323000,132243000,132243000,169154000,4998000,2014000,3698000,-3963000,6747000,-283000,-8893000,-9176000,3165000,3165000,3143000,714000,714000,1048000,9777000,0,6666000,0.88325,0.25338,0.16313,0.03779,0.02955,1.33373,3.45402,0.27911,0,0.11932,0.11512,0.73144,3.15714,0.15914,0.03452,0.04604,-6.139,-7.73168
"42","2021_Q2",16.8244444444444,"Up",25976000,-4138000,21838000,-18608000,-12443000,-6165000,3230000,96000,3326000,1633000,534000,2167000,2167000,2167000,2167000,66961000,26723000,40238000,12714000,12714000,7776000,6303000,87451000,3674000,80310000,10353000,89581000,177032000,9939000,3472000,6467000,13223000,9742000,3481000,23162000,12117000,6039000,12117000,35279000,151196000,-11827000,2384000,141753000,141753000,177032000,2167000,2083000,2150000,2330000,8730000,-4e+05,-3970000,-4370000,1889000,1889000,1871000.00000001,6231000,6231000,6737000,5313000,-3.72529029846191e-09,6709000,0.8407,0.12435,0.08342,0.01529,0.01224,3.09599,3.77562,0.24888,0,0.05102,0.04937,0.61155,3.33725,0.15795,0.01408,0.0436,-12.60324,-20.73096
"43","2021_Q3",20.2728125,"Up",28773000,-3792000,24981000,-20939000,-14248000,-6691000,4042000,-947000,3095000,1436000,-417000,1019000,1019000,1019000,1019000,185249000,53935000,131314000,14162000,14162000,7779000,5636000,207190000,3502000,110851000,45116000,148611000,355801000,10464000,2878000,7586000,14102000,11353000,2749000,24566000,45814000,40556000,163506000,188072000,178934000,-10808000,-397000,167729000,167729000,355801000,1019000,2043000,4563000,-294000,7331000,-260000,-120113000,-120373000,862000,862000,140764000,27722000,27722000,27212000,6085000,117692000,5948000,0.86821,0.14048,0.03542,0.00608,0.00286,5.8371,8.43401,1.12128,0.33078,0.02359,0.02273,0.66613,3.88316,0.1377,0.00308,0.01796,-11.10222,-16.71376
"44","2021_Q4",17.866875,"Down",31778000,-3410000,28368000,-20712000,-13766000,-6946000,7656000,-2143000,5513000,3289000,-304000,2985000,2985000,2985000,2985000,178851000,40549000,138302000,18583000,18583000,7761000,5773000,205195000,3594000,176966000,67586000,217203000,422398000,12169000,2637000,9532000,25434000,11896000,13538000,37603000,76646000,68051000,196271000,233874000,195986000,-7823000,361000,188524000,188524000,422398000,2985000,2235000,5460000,-1725000,8955000,-306000,-9824999.99999999,-22680000,241000,241000,211000,-13514000,-13514000,-13386000,9891000,119625000,8164000,0.89269,0.24092,0.09393,0.01583,0.00707,2.73501,5.45688,1.24055,0.2832,0.06969,0.06728,0.74187,4.40117,0.19059,0.00776,0.02122,-5.98787,-7.73589
"45","2022_Q1",15.3106451612903,"Down",33270000,-3200000,30070000,-22770000,-14530000,-8240000,7300000,-1481000,5819000,2444000,-637000,1807000,1807000,1807000,1807000,179369000,30312000,149057000,16602000,16602000,8085000,6165000,204056000,3671000,163915000,61574000,215637000,419693000,14763000,2507000,12256000,24446000,10381000,14065000,39209000,66736000,13456000,187654000,226863000,199979000,-6066000,-943000,192830000,192830000,419693000,1807000,2583000,6182000,1753000,12325000,-421000,-22644000,-23065000,853000,1043000,834000,-9906000,-9906000,-10237000,9883000,120918000,11852000,0.90382,0.21942,0.05431,0.00937,0.00431,6.55894,5.20432,1.17649,0.28811,0.0405,0.03908,0.7457,4.32199,0.26564,0.00475,0.03115,-5.9143,-8.00699
"46","2022_Q2",10.6432258064516,"Down",32473000,-3356000,29117000,-22009000,-14403000,-7606000,7108000,-1873000,5235000,2956000,168000,3124000,3124000,3124000,3124000,161967000,24214000,137753000,16930000,16930000,9446000,6906000,188343000,3654000,154749000,55482000,214658000,403001000,9777000,2571000,7206000,22994000,8168000,14826000,32771000,60169000,55505000,182801000,215572000,203135000,-13226000,-2480000,187429000,187429000,403001000,3124000,2459000,5009000,-8341000,2251000,-295000,2349000,2054000,-10120000,24999.9999999998,-10137000,-5832000,-5832000,-6098000,9567000,122632000,763000,0.89665,0.21889,0.0962,0.01667,0.00775,0.24424,5.74725,1.15015,0.3043,0.07002,0.06757,0.72783,4.20094,0.0171,0.00844,0.00206,-4.11153,-5.53391
"47","2022_Q3",10.03984375,"Down",34714000,-3310000,31404000,-23515000,-15279000,-8236000,7889000,-2271000,5618000,1233000,-220000,1013000,1013000,1013000,1013000,61894000,23984000,37910000,23858000,23858000,8761000,6352000,94513000,3938000,254276000,11390000,289707000,384220000,14959000,6688000,8271000,25903000,9700000,16203000,40862000,33518000,11735000,157888000,198750000,207535000,-16895000,-5170000,185470000,185470000,384220000,1013000,2621000,4679000,-878000,7435000,-339000,123149000,-3797000,-3580000,1103000,-3599000,39000,39000,-230000,10510000,124370000,9513000,0.90465,0.22726,0.02918,0.00546,0.00264,9.39092,2.31298,1.0716,0.32369,0.02262,0.02198,0.7753,4.14227,0.21246,0.00295,0.02771,5.94443,7.91938
