"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","notes_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","total_liabilities","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2020_Q2",6.23650793650794,"Down",14151000,-7343000,-7274000,-69000,6808000,-1649000,-1649000,5159000,1859000,-429000,1430000,1430000,1430000,1430000,25932000,25932000,189328000,189328000,13201000,1217000,228461000,413000,6244000,3831000,6657000,235118000,7146000,3902000,123678000,126088000,145580000,109030000,109030000,235118000,1430000,69000,1841000,-296000,3044000,2000,-18000,-18000,9202000,9204000,-4586000,-28000,-4614000,7634000,7634000,7634000,6877000,116532000,7012000,0.4811,0.10105,0.01312,0.00608,4.9035,1.84722,1.15645,0.49563,0.18433,0.18433,1.82405,14.05388,0.90384,0.00627,0.03076,13.17435,13.30787
"38","2020_Q3",7.9609375,"Up",14109000,-14481000,-8079000,-52000,-372000.000000001,-1569000,-1569000,-1941000,1359000,-92000.0000000005,1267000,1267000,1267000,1267000,22581000,19568000,179035000,179035000,16864000,959000,218480000,674000,6592000,4004000,7266000,225746000,6373000,3129000,113012000,115602000,146847000,110144000,110144000,225746000,1267000,52000,766000,2515000,4600000,-313000,-293000,-293000,9733000,6452000,-1e+07,-201000,-10201000,851000,851000,851000,-319999.999999999,106639000,1974000,-0.02637,0.0898,0.0115,0.00561,1.55801,1.93325,1.04955,0.47238,0.16485,0.16485,1.83568,14.33047,0.25683,0.00578,0.009,-262.68125,-225.96237
"39","2020_Q4",7.833125,"Down",14474000,-8057000,-7356000,-51000,6417000,-1442000,-1442000,4975000,4975000,-1190000,3785000,3785000,3785000,3785000,24821000,20535000,172386000,172386000,10731000,892000,207938000,681000,6074000,3134000,6755000,214693000,3513000,3513000,98304000,101233000,150632000,113460000,113460000,214693000,3785000,51000,-4530000,1316000,622000,-47000,-71000,-71000,8268000,11189000,-15200000,-519000,-15719000,-3908000,-3908000,-3908000,6468000,94791000,8927000,0.44335,0.2615,0.03336,0.01763,2.35852,2.11525,0.89224,0.44152,0.50186,0.50186,1.91912,15.04375,1.18364,0.01792,0.04227,10.81787,10.9038500000001
"40","2021_Q1",9.9527868852459,"Up",13286000,-9213000,-8891000,-72000,4073000,-1320000,-1320000,2753000,2753000,-884000,1869000,1869000,1869000,1869000,22022000,22022000,170318000,170318000,13564000,1271000,205904000,859000,5675000,2283000,6534000,212438000,4451000,4451000,7818000,97216000,152501000,115222000,115222000,212438000,1869000,72000,3663000,533000,6137000,-237000,-233000,-233000,3473000,3236000,-5500000,-157000,-5657000,3716000,3716000,3716000,4145000,89398000,5325000,0.30656,0.14067,0.01622,0.0088,2.84912,26.33717,0.84373,0.42082,0.24393,0.24393,1.73401,15.03811,0.69499,0.00913,0.02602,16.25476,16.54211
"41","2021_Q2",10.698253968254,"Up",12594000,-9078000,-8275000,-73000,3516000,-1188000,-1188000,2328000,2328000,-599000,1729000,1729000,1729000,1729000,18401000,18401000,168128000,168128000,7541000,1246000,194070000,1189000,5349000,1919000,6538000,200608000,4751000,4751000,84276000,84276000,154230000,116332000,116332000,200608000,1729000,73000,-632000,-115000,1055000,-401000,-403000,-403000,3897000,3496000,-13390000,-665000,-14055000,-9504000,-9504000,-9504000,3589000,76115000,3672000,0.27918,0.13729,0.01486,0.00862,2.12377,2.30279,0.72444,0.37942,0.22684,0.22684,1.65232,10.65626,0.48176,0.00898,0.01908,16.0808,16.41468
"42","2021_Q3",11.4553125,"Up",12572000,-9312000,-7821000,-96000,3260000,-1121000,-1121000,2139000,2139000,-536000,1603000,1603000,1603000,1603000,15611000,15611000,165561000,165561000,9531000,1192000,190703000,1242000,6523000,1722000,7765000,198468000,3719000,3719000,81379000,81379000,155833000,117089000,117089000,198468000,1603000,99000,-1176000,-107000,419000,-152000,-501059.803812355,-501059.803812355,3378000,3226000,-3380000,-887000,-4267000,-622000.000000002,-622000.000000002,-622000.000000002,3359000,72843000,3636000,0.25931,0.12751,0.01369,0.00808,2.26825,2.34339,0.69502,0.36703,0.21031,0.21031,1.64944,10.7502,0.47704,0.00844,0.01914,17.0384,17.55583
"43","2021_Q4",11.87234375,"Up",12240000,-10538000,-8759000,-104000,1702000,-2613000,-2613000,-911000,-911000,209000,-702000,-702000,-702000,-702000,6530000,6530000,165660000,165660000,2505000,923000,174695000,1571000,6320000,1726000,7891000,182586000,3451000,3451000,66171000,66171000,155131000,116415000,116415000,182586000,-702000,104000,1492000,-466000,428000,-432000,-509746.40508314,-509746.40508314,467000,35000,-16747000,-37000,-16784000,-16321000,-16321000,-16321000,1806000,58039000,699000,0.13905,-0.05735,-0.00603,-0.00384,-0.99573,2.64005,0.56841,0.31787,-0.09191,-0.09191,1.60249,10.62713,0.09151,-0.00402,0.00401,28.52104,30.26381
"44","2022_Q1",11.1843548387097,"Down",12373000,-11439000,-9146000,-128000,934000,-444000,-444000,490000,490000,-122000,368000,368000,368000,368000,4775000,4775000,168636471.472371,168636471.472371,171350000,1103000,176125000,1783000,5662000,1385000,7445000,183570000,4717000,4717000,7961000,67184000,155499000,116386000,116386000,183570000,368000,125000,1539000,-447000,1585000,-320000,-372559.803812355,-372559.803812355,-2575000,-2895000,216999.999999996,-445000,-445000.000000004,-1755000,-1755000,-1755000,1059000,58057000,414000,0.07549,0.02974,0.00316,0.002,1.125,22.12348,0.57725,0.31627,0.0474,0.0474,1.59368,14.9909,0.05332,0.00206,0.00231,50.3135,57.04711
"45","2022_Q2",9.81532258064516,"Down",11277000,-13113000,-9344000,-125000,-1836000,-568000,-568000,-2404000,-2404000,627000,-1777000,-1777000,-1777000,-1777000,1e+07,3551000,169380000,169380000,3481000,1205000,182861000,1677000,5810000,1726000,7487000,190348000,3967000,3967000,3967000,78026000,153722000,112322000,112322000,190348000,-1777000,125000,2314000,-2023000,-1361000,60000,-33000,-33000,-2131000,-9307000,11756000,-2138000,9444000,-1224000,-1224000,-1224000,-1711000,69831000,-4301000,-0.16281,-0.15758,-0.01582,-0.00934,2.42037,46.09554,0.69466,0.36686,-0.23808,-0.23808,1.51085,15.0485,-0.57623,-0.00953,-0.02308,-34.96844,-32.58769
"46","2022_Q3",8.56140625,"Down",13102000,-16257000,-7235000,-116000,-3155000,-975000,-975000,-4130000,-4130000,958000,-3172000,-3172000,-3172000,-3172000,1503000,1503000,161696000,161696000,3315000,1146000,166514000,1468000,6304000,3022000,7772000,174286000,2458000,2458000,2458000,65248000,150550000,109038000,109038000,174286000,-3172000,116000,3738000,-291000,391000,80000,565433.006353925,565433.006353925,646000,8028000,-10500000,-141000,-10467000,-2048000,-2048000,-2048000,-3039000,59349000,-4208000,-0.2408,-0.2421,-0.02909,-0.0182,1.32661,67.74369,0.5984,0.34053,-0.43613,-0.43613,1.80146,14.99216,-0.57858,-0.01846,-0.02449,-19.03455,-18.33471
