"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","acquisition_of_intangible_assets","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2019_Q4",4.294375,"Up",9451000,-7416000,2035000,-3108000,-2901000,-207000,-1073000,-17000,-17000,-1090000,-1090000,-35000,-1125000,-1125000,-1125000,-1125000,5177000,5177000,6692000,6692000,3604000,1075000,839000,16548000,6207000,11280000,3322000,17487000,34035000,4015000,2190000,1825000,2110000,6642000,777000,578000,1854000,8496000,29088000,-1995000,25539000,25539000,34035000,-1125000,426000,158000,-147000,-688000,-419000,-419000,-368000,-51000,-419000,-130000,-1237000,-1237000,-1237000,-647000,1594000,-1178000,0.21532,-0.11353,-0.11904,-0.04405,-0.03305,1.04711,2.49142,0.33267,0.04683,-0.06971,-0.06976,0.5856,1.58244,-0.07299,-0.04031,5.53787,3.33924
"36","2020_Q1",5.15209677419355,"Up",12174000,-8282000,3892000,-3324000,-3117000,-207000,568000,-13000,-13000,555000,555000,-65000,490000,490000,490000,490000,4512000,4512000,9289000,9289000,3770000,1182000,922000,18753000,5867000,11420000,3196000,17287000,36040000,5159000,2946000,2213000,2502000,8178000,788000,545000,1736000,9914000,29185000,-1505000,26126000,26126000,36040000,490000,430000,248000,-1576000,-408000,-128000,-128000,-1e+05,-28000,-128000,-129000,-665000,-665000,-665000,998000,1465000,-641000,0.3197,0.04666,0.04025,0.01876,0.0136,-1.30816,2.2931,0.37947,0.04065,0.03035,0.0303,0.75413,1.61841,-0.03971,0.01727,-3.05311,-5.36444
"37","2020_Q2",7.11031746031746,"Up",13599000,-9115000,4484000,-3716000,-3512000,-204000,768000,-14000,-14000,754000,754000,-68000,686000,686000,686000,686000,4866000,4866000,10688000,10688000,3277000,1131000,989000,19962000,6190000,19793000,3061000,25983000,45945000,4790000,2511000,2279000,4736000,10054000,7879000,7591000,8947000,19001000,29317000,-819000,26944000,26944000,45945000,686000,421000,168000,-458000,817000,-622000,-622000,-604000,-18000,-622000,159000,354000,354000,354000,1189000,1596000,177000,0.32973,0.05647,0.05044,0.02546,0.01493,0.25802,1.98548,0.7052,0.03474,0.04249,0.04243,0.8423,1.66888,0.01096,0.01884,-2.75021,-4.25781
"38","2020_Q3",7.27296875,"Up",14565000,-9693000,4872000,-3803000,-3606000,-197000,1069000,-22000,-22000,1047000,1047000,-77000,970000,970000,970000,970000,5328000,5328000,12307000,12307000,3202000,1212000,1130000,22049000,6588000,19835000,2955000,26423000,48472000,5682000,2593000,3089000,5013000,11245000,7957000,7625000,9162000,20407000,29468000,151000,28065000,28065000,48472000,970000,382000,208000,-608000,952000,-679000,-679000,-632000,-47000,-679000,189000,462000,462000,462000,1451000,1755000,241000,0.3345,0.0734,0.0666,0.03456,0.02001,0.24845,1.96078,0.72713,0.03621,0.05978,0.05949,0.89769,1.72974,0.01485,0.02568,-2.46244,-3.34238
"39","2020_Q4",7.64578125,"Up",10414000,-8191000,2223000,-3801000,-3600000,-201000,-1578000,-32000,-32000,-1610000,-1610000,54000,-1556000,-1556000,-1556000,-1556000,4898000,4898000,9565000,9565000,4910000,1671000,1616000,21044000,7673000,19523000,2857000,27196000,48240000,5698000,3249000,2449000,5038000,11362000,7959000,7505000,9704000,21066000,30133000,-1405000,27174000,27174000,48240000,-1556000,388000,317000,604000,-247000,-1317000,-1320000,-1264000,-56000,-1317000,1134000,-430000,-430000,-430000,-1190000,2371000,-1957000,0.21346,-0.15153,-0.14941,-0.05726,-0.03226,1.25771,1.85214,0.77523,0.04915,-0.09568,-0.09451,0.64035,1.67091,-0.12033,-0.04149,2.12353,1.60139
"40","2021_Q1",12.8685245901639,"Up",12568000,-8385000,4183000,-3532000,-3328000,-204000,651000,-45000,-45000,606000,493000,1673000,2166000,2166000,2166000,2166000,5416000,5416000,11789000,11789000,5638000,1443000,1287000,24286000,8740000,21110000,2771000,29850000,54136000,6059000,3291000,2768000,5519000,13236000,7817000,7817000,11322000,24558000,30371000,761000,29578000,29578000,54136000,2166000,415000,-1401000,-2010000,-830000,-1536000,-1536000,-1469000,-67000,-1536000,2884000,518000,518000,518000,1066000,5163000,-4153000,0.33283,0.0518,0.17234,0.07323,0.04001,-1.91736,1.83484,0.83028,0.09537,0.13237,0.12902,0.76807,1.80761,-0.2538,0.0509,-0.23734,-0.38863
"41","2021_Q2",13.9195238095238,"Up",13151000,-9528000,3623000,-3992000,-3788000,-204000,-369000,-32000,-32000,-401000,-396000,103000,-293000,-293000,-293000,-293000,6785000,6785000,10629000,10629000,5476000,1022000,985000,23912000,9865000,21795000,2667000,31660000,55572000,5878000,3140000,2738000,5802000,13771000,8701000,8701000,12129000,25900000,30758000,468000,29672000,29672000,55572000,-293000,423000,130000,1501000,1761000,-973000,-973000,-925000,-48000,-973000,581000,1369000,1369000,1369000,54000,5519000,479000,0.27549,-0.02806,-0.02228,-0.00987,-0.00526999999999999,-1.63481,1.7364,0.87288,0.09931,-0.01788,-0.01788,0.80233,1.81026,0.02922,-0.00668,-23.44444,3.43089
"42","2021_Q3",9.30015625,"Down",17011000,-11374000,5637000,-3961000,-3756000,-205000,1676000,-47000,-47000,1629000,1639000,-411000,1228000,1228000,1228000,1228000,7226000,7226000,13286000,13286000,5296000,825000,793000,26633000,10270000,20694000,2526000,30964000,57597000,6008000,3129000,2879000,6410000,14670000,8276000,8276000,11801000,26471000,30984000,1696000,31126000,31126000,57597000,1228000,5e+05,526000,-1045000,1209000,-1112000,-1112000,-1098000,-14000,-1112000,344000,441000,441000,441000,2176000,5777000,430000.000000001,0.33137,0.09852,0.07219,0.03945,0.02132,0.35016,1.81547,0.85045,0.1003,0.07444,0.07074,1.03116,1.88677,0.02607,0.02718,-0.6659,-0.86456
"43","2021_Q4",7.67578125,"Down",27528000,-14129000,13399000,-4397000,-4181000,-216000,9002000,-55000,-55000,8947000,8973000,-2123000,6850000,6850000,6850000,6850000,11216000,11216000,23415000,23415000,4378000,483000,446000,39492000,10952000,19277000,2390000,30229000,69721000,6594000,3550000,3044000,9390000,18820000,8465000,8433000,12081000,30901000,31828000,8546000,38820000,38820000,69721000,6850000,522000,1637000,-4511000,4498000,-560000,-560000,-543000,-17000,-560000,52000,3990000,3990000,3990000,9524000,6452000,6576000,0.48674,0.32701,0.24884,0.17646,0.09825,0.96,2.09841,0.79601,0.09254,0.41377,0.39863,1.66282,2.34491,0.39722,0.12747,-0.500210000000002,-0.52922
"44","2022_Q1",6.2808064516129,"Down",18734000,-12483000,6251000,-4258000,-4036000,-222000,1993000,-60000,-60000,1933000,4122000,961000,5083000,5083000,5083000,5083000,27767000,27767000,9738000,9738000,6114000,1479000,1459000,45098000,10843000,19490000,2239000,30333000,75431000,6862000,2922000,3940000,9556000,17153000,8365000,8365000,11694000,28847000,34509000,13629000,46584000,46584000,75431000,5083000,544000,17999.9999999998,8844000,14489000,-237000,-240000,-237000,-3000,-237000,2299000,16551000,16551000,16551000,2537000,4064000,10183000,0.33367,0.10638,0.27132,0.10911,0.06739,2.00334,2.62916,0.61925,0.05388,0.30025,0.2959,1.10662,2.75173,0.60151,0.08613,-9.34292,-11.89313
"45","2022_Q2",4.17370967741935,"Down",13915000,-10494000,3421000,-4418000,-4200000,-218000,-997000,-56000,-56000,-1053000,-1046000,256000,-790000,-790000,-790000,-790000,41162000,41162000,9847000,9847000,7272000,1783000,1756000,60064000,10508000,19210000,2109000,29718000,89782000,6722000,2972000,3750000,8379000,15723000,7978000,7978000,11214000,26937000,51560000,12839000,62845000,62845000,89782000,-790000,582000,42000,-2885000,-3051000,-65000,-65000,-47000,-18000,-65000,16511000,13395000,13395000,13395000,-415000,3858000,-3621000,0.24585,-0.07165,-0.05677,-0.01257,-0.0088,4.58354,3.82014,0.42863,0.04297,-0.04419,-0.04419,0.77829,3.51502,-0.20253,-0.01058,89.88916,37.41625
"46","2022_Q3",7.777,"Up",18878000,-12271000,6607000,-4624000,-4388000,-236000,1983000,-44000,-44000,1939000,1966000,-529000,1437000,1437000,1437000,1437000,36001000,36001000,13047000,13047000,6821000,1875000,1857000,57744000,11155000,21932000,2772000,33087000,90831000,6800000,3592000,3208000,7708000,14988000,8040000,7987000,11212000,26200000,51909000,14276000,64631000,64631000,90831000,1437000,584000,808000,-4789000,-1960000,-770000,-770000,-714000,-56000,-2951000,-250000,-5161000,-5161000,-5161000,2567000,3652000,-2463000,0.34998,0.10504,0.07612,0.02223,0.01582,-1.71399,3.85268,0.40538,0.04021,0.08037,0.08037,1.05588,3.61491,-0.13776,0.01883,-12.60187,-16.31316
