"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",50.355737704918,"Up",302260000,-208639000,93621000,-63763000,-38069000,-13746000,29858000,-14938000,-14739000,-199000,14920000,16274000,38424000,54698000,54338000,54338000,54338000,37341000,37341000,194845000,194845000,176738000,122985000,16239000,531909000,235180000,2081256000,839870000,862873000,3451000,30428000,2316436000,2848345000,130831000,64551000,5904000,60376000,209003000,1578696000,167265000,140964000,11335000,1745961000,1954964000,669788000,176068000,52179000,893381000,893381000,2848345000,54338000,28212000,-46136000,-2627000,33787000,-13234000,-13234000,-22032000,2250000,2250000,-570000,-20352000,201000,201000,258000,459000,58070000,1609165000,3785000,0.30974,0.09878,0.17977,0.06082,0.01908,0.0696599999999998,2.54498,2.18828,0.56495,1.71435,1.67808,9.53622,28.18592,0.11942,0.02035,0.00142,27.06775,52.64331
"31","2018_Q2",62.015625,"Up",292426000,-208894000,83532000,-53489000,-36429000,-13276000,30043000,-16555000,-15595000,-960000,13488000,18458000,-5374000,13084000,8118000,8118000,8118000,29488000,29488000,242218000,242218000,239490000,17565000,17071000,528761000,367664000,1950633000,995200000,914398000,4388000,36647000,2318297000,2847058000,191913000,104372000,12549000,74992000,224726000,1528944000,172999000,150578000,22421000,1701943000,1926669000,673138000,184186000,69029000,920389000,920389000,2847058000,8118000,26334000,4427000,7243000,46122000,-10061000,-10061000,-50032000,1006000,1006000,-2188000,-51214000,-15153000,-15153000,545000,-14608000,56377000,1561757000,58933000,0.28565,0.10274,0.02776,0.00882,0.00285,7.25955,2.35291,2.09332,0.54855,0.25447,0.25038,9.16638,28.85051,1.84731,0.00306,0.0222,27.17897,51.00253
"32","2018_Q3",74.9468253968254,"Up",314464000,-215699000,98765000,-54407000,-36780000,-12935000,44358000,-12847000,-15234000,2387000,31511000,31795000,-8739000,23056000,20022000,20022000,20022000,18856000,18856000,206890000,206890000,194977000,453756000,13903000,874479000,230217000,1706721000,835558000,836512000,3573000,31078000,1936938000,2811417000,138984000,74852000,2790000,61342000,230383000,1503534000,159766000,149442000,10324000,1663300000,1893683000,678188000,204208000,41058000,917734000,917734000,2811417000,20022000,22257000,12587000,-33769000,21097000,-9163000,-9034000,-25030000,2619000,2619000,-898000,-23309000,-11246000,-11246000,1818000,-9428000,66615000,1538690000,32422000,0.31407,0.14106,0.06367,0.02182,0.00712,1.61932,3.79576,2.06343,0.5473,0.62495,0.61192,9.81534,28.64517,1.01199,0.00765,0.01239,22.81519,34.26291
"33","2018_Q4",80.1768253968254,"Up",305088000,-213165000,91923000,-50464000,-34091000,-12234000,41459000,-56210000,-54526000,-1684000,-14751000,-14460000,6157000,-8303000,114079000,114079000,114079000,22881000,22881000,200147000,200147000,193631000,12008000,12008000,428667000,232108000,1695221000,834520000,825359000,3618000,31724000,1927329000,2355996000,140490000,69270000,16298000,54922000,177990000,916694000,221981000,210303000,11678000,1138675000,1316665000,687677000,318287000,39035000,1039331000,1039331000,2355996000,114079000,19856000,-91752000,11334000,53517000,-12750000,568250000,-595032000,8132000,8132000,-31473000,-618373000,3394000,3394000,-573000,2821000,61315000,954194000,53742000,0.3013,0.13589,0.37392,0.10976,0.04842,0.47109,2.40838,1.26684,0.40501,3.54162,3.54162,9.47155,32.26634,1.66844,0.05149,0.02426,15.18899,22.46347
"34","2019_Q1",81.8349180327869,"Up",303034000,-214589000,88445000,-48750000,-35141000,-10159000,39695000,-14450000,-13955000,-495000,25245000,25323000,-6127000,19196000,25745000,25745000,25745000,25569000,25569000,185501000,185501000,190076000,15104000.0000001,15104000,416250000,231269000,1679162000,832338000,812338000,3937000,30549000,1910431000,2326681000,127070000,57187000,9393000,60490000,164570000,888007000,213611000,203910000,9701000,1101618000,1266188000,691116000,344498000,33004000,1060493000,1060493000,2326681000,25745000,20541000,-4996000.00000001,5272999.99999999,46563000,-11555000,-12485000,-30375000,652000,652000,-2461000,-32184000,1894000,1894000,794000,2688000,60236000,925507000,60081000,0.29186,0.13099,0.0849599999999999,0.02428,0.01107,2.3337,2.52932,1.19396,0.39778,0.79477,0.77944,9.35492,32.73834,1.85475,0.0117,0.02731,14.9402,22.67132
"35","2019_Q2",74.8942857142857,"Down",314676000,-226066000,88610000,-49441000,-34956000,-11595000,39169000,-13996000,-13830000,-166000,25173000,25132000,-3766000,21366000,21669000,21669000,21669000,13538000,13538000,216756000,216756000,181200000,25696000,25696000,437190000,229938000,1700063000,829306000,798918000,3938000,28765000,1930001000,2367191000,134003000,72172000,9950000,51881000,171503000,874158000,245558000,203140000,42418000,1119716000,1291219000,694943000,365591000,25464000,1075972000,1075972000,2367191000,21669000,19658000,3549000,-33642000,11234000,-7445000,-7487000,-15375000,1338000,1338000,-2123000,-16160000,-12413000,-12413000,382000,-12031000,58827000,911658000,21506000,0.28159,0.12447,0.06886,0.02014,0.00915,0.99248,2.54917,1.20005,0.38512,0.666,0.65703,9.67163,33.0702,0.66099,0.0097,0.00963,15.26714,22.92936
"36","2019_Q3",79.16109375,"Up",314194000,-217210000,96984000,-47647000,-33143000,-11396000,49337000,-12894000,-13612000,718000,36443000,34832000,-6610000,28222000,33057000,33057000,33057000,15922000,15922000,217732000,217732000,187154000,24978000,24978000,445786000,229209000,1698658000,831368000,791472000,4099000,71719000,1927867000,2373653000,146442000,73120000,12034000,61288000,183942000,825438000,252578000,201350000,51228000,1078016000,1261958000,697681000,398648000,25931000,1111695000,1111695000,2373653000,33057000,18877000,801000,3581000,56316000,-8056000,-3607000,-50375000,262000,262000,0,-50113000,2596000,2596000,-212000,2384000,68214000,862938000,70349000,0.30868,0.15703,0.10521,0.02974,0.01393,2.12811,2.42351,1.13517,0.36355,1.01333,1.00142,9.63135,34.07808,2.15649,0.01484,0.03159,12.41704,17.16797
"37","2019_Q4",76.3321875,"Down",303587000,-210201000,93386000,-46905000,-32935000,-11729000,46481000,-11968000,-12337000,369000,34513000,35499000,-4913000,30586000,30586000,30586000,30586000,14719000,14719000,216671000,216671000,197977000,23704000,23704000,453071000,230683000,1675065000,825318000,774744000,4070000,70933000,1905748000,2358819000,151438000,77383000,12228000,61827000,188938000,790420000,250883000,199966000,50917000,1041303000,1230241000,699948000,429234000,9769000,1128578000,1128578000,2358819000,30586000,18862000,6897000,-11918000,44427000,-9198000,-9288000,-36375000,1054000,1054000,-838000,-36159000,-1020000,-1020000,-183000,-1203000,65343000,827920000,49140000,0.30761,0.15311,0.10075,0.0271,0.01297,1.60662,2.39799,1.09008,0.35099,0.9365,0.92497,9.29538,34.55536,1.50459,0.01386,0.02226,12.44511,17.49534
"38","2020_Q1",81.6014516129032,"Up",325637000,-249607000,76030000,-53382000,-37661000,-11809000,22648000,-13109000,-12766000,-343000,9539000,9730000,1314000,11044000,11024000,11024000,11024000,13535000,13535000,191985000,191985000,167256000,42619000,17852000,415395000,246185000,1691513000,839617000,775784000,4438000,71674000,1937698000,2353093000,134071000,64975000,3023000,66073000,179078000,777272000,244255000,187978000,56277000,1021527000,1200605000,701051000,440258000,19988000,1152488000,1152488000,2353093000,11024000,20498000,20011000,1848000,53381000,-23471000,-38480000,-14375000,588000,588000,-1707000,-15494000,-592999.999999998,-592999.999999998,-591000,-1184000,43146000,814772000,20209000,0.23348,0.06955,0.03385,0.00957,0.00468,1.83318,2.31963,1.04175,0.34626,0.33723,0.33314,9.96136,35.25506,0.6182,0.00498,0.00914,18.57037,35.37783
"39","2020_Q2",72.7180952380952,"Down",328426000,-231724000,96702000,-52626000,-36457000,-13241000,44076000,-9362000,-10361000,999000,34714000,36639000,-5539000,31100000,31100000,31100000,31100000,37259000,37259000,199785000,199785000,170298000,53480000,14598000,460822000,246378000,1690827000,839395000,766535000,5045000,79852000,1937205000,2398027000,140678000,79138000,7564000,53976000,186129000,793829000,253868000,185814000,68054000,1047697000,1233826000,694779000,471358000,-673000,1164201000,1164201000,2398027000,31100000,19494000,2370000,-20567000,32397000,-18373000,-23592000,15625000,2201000,2201000,-2664000,15162000,23967000,23967000,-243000,23724000,63570000,831329000,30169000,0.29444,0.1342,0.09469,0.02671,0.01297,0.97006,2.47582,1.0598,0.34667,0.94797,0.93909,10.01085,35.48636,0.91959,0.01383,0.01341,12.49127,18.01593
"40","2020_Q3",66.7446875,"Down",240115000,-182252000,57863000,-48678000,-33903000,-12746000,9184999.99999999,-8815000,-9273000,458000,370000,165000.000000007,224000,388999.999999996,388999.999999993,388999.999999993,388999.999999993,206244000,206244000,147751000,147751000,172458000,53049000,15660000,579502000,247646000,1696307000,844972000,762434000,5152000,83749000,1943953000,2523455000,108046000,5.4e+07,4760000,49286000,153648000,930385000,258021000,187300000,70721000,1188406000,1342054000,695684000,471747000,14479000,1181401000,1181401000,2523455000,388999.999999993,19580000,5717000,19871000,45557000,-12362000,-12362000,135625000,273000,273000,-115000,135783000,168978000,168978000,7000,168985000,28765000,967885000,36050000,0.24098,0.03825,0.00162000000000001,0.000329999999999997,0.000149999999999997,92.67352,3.77162,1.13599,0.38356,0.0118499999999999,0.0117399999999999,7.31322,35.98212,1.09798,0.000159999999999999,0.01498,26.47805,82.92226
"41","2020_Q4",70.18265625,"Up",235942000,-178009000,57933000,-18175000,-3609000,-11892000,39758000,-10592000,-9368000,-1224000,29166000,31400000,-1058000,30342000,30342000,30342000,30342000,99943000,99943000,151201000,151201000,156858000,90651000,44537000,498653000,249982000,1700360000,851679000,759419000,5223000,84039000,1950342000,2448995000,107673000,55397000,1068000,51208000,153460000,801607000,260931000,188788000,72143000,1062538000,1215998000,698687000,502089000,32221000,1232997000,1232997000,2448995000,30342000,19931000,3577000,-21565000,32285000,-8978000,-8978000,-129375000,649000,649000,-521000,-129247000,-105940000,-105940000,-361000,-106301000,59689000,839107000,30204000,0.24554,0.16851,0.1286,0.02461,0.01239,0.99545,3.2494,0.98621,0.34263,0.9234,0.91737,7.18044,37.52387,0.9192,0.01301,0.01295,12.38359,18.59158
"42","2021_Q1",84.5267213114754,"Up",268959000,-195750000,73209000,-45616000,-35037000,-10589000,27593000,-10973000,-9218000,-1755000,16620000,18003000,-2576000,15427000,15427000,15427000,15427000,49206000,49206000,156207000,156207000,149323000,58201000,15896000,412937000,253964000,1704956000,859442000,757224000,4398000,83892000,1958920000,2371857000,110260000,51570000,1847000,56843000,156191000,693758000,250853000,182304000,68549000,944611000,1100802000,700847000,517516000,52692000,1271055000,1271055000,2371857000,15427000,20319000,-3066000,38422000,71102000,-11644000,-11644000,-109375000,140000,140000,-1041000,-110276000,-50818000,-50818000,81000,-50737000,47912000,731258000,77266000,0.27219,0.10259,0.05736,0.01214,0.0065,5.00848999999999,2.6438,0.86605,0.30831,0.46918,0.46564,8.17977,38.65621,2.34987,0.00685,0.03429,14.23552,24.7183
"43","2021_Q2",92.1244444444444,"Up",290467000,-205981000,84486000,-48963000,-35502000,-13461000,35523000,-8295000,-8532000,237000,27228000,24978000,-3458000,21520000,21520000,21520000,21520000,28402000,28402000,165826000,165826000,153815000,61194000,14047000,409237000,248993000,1685122000,852243000,739334000,4381000,89164000,1934115000,2343352000,116147000,62395000,3610000,50142000,161551000,649630000,254447000,180779000,73668000,904077000,1065628000,703066000,539036000,35622000,1277724000,1277724000,2343352000,21520000,20294000,9218000,-14603000,36429000,-7645000,-7645000,-45375000,116000,116000,-4303000,-49562000,-20778000,-20778000,-26000,-20804000,55817000,687130000,37027000,0.29086,0.1223,0.07409,0.01684,0.00918,1.72059,2.53318,0.834,0.29323,0.65297,0.64843,8.81351,38.76943,1.12349,0.0097,0.01668,11.80157,18.5437
"44","2021_Q3",93.58140625,"Up",312023000,-223277000,88746000,-49117000,-35379000,-13738000,39629000,-7888000,-7532000,-356000,31741000,30778000,-1345000,29433000,29433000,29433000,29433000,30581000,30581000,175533000,175533000,147836000,80293000,18020000,434243000,251070000,1673826000,853309000,730079000,4396000,86042000,1924896000,2359139000,118681000,69303000,33999.9999999995,49344000,164127000,631204000,249236000,181154000,68082000,880440000,1044567000,707152000,568469000,38951000,1314572000,1314572000,2359139000,29433000,20125000,7934000,-25134000,32358000,-10756000,-10756000,-19375000,224000,224000,-471000,-19622000,1980000,1980000,199000,2178999.99999999,59754000,668704000,25209000,0.28442,0.12701,0.09433,0.02239,0.01248,0.85649,2.64577,0.79461,0.28345,0.89307,0.88686,9.46758,39.88749,0.76491,0.01318,0.01129,10.67917,16.10242
"45","2021_Q4",87.33484375,"Down",305574000,-223702000,81872000,-46319000,-34269000,-12050000,35553000,-10063000,-10053000,-10000,25490000,23179000,-1113000,22066000,22066000,22066000,22066000,25472000,25472000,177488000,177488000,149235000,90372000,18352000,442567000,250450000,1655113000,849686000,716060000,4364000,85003000,1905563000,2348130000,128234000,68418000,36000,59780000,156410000,610405000,249062000,180597000,68465000,859467000,1015877000,710546000,590535000,31172000,1332253000,1332253000,2348130000,22066000,20060000,10022000,-3525000,48623000,-11229000,-11229000,-37673000,254000,254000,-5464000,-42883000,-5489000,-5489000,380000,-5109000,55613000,630655000,41972000,0.26793,0.11635,0.07221,0.01656,0.0094,1.90211,2.82953,0.76253,0.26858,0.6685,0.66246,9.25757,40.36152,1.27157,0.00998,0.01897,10.88204,17.022
"46","2022_Q1",80.7398387096774,"Down",313015000,-231149000,81866000,-56860000,-36268000,-12736000,25006000,-5259000,-5511000,252000,19747000,22128000,-2127000,20001000,23789000,23789000,23789000,17885000,17885000,182310000,182310000,155699000,97088000,27610000,452982000,277099000,1852134000,924704000,807810000,5711000,113909000,2129233000,2582215000,134517000,76859000,725000,56933000,159629000,812876000,255013000,171505000,83508000,1067889000,1227518000,713183000,614324000,27190000,1354697000,1354697000,2582215000,23789000,20890000,-940000,-4483000,39256000,-23390000,-241368000,198187000,149000,149000,-4283000,194053000,-8059000,-8059000,472000,-7587000,45896000,828126000,20150000,0.26154,0.07989,0.076,0.01756,0.00921,0.84703,2.83772,0.90612,0.3207,0.7207,0.71419,9.483,41.04147,0.61046,0.00976,0.00827,17.65385,32.40186
"47","2022_Q2",76.3993548387097,"Down",310912000,-229437000,81475000,-55643000,-39560000,-16083000,25832000,-6145000,-5968000,-177000,19687000,13948000,-2581000,11367000,11367000,11367000,11367000,25668000,25668000,198041000,198041000,173313000,97768000,27743000,494790000,273866000,1839386000,923594000,792395000,5702000,117695000,2113252000,2608042000,147132000,90018000,1350000,55764000,173082000,814382000,256228000,170908000,85320000,1070610000,1243692000,716622000,625691000,22037000,1364350000,1364350000,2608042000,11367000,22542000,11836000,-27584000,18161000,-10398000,-10398000,1187000,-157254.99765597,-157254.99765597,-2215000,-1028000,6735000,6735000,1048000,7783000,48374000,829632000,12973000,0.26205,0.08308,0.03656,0.00833,0.00436,1.14129,2.8587,0.91156,0.31811,0.34421,0.34156,9.41501,41.31514,0.39285,0.00464,0.00529,16.61975,31.12279
"48","2022_Q3",67.2615625,"Down",350081000,-257184000,92897000,-56657000,-41786000,-14871000,36240000,-7964000,-7773000,-191000,28276000,24423000,-3587000,20836000,20836000,20836000,20836000,15593000,15593000,221939000,221939000,194458000,101023000,25988000,533013000,280461000,1944613000,978559000,841122000,6149000,118783000,2225074000,2758087000,171714000,103111000,259000,68344000,197726000,931889000,265021000,178695000,86326000,1196910000,1394636000,722208000,646527000,-5284000,1363451000,1363451000,2758087000,20836000,23211000,15484000,-40681000,18850000,-11625000,-138261000,117188000,-721764.99296791,-721764.99296791,-557000,116631000,-2780000,-2780000,-7295000,-10075000,59451000,947139000,10732000,0.26536,0.10352,0.05952,0.01528,0.00755,0.51507,2.69572,1.02287,0.3434,0.62928,0.62477,10.57295,41.17819,0.32412,0.00809,0.00417,15.66914,25.70491
