"","YQ","p","d","revenue","net_interest_income","total_interest_income","total_interest_expense","total_non_interest_income","commissions_fees_earned","other_non_interest_income","provision_for_loan_losses","net_revenue_after_provisions","total_non_interest_expense","commissions_fees_paid","other_operating_expenses","operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","short_long_term_investments","net_loans","reserve_for_loan_losses","total_loans","net_fixed_assets","intangible_assets","goodwill","other_assets","total_assets","total_deposits","interest_bearing_deposits","other_deposits","short_term_debt","long_term_debt","other_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_investments","net_change_in_loans_interbank","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_change_in_deposits","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"37","2019_Q4",33.1603125,"Up",74259000,61196000,79814000,-18618000,13063000,8988000,4075000,-4913000,69346000,-37114000,-1053000,-36061000,32232000,32232000,31679000,-4743000,26936000,26936000,26936000,26935190,173609000,782146000,6133650000,-62115000,6195765000,41876000,2092000,287446000,151172000,7571991000,5982692000,2831714000,3150978000,429544000,69156000,108152000,6589544000,302366000,-60886000,748280000,-7313000,982447000,982447000,7571991000,33898000,-1460000,961000,-170329000,-170828000,-9239000,73103000,126008000,187663000,50733000,50733000,50733000,498700000,0.43405,0.36272,0.02742,0.00356,6.70728,0.06586,0.79063,0.78737,2.17972,28.83777,0.27119,0.00478,0.34301,10.08597
"38","2020_Q1",30.7645161290323,"Down",79644000,64412000,82456000,-18044000,15232000,9406000,5852000,-2106000,77538000,-39999000,-862000,-39137000,37539000,37539000,27360000,-5091000,22269000,22269000,22269000,22269810,197823000,887733000,7074928000,-62224000,7137152000,56940000,10919000,371621000,164685000,8764649000,7036576000,3388683000,3647893000,365484000,50868000,119723000,7572651000,503567000,-60982000,761083000,-11670000,1191998000,1191998000,8764649000,45629000,-1072000,-71262000,28857000,20282000,-9562000,-117782000,86738000,-41697000,24214000,24214000,24214000,416352000,0.47133,0.27962,0.01868,0.00254,6.35291,0.0475,0.62122,0.62015,2.22169,33.25115,0.26673,0.00363,0.42937,5.82139
"39","2020_Q2",21.54,"Down",82439000,70036000,87589000,-17553000,12403000,9852000,2551000,-20050000,62389000,-44049000,-1048000,-43001000,18340000,18340000,15998000,-2767000,13231000,13231000,13231000,13231000,187684000,880510000,7149895000,-96850000,7246745000,56659000,10287000,374270000,346191000,9005496000,7057879000,3387227000,3670652000,543922000,50180000,177264000,7829245000,504010000,-74157000,740726000,5672000,1176251000,1176251000,9005496000,-59961000,-1429000,3577000,-127784000,-125636000,-11051000,170947000,28684000,175458000,-10139000,-10139000,-10139000,594102000,0.22247,0.16049,0.01125,0.00147,6.6561,0.06597,0.33691,0.33599,2.0992,29.95174,0.2814,0.0027,0.83524,22.1602
"40","2020_Q3",18.7603125,"Down",85372000,70148000,80480000,-10332000,15224000,9011000,6071000,-86759000,-1387000.00000001,-43478000,-1932000,-41546000,-44865000,-44865000,-44865000,11793000,-33072000,-33072000,-33072000,-33072000,351365000,885809000,7433949000,-114609000,7548558000,56441000,9743000,373289000,363700000,9474296000,7867916000,3495370000,4372546000,240753000,49489000,180361000,8338519000,504040000,-69735000,692240000,9232000,1135777000,1135777000,9474296000,28393000,-1433000,-1363999.99999999,-355847000,-358644000,-10961000,-369325000,874249000,493932000,163681000,163681000,163681000,290242000,-0.52552,-0.38739,-0.02912,-0.00349,7.34169,0.03063,-0.84771,-0.85007,2.18829,29.11266,0.28096,-0.00233,-0.33143,1.36238000000001
"41","2020_Q4",20.21359375,"Up",85759000,69276000,76847000,-7571000,16483000,9996000,6487000,-17485000,68274000,-48246000,-1910000,-46336000,20028000,20028000,20028000,-3323000,16705000,16705000,16705000,16705000,308489000,800042000,7273870000,-120998000,7394868000,56254000,9265000,373417000,369235000,9190572000,7633818000,3367527000,4266291000,189774000,49076000,175789000,8048457000,504412000,-70101000,698351000,9453000,1142115000,1142115000,9190572000,28566000,-1479000,84891000,139947000,223359000,-10960000,21085000,-304926000,-294801000,-42876000,-42876000,-42876000,238850000,0.23354,0.19479,0.01463,0.00182,7.04698,0.02599,0.42812,0.42812,2.19787,29.27057,0.28089,0.00301,0.65609,-3.47708
"42","2021_Q1",27.4696721311475,"Up",85537000,69928000,75548000,-5620000,15609000,9788000,5821000,-7130000,78407000,-48529000,-1504000,-47025000,29878000,29878000,29878000,-5702000,24176000,24176000,24176000,24176000,229666000,855996000,7108248000,-117612000,7225860000,55614000,8675000,373424000,336274000,8967897000,7420538000,3221481000,4199057000,204246000,23681000,164721000,7813186000,504291000,-68612000,710061000,8971000,1154711000,1154711000,8967897000,56453000,-1052000,-92293000,193165000,99820000.0000001,-10977000,-10938000.0000001,-213181000,-235096000,-78823000,-78823000,-78823000,227927000,0.3493,0.28264,0.02094,0.0027,6.76636,0.02542,0.62025,0.61751,2.1945,29.62482,0.28162,0.00392,0.45405,-0.0581999999999985
"43","2021_Q2",30.9533333333333,"Up",87895000,70659000,74781000,-4122000,17236000,10580000,6656000,-3137000,84758000,-45580000,-1531000,-44049000,39178000,39178000,39178000,-7276000,31902000,31902000,31902000,31902000,671429000,912175000,7068067000,-115101000,7183168000,54720000,8211000,373424000,240953000,9328979000,7876028000,3333577000,4542451000,131514000,23282000,129877000,8160701000,504976000,-69477000,731718000,1061000,1168278000,1168278000,9328979000,9e+07,-737000,-56695000,33937000,-19507000,-10975000,-73145000,455525000,371270000,441763000,441763000,441763000,154796000,0.44574,0.36296,0.02731,0.00342,6.98524,0.01659,0.81756,0.81547,2.25249,29.93957,0.28126,0.0046,0.34402,-13.18681
"44","2021_Q3",27.7784375,"Down",83814000,68303000,71577000,-3274000,15511000,11553000,3929000,-2562000,81252000,-45915000,-1637000,-44278000,35337000,35337000,35337000,-6971000,28366000,28366000,28366000,28366000,985278000,933568000,6897715000,-109636000,7007351000,54173000,7771000,373424000,243903000,9495832000,8015264000,3299177000,4716087000,132700000,22969000,136166000,8307099000,505676000,-67020000,746472000,3605000,1188733000,1188733000,9495832000,38043000,-1115000,-28799000,180745000,146843000,-10988000,857000,139261000,128963000,313849000,313849000,313849000,155669000,0.42161,0.33844,0.02386,0.00299,6.9882,0.01639,0.72694,0.72508,2.14791,30.46377,0.28159,0.00414,0.38737,-23.47706
"45","2021_Q4",29.5596875,"Up",84557000,68711000,71769000,-3058000,15846000,11966000,3880000,-3388000,81169000,-47241000,-1550000,-45691000,33928000,33928000,33928000,-6330000,27598000,27598000,27598000,27598000,934377000,953380000,6861739000,-108348000,6970087000,52727000,7334000,373424000,253073000,9436054000,7945119000,3247485000,4697634000,136714000,22693000,129847000,8234373000,506651000,-66315000,762374000,-1029000,1201681000,1201681000,9436054000,43697000,-244000,-43180000,25866000,-17205000,-10991000,3723000,-70125000,-77393000,-50901000,-50901000,-50901000,159407000,0.40124,0.32638,0.02297,0.00292,6.85238,0.01689,0.70684,0.70523,2.16566,30.77729,0.2815,0.00409,0.39825,-22.84161
"46","2022_Q1",30.1456451612903,"Up",84456000,68439000,71135000,-2696000,16017000,11782000,4235000,-7128000,77328000,-50103000,-1650000,-48453000,27225000,27225000,27225000,-4748000,22477000,22477000,22477000,22477000,923894749.202781,1926212000,6901414000,-98576000,6999990000,52632000,6895000,373424000,227952000,9488529000,7996524000,3177359000,4819165000,138884000,22430000,124237000,8282075000,506718000,-66833000,773659000,-7090000,1206454000,1206454000,9488529000,44371000,-1501000,-60636000,-36014000,-98151000,-11371000,1892000,51425000,41618000,-12162000,-12162000,-12162000,161314000,0.32236,0.26614,0.01863,0.00237,6.86481,0.017,0.55814,0.56187,2.09716,29.95798,0.28236,0.00357,0.50589,-22.0991251109519
"47","2022_Q2",27.4641935483871,"Down",82959000,67733000,70109000,-2376000,15226000,12279000,2947000,512000,83471000,-47414000,-1949000,-45465000,36057000,36057000,36057000,-6914000,29143000,29143000,29143000,29143000,823757000,1112311000,6863996000,-99915000,6963911000,51671000,6497000,373424000,200625000,9432281000,7960458000,3227227000,4733231000,124520000,22171000,140182000,8247331000,507464000,-66816000,791345000,-47043000,1184950000,1184950000,9432281000,86596000,-604000,-166603000,38449000,-122940000,-11374000,-14638000,-36046000,-62114000,-98458000,-98458000,-98458000,146691000,0.43464,0.35129,0.02459,0.00309,6.96007,0.01555,0.74058,0.74058,2.10814,30.1118,0.28903,0.0043,0.39028,-18.77766
"48","2022_Q3",29.42203125,"Up",87824000,75194000,77599000,-2405000,12630000,12184000,446000,-3204000,84620000,-48424000,-2380000,-46044000,36196000,36196000,36196000,-7338000,28858000,28858000,28858000,28858000,344694000,1153112000,6942799000,-98095000,7040894000,50913000,6120000,373424000,232752000,9103814000,7612247000,2986892000,4625355000,93682000,21988000,197539000,7925456000,508464000,-72579000,809644000,-67171000,1178358000,1178358000,9103814000,66705000,-821000,-71176000,-72424000,-150239000,-11771000,-31036000,-348191000,-395529000,-479063000,-479063000,-479063000,115670000,0.41214,0.32859,0.02449,0.00317,6.72585,0.01271,0.73713,0.73713,2.24333,30.09931,0.30067,0.00446,0.40789,-6.32733
