"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",44.9222950819672,"Up",223322000,-154852000,68470000,-47480000,-41480000,-6e+06,20990000,-2486000,-2163000,-323000,18504000,16417000,-3977000,12440000,12440000,12440000,12440000,51994000,51994000,135499000,135499000,145611000,25059000,17344000,6634000,358163000,191918000,370576000,206040000,2608000,2315000,562494000,920657000,109187000,68014000,32091000,384000,32921000,32921000,142492000,275587000,105873000,52250000,53623000,381460000,523952000,223365000,223204000,-49864000,396705000,396705000,920657000,12413000,9097000,-4641000,20342000,37211000,-12443000,-9543000,-19751000,42999.9999999998,-24752000,2916000,2916000,-4049000,-1133000,30087000,275971000,41963000,0.3066,0.09399,0.0557,0.03136,0.01351,3.37323,2.51357,1.32076,0.29975,0.42808,0.42526,7.68486,13.65124,1.44401,0.02246,0.0539,7.44431,10.67065
"31","2018_Q2",41.028125,"Down",240385000,-166159000,74226000,-53603000,-47130000,-6473000,20623000,-1688000,-1834000,146000,18935000,12906000,-3905000,9001000,9001000,9001000,9001000,46396000,46396000,150794000,150794000,148684000,23736000,17745000,4872000,369610000,194293000,374624000,209722000,1669000,2466000,568917000,938527000,98555000,62363000,26244000,1430000,43131000,43131000,143116000,278282000,104165000,52342000,51823000,382447000,525563000,223178000,227198000,-37412000,412964000,412964000,938527000,9e+06,9400000,6600000,-21300000,3700000,-7e+06,-7e+06,2800000,-1500000,-3700000,-7e+06,-7e+06,1400000,-5600000,30023000,279712000,5628000,0.30878,0.08579,0.03744,0.0218,0.00959,0.62526,2.58259,1.27266,0.29803,0.3096,0.30825,8.26832,14.20438,0.19358,0.01757,0.00706,7.77124,11.31339
"32","2018_Q3",39.412380952381,"Down",237323000,-159068000,78255000,-49640000,-43382000,-6258000,28615000,-1783000,-2065000,282000,26832000,26266000,-7259000,19007000,19007000,19007000,19007000,38114000,38114000,146419000,146419000,149592000,23545000,21012000,1832000,357670000,189328000,359554000,203292000,1592000,3031000,548882000,906552000,99033000,62935000,27066000,1364000,38475000,38475000,138872000,260024000,94764000,50214000,44550000,354788000,493660000,224555000,241249000,-52912000,412892000,412892000,906552000,1.9e+07,9300000,1800000,-4700000.00000001,25400000,-7900000,-10600000,-16800000,0,-21800000,-7e+06,-7e+06,-1300000,-8300000,37915000,261388000,32574000,0.32974,0.12057,0.08009,0.04603,0.02097,1.71379,2.57554,1.19562,0.28833,0.65323,0.65092,8.15627,14.19019,1.1195,0.03122,0.04236,5.8888,7.80269
"33","2018_Q4",30.7711111111111,"Down",228483000,-156543000,71940000,-50593000,-44860000,-5733000,21347000,-2602000,-1958000,-644000,18745000,18135000,-5822000,12313000,12313000,12313000,12313000,50097000,50097000,139863000,139863000,157049000,23459000,21215000,1548000,370468000,187800000,354301000,202114000,1542000,2256000,542101000,912569000,103720000,61466000,31139000,1306000,53169000,53169000,158195000,255161000,82053000,49929000,32124000,337214000,495409000,224345000,248534000,-55719000,417160000,417160000,912569000,12300000,9300000,1500000,6800000,29900000,-6200000,-6200000,-3700000,-2400000,-11100000,12600000,12600000,-6e+05,1.2e+07,30647000,256467000,37069000,0.31486,0.09343,0.05389,0.02952,0.01349,3.01056,2.34184,1.18758,0.28104,0.42265,0.42263,7.84276,14.31916,1.27241,0.02291,0.04905,6.73377,9.6674
"34","2019_Q1",28.8945901639344,"Down",469109000,-317430000,151679000,-131164000,-116528000,-14636000,20515000,-22627000,-22743000,116000,-2112000,-5607000,586001,-5020999,-5020999,-5020999,-5020999,1.69e+08,1.69e+08,259800000,259800000,231200000,4.4e+07,33100000,10200000,7.04e+08,364400000,3268800000,1662300000,4900000,15900000,3633200000,4337200000,240300000,175800000,5.7e+07,17200000,79600000,79600000,337100000,1690900000,4.61e+08,393200000,67800000,2151900000,2.489e+09,1687200000,232600000,-71600000,1848200000,1848200000,4337200000,-5e+06,3.2e+07,9300000,2.1e+07,57300000,-16400000,-965600000,1.041e+09,-13200000,1022800000,114500000,114500000,4400000,118900000,52515000,1708100000,56528999,0.32333,0.04373,-0.0107,-0.00272,-0.00116,-11.25852,2.0884,1.34672,0.39383,-0.0782500000000001,-0.07609,7.31052,28.80207,0.88094,-9.99999999999959e-06,0.01407,29.30782,75.02315
"35","2019_Q2",33.0665079365079,"Up",482800000,-307900000,174900000,-106200000,-90900000,-15300000,68700000,-20900000,-19800000,-1100000,47800000,45500000,-10300000,35200000,35200000,35200000,35200000,152400000,152400000,281800000,281800000,2.41e+08,41300000,32800000,8500000,716500000,360500000,3303300000,1683500000,3300000,56600000,3663800000,4380300000,235200000,172300000,53600000,18200000,93600000,93600000,3.47e+08,1676600000,484300000,399100000,85200000,2160900000,2507900000,1688600000,256700000,-72900000,1872400000,1872400000,4380300000,35200000,32100000,5900000,-33900000,39300000,-27200000,-27200000,-1.5e+07,-1100000,-27200000,-15100000,-15100000,-1500000,-16600000,100800000,1694800000,5e+07,0.36226,0.14229,0.07291,0.0188,0.00804,1.42045,2.06484,1.3394,0.38691,0.54829,0.54658,7.52025,29.16511,0.77882,0.01143,0.01234,15.30159,22.45124
"36","2019_Q3",27.51984375,"Down",466500000,-299500000,1.67e+08,-106700000,-9.2e+07,-14700000,60300000,-1.9e+07,-18600000,-4e+05,41300000,38100000,-9100000,2.9e+07,2.9e+07,2.9e+07,2.9e+07,153600000,153600000,269600000,269600000,237500000,49600000,34600000,1.5e+07,710300000,360800000,3286700000,1686100000,9e+05,53200000,3647500000,4357800000,220400000,156500000,54500000,19200000,94800000,94800000,334400000,1642500000,496500000,401200000,95300000,2.139e+09,2473400000,1691900000,274500000,-8.2e+07,1884400000,1884400000,4357800000,2.9e+07,32200000,4400000,-8800000.00000001,56800000,-10100000,-10099999.9999999,-35500000.0000001,1200000,-45200000,1500000.00000001,1500000.00000001,-3e+05,1200000,92500000,1661700000,82700000,0.35798,0.12926,0.06217,0.01539,0.00665,2.85172,2.1241,1.31257,0.38132,0.45031,0.44892,7.24379,29.26087,1.28416,0.00987,0.02046,16.30378,25.00995
"37","2019_Q4",30.7815625,"Up",442900000,-285900000,1.57e+08,-102300000,-87900000,-14400000,54700000,-17800000,-18200000,4e+05,36900000,30700000,-5e+06,25700000,25700000,25700000,25700000,1.68e+08,1.68e+08,244300000,244300000,230300000,53700000,31200000,22500000,696300000,351600000,3245800000,1658700000,9e+05,78800000,3597400000,4293700000,213900000,149200000,56100000,18700000,100600000,100600000,333200000,1602800000,490200000,394600000,95600000,2.093e+09,2426200000,1693400000,289300000,-115200000,1867500000,1867500000,4293700000,25700000,32100000,3300000,23200000,84300000,-12700000,-12700000,-39500000,-2800000,-53400000,18200000,18200000,-3800000,14400000,86800000,1621500000,102300000,0.35448,0.1235,0.05803,0.01376,0.00599,3.98054,2.08974,1.29917,0.37765,0.39969,0.39845,6.88802,29.04355,1.59098,0.00925,0.02571,16.74539,26.57221
"38","2020_Q1",28.9306451612903,"Down",441900000,-284500000,157400000,-102900000,-88200000,-14700000,54500000,-18200000,-17200000,-1e+06,36300000,33900000,3400000,37300000,37300000,37300000,37300000,167300000,167300000,243200000,243200000,222500000,34300000,29100000,5200000,667300000,354400000,3.262e+09,1694900000,3e+06,61700000,3616400000,4283700000,226200000,154700000,58300000,1.8e+07,95500000,95500000,339700000,1563800000,457900000,369100000,5.8e+07,2021700000,2361400000,1696800000,315400000,-89900000,1922300000,1922300000,4283700000,37300000,3.2e+07,-27900000,34100000,75500000,-1400000,-30900000,-41100000,3e+05,-52100000,-7500000,-7500000,6800000,-700000.000000007,86500000,1581800000,115800000,0.35619,0.12333,0.08441,0.0194,0.00871,3.10456,1.96438,1.22842,0.36926,0.58009,0.57829,6.87247,29.8958,1.80093,0.01227,0.02923,16.3526,25.95413
"39","2020_Q2",26.0030158730159,"Down",434200000,-281200000,1.53e+08,-101900000,-87100000,-14800000,51100000,-15900000,-17400000,1500000,35200000,-113900000,-2700000,-116600000,-116600000,-116600000,-116600000,326900000,326900000,242900000,242900000,229400000,36900000,32300000,4600000,836100000,343400000,3036700000,1528300000,1e+06,49700000,3380100000,4216200000,222300000,154400000,49400000,17200000,98100000,98100000,337600000,1658500000,4.63e+08,357400000,105600000,2121500000,2459100000,1698200000,187700000,-128800000,1757100000,1757100000,4216200000,-116600000,32100000,149900000,-30500000,34900000,48000001,48000001,93900000,-2500000,80100000,163000001,163000001,-3400000,159600001,83200000,1675700000,103400001,0.35237,0.11769,-0.26854,-0.06636,-0.02766,-0.88679,2.4766,1.39952,0.39744,-1.80775,-1.80775,6.73178,27.24186,1.6031,-0.02703,0.02654,16.21154,26.3953
"40","2020_Q3",36.18328125,"Up",400800000,-257400000,143400000,-89800000,-75800000,-1.4e+07,53600000,-21400000,-18800000,-2600000,32200000,30699999.9999999,-9100000,21600000,21600000,21600000,21600000,220100000,220100000,230600000,230600000,223100000,42200000,35800000,6400000,7.16e+08,339700000,3.045e+09,1.543e+09,1e+06,50600000,3384700000,4100700000,209300000,140100000,57300000,1.7e+07,88700000,88700000,3.15e+08,1535600000,441600000,368200000,73400000,1977200000,2292200000,1701900000,206700000,-100100000,1808500000,1808500000,4100700000,21600000,3.2e+07,-25400000,10600000,38800000,-9100001.00000001,-9100001,-124100000,-1e+05,-135200000,-105500001,-105500001,-1300000,-106800001,85600000,1552600000,96199999,0.35778,0.13373,0.05389,0.01194,0.00526999999999999,4.4537,2.27302,1.26746,0.37862,0.33488,0.33488,6.21395,28.03876,1.49147,0.00857,0.0253,15.56659,24.86007
"41","2020_Q4",48.540625,"Up",437800000,-273700000,164100000,-96300000,-82500000,-13800000,67800000,-17700000,-1.8e+07,3e+05,50100000,47700000,-9400000,38300000,38300000,38300000,38300000,238700000,238700000,2.37e+08,2.37e+08,219200000,4.9e+07,35400000,13600000,743900000,336700000,3065300000,1563400000,1e+06,4.9e+07,3.402e+09,4145900000,2.13e+08,139900000,63100000,16500000,90100000,90100000,319600000,1476900000,453600000,3.74e+08,79600000,1930500000,2250100000,1703200000,242300000,-49700000,1895800000,1895800000,4145900000,38300000,32400000,6800000,10600000,88100000,-65100000,-8900000,-59800000,-2700000,-65100000,14100000,14100000,4500000,18600000,100200000,1493400000,55100000,0.37483,0.15487,0.08748,0.0202,0.00924,1.43864,2.3276,1.18689,0.36021,0.59105,0.59105,6.75617,29.25617,0.85031,0.01064,0.01434,12.52196,18.5059
"42","2021_Q1",57.3539344262295,"Up",453200000,-291300000,161900000,-1.02e+08,-86800000,-15200000,59900000,-18500000,-17900000,-599999.999999999,41400000,39500000,-8300000,31200000,31200000,31200000,31200000,254400000,254400000,240800000,240800000,210400000,42600000,35700000,6900000,748200000,344200000,3115700000,1.596e+09,4900000,55200000,3459900000,4208100000,330700000,163600000,149200000,16600000,13300000,13300000,360600000,1408100000,442700000,359600000,47700000,1850800000,2211400000,1706100000,269500000,21100000,1996700000,1996700000,4208100000,31200000,31100000,-17600000,5.6e+07,100700000,-7500000,-14400000,-71500000,1400000,-7.3e+07,13300000,13300000,2400000,15700000,9.1e+07,1424700000,147800000,0.35724,0.13217,0.06884,0.01563,0.00741,4.73718,2.07488,1.10753,0.33856,0.48297,0.48297,7.01548,30.90867,2.28793,0.00882,0.03825,12.86044,19.53756
"43","2021_Q2",62.8122222222222,"Up",472100000,-300400000,171700000,-105700000,-89800000,-15900000,6.6e+07,-15400000,-16900000,1500000,50600000,49700000,-10500000,39200000,39200000,39200000,39200000,249400000,249400000,2.59e+08,2.59e+08,222700000,49800000,40500000,9300000,780900000,333200000,3053400000,1575300000,2500000,50400000,3386600000,4167500000,248600000,172700000,60600000,16600000,90200000,90200000,355400000,1388300000,4.32e+08,354100000,44400000,1820300000,2175700000,1706500000,304800000,-19500000,1991800000,1991800000,4167500000,39200000,30700000,7800000,-41500000,36200000,-9600000,-9600000,-2e+07,-3200000,-27100000,-5e+05,-5e+05,-4500000,-5e+06,96700000,1404900000,56100000,0.36369,0.1398,0.08303,0.01968,0.00941,1.43112,2.19724,1.09233,0.33711,0.60587,0.60031,7.29675,30.78516,0.86708,0.01126,0.01465,11.94933,17.50758
"44","2021_Q3",58.986875,"Down",488600000,-312700000,175900000,-109600000,-93500000,-16100000,66300000,-14800000,-16500000,1700000,51500000,50700000,-9900000,40800000,40800000,40800000,40800000,277800000,277800000,258899999,258899999,238200000,55700000,40400000,15300000,830599999,329400000,3051900000,1585100000,2500000,50300000,3381300000,4211899999,252700000,178200000,68900000,1.8e+07,91700000,91700000,362400000,1359300000,433500000,355400000,44100000,1792800000,2155200000,1712700000,340300000,3700000,2056700000,2056700000,4211900000,40800000,3.1e+07,7400000,-15300000,63900000,-5700000,-5700000,-31500000,2900000,-30300000,27900000,27900000,500000.000000002,28400000,97300000,1377300000,86200000,0.36001,0.13569,0.0835,0.01984,0.00969,2.11275,2.29194,1.04789,0.327,0.6306,0.62481,7.55178,31.78825,1.3323,0.01156,0.02229,11.3001,16.58371
"45","2021_Q4",54.36234375,"Down",469300000,-299400000,169900000,-107400000,-91900000,-15500000,62500000,-16200000,-16100000,-1e+05,46300000,45600000,-10200000,35400000,35400000,35400000,35400000,256800000,256800000,251700000,251700000,2.57e+08,56500000,34800000,21700000,8.22e+08,324800000,3014400000,1574400000,2400000,48600000,3339200000,4161200000,347500000,177400000,163700000,16800000,12700000,12700000,3.77e+08,1289700000,426100000,354100000,39400000,1715800000,2092800000,1713800000,370500000,-15900000,2068400000,2068400000,4161200000,35400000,30600000,8100000,-4100000,7e+07,-8100000,-8100000,-68500000,-5600000,-79400000,-17500000,-17500000,-3500000,-2.1e+07,93100000,1306500000,91100000,0.36203,0.13318,0.07543,0.01711,0.00851,2.57345,2.18037,1.0118,0.31397,0.5463,0.54128,7.24228,31.91975,1.40586,0.01071,0.02397,11.27497,16.7952
"46","2022_Q1",44.5670967741936,"Down",469800000,-311900000,157900000,-109900000,-93500000,-16400000,4.8e+07,-43200000,-4.5e+07,1800000,4799999.99999999,-138200000,50500000,-87700000,-87700000,-87700000,-87700000,246100000,246100000,224500000,224500000,267800000,429400000,40400000,11700000,1167800000,275800000,2.687e+09,1.564e+09,2300000,63500000,2962800000,4130600000,338100000,173300000,158800000,11100000,67300000,67300000,416500000,1.401e+09,3.28e+08,250500000,47600000,1.729e+09,2145500000,1718500000,277600000,-1.1e+07,1985100000,1985100000,4130600000,-87700000,3e+07,99400000,5200000,46900000,-1.5e+07,-140200000,85400000,4100000,84300000,-9e+06,-9e+06,-1700000,-10700000,7.8e+07,1412100000,17700000,0.3361,0.10217,-0.18668,-0.04418,-0.02123,-0.20182,2.80384,1.0808,0.34186,-1.34509,-1.33283,7.20552,30.44632,0.27147,-0.02215,0.00475,14.94872,24.29167
"47","2022_Q2",36.946935483871,"Down",511700000,-331400000,180300000,-106200000,-88600000,-17600000,74100000,-11200000,-11300000,1e+05,62900000,56400000,-11600000,44800000,44800000,44800000,44800000,183700000,183700000,269600000,269600000,308300000,433500000,40300000,10200000,1195100000,276400000,2653300000,1556200000,1200000,59900000,2929700000,4124800000,331700000,1.79e+08,139600000,13200000,67200000,67200000,412100000,1390700000,3.15e+08,243200000,42400000,1705700000,2117800000,1718300000,317200000,-28500000,2.007e+09,2.007e+09,4124800000,44800000,24200000,4200000,-98100000,-24900000,-17800000,-17800000,-7500000,-4399999,-17099999,-59799999,-59799999,-2600000,-62399999,98300000,1403900000,-6e+06,0.35235,0.14481,0.08755,0.02232,0.01086,-0.13393,2.90002,1.05521,0.34036,0.68923,0.68923,7.87231,30.87692,-0.09231,0.01342,-0.00161,12.41302,16.46694
"48","2022_Q3",38.09296875,"Up",498100000,-324900000,173200000,-106800000,-90800000,-1.6e+07,66400000,-9900000,-11800000,1900000,56500000,53800000,-27500000,26300000,26300000,26300000,26300000,192900000,192900000,271600000,271600000,316100000,60300000,36800000,23500000,840900000,271800000,2581500000,1520900000,1200000,61400000,2853300000,3694200000,332900000,183900000,145300000,15600000,13500000,13500000,3.62e+08,1070099999,317800000,249500000,40500000,1387899999,1749899999,1722600000,337500000,-115800000,1944300000,1944300000,3694199999,26300000,23700000,16999999,-34900000,32099999,-12800000,308500000,-317900000,-3e+05,-323500000,17099999,17099999,-7900000,9199999,90100000,1085699999,69900000,0.34772,0.13331,0.0528,0.01353,0.00712,2.65779,2.32293,0.90002,0.29389,0.40399,0.40276,7.65131,29.86636,1.07373,0.00944,0.02088,9.90899,13.44578
