"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",10.6829508196721,"Up",177264000,-91806000,85458000,-91161000,-68195000,-22966000,-5703000,-3425000,-3425000,-9128000,-9128000,-971000,-10099000,-10099000,-10134000,-10134000,136344000,136344000,129879000,129879000,103903000,68296000,18296000,438422000,97521000,360821000,98783000,230882000,4020000,27136000,458342000,896764000,171506000,55607000,115899000,34979000,34979000,207129000,57737000,48754000,64815000,271944000,1326365000,-677772000,-21536000,618854000,624820000,896764000,-10099000,15895000,792000,1863000,8451000,-10091000,-10093000,-9809000,-1.86264514923096e-09,-10092000,-140000,-1051000,-1191000,-2832000,-2832000,1030000,-1802000,10192000,7722000,2935000,0.48209,-0.03217,-0.05717,-0.01622,-0.0113,-0.28962,2.11666,0.43524,0.00861,-0.09063,-0.09063,1.58533,5.53462,0.02625,-0.01468,0.00425,-12.6199,22.55339
"31","2018_Q2",12.39484375,"Up",165869000,-8.8e+07,77869000,-95334000,-69452000,-25882000,-17465000,-1552000,-1552000,-19017000,-19017000,-1954000,-20971000,-20971000,-20955000,-20955000,121607000,121607000,134470000,134470000,110383000,72761000,22761000,439221000,101675000,356762000,91800000,235323000,3965000,25674000,458437000,897658000,171847000,55405000,116442000,45412000,45412000,217920000,54696000,46665000,61628000,279548000,1333494000,-698157000,-14137000,612159000,618110000,897658000,-20971000,15186000,8658000,-4412000,-1539000,-10764000,-10764000,-10764000,0,-10994000,-965000,-2675000,-3640000,-16173000,-16173000,1438000,-14735000,-2279000,7593000,-15501000,0.46946,-0.10529,-0.12633,-0.0339,-0.02334,0.73973,2.01551,0.45226,0.00846,-0.1874,-0.1874,1.48337,5.47455,-0.13863,-0.0308,-0.02278,50.02808,6.52814
"32","2018_Q3",17.2385714285714,"Up",176568000,-90406000,86162000,-93885000,-71173000,-22712000,-7723000,1660000,1660000,-6063000,-6063000,-2539000,-8602000,-8602000,-8864000,-8864000,119313000,119313000,130870000,130870000,114493000,75428000,25428000,440104000,104679000,340529000,82141000,224955000,7216000,26217000,445208000,885312000,180419000,58019000,122400000,44520000,44520000,225585000,56290000,46398000,63022000,288607000,1340100000,-707015000,-32878000,590200000,596705000,885312000,-8602000,14762000,5556000,-1006000,10710000,-7845000,-7854000,-7331000,1.16415321826935e-10,-7615000,621000,-1804000,-1183000,1912000.00000001,1912000.00000001,-3940000,-2028000,7039000,7378000,727000,0.48798,-0.04374,-0.0502,-0.01485,-0.01001,-0.0820199999999998,1.95095,0.48367,0.00833,-0.0792,-0.0792,1.57763,5.27341,0.00650000000000003,-0.01342,0.00109999999999999,-15.90212,14.49372
"33","2018_Q4",13.7163492063492,"Down",164511000,-86701000,77810000,-88794000,-65600000,-23194000,-10984000,1027000,1027000,-9957000,-9957000,-1593000,-11550000,-11550000,-11550000,-11550000,92093000,92093000,127092000,127092000,128164000,27028000,27028000,374377000,104780000,331813000,74459000,224040000,7171000,26143000,436593000,810970000,123232000,61556000,61676000,39833000,39833000,163716000,53624000,44622000,60187000,223903000,1347449000,-718565000,-34422000,580536000,587067000,810970000,-11550000,15038000,7669000,-23259000,-12102000,-10445000,-10445000,-10228000,0,-10941000,-164000,-3919000,-4083000,-27126000,-27126000,85000,-27041000,4054000,7214000,-28057000,0.47298,-0.06677,-0.07021,-0.01967,-0.01424,2.42918,2.28675,0.38139,0.0089,-0.10264,-0.10264,1.46188,5.15876,-0.24932,-0.01783,-0.0433,-20.9371,7.72751
"34","2019_Q1",11.8834426229508,"Down",184597000,-102044000,82553000,-89572000,-66062000,-23510000,-7019000,-1172000,-1172000,-8191000,-8191000,4051000,-4140000,-4140000,-4136000,-4136000,109998000,109998000,126618000,126618000,133161000,27697000,27697000,397474000,103252000,325106000,68275000,221334000,4217000,31280000,428358000,825832000,125987000,66722000,59265000,37419000,37419000,164060000,45521000,39331000,76913000,240973000,1355620000,-722701000,-38978000,578369000,584859000,825832000,-4140000,14307000,8202000,-10642000,7727000,-11307000,-11631000,-12371000,-1.16415321826935e-10,-12277000,25508000,-2338000,23170000,18620000,18620000,-728000,17892000,7288000,32046000,-18712000,0.44721,-0.03802,-0.02241,-0.00707,-0.00501,4.52418,2.42274,0.41202,0.0388,-0.03659,-0.03659,1.6331,5.11672,-0.16554,-0.00624,-0.02825,-10.69594,11.10586
"35","2019_Q2",9.46746031746032,"Down",151980000,-86275000,65705000,-87010000,-65107000,-21903000,-21305000,-1201000,-1201000,-22506000,-22506000,-1844000,-24350000,-24350000,-24394000,-24394000,157260000,157260000,128774000,128774000,137919000,29345000,29345000,453298000,100171000,356920000,62500000,221506000,5840000,67074000,457091000,910389000,110839000,54503000,56336000,49238000,49238000,177261000,49754000,42439000,180398000,357659000,1354801000,-747095000,-39362000,552288000,552730000,910389000,-24350000,13144000,6607000,-10559000,-15158000,-8837000,-8837000,-8837000,-2500000,-11374000,73737000,0,73737000,47205000,47205000,57000,47262000,-8161000,147828000,-25713000,0.43233,-0.14018,-0.16051,-0.04413,-0.0268,1.05407,2.55723,0.64708,0.16238,-0.21537,-0.21537,1.34179,4.87598,-0.22701,-0.03251,-0.03427,1.15574,0.44271
"36","2019_Q3",8.06984375,"Down",157272000,-83973000,73299000,-92465000,-71654000,-20811000,-19166000,-2756000,-2756000,-21922000,-21922000,-1938000,-23860000,-23860000,-23930000,-23930000,150397000,150397000,114093000,114093000,133936000,29471000,29471000,427897000,97664000,351990000,57267000,222293000,5420000,67010000,449654000,877551000,118927000,59197000,59730000,58023000,58023000,1.81e+08,83855000,77314000,159233000,340233000,1361689000,-771025000,-37313000,536832000,537318000,877551000,-23860000,13430000,10133000,19006000,18709000,-5516000,-5516000,-5516000,0,-5374000,-18737000,-1898000,-20635000,-7300000,-7300000,460000,-6840000.00000001,-5736000,79428000,9692000,0.46607,-0.12187,-0.15216,-0.04454,-0.02727,-0.40501,2.36407,0.63321,0.09051,-0.21096,-0.21096,1.38647,4.73259,0.08544,-0.03416,0.01383,12.37256,3.70286
"37","2019_Q4",8.6759375,"Up",155272000,-87991000,67281000,-79215000,-58275000,-20940000,-11934000,-2817000,-2817000,-14751000,-14751000,-2011000,-16762000,-16762000,-16843000,-16843000,127616000,127616000,110333000,110333000,122706000,30945000,30945000,391600000,92935000,338228000,51253000,217688000,6492000,62795000,431163000,822763000,115715000,53014000,62701000,52343000,52343000,171083000,80964000,73845000,136385000,307468000,1367318000,-787868000,-46100000,514749000,515295000,822763000,-16762000,12731000,5635000,4929000,6533000,-2292000,-3912000,-3912000,0,-4141000,-21013000,-2256000,-23269000,-20877000,-20877000,-1917000,-22794000,797000,58446000,5445000,0.43331,-0.07686,-0.10847,-0.03269,-0.02047,-0.32328,2.28895,0.59668,0.07104,-0.14767,-0.14767,1.36131,4.51293,0.04774,-0.02573,0.00832,-86.78795,5.79604
"38","2020_Q1",9.7458064516129,"Up",171830000,-97574000,74256000,-78955000,-59319000,-19636000,-4699000,-1222000,-1222000,-5921000,-5921000,1261000,-4660000,-4660000,-4713000,-4713000,133665000,133665000,109408000,109408000,111106000,18991000,18991000,373170000,92940000,341202000,48338000,223176000,5408000,64280000,434142000,807312000,112946000,49851000,63095000,47512000,47512000,162964000,85237000,81210000,130452000,293416000,1371684000,-793709000,-37047000,522159000,513896000,807312000,-4660000,11091000,3176000,11890000,21497000,-7340000,-5720000,-5720000,4120000,-3483000,-10755000,-2878000,-13633000,4381000,4381000,1689000,6070000,6392000,47721000,9681000,0.43215,-0.02735,-0.02743,-0.00917,-0.00584,-2.05411,2.28989,0.57096,0.05911,-0.04117,-0.04117,1.50092,4.56102,0.08456,-0.00729,0.01497,-13.44556,18.28985
"39","2020_Q2",7.47603174603175,"Down",135635000,-78503000,57132000,-75350000,-56106000,-19244000,-18218000,-2564000,-2564000,-20782000,-20782000,1858000,-18924000,-18924000,-18924000,-18924000,112776000,112776000,108769000,108769000,113240000,32688000,32688000,367473000,89373000,326866000,43788000,218207000,5040000,59831000,416239000,783712000,106665000,55862000,50803000,57135000,57135000,166306000,84118000,80565000,128737000,295043000,1370295000,-812633000,-49275000,488669000,488669000,783712000,-18924000,11690000,8260000,-3311000,-2285000,-4366000,-4366000,-4366000,-11948000,-16598000,1882000,-653000,1229000,-17654000,-17654000,-3241000,-20895000,-6528000,47125000,-16063000,0.42122,-0.13432,-0.13952,-0.03873,-0.02415,0.84882,2.20962,0.60377,0.06013,-0.16515,-0.16515,1.18365,4.2645,-0.14018,-0.03053,-0.02591,10.05683,3.60363
"40","2020_Q3",5.9246875,"Down",112777000,-77610000,35167000,-69039000,-52042000,-16997000,-33872000,-2615000,-2615000,-36487000,-36487000,-1464000,-37951000,-37951000,-37951000,-37951000,63922000,63922000,97708000,97708000,125077000,38737000,38737000,325444000,85727000,340040000,40269000,221446000,5327000,72998000,425767000,751211000,115175000,52172000,63003000,54008000,54008000,170648000,97072000,93797000,117135000,287783000,1377592000,-850584000,-40990000,463428000,463428000,751211000,-37951000,11369000,18968000,-11119000,-18733000,-2796000,-2796000,-2796000,1.86264514923096e-09,-2986000,-25627000,-2872000,-28499000,-50218000,-50218000,1385000,-48833000,-22503000,21528000,-34954000,0.31183,-0.30034,-0.33651,-0.08189,-0.05052,0.92103,1.90711,0.62099,0.02866,-0.32857,-0.32857,0.97639,4.01222,-0.30262,-0.0652,-0.06006,1.88393,1.25159
"41","2020_Q4",8.13015625,"Up",136176000,-77549000,58627000,-77931000,-59065000,-18866000,-19304000,-2419000,-2419000,-21723000,-70023000,-2866000,-72889000,-72889000,-72889000,-72889000,75264000,75264000,98755000,98755000,126882000,34671000,34671000,335572000,81433000,290277000,36888000,179536000,6502000,67351000,371710000,707282000,108423000,41674000,66749000,50247000,50247000,160428000,98532000,93411000,118336000,278764000,1404393000,-923473000,-29812000,428518000,428518000,707282000,-72889000,11771000,57067000,-7580000,-11631000,-3853000,-3853000,-3853000,0,-2875000,-2802000,1296000,23497000,8991000,8991000,2382000,11373000,-7533000,21562000,-16100000,0.43052,-0.14176,-0.53526,-0.1701,-0.10306,0.22088,2.09173,0.65053,0.03049,-0.61482,-0.61482,1.14864,3.61454,-0.1358,-0.13286,-0.02935,7.1289,2.78191
"42","2021_Q1",33.0537704918033,"Up",172652000,-100203000,72449000,-71718000,-52682000,-19036000,731000,-16849000,-16849000,-16118000,-16118000,-3712000,-19830000,-19830000,-19830000,-19830000,75010000,75010000,114254000,114254000,116667000,51584000,33145000,357515000,75356000,300184000,28083000,161765000,6247000,104089000,375540000,733055000,114986000,45174000,69812000,58693000,58693000,175730000,107384000,102668000,126602000,302332000,1405092000,-943303000,-8476000,430723000,430723000,733055000,-19830000,9765000,7047000,15546000,12528000,-2628000,-2628000,-2628000,13502000,10726000,-293000,-15113000,-15707000,7547000.00000001,7547000.00000001,902000,8449000,10496000,21269000,27126000,0.41962,0.00423000000000001,-0.11486,-0.04604,-0.02705,-1.36793,2.03446,0.70192,0.02901,-0.16298,-0.16298,1.41904,3.54015,0.22295,-0.03545,0.04849,-5.12014,-73.5171
"43","2021_Q2",26.4333333333333,"Down",146116000,-81876000,64240000,-66199000,-49600000,-16599000,-1959000,38853000,38853000,36894000,36894000,8334000,45228000,45228000,45228000,45228000,132440000,132440000,98117000,98117000,110377000,34821000,34821000,375755000,71467000,258285000,24896000,156113000,4865000,72411000,329752000,705507000,106175000,44945000,61230000,48217000,48217000,154392000,88982000,85651000,88982000,243374000,1397402000,-898075000,-26702000,462133000,462133000,705507000,45228000,9102000,-36661000,10784000,28453000,-3878000,-3878000,-3878000,54747000,50563000,-21392000,-6945000,-28337000,50679000,50679000,-2434000,48245000,7143000,0,5715000,0.43965,-0.01341,0.30953,0.09787,0.06411,0.12636,2.43377,0.52663,0,0.37162,0.36162,1.20058,3.79716,0.04696,0.08207,0.01037,-18.54123,67.60592
"44","2021_Q3",29.603125,"Up",162557000,-93552000,69005000,-79065000,-61463000,-17602000,-10060000,-316000,-316000,-10376000,-10376000,744000,-9632000,-9632000,-9632000.00000003,-9632000.00000003,131844000,131844000,88618000,88618000,102961000,47491000,33251000,370914000,59183000,282196000,33306000,146267000,5146000,97477000,341379000,712293000,110547000,47979000,62568000,48343000,48343000,158890000,86864000,83377000,86864000,245754000,1408027000,-907707000,-23289000,466539000,466539000,712293000,-9632000,8788000,21504000,-7137000,13523000,-4326000,-4326000,-4326000,0,-15238000,0,-4107000,-4107000.00000001,-5822000,-5822000,5336000,-486000,-1272000,0,-13479000,0.4245,-0.06189,-0.0592499999999999,-0.02065,-0.0135200000000001,1.3994,2.33441,0.52676,0,-0.07914,-0.07701,1.33566,3.83336,-0.11075,-0.01741,-0.02436,103.65094,13.10577
"45","2021_Q4",25.2315625,"Down",156096000,-91781000,64315000,-81523000,-65737000,-15786000,-17208000,315859000,212434493.080767,298651000,298651000,-5995000,292656000,292656000,292656000,292656000,502752000,502752000,89926000,89926000,89325000,25963000,25963000,707966000,57720000,239417000,30251000,139906000,3475000,65785000,297137000,1005103000,123098000,44946000,78152000,45090000,45090000,168188000,87765000,84623000,87765000,255953000,1410703000,-615051000,-36010000,749150000,749150000,1005103000,292656000,8402000,-299772000,19390000,20676000,-6610000,-3896225.45890354,-3896228.61546433,361981000,364316000,0,-3758000,-3758000,381234000,381234000,-10639000,370595000,-8806000,0,9969000,0.41202,-0.11024,1.87485,0.39065,0.29117,0.03406,4.20937,0.34166,0,2.39532,2.34427,1.27761,6.13163,0.08159,0.34968,0.01191,57.09198,29.21618
"46","2022_Q1",17.4035483870968,"Down",150870000,-84652000,66218000,-70060000,-50897000,-19163000,-3842000,-1787000,314072000,-5629000.00000006,-5629000,-571000,-6200000.00000006,-6200000.00000006,-6199999.99999994,-6199999.99999994,789657000,789657000,106540000,106540000,92887000,42653000,42653000,1031737000,57257000,460105000,45835000,345588000,5054000,63628000,517362000,1549099000,134360000,57366000,76994000,43652000,15625000,178012000,81847000,79674000,528706000,706718000,1501338000,-621251000,-37706000,842381000,842381000,1549099000,-6200000.00000006,8331000,7277000,-23913000,-14505000,-3977000,-3549107.11021134,-3549109.11893184,-134928000,-139086000,4.6e+08,-17998000,442002000,288411000,288411000,-1506000,286905000,4489000,446859000,-22830000,0.43891,-0.02547,-0.0410900000000005,-0.00735999999999998,-0.004,3.68226,5.79588,0.83895,0.28846,-0.0499500000000004,-0.0489600000000001,1.21554,6.78694,-0.18394,-0.00452000000000002,-0.01665,-76.364,89.22384
"47","2022_Q2",11.6725806451613,"Down",133001000,-79206000,53795000,-77027000,-55415000,-21612000,-23232000,-2283000,-2283000,-25515000,-25515000,-1284000,-26799000,-26799000,-26799000,-26799000,745610000,389270000,100341000,100341000,101647000,40130000,40130000,987728000,54827000,464008000,46205000,340695000,4548000,72560000,518835000,1506563000,103605000,57347000,46258000,46633000,46633000,150238000,81915000,79734000,529449000,679687000,1519372000,-648050000,-44446000,826876000,826876000,1506563000,-26799000,9147000,13421000,-10894000,-15125000,-4079000,-4079000,-4079000,-9335000,-379379000,1894389573.77533,-6348000,-6348000,-400852000,-400852000,464000,-400388000,-14085000,447534000,-27774000,0.40447,-0.17468,-0.20149,-0.03241,-0.01779,1.03638,6.57442,0.82199,0.29706,-0.21461,-0.20956,1.06508,6.62168,-0.22242,-0.01976,-0.02048,21.16266,12.83041
"48","2022_Q3",10.27484375,"Down",140045000,-86907000,53138000,-85176000,-64404000,-20772000,-32038000,329000,329000,-31709000,-31709000,-1289000,-32998000,-32998000,-32961000,-32961000,638220000,298834000,107013000,107013000,106001000,44608000,44608000,895842000,55864000,530250000,70005000,382498000,4715000,73032000,586114000,1481956000,117075000,62226000,54849000,45293000,45293000,162368000,85700000,81990000,533781000,696149000,1525864000,-681011000,-61195000,783658000,785807000,1481956000,-32998000,9051000,8431000,-7570000,-23086000,-6289000,-6289000,-6289000,9335000.00000003,-57706999.9999999,4784560721.32598,-6339000,-6339000,-87131999.9999999,-87131999.9999999,-2511000,-89643000,-22987000,448081000,-35557000,0.37944,-0.22877,-0.23536,-0.04195,-0.02224,1.07876,5.51736,0.8859,0.30236,-0.26009,-0.26009,1.10508,6.18378,-0.28058,-0.02498,-0.02695,8.27159000000003,5.9348
