"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",39.7353968253968,"Up",4.5408e+10,-2.792e+10,1.7488e+10,-6.72e+09,-3.783e+09,-2.937e+09,1.0768e+10,5.4e+08,5.4e+08,1.1308e+10,1.1308e+10,-2.591e+09,8.717e+09,8.717e+09,8.717e+09,8.717e+09,7.6759e+10,1.8571e+10,5.8188e+10,1.2399e+10,1.2399e+10,3.146e+09,2.0571e+10,2.0571e+10,1.12875e+11,2.9286e+10,1.84757e+11,1.8255e+10,1.015e+10,2.32298e+11,3.45173e+11,5.5219e+10,3.1915e+10,7.608e+09,7.608e+09,8.1302e+10,4.1582e+10,3.8598e+10,1.31446e+11,2.12748e+11,3.4445e+10,9.8525e+10,-5.45e+08,1.32425e+11,1.32425e+11,3.45173e+11,8.717e+09,2.354e+09,3.135e+09,-5.534e+09,8.672e+09,-2.277e+09,-2.277e+09,-8.36e+08,2.3337e+10,-2.4173e+10,-1.81e+08,1.14e+08,-3.18e+09,-7.092e+09,-8.58e+08,-2.078e+09,3.414e+09,3.414e+09,3.414e+09,1.3122e+10,1.08339e+11,7.902e+09,0.38513,0.23714,0.19197,0.06583,0.02525,0.9065,1.38834,1.60655,0.31387,0.41948,0.4164,2.18514,6.37261,0.38026,5,0.04279,0.02799,2.40665,2.93276
"32","2018_Q1",41.0931147540984,"Up",5.2579e+10,-3.2648e+10,1.9931e+10,-6.811e+09,-3.814e+09,-2.997e+09,1.312e+10,7.97e+08,7.97e+08,1.3917e+10,1.3917e+10,-3.203e+09,1.0714e+10,1.0714e+10,1.0714e+10,1.0714e+10,7.4181e+10,2.0289e+10,5.3892e+10,1.7874e+10,1.7874e+10,4.855e+09,3.1735e+10,3.1735e+10,1.28645e+11,3.3783e+10,1.94714e+11,1.8177e+10,1.8177e+10,2.46674e+11,3.75319e+11,4.4242e+10,4.4242e+10,3.8099e+10,7.548e+09,1.00814e+11,4.3251e+10,4.0415e+10,1.40458e+11,2.41272e+11,3.5867e+10,9.833e+10,-1.5e+08,1.34047e+11,1.34047e+11,3.75319e+11,1.0714e+10,2.484e+09,2.376e+09,175000000.000002,1.5749e+10,-3.865e+09,-3.865e+09,-5.768e+09,3.0245e+10,-3.6013e+10,-8.1e+07,-2.28e+08,-9.942e+09,-7.514e+09,-2.28e+08,-4.089e+09,1.718e+09,1.718e+09,1.718e+09,1.5604e+10,1.1568e+11,1.5117e+10,0.37907,0.24953,0.20377,0.07993,0.02855,1.41096,1.27606,1.79991,0.30822,0.52015,0.51673,2.55266,6.50786,0.73392,5,0.04773,0.0516,2.65951,3.16303
"33","2018_Q2",43.46140625,"Up",8.8293e+10,-5.4381e+10,3.3912e+10,-7.638e+09,-4.231e+09,-3.407e+09,2.6274e+10,7.56e+08,7.56e+08,2.703e+10,2.703e+10,-6.965e+09,2.0065e+10,2.0065e+10,2.0065e+10,2.0065e+10,7.7153e+10,2.7491e+10,4.9662e+10,2.344e+10,2.344e+10,4.421e+09,3.8796e+10,3.8796e+10,1.4381e+11,3.3679e+10,2.07944e+11,2.1361e+10,1.3323e+10,2.62984e+11,4.06794e+11,8.9266e+10,6.2985e+10,8.044e+09,8.044e+09,1.15788e+11,4.6885e+10,4.3754e+10,1.50807e+11,2.66595e+11,3.6447e+10,1.04593e+11,-8.41e+08,1.40199e+11,1.40199e+11,4.06794e+11,2.0065e+10,2.745e+09,-3.2441e+10,3.7924e+10,2.8293e+10,-2.81e+09,-2.81e+09,-1.0564e+10,3.0849e+10,-4.1413e+10,-1.73e+08,-4.3e+07,-1.359e+10,-1.0095e+10,-1.038e+09,-7.501e+09,7.202e+09,7.202e+09,7.202e+09,2.9019e+10,1.224e+11,7.1098e+10,0.38408,0.29758,0.22725,0.14312,0.04932,3.54338,1.24201,1.90155,0.30089,0.9811,0.97256,4.31719,6.85519,3.47642,5,0.07562,0.22973,1.55922,1.72212
"34","2018_Q3",50.0938095238095,"Up",6.1137e+10,-3.7715e+10,2.3422e+10,-7.528e+09,-4.15e+09,-3.378e+09,1.5894e+10,2.74e+08,2.74e+08,1.6168e+10,1.6168e+10,-2.346e+09,1.3822e+10,1.3822e+10,1.3822e+10,1.3822e+10,8.794e+10,4.5059e+10,4.2881e+10,1.4324e+10,1.4324e+10,7.662e+09,2.0127e+10,2.0127e+10,1.30053e+11,3.5077e+10,1.79286e+11,2.3086e+10,2.3086e+10,2.37449e+11,3.67502e+11,6.1067e+10,3.4311e+10,7.775e+09,7.775e+09,8.932e+10,4.9942e+10,4.6855e+10,1.51304e+11,2.40624e+11,3.8044e+10,9.1898e+10,-3.064e+09,1.26878e+11,1.26878e+11,3.67502e+11,1.3822e+10,2.739e+09,8.5e+08,-2.281e+09,1.513e+10,-4.195e+09,-4.195e+09,3.2778e+10,3.9977e+10,-7.199e+09,-1.32e+08,2.59e+08,2.871e+10,-2.2429e+10,-1.51e+08,-2.6272e+10,1.7568e+10,1.7568e+10,1.7568e+10,1.8633e+10,1.2184e+11,1.4503e+10,0.38311,0.25997,0.22608,0.10894,0.03761,1.04927,1.45603,1.8965,0.33154,0.68768,0.68176,3.04172,6.31249,0.72156,7,0.05696,0.04856,1.81935,2.13288
"35","2018_Q4",46.7831746031746,"Down",5.3265e+10,-3.2844e+10,2.0421e+10,-7.809e+09,-4.108e+09,-3.701e+09,1.2612e+10,6.72e+08,6.72e+08,1.3284e+10,1.3284e+10,-1.765e+09,1.1519e+10,1.1519e+10,1.1519e+10,1.1519e+10,7.097e+10,3.1971e+10,3.8999e+10,1.4104e+10,1.4104e+10,5.936e+09,2.4751e+10,2.4751e+10,1.15761e+11,3.8117e+10,1.72773e+11,2.2546e+10,2.2546e+10,2.33436e+11,3.49197e+11,6.3673e+10,3.8489e+10,7.403e+09,7.403e+09,8.8548e+10,4.8572e+10,4.5694e+10,1.457e+11,2.34248e+11,3.8624e+10,7.9436e+10,-3.111e+09,1.14949e+11,1.14949e+11,3.49197e+11,1.1519e+10,2.665e+09,2.477e+09,-2.173e+09,1.4488e+10,-3.267e+09,-3.267e+09,8.079e+09,1.7388e+10,-9.309e+09,-1.26e+08,-7.39e+08,3.947e+09,-2.0782e+10,-1.078e+09,-3.1523e+10,-1.3088e+10,-1.3088e+10,-1.3088e+10,1.5277e+10,1.146e+11,1.1602e+10,0.38338,0.23678,0.21626,0.10021,0.03299,1.00721,1.30732,2.03784,0.32818,0.58985,0.58453,2.72753,5.88617,0.5941,6,0.05455,0.04172,2.85593,3.4594
"36","2019_Q1",41.1101639344262,"Down",6.29e+10,-3.8816e+10,2.4084e+10,-7.966e+09,-4.216e+09,-3.75e+09,1.6118e+10,3.03e+08,3.03e+08,1.6421e+10,1.6421e+10,-2.296e+09,1.4125e+10,1.4125e+10,1.4125e+10,1.4125e+10,6.6301e+10,2.5913e+10,4.0388e+10,2.3186e+10,2.3186e+10,3.956e+09,3.7896e+10,3.7896e+10,1.31339e+11,4.1304e+10,1.70799e+11,2.2283e+10,2.2283e+10,2.34386e+11,3.65725e+11,5.5888e+10,5.5888e+10,3.9293e+10,5.966e+09,1.15929e+11,4.8914e+10,4.8914e+10,1.42649e+11,2.58578e+11,4.0201e+10,7.04e+10,-3.454e+09,1.07147e+11,1.07147e+11,3.65725e+11,1.4125e+10,2.754e+09,1.864e+09,779999999.999998,1.9523e+10,-3.041e+09,-3.041e+09,552000000.000004,1.5858e+10,-1.5306e+10,-2.9e+08,-2.22e+08,-3.001e+09,-1.8763e+10,-2.6e+08,-2.258e+10,-6.058e+09,-6.058e+09,-6.058e+09,1.8872e+10,1.14483e+11,1.8907e+10,0.38289,0.25625,0.22456,0.13183,0.03862,1.33855,1.13293,2.4133,0.31303,0.73543,0.72846,3.27496,5.57873,0.98441,8,0.06526,0.06989,2.55309,2.98933
"37","2019_Q2",47.4036507936508,"Up",8.431e+10,-5.2279e+10,3.2031e+10,-8.685e+09,-4.783e+09,-3.902e+09,2.3346e+10,5.6e+08,5.6e+08,2.3906e+10,2.3906e+10,-3.941e+09,1.9965e+10,1.9965e+10,1.9965e+10,1.9965e+10,8.6427e+10,4.4771e+10,4.1656e+10,1.8077e+10,1.8077e+10,4.988e+09,3.1336e+10,3.1336e+10,1.40828e+11,3.9597e+10,1.58608e+11,3.4686e+10,3.4686e+10,2.32891e+11,3.73719e+11,4.4293e+10,4.4293e+10,4.2249e+10,5.546e+09,1.08283e+11,5.4555e+10,5.4555e+10,1.47544e+11,2.55827e+11,4.097e+10,8.051e+10,-3.588e+09,1.17892e+11,1.17892e+11,3.73719e+11,1.9965e+10,3.395e+09,1.612e+09,1.718e+09,2.669e+10,-3.355e+09,-3.355e+09,9.422e+09,1.6926e+10,-7.504e+09,-1.67e+08,-5.6e+07,5.844e+09,-8.796e+09,-1.318e+09,-1.3676e+10,1.8858e+10,1.8858e+10,1.8858e+10,2.6741e+10,1.1473e+11,2.9045e+10,0.37992,0.27691,0.2368,0.16935,0.05342,1.4548,1.30056,2.17001,0.307,1.05394,1.04567,4.45065,6.22342,1.53326,7,0.08195,0.10114,1.05841,1.21233
"38","2019_Q3",51.06703125,"Up",5.8015e+10,-3.6194e+10,2.1821e+10,-8.406e+09,-4.458e+09,-3.948e+09,1.3415e+10,3.78e+08,3.78e+08,1.3793e+10,1.3793e+10,-2.232e+09,1.1561e+10,1.1561e+10,1.1561e+10,1.1561e+10,8.0092e+10,3.7988e+10,4.2104e+10,1.5085e+10,1.5085e+10,4.884e+09,2.3285e+10,2.3285e+10,1.23346e+11,3.8746e+10,1.45319e+11,3.4587e+10,3.4587e+10,2.18652e+11,3.41998e+11,3.0443e+10,3.0443e+10,4.09e+10,5.532e+09,9.3772e+10,5.2165e+10,5.2165e+10,1.42366e+11,2.36138e+11,4.2801e+10,6.4558e+10,-1.499e+09,1.0586e+11,1.0586e+11,3.41998e+11,1.1561e+10,3.04e+09,1.337e+09,-4.783e+09,1.1155e+10,-2.363e+09,-2.363e+09,1.5749e+10,2.2589e+10,-6.84e+09,-1.24e+08,8.6e+07,1.3348e+10,-2.3312e+10,-1.6e+08,-2.9457e+10,-4.954e+09,-4.954e+09,-4.954e+09,1.6455e+10,1.1263e+11,1.1541e+10,0.37613,0.23123,0.19928,0.10921,0.0338,0.99827,1.31538,2.23066,0.32933,0.61836,0.61486,3.10302,5.66209,0.61729,4,0.05544,0.04264,1.97739,2.42549
"39","2019_Q4",63.0559375,"Up",5.3809e+10,-3.3582e+10,2.0227e+10,-8.683e+09,-4.426e+09,-4.257e+09,1.1544e+10,3.67e+08,3.67e+08,1.1911e+10,1.1911e+10,-1.867e+09,1.0044e+10,1.0044e+10,1.0044e+10,1.0044e+10,9.4614e+10,5.053e+10,4.4084e+10,1.4148e+10,1.4148e+10,3.355e+09,2.2856e+10,2.2856e+10,1.34973e+11,3.7636e+10,1.15996e+11,3.3634e+10,3.3634e+10,1.87266e+11,3.22239e+11,2.9115e+10,2.9115e+10,3.7107e+10,5.434e+09,8.9704e+10,5.1143e+10,5.1143e+10,1.36079e+11,2.25783e+11,4.3371e+10,5.3724e+10,-6.39e+08,9.6456e+10,9.6456e+10,3.22239e+11,1.0044e+10,2.933e+09,1.582e+09,-2.923e+09,1.1636e+10,-2e+09,-2e+09,3.012e+10,3.831e+10,-8.19e+09,-3.2e+08,-2.98e+08,2.7502e+10,-1.6954e+10,-1.231e+09,-2.6804e+10,1.2334e+10,1.2334e+10,1.2334e+10,1.4477e+10,1.08418e+11,1.1421e+10,0.3759,0.21454,0.18666,0.10413,0.03117,1.1371,1.50465,2.34079,0.33645,0.54938,0.54571,2.94319,5.27585,0.62469,7,0.05341,0.04461,0.95351,1.19577
"40","2020_Q1",72.2640322580645,"Up",6.404e+10,-3.9727e+10,2.4313e+10,-8.688e+09,-4.578e+09,-4.11e+09,1.5625e+10,5.02e+08,5.02e+08,1.6127e+10,1.6127e+10,-2.441e+09,1.3686e+10,1.3686e+10,1.3686e+10,1.3686e+10,1.00557e+11,4.8844e+10,5.1713e+10,2.2926e+10,2.2926e+10,4.106e+09,3.523e+10,3.523e+10,1.62819e+11,3.7378e+10,1.05341e+11,3.2978e+10,3.2978e+10,1.75697e+11,3.38516e+11,4.6236e+10,4.6236e+10,4.3242e+10,5.522e+09,1.05718e+11,5.0503e+10,5.0503e+10,1.4231e+11,2.48028e+11,4.5174e+10,4.5898e+10,-5.84e+08,9.0488e+10,9.0488e+10,3.38516e+11,1.3686e+10,3.179e+09,5.45e+08,2.5e+09,1.991e+10,-2.777e+09,-2.777e+09,2.802e+09,2.0899e+10,-1.8097e+10,-1.3e+07,-8.1e+08,-797999999.999996,-1.7054e+10,-2.13e+08,-2.1039e+10,-1.927e+09,-1.927e+09,-1.927e+09,1.8804e+10,1.08047e+11,2.0968e+10,0.37965,0.24399,0.21371,0.15125,0.04043,1.53208,1.54013,2.741,0.31918,0.76189,0.75691,3.56506,5.0374,1.16727,7,0.06893,0.0842,0.39832,0.47936
"41","2020_Q2",76.3512698412698,"Up",9.1819e+10,-5.6602e+10,3.5217e+10,-9.648e+09,-5.197e+09,-4.451e+09,2.5569e+10,3.49e+08,3.49e+08,2.5918e+10,2.5918e+10,-3.682e+09,2.2236e+10,2.2236e+10,2.2236e+10,2.2236e+10,1.07162e+11,3.9771e+10,6.7391e+10,2.097e+10,2.097e+10,4.097e+09,3.1002e+10,3.1002e+10,1.63231e+11,3.7031e+10,9.9899e+10,4.0457e+10,4.0457e+10,1.77387e+11,3.40618e+11,4.5111e+10,4.5111e+10,4.1836e+10,5.573e+09,1.02161e+11,5.5848e+10,5.5848e+10,1.48926e+11,2.51087e+11,4.5972e+10,4.3977e+10,-4.18e+08,8.9531e+10,8.9531e+10,3.40618e+11,2.2236e+10,2.816e+09,1.219e+09,4.245e+09,3.0516e+10,-2.107e+09,-2.107e+09,-1.0396e+10,2.702e+10,-3.7416e+10,-9.58e+08,-2.07e+08,-1.3668e+10,-2.0704e+10,-1.395e+09,-2.5407e+10,-8.559e+09,-8.559e+09,-8.559e+09,2.8385e+10,1.08292e+11,3.4205e+10,0.38355,0.27847,0.24217,0.24836,0.06528,1.53827,1.59778,2.80447,0.31793,1.25911,1.24792,5.19922,5.06966,1.93685,8,0.10161,0.13484,0.03981,0.04419
"42","2020_Q3",107.74203125,"Up",5.8313e+10,-3.5943e+10,2.237e+10,-9.517e+09,-4.952e+09,-4.565e+09,1.2853e+10,2.82e+08,2.82e+08,1.3135e+10,1.3135e+10,-1.886e+09,1.1249e+10,1.1249e+10,1.1249e+10,1.1249e+10,9.4051e+10,4.0174e+10,5.3877e+10,1.5722e+10,1.5722e+10,3.334e+09,3.0646e+10,3.0646e+10,1.43753e+11,3.5889e+10,9.8793e+10,4.1965e+10,4.1965e+10,1.76647e+11,3.204e+11,3.2421e+10,3.2421e+10,4.3252e+10,5.928e+09,9.6094e+10,5.6795e+10,5.6795e+10,1.45881e+11,2.41975e+11,4.8032e+10,3.3182e+10,-2.789e+09,7.8425e+10,7.8425e+10,3.204e+11,1.1249e+10,2.786e+09,1.278e+09,-2.002e+09,1.3311e+10,-1.853e+09,-1.853e+09,1.1407e+10,4.048e+10,-2.9073e+10,-1.76e+08,-3.65e+08,9.013e+09,-1.8146e+10,2.334e+09,-2.094e+10,1.384e+09,1.384e+09,1.384e+09,1.5639e+10,1.09507e+11,1.367e+10,0.38362,0.22041,0.19291,0.14344,0.03511,1.21522,1.49596,3.08543,0.34178,0.645,0.63847,3.34356,4.49674,0.78381,8,0.05976,0.05586,0.9883,1.20252
"43","2020_Q4",118.97140625,"Up",5.9685e+10,-3.7005e+10,2.268e+10,-9.589e+09,-4.831e+09,-4.758e+09,1.3091e+10,4.6e+07,4.6e+07,1.3137e+10,1.3137e+10,-1.884e+09,1.1253e+10,1.1253e+10,1.1253e+10,1.1253e+10,9.3025e+10,3.3383e+10,5.9642e+10,1.7882e+10,1.7882e+10,3.978e+09,2.518e+10,2.518e+10,1.40065e+11,3.5687e+10,1.00592e+11,4.1e+10,4.1e+10,1.77279e+11,3.17344e+11,3.5325e+10,3.5325e+10,4.1318e+10,6.313e+09,9.5318e+10,5.5696e+10,5.5696e+10,1.49744e+11,2.45062e+11,4.8696e+10,2.4136e+10,-5.5e+08,7.2282e+10,7.2282e+10,3.17344e+11,1.1253e+10,2.752e+09,2.696e+09,-4.3e+08,1.6271e+10,-1.565e+09,-1.565e+09,-2.992e+09,2.7125e+10,-3.0117e+10,-3.39e+08,-2.69e+08,-5.165e+09,-1.5891e+10,8.72e+08,-1.9116e+10,-8.01e+09,-8.01e+09,-8.01e+09,1.5843e+10,1.12723e+11,1.5732e+10,0.37999,0.21933,0.18854,0.15568,0.03546,1.39803,1.46945,3.39036,0.35521,0.65234,0.64601,3.45994,4.19019,0.91198,7,0.06194,0.06536,1.24333,1.5047
"44","2021_Q1",127.161967213115,"Up",6.4698e+10,-4.0009e+10,2.4689e+10,-9.914e+09,-4.936e+09,-4.978e+09,1.4775e+10,1.26e+08,1.26e+08,1.4901e+10,1.4901e+10,-2.228e+09,1.2673e+10,1.2673e+10,1.2673e+10,1.2673e+10,9.0943e+10,3.8016e+10,5.2927e+10,1.612e+10,1.612e+10,4.061e+09,3.2589e+10,3.2589e+10,1.43713e+11,3.6766e+10,1.00887e+11,4.2522e+10,4.2522e+10,1.80175e+11,3.23888e+11,4.2296e+10,4.2296e+10,4.9327e+10,6.643e+09,1.05392e+11,5.449e+10,5.449e+10,1.53157e+11,2.58549e+11,5.0779e+10,1.4966e+10,-4.06e+08,6.5339e+10,6.5339e+10,3.23888e+11,1.2673e+10,2.702e+09,1.324e+09,3.877e+09,2.0576e+10,-1.784e+09,-1.784e+09,7.316e+09,2.5858e+10,-1.8542e+10,-5.1e+07,5e+07,5.531e+09,-1.6737e+10,-5.571e+09,-2.1357e+10,4.75e+09,4.75e+09,4.75e+09,1.7477e+10,1.12436e+11,2.1798e+10,0.3816,0.22837,0.19588,0.19396,0.03913,1.72003,1.3636,3.95704,0.34714,0.74295,0.73439,3.79291,3.83049,1.2779,6,0.06968,0.09385,1.22979,1.45469
"45","2021_Q2",128.566507936508,"Up",1.11439e+11,-6.7111e+10,4.4328e+10,-1.0794e+10,-5.631e+09,-5.163e+09,3.3534e+10,4.5e+07,4.5e+07,3.3579e+10,3.3579e+10,-4.824e+09,2.8755e+10,2.8755e+10,2.8755e+10,2.8755e+10,7.6826e+10,3.601e+10,4.0816e+10,2.7101e+10,2.7101e+10,4.973e+09,4.5206e+10,4.5206e+10,1.54106e+11,3.7933e+10,1.18745e+11,4.327e+10,4.327e+10,1.99948e+11,3.54054e+11,6.3846e+10,6.3846e+10,5.5899e+10,7.395e+09,1.32507e+11,5.6042e+10,5.6042e+10,1.55323e+11,2.8783e+11,5.1744e+10,1.4301e+10,1.79e+08,6.6224e+10,6.6224e+10,3.54054e+11,2.8755e+10,2.666e+09,1.987e+09,5.355e+09,3.8763e+10,-3.5e+09,-3.5e+09,-5.279e+09,3.4521e+10,-3.98e+10,68668890.5162367,1.95e+08,-8.584e+09,-2.4775e+10,-2.883e+09,-3.2249e+10,-2.07e+09,-2.07e+09,-2.07e+09,3.62e+10,1.12043e+11,4.2879e+10,0.39778,0.30092,0.25803,0.43421,0.08122,1.49118,1.163,4.34631,0.31646,1.69795,1.68023,6.58035,3.91045,2.53196,7,0.13814,0.183,0.97285,1.05019
"46","2021_Q3",146.31890625,"Up",8.9584e+10,-5.1505e+10,3.8079e+10,-1.0576e+10,-5.314e+09,-5.262e+09,2.7503e+10,5.08e+08,5.08e+08,2.8011e+10,2.8011e+10,-4.381e+09,2.363e+10,2.363e+10,2.363e+10,2.363e+10,6.9834e+10,3.8466e+10,3.1368e+10,1.8503e+10,1.8503e+10,5.219e+09,2.7909e+10,2.7909e+10,1.21465e+11,3.7815e+10,1.34539e+11,4.3339e+10,4.3339e+10,2.15693e+11,3.37158e+11,4.0127e+10,4.0127e+10,5.3255e+10,7.595e+09,1.06385e+11,5.2953e+10,5.2953e+10,1.61595e+11,2.6798e+11,5.4203e+10,1.5261e+10,-2.86e+08,6.9178e+10,6.9178e+10,3.37158e+11,2.363e+10,2.797e+09,1.333e+09,-3.779e+09,2.3981e+10,-2.269e+09,-2.269e+09,-7.895e+09,2.6729e+10,-3.4624e+10,-9e+06,-1.95e+08,-1.0368e+10,-1.8548e+10,2.46e+08,-1.1326e+10,2.287e+09,2.287e+09,2.287e+09,3.03e+10,1.21645e+11,2.8633e+10,0.42506,0.30701,0.26377,0.34158,0.07009,1.21172,1.14175,3.87377,0.3608,1.41045,1.39582,5.34719,4.12917,1.70908,7,0.11107,0.11746,1.70993,1.88383
"47","2021_Q4",157.30375,"Up",8.1434e+10,-4.6179e+10,3.5255e+10,-1.1129e+10,-5.412e+09,-5.717e+09,2.4126e+10,2.43e+08,2.43e+08,2.4369e+10,2.4369e+10,-2.625e+09,2.1744e+10,2.1744e+10,2.1744e+10,2.1744e+10,6.1696e+10,3.405e+10,2.7646e+10,1.7475e+10,1.7475e+10,5.178e+09,3.0074e+10,3.0074e+10,1.14423e+11,3.8615e+10,1.31948e+11,4.4854e+10,4.4854e+10,2.15417e+11,3.2984e+11,4.0409e+10,4.0409e+10,5.1306e+10,7.681e+09,1.07754e+11,5.2054e+10,5.2054e+10,1.57806e+11,2.6556e+11,5.4989e+10,9.233e+09,5.8e+07,6.428e+10,6.428e+10,3.2984e+11,2.1744e+10,2.832e+09,1.215e+09,-4.697e+09,2.1094e+10,-2.093e+09,-2.093e+09,5.747e+09,2.5375e+10,-1.9628e+10,-4e+06,-7.8e+07,3.572e+09,-2.29e+10,-2.729e+09,-2.9396e+10,-4.73e+09,-4.73e+09,-4.73e+09,2.6958e+10,1.21791e+11,2.2793e+10,0.43293,0.29626,0.26701,0.33827,0.06592,1.04824,1.06189,4.1313,0.36924,1.29088,1.27745,4.83451,3.81613,1.35316,6,0.10713,0.09572,2.22921,2.49088
"48","2022_Q1",167.604516129032,"Up",8.336e+10,-4.8186e+10,3.5174e+10,-1.1388e+10,-5.616e+09,-5.772e+09,2.3786e+10,-5.38e+08,-5.38e+08,2.3248e+10,2.3248e+10,-2.697e+09,2.0551e+10,2.0551e+10,2.0551e+10,2.0551e+10,6.2639e+10,3.494e+10,2.7699e+10,2.6278e+10,2.6278e+10,6.58e+09,3.9339e+10,3.9339e+10,1.34836e+11,3.944e+10,1.27877e+11,4.8849e+10,4.8849e+10,2.16166e+11,3.51002e+11,5.4763e+10,5.4763e+10,5.5105e+10,7.612e+09,1.15868e+11,5.3325e+10,5.3325e+10,1.72044e+11,2.87912e+11,5.7365e+10,5.562e+09,1.63e+08,6.309e+10,6.309e+10,3.51002e+11,2.0551e+10,2.989e+09,-1.55e+09,-1.79e+09,2.02e+10,-3.223e+09,-3.223e+09,4.608e+09,2.0245e+10,-1.5637e+10,-2e+07,-5.3e+08,8.35e+08,-1.8643e+10,-1.319e+09,-2.0382e+10,653000000.000001,653000000.000001,653000000.000001,2.6775e+10,1.24719e+11,2.4459e+10,0.42195,0.28534,0.24653,0.32574,0.05855,1.19016,1.1637,4.56351,0.35532,1.25374,1.24406,5.08549,3.84889,1.49216,6,0.10032,0.10143,2.31858,2.60994
"49","2022_Q2",151.135,"Down",1.23945e+11,-6.9702e+10,5.4243e+10,-1.2755e+10,-6.449e+09,-6.306e+09,4.1488e+10,-2.47e+08,-2.47e+08,4.1241e+10,4.1241e+10,-6.611e+09,3.463e+10,3.463e+10,3.463e+10,3.463e+10,6.3913e+10,3.7119e+10,2.6794e+10,3.0213e+10,3.0213e+10,5.876e+09,5.3152e+10,5.3152e+10,1.53154e+11,3.9245e+10,1.38683e+11,5.0109e+10,5.0109e+10,2.28037e+11,3.81191e+11,7.4362e+10,7.4362e+10,5.7043e+10,7.876e+09,1.47574e+11,5.5056e+10,5.5056e+10,1.61685e+11,3.09259e+11,5.8424e+10,1.4435e+10,-9.27e+08,7.1932e+10,7.1932e+10,3.81191e+11,3.463e+10,2.697e+09,3.114e+09,6.525e+09,4.6966e+10,-2.803e+09,-2.803e+09,-1.2929e+10,2.1984e+10,-3.4913e+10,-73217030.7074564,-3.74e+08,-1.6106e+10,-2.0478e+10,-2.949e+09,-2.8159e+10,2.701e+09,2.701e+09,2.701e+09,4.4185e+10,1.22798e+11,5.4518e+10,0.43764,0.33473,0.2794,0.48143,0.09085,1.5743,1.03781,4.29932,0.32214,2.11265,2.09634,7.56144,4.38831,3.32595,8,0.15358,0.21826,1.33269,1.41933
"50","2022_Q3",158.73025,"Up",9.7278e+10,-5.4719e+10,4.2559e+10,-1.258e+10,-6.193e+09,-6.387e+09,2.9979e+10,1.6e+08,1.6e+08,3.0139e+10,3.0139e+10,-5.129e+09,2.501e+10,2.501e+10,2.501e+10,2.501e+10,5.1511e+10,2.8098e+10,2.3413e+10,2.0815e+10,2.0815e+10,5.46e+09,4.0394e+10,4.0394e+10,1.1818e+11,3.9304e+10,1.41219e+11,5.1959e+10,5.1959e+10,2.32482e+11,3.50662e+11,5.2682e+10,5.2682e+10,5.8168e+10,7.92e+09,1.27508e+11,5.2432e+10,5.2432e+10,1.55755e+11,2.83263e+11,6.1181e+10,1.2712e+10,-6.494e+09,6.7399e+10,6.7399e+10,3.50662e+11,2.501e+10,2.737e+09,2.471e+09,-2.052e+09,2.8166e+10,-2.514e+09,-2.514e+09,-6.39e+09,2.0684e+10,-2.7074e+10,-1.67e+08,-1.94e+08,-9.265e+09,-2.2631e+10,-3.74e+08,-2.8351e+10,-9.45e+09,-9.45e+09,-9.45e+09,3.2716e+10,1.19981e+11,3.3279e+10,0.4375,0.30818,0.2571,0.37107,0.07132,1.33063,0.92684,4.20278,0.34216,1.52577,1.51399,5.93458,4.11177,2.03023,8,0.11928,0.13877,2.09286,2.28393
