"","YQ","p","d","revenue","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_long_term_debt","cash_from_repurchase_of_equity","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",351.587868852459,"Up",1.0602e+10,-9.398e+09,-2.742e+09,-6.656e+09,1.204e+09,-8.44e+08,-8.4e+08,-4e+06,3.6e+08,4.31e+08,9.186e+09,9.617e+09,9.617e+09,9.553e+09,9.553e+09,6.21e+08,6.21e+08,1.635e+09,1.635e+09,2.99e+08,2.99e+08,2.555e+09,3.3888e+10,1.1018e+11,1.1951e+10,2.9554e+10,6.8675e+10,1.44068e+11,1.46623e+11,9.045e+09,1.109e+10,6.8186e+10,1.9816e+10,2.502e+09,8.8002e+10,9.9092e+10,3.5253e+10,3.5253e+10,3.832e+09,3.9084e+10,4.7531e+10,1.46623e+11,9.617e+09,2.742e+09,-9.335e+09,-9.169e+09,-2.29e+08,2.34e+08,1.7e+07,2.17e+08,3.258e+09,-2.585e+09,-2.585e+09,-2.585e+09,3.7e+08,-2.215e+09,2.188e+09,2.188e+09,-1.0973e+10,1.3161e+10,-3.967e+09,-3.967e+09,-8.07e+08,-2.586e+09,-1.543e+09,-1.543e+09,-1.543e+09,3.946e+09,7.0231e+10,-7.591e+09,0.11356,0.90106,0.20098,0.06515,-0.794619999999995,0.23039,2.08479,0.47899,39.72252,24.62334,44.08438,162.51594,-31.56429,0.06944,-0.05518,17.64065,57.81561
"33","2018_Q2",287.34765625,"Down",1.0657e+10,-9.615e+09,-2.71e+09,-6.905e+09,1.042e+09,-8.54e+08,-8.51e+08,-3e+06,1.88e+08,2.51e+08,-2.8e+07,2.23e+08,2.23e+08,1.68e+08,1.68e+08,5.76e+08,5.76e+08,1.409e+09,1.409e+09,4.13e+08,4.13e+08,2.398e+09,3.4002e+10,1.09751e+11,1.1315e+10,2.9554e+10,6.8882e+10,1.43753e+11,1.46151e+11,8.262e+09,1.1602e+10,6.7609e+10,1.9815e+10,2.464e+09,8.7424e+10,9.9026e+10,3.5352e+10,3.5352e+10,4.034e+09,3.8768e+10,4.7125e+10,1.46151e+11,2.23e+08,2.71e+09,-2.9e+07,2.8e+07,-1.29e+08,-2.05e+08,2.26e+08,-4.31e+08,2.699e+09,-2.183e+09,-2.183e+09,-2.183e+09,-5.55e+08,-2.738e+09,7.44e+08,7.44e+08,-2.185e+09,2.929e+09,-6.17e+08,-6.17e+08,-1.33e+08,-6e+06,-4.5e+07,-4.5e+07,-4.5e+07,3.752e+09,7.0949e+10,1.392e+09,0.09778,0.01576,0.00356,0.00115,8.28571,0.20669,2.10135,0.48545,0.70659,0.69588,44.82208,163.05361,5.85459,0.00122,0.0101,18.75613,67.53647
"34","2018_Q3",305.239682539683,"Up",1.0854e+10,-9.494e+09,-2.592e+09,-6.902e+09,1.36e+09,-9.05e+08,-8.78e+08,-2.7e+07,4.55e+08,3.8e+08,-4.1e+07,3.39e+08,3.39e+08,2.73e+08,2.73e+08,7.73e+08,7.73e+08,1.619e+09,1.619e+09,3.58e+08,3.58e+08,2.75e+09,3.4411e+10,1.0909e+11,1.071e+10,2.9554e+10,6.8826e+10,1.43501e+11,1.46251e+11,8.637e+09,1.4024e+10,6.673e+10,1.9855e+10,2.479e+09,8.6585e+10,1.00609e+11,3.5419e+10,3.5419e+10,4.307e+09,3.7443e+10,4.5642e+10,1.46251e+11,3.39e+08,2.592e+09,103999999.999999,28999999.999999,5000000.00000001,60999999.9999999,-2.1e+08,2.71e+08,3.096e+09,-2.391e+09,-2.391e+09,-2.391e+09,2.2e+07,-2.369e+09,1.384e+09,1.384e+09,-1.315e+09,2.699e+09,-1.664e+09,-1.664e+09,-2.5e+08,-5.3e+08,1.97e+08,1.97e+08,1.97e+08,3.952e+09,7.2117e+10,1.663e+09,0.1253,0.0251499999999999,0.00598,0.00187000000000001,6.09158,0.19609,2.20431,0.4931,1.16546,1.15154,46.33674,159.84767,7.0995,0.00198,0.01208,18.05263,52.45882
"35","2018_Q4",313.654285714286,"Up",1.0892e+10,-9.512e+09,-2.482e+09,-7.03e+09,1.38e+09,-9.46e+08,-9.01e+08,-4.5e+07,4.34e+08,6.93e+08,-1.09e+08,5.84e+08,5.84e+08,4.93e+08,4.93e+08,6.12e+08,6.12e+08,1.736e+09,1.736e+09,3.81e+08,3.81e+08,2.729e+09,3.474e+10,1.08616e+11,1.0136e+10,2.9554e+10,6.8926e+10,1.43356e+11,1.46085e+11,8.511e+09,1.185e+10,6.9135e+10,1.9872e+10,2.451e+09,8.9007e+10,1.00857e+11,3.5493e+10,3.5493e+10,4.828e+09,3.7105e+10,4.5228e+10,1.46085e+11,5.84e+08,2.482e+09,-1.28e+08,8e+07,-2.79e+08,-1.34e+08,-1.17e+08,-1.7e+07,2.804e+09,-2.118e+09,-2.118e+09,-2.118e+09,-2.05e+08,-2.323e+09,4.6e+08,4.6e+08,-5.464e+09,5.924e+09,-9.33e+08,-9.33e+08,-1.21e+08,-5.94e+08,-1.13e+08,-1.13e+08,-1.13e+08,3.862e+09,7.2474e+10,1.719e+09,0.1267,0.04526,0.0109,0.00337,3.48682,0.2303,2.22997,0.49611,2.13832,2.11038,47.2426,160.93799,7.45593,0.00358,0.0125,18.60746,52.07391
"36","2019_Q1",329.378032786885,"Up",1.1231e+10,-9.792e+09,-2.534e+09,-7.258e+09,1.439e+09,-9.12e+08,-9.1e+08,-2e+06,5.27e+08,3.62e+08,-2e+06,3.6e+08,3.6e+08,2.96e+08,2.96e+08,5.51e+08,5.51e+08,1.733e+09,1.733e+09,4.46e+08,4.46e+08,2.73e+09,3.5126e+10,1.08274e+11,9.565e+09,2.9554e+10,6.9155e+10,1.434e+11,1.4613e+11,8.805e+09,1.2095e+10,6.9537e+10,2.0226e+10,2.837e+09,8.9763e+10,1.01858e+11,3.3507e+10,3.3507e+10,2.78e+09,3.6285e+10,4.4272e+10,1.4613e+11,3.6e+08,2.534e+09,2.39e+08,-2.7e+07,1.94e+08,3.5e+07,3e+06,31999999.9999999,3.168e+09,-2.433e+09,-2.433e+09,-2.433e+09,1.27e+08,-2.306e+09,4.63e+08,4.63e+08,-1.805e+09,2.268e+09,-1.116e+09,-1.185e+09,-1.04e+08,-7.57e+08,1.05e+08,1.05e+08,1.05e+08,3.973e+09,7.2827e+10,1.577e+09,0.12813,0.02636,0.00669,0.00203,5.3277,0.22571,2.30073,0.49837,1.30472,1.28696,49.50457,159.93885,6.95118,0.00216,0.01148,18.19179,50.22655
"37","2019_Q2",374.741904761905,"Up",1.1206e+10,-9.781e+09,-2.55e+09,-7.231e+09,1.425e+09,-1.035e+09,-9.25e+08,-1.1e+08,3.9e+08,4.36e+08,-1.19e+08,3.17e+08,3.17e+08,2.53e+08,2.53e+08,1.451e+09,1.451e+09,1.578e+09,1.578e+09,7.22e+08,7.22e+08,3.751e+09,3.4859e+10,1.08647e+11,8.997e+09,2.9554e+10,7.0096e+10,1.43506e+11,1.47257e+11,8.213e+09,1.195e+10,7.0567e+10,2.1097e+10,3.624e+09,9.1664e+10,1.03614e+11,3.3643e+10,3.3643e+10,3.033e+09,3.5734e+10,4.3643e+10,1.47257e+11,3.17e+08,2.55e+09,1.63e+08,8.1e+07,-3e+06,-3.44e+08,1.55e+08,-4.99e+08,2.686e+09,-1.665e+09,-1.665e+09,-1.665e+09,-4.15e+08,-2.08e+09,1.312e+09,1.312e+09,-5.572e+09,6.884e+09,-9.4e+08,-9.4e+08,-1.17e+08,2.55e+08,8.61e+08,8.61e+08,8.61e+08,3.975e+09,7.4099e+10,2.085e+09,0.12716,0.02258,0.0058,0.00172,8.24111,0.31389,2.37413,0.5032,1.1263,1.11162,49.88645,159.07929,9.28193,0.00182,0.01502,18.27623,50.98105
"38","2019_Q3",403.56765625,"Up",1.1347e+10,-9.806e+09,-2.5e+09,-7.306e+09,1.541e+09,-9.61e+08,-9.45e+08,-1.6e+07,5.8e+08,4.7e+08,-8.4e+07,3.86e+08,3.86e+08,3.14e+08,3.14e+08,6.96e+08,6.96e+08,2.07e+09,2.07e+09,5.74e+08,5.74e+08,3.34e+09,3.4475e+10,1.0827e+11,8.461e+09,2.9554e+10,7.0255e+10,1.42745e+11,1.46085e+11,8.145e+09,9.875e+09,7.1784e+10,2.1332e+10,3.81e+09,9.3116e+10,1.02991e+11,3.3742e+10,3.3742e+10,3.347e+09,3.5286e+10,4.3094e+10,1.46085e+11,3.86e+08,2.5e+09,2.84e+08,5.6e+07,1.46e+08,-4.09e+08,-4.92e+08,8.3e+07,2.761e+09,-1.597e+09,-1.597e+09,-1.597e+09,-68999999.9999999,-1.666e+09,-7.21e+08,-7.21e+08,-4.551e+09,3.83e+09,-8.61e+08,-8.61e+08,-2.93e+08,-1.875e+09,-7.8e+08,-7.8e+08,-7.8e+08,4.041e+09,7.3306e+10,2.119e+09,0.13581,0.02767,0.00729,0.00215,6.74841,0.33823,2.38992,0.5018,1.412,1.38825,51.02529,158.67441,9.52874,0.00228,0.01538,17.96832,47.11875
"39","2019_Q4",460.21515625,"Up",1.145e+10,-9.864e+09,-2.415e+09,-7.449e+09,1.586e+09,-9.68e+08,-9.63e+08,-5e+06,6.18e+08,5.93e+08,-1.26e+08,4.67e+08,4.67e+08,3.87e+08,3.87e+08,5.08e+08,5.08e+08,2.284e+09,2.284e+09,5.96e+08,5.96e+08,3.388e+09,3.4218e+10,1.07661e+11,7.956e+09,2.9554e+10,7.0151e+10,1.41879e+11,1.45267e+11,8.263e+09,1.1982e+10,7.139e+10,2.1373e+10,3.764e+09,9.2763e+10,1.04745e+11,3.381e+10,3.381e+10,3.734e+09,3.2974e+10,4.0522e+10,1.45267e+11,4.67e+08,2.415e+09,1.72e+08,9.6e+07,5e+06,-1.11e+08,-2.27e+08,1.16e+08,2.943e+09,-1.651e+09,-1.651e+09,-1.651e+09,-8e+07,-1.731e+09,1.68e+09,1.68e+09,-7.63e+08,2.443e+09,-2.661e+09,-2.767e+09,-4.8e+08,-1.461e+09,-2.49e+08,-2.49e+08,-2.49e+08,4.001e+09,7.4899e+10,2.365e+09,0.13852,0.0338,0.00955,0.00266,6.11111,0.28276,2.58489,0.5156,1.77162,1.7414,52.41613,150.9493,10.82656,0.00283,0.01729,18.5931,46.90479
"40","2020_Q1",489.069838709677,"Up",1.1761e+10,-9.802e+09,-2.461e+09,-7.341e+09,1.959e+09,-1.116e+09,-9.64e+08,-1.52e+08,8.43e+08,9.32e+08,-1.1e+08,8.22e+08,8.22e+08,7.14e+08,7.14e+08,3.483e+09,3.483e+09,2.227e+09,2.227e+09,7.61e+08,7.61e+08,6.471e+09,3.4591e+10,1.07126e+11,7.453e+09,2.9554e+10,7.0119e+10,1.41717e+11,1.48188e+11,8.885e+09,1.2385e+10,7.5578e+10,2.1414e+10,3.703e+09,9.6992e+10,1.09377e+11,3.1405e+10,3.1405e+10,4e+07,3.1445e+10,3.8811e+10,1.48188e+11,8.22e+08,2.461e+09,2.16e+08,8.7e+07,5.2e+07,-1.41e+08,-1.42e+08,999999.999999985,3.358e+09,-2.282e+09,-2.282e+09,-2.282e+09,4.28e+08,-1.854e+09,4.105e+09,4.105e+09,-2.423e+09,6.528e+09,-2.293e+09,-2.305e+09,-3.64e+08,1.448e+09,2.952e+09,2.952e+09,2.952e+09,4.42e+09,7.9078e+10,2.107e+09,0.16657,0.06071,0.0184,0.00482,2.95098,0.52249,2.8182,0.53363,3.35885,3.25832,55.32695,147.92586,9.9119,0.00513,0.01513,17.10294,38.58857
"41","2020_Q2",507.251111111111,"Up",1.1738e+10,-9.936e+09,-2.497e+09,-7.439e+09,1.802e+09,-1.306e+09,-9.8e+08,-3.26e+08,4.96e+08,4.96e+08,-2.9e+07,4.67e+08,4.67e+08,3.96e+08,3.96e+08,2.908e+09,2.908e+09,2.091e+09,2.091e+09,7.6e+08,7.6e+08,5.759e+09,3.4096e+10,1.06697e+11,6.955e+09,2.9554e+10,7.0188e+10,1.40793e+11,1.46552e+11,8.31e+09,1.3215e+10,7.4787e+10,2.1828e+10,4.163e+09,9.6615e+10,1.0983e+11,3.1544e+10,3.1544e+10,4.36e+08,2.9628e+10,3.6722e+10,1.46552e+11,4.67e+08,2.497e+09,3.79e+08,-1.4e+07,3.03e+08,-1.23e+08,9.9e+07,-2.22e+08,3.22e+09,-1.461e+09,-1.461e+09,-1.461e+09,-3.89e+08,-1.85e+09,7.5e+08,7.5e+08,-3.589e+09,4.339e+09,-2.236e+09,-2.352e+09,-4.97e+08,-1.983e+09,-6.13e+08,-6.13e+08,-6.13e+08,4.299e+09,7.9692e+10,2.744e+09,0.15352,0.03374,0.01078,0.0027,6.92929,0.43579,2.99085,0.54378,1.90539,1.86081,56.4785,142.55793,13.20302,0.00286,0.01985,17.8609,42.61043
"42","2020_Q3",590.045,"Up",1.1696e+10,-9.727e+09,-2.428e+09,-7.299e+09,1.969e+09,-9.27e+08,-9.57e+08,3e+07,1.042e+09,1.042e+09,-1.66e+08,8.76e+08,8.76e+08,7.66e+08,7.66e+08,2.097e+09,2.097e+09,1.994e+09,1.994e+09,6.74e+08,6.74e+08,4.765e+09,3.4074e+10,1.06297e+11,6.486e+09,2.9554e+10,7.0257e+10,1.40371e+11,1.45136e+11,8.436e+09,9.142e+09,7.7663e+10,2.193e+10,4.141e+09,9.9593e+10,1.08735e+11,3.1661e+10,3.1661e+10,1.202e+09,2.9356e+10,3.6401e+10,1.45136e+11,8.76e+08,2.428e+09,1.6e+08,1.15e+08,-4.5e+07,6.5e+07,7.1e+07,-5999999.99999997,3.529e+09,-1.877e+09,-1.877e+09,-1.877e+09,1.26e+08,-1.751e+09,-1.32e+09,-1.32e+09,-4.303e+09,2.983e+09,-1.127e+09,-1.155e+09,-1.65e+08,-2.612e+09,-8.34e+08,-8.34e+08,-8.34e+08,4.397e+09,7.8369e+10,2.751e+09,0.16835,0.06549,0.02104,0.00528,3.59138,0.52122,2.98714,0.53997,3.72247,3.62165,56.83811,142.65898,13.36881,0.0056,0.02012,17.34637,38.73641
"43","2020_Q4",636.54453125,"Up",1.2039e+10,-9.867e+09,-2.37e+09,-7.497e+09,2.172e+09,-1.063e+09,-9.46e+08,-1.17e+08,1.109e+09,1.109e+09,-1.77e+08,9.32e+08,9.32e+08,8.14e+08,8.14e+08,1.283e+09,1.283e+09,2.068e+09,2.068e+09,7.09e+08,7.09e+08,4.06e+09,3.4196e+10,1.05937e+11,6.05e+09,2.9554e+10,7.0333e+10,1.40133e+11,1.44193e+11,8.541e+09,1.0256e+10,7.7947e+10,2.2278e+10,4.349e+09,1.00225e+11,1.10481e+11,3.1758e+10,3.1758e+10,2.016e+09,2.6906e+10,3.3712e+10,1.44193e+11,9.32e+08,2.37e+09,3.24e+08,1.51e+08,9e+07,3.8e+07,-9.5e+07,1.33e+08,3.664e+09,-2.014e+09,-2.014e+09,-2.014e+09,2.8e+07,-1.986e+09,1.211e+09,1.211e+09,-1.819e+09,3.03e+09,-3.311e+09,-3.361e+09,-3.94e+08,-2.494e+09,-8.16e+08,-8.16e+08,-8.16e+08,4.542e+09,7.9662e+10,2.743e+09,0.18041,0.06761,0.02415,0.00565,3.36978,0.39587,3.2772,0.55247,4.01386,3.87835,59.36465,132.67424,13.52581,0.006,0.02022,17.25649,36.0861
"44","2021_Q1",624.874262295082,"Down",1.2624e+10,-1.0162e+10,-2.409e+09,-7.753e+09,2.462e+09,-8.07e+08,-9.65e+08,1.58e+08,1.655e+09,1.655e+09,-2.54e+08,1.401e+09,1.401e+09,1.246e+09,1.246e+09,1.001e+09,1.001e+09,2.539e+09,2.539e+09,3.69e+08,3.69e+08,3.909e+09,3.4357e+10,1.0594e+11,5.615e+09,2.9554e+10,7.0771e+10,1.40297e+11,1.44206e+11,8.867e+09,9.875e+09,8.1744e+10,2.2306e+10,4.198e+09,1.0405e+11,1.13925e+11,2.9e+10,2.9e+10,-5.195e+09,2.3805e+10,3.0281e+10,1.44206e+11,1.401e+09,2.409e+09,1.26e+08,137016925.870456,70472496.3666132,2.13e+08,65887473.6038066,591478.832175061,4.149e+09,-2.063e+09,-1890712943.30505,-1890712943.30505,-5.07e+08,-2.57e+09,3.019e+09,2190460993.77291,-1907735562.2449,4098196556.01781,-4.336e+09,-4.349e+09,-5.47e+08,-1.864e+09,-2.85e+08,-2.85e+08,-2.85e+08,4.871e+09,8.2752e+10,3.275e+09,0.19503,0.0987,0.04115,0.00864,2.62841,0.39585,3.76226,0.57385,6.32938,6.14115,64.12688,120.92367,16.63621,0.00921,0.0242,16.78321,33.20512
"45","2021_Q2",673.158095238095,"Up",1.2522e+10,-1.0454e+10,-2.441e+09,-8.013e+09,2.068e+09,-9.31e+08,-9.83e+08,5.2e+07,1.137e+09,1.137e+09,-2.16e+08,9.21e+08,9.21e+08,8.07e+08,8.07e+08,7.72e+08,7.72e+08,2.395e+09,2.395e+09,4.96e+08,4.96e+08,3.663e+09,3.4184e+10,1.05592e+11,5.185e+09,2.9554e+10,7.0853e+10,1.39776e+11,1.43439e+11,8.911e+09,9.916e+09,8.3882e+10,2.246e+10,4.233e+09,1.06342e+11,1.16258e+11,2.9037e+10,2.9037e+10,-4.388e+09,2.0997e+10,2.7181e+10,1.43439e+11,9.21e+08,2.441e+09,2.78e+08,1.56e+08,-11999999.9999999,1.11e+08,1.44e+08,-3.3e+07,3.751e+09,-1.821e+09,-1.821e+09,-1.821e+09,-1.35e+08,-1.956e+09,2.125e+09,2.125e+09,-3.164e+09,5.289e+09,-3.643e+09,-3.652e+09,-5.06e+08,-2.024e+09,-2.29e+08,-2.29e+08,-2.29e+08,4.509e+09,8.4887e+10,3.015e+09,0.16515,0.06445,0.02969,0.00563,3.73606,0.3694,4.27718,0.5918,4.2162,3.9199,65.42165,109.6996,15.75198,0.006,0.02241,18.65491,40.67456
"46","2021_Q3",758.7396875,"Up",1.2802e+10,-1.0227e+10,-2.354e+09,-7.873e+09,2.575e+09,-1.136e+09,-1.004e+09,-1.32e+08,1.439e+09,1.439e+09,-2.81e+08,1.158e+09,1.158e+09,1.02e+09,1.02e+09,1.711e+09,1.711e+09,2.583e+09,2.583e+09,3.88e+08,3.88e+08,4.682e+09,3.4206e+10,1.05138e+11,4.787e+09,2.9554e+10,7.0797e+10,1.39344e+11,1.44026e+11,9.036e+09,1.0038e+10,8.6962e+10,2.294e+10,4.262e+09,1.09902e+11,1.1994e+11,2.9878e+10,2.9878e+10,-3.368e+09,1.9342e+10,2.4086e+10,1.44026e+11,1.158e+09,2.354e+09,4.36e+08,2.15e+08,1.21e+08,5.1e+07,-1.88e+08,2.39e+08,3.999e+09,-1.881e+09,-1.881e+09,-1.881e+09,-1.35e+08,-2.016e+09,3.074e+09,3.074e+09,-2.595e+09,5.669e+09,-3.499e+09,-3.516e+09,-6.19e+08,-1.044e+09,9.39e+08,9.39e+08,9.39e+08,4.929e+09,8.7964e+10,3.38e+09,0.20114,0.07968,0.04235,0.00708,3.31373,0.46643,4.97966,0.61075,5.32903,4.95452,66.88452,101.05299,17.65893,0.00756,0.02504,17.49909,33.49631
"47","2021_Q4",680.88765625,"Down",1.3146e+10,-1.0219e+10,-2.27e+09,-7.949e+09,2.927e+09,-1.173e+09,-1.016e+09,-1.57e+08,1.754e+09,1.754e+09,-3.47e+08,1.407e+09,1.407e+09,1.217e+09,1.217e+09,4.66e+08,4.66e+08,2.645e+09,2.645e+09,3.87e+08,3.87e+08,3.498e+09,3.4179e+10,1.04818e+11,4.419e+09,2.9554e+10,7.0845e+10,1.38997e+11,1.42495e+11,9.241e+09,1.2237e+10,8.5376e+10,2.3356e+10,4.376e+09,1.08732e+11,1.20969e+11,3.0015e+10,3.0015e+10,-2.151e+09,1.703e+10,2.1526e+10,1.42495e+11,1.407e+09,2.27e+09,5.45e+08,186547173.493279,171004087.352897,4.1e+07,-234443213.062915,198031893.192361,4.263e+09,-1.861e+09,-1851777145.41954,-1851777145.41954,7.1e+07,-1.79e+09,4.13e+08,4188062506.79289,-1288992221.50556,5477054728.29845,-3.649e+09,-3.666e+09,-4.82e+08,-3.718e+09,-1.245e+09,-1.245e+09,-1.245e+09,5.197e+09,8.8372e+10,3.724e+09,0.22265,0.09258,0.05654,0.00854,3.05998,0.28585,5.61967,0.62018,6.52965,6.16775,70.53306,91.37213,19.98061,0.00913,0.02795,16.91476,30.0328
"48","2022_Q1",587.051129032258,"Down",1.3212e+10,-1.0256e+10,-2.28e+09,-7.976e+09,2.956e+09,-8.98e+08,-1.034e+09,1.36e+08,2.058e+09,2.058e+09,-2.24e+08,1.834e+09,1.834e+09,1.61e+09,1.61e+09,6.01e+08,6.01e+08,2.579e+09,2.579e+09,3.86e+08,3.86e+08,3.566e+09,3.431e+10,1.04615e+11,4.06e+09,2.9562e+10,7.0993e+10,1.38925e+11,1.42491e+11,9.461e+09,1.2458e+10,8.8564e+10,2.3313e+10,4.217e+09,1.11877e+11,1.24335e+11,2.6725e+10,28551974981.4211,-1.2675e+10,1.405e+10,1.8156e+10,1.42491e+11,1.834e+09,2.28e+09,1.55e+08,100584564.950268,99557146.4972981,-4.3e+07,-48445681.0400367,-72270613.4230427,4.226e+09,-2.072e+09,-1792694547.08516,-1792694547.08516,8e+07,-1.992e+09,3.218e+09,4629812504.32275,-898395050.048992,5528207554.37174,-4.596e+09,-4.597e+09,-7.21e+08,-2.099e+09,1.35e+08,1.35e+08,1.35e+08,5.236e+09,9.1561e+10,3.345e+09,0.22374,0.12186,0.08868,0.0113,2.07764,0.28624,6.84815,0.64257,9.16732,8.92374,75.22896,80.00053,19.04639,0.0121,0.02514,17.37204,30.77131
"49","2022_Q2",487.52935483871,"Down",1.32e+10,-1.0429e+10,-2.294e+09,-8.135e+09,2.771e+09,-1.037e+09,-1.06e+09,2.3e+07,1.734e+09,1.734e+09,-3.45e+08,1.389e+09,1.389e+09,1.203e+09,1.203e+09,2.431e+09,2.431e+09,2.53e+09,2.53e+09,5.55e+08,5.55e+08,5.516e+09,3.4173e+10,1.04259e+11,3.699e+09,2.9563e+10,7.0997e+10,1.38432e+11,1.43948e+11,9.386e+09,1.3929e+10,9.0679e+10,2.3396e+10,4.326e+09,1.14075e+11,1.28004e+11,2.6865e+10,2.6865e+10,-1.1472e+10,1.206e+10,1.5944e+10,1.43948e+11,1.389e+09,2.294e+09,1.61e+08,37999999.9999999,-2.4e+07,-1.97e+08,4.9e+07,-2.46e+08,3.647e+09,-1.857e+09,-1.857e+09,-1.857e+09,7e+07,-1.787e+09,3.759e+09,3.759e+09,-2.954e+09,6.713e+09,-3.332e+09,-3.333e+09,-4.57e+08,-3e+07,1.83e+09,1.83e+09,1.83e+09,5.065e+09,9.5222e+10,3.356e+09,0.20992,0.09114,0.07545,0.00836,2.78969,0.39601,8.02835,0.6615,6.84987,6.66786,75.16064,68.66949,19.10902,0.00894,0.02494,18.32004,33.48647
"50","2022_Q3",427.78984375,"Down",1.3598e+10,-1.0371e+10,-2.24e+09,-8.131e+09,3.227e+09,-1.03e+09,-1.109e+09,7.9e+07,2.197e+09,2.197e+09,-4.89e+08,1.708e+09,1.708e+09,1.471e+09,1.471e+09,4.83e+08,4.83e+08,2.779e+09,2.779e+09,4.76e+08,4.76e+08,3.738e+09,3.4472e+10,1.05048e+11,3.373e+09,2.9563e+10,7.2112e+10,1.3952e+11,1.43258e+11,9.862e+09,1.1395e+10,9.4468e+10,2.3882e+10,4.759e+09,1.1835e+11,1.29745e+11,2.69e+10,2.69e+10,-1.0001e+10,9.879e+09,1.3513e+10,1.43258e+11,1.708e+09,2.24e+09,4.5e+07,7.7e+07,-1.36e+08,-2.59e+08,-2.49e+08,-1e+07,3.734e+09,-2.193e+09,-2.193e+09,-2.193e+09,-1.02e+08,-2.295e+09,9.25e+08,9.25e+08,-8.993e+09,9.918e+09,-3.683e+09,-3.687e+09,-6.29e+08,-3.387e+09,-1.948e+09,-1.948e+09,-1.948e+09,5.467e+09,9.6001e+10,3.504e+09,0.23731,0.10818,0.10886,0.01027,2.38205,0.32804,9.60149,0.67013,8.9668,8.80359,82.88956,60.21959,21.35939,0.01103,0.02627,17.47174,29.59963
