"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","income_loss_from_affiliates","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","preferred_dividends","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","other_payables_accruals","short_term_debt","current_portion_of_long_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",83.1320634920635,"Down",604500000,-327800000,276700000,-76900000,-76900000,199800000,-41500000,-25200000,-19800000,3500000,0,158300000,158300000,-37300000,1.21e+08,1.21e+08,-4e+05,120600000,-1e+05,120500000,293100000,293100000,193700000,193700000,1.46e+08,136200000,136200000,7.69e+08,7951400000,37900000,71200000,71200000,8060500000,8829500000,4.77e+08,4.77e+08,275100000,275100000,752100000,2275700000,1415900000,1.308e+09,107900000,3691600000,4443700000,6100000,954900000,1100000,953800000,3116600000,-5700000,4071900000,313900000,4385800000,8829500000,1.21e+08,76900000,4e+07,27600000,265500000,-1.45e+08,-36800000,-182700000,-35600000,-7800000,-39900000,-83300000,-5e+05,-5e+05,-5e+05,276700000,2550800000,196600000,0.45773,0.33052,0.19934,0.02748,0.01365,1.63154,1.02247,1.0132,0.2889,1.11967,1.11769,5.61693,37.77887,1.82678,0.33079,5,0.01869,0.02354,0.29544,8.15938,11.2998
"28","2017_Q1",81.233064516129,"Down",598500000,-309500000,2.89e+08,-78100000,-78100000,210900000,-45200000,-24500000,-24700000,4200000,-2e+05,165700000,165700000,-35400000,130300000,130300000,-7e+05,129600000,1.45519152283669e-11,129600000,170600000,170600000,1.91e+08,1.91e+08,152600000,133800000,133800000,6.48e+08,8069700000,32900000,66900000,66900000,8169500000,8817500000,537700000,537700000,206700000,25400000,744400000,2271500000,1397100000,1289300000,107800000,3668600000,4.413e+09,6100000,955900000,1100000,954800000,3134100000,-6200000,4089900000,314600000,4404500000,8817500000,130300000,78100000,2400000,24600000,235400000,-157100000,-5100000,-162200000,-35600000,-74500000,-85600000,-195700000,-122500000,-122500000,-122500000,2.89e+08,2478200000,191900000,0.48287,0.35238,0.21654,0.02942,0.0147,1.48071,0.8705,1.00193,0.28105,1.21301,1.21065,5.60173,38.2228,1.79611,0.3332,5,0.01995,0.02318,0.27469,7.98478,10.94168
"29","2017_Q2",89.1784126984127,"Up",609500000,-319500000,2.9e+08,-79300000,-79300000,210700000,27200000,-24700000,46800000,4e+06,1100000,237900000,237900000,-9.1e+07,146900000,146900000,-3e+05,146600000,-1e+05,146500000,123100000,123100000,208500000,208500000,154900000,146500000,146500000,6.33e+08,8132500000,3.8e+07,74700000,74700000,8245200000,8878200000,415800000,415800000,292400000,27500000,708200000,2263600000,1437500000,1331700000,105800000,3701100000,4409300000,6100000,956400000,1100000,955300000,3196900000,-5400000,4.154e+09,314900000,4468900000,8878200000,146900000,79300000,-62800000,-33800000,129600000,-155400000,-6800000,-162400000,-35200000,76200000,-55700000,-14700000,-47500000,-47500000,-47500000,2.9e+08,2.556e+09,191800000,0.4758,0.34569,0.24036,0.03278,0.0165,1.30922,0.89382,0.98666,0.2879,1.38063,1.37784,5.74399,39.0902,1.80754,0.33173,7,0.02147,0.02266,0.24027,8.38931,11.54675
"30","2017_Q3",100.080476190476,"Up",656400000,-336700000,319700000,-80400000,-80400000,239300000,-7999999.99999999,-2.5e+07,14200000,2900000,-1e+05,231300000,231300000,-96600000,134700000,134700000,-3e+05,134400000,2.91038304567337e-11,134400000,166300000,166300000,232900000,232900000,155400000,156800000,156800000,711400000,8247300000,36200000,72700000,72700000,8356200000,9067600000,476300000,476300000,3.45e+08,42200000,821300000,2243600000,1494900000,1385400000,109500000,3738500000,4559800000,6100000,955700000,1100000,954600000,3.238e+09,-7200000,4192600000,315200000,4507800000,9067600000,134700000,80400000,70600000,1600000,287300000,-124500000,-44100000,-1.75e+08,-35100000,30700000,-64700000,-69100000,43200000,43200000,43200000,319700000,2588600000,293400000,0.48705,0.36456,0.20475,0.02981,0.01482,2.18304,0.86619,1.01154,0.28548,1.27426,1.27083,6.22339,39.69262,2.78175,0.33279,7,0.01973,0.03415,0.26116,7.57679,10.12244
"31","2017_Q4",102.043174603175,"Up",656600000,-340900000,315700000,-81900000,-81900000,233800000,-21900000,-25200000,8e+05,2800000,-3e+05,211900000,211900000,-8.2e+07,129900000,129900000,-6e+05,129300000,-1e+05,129200000,88400000,88400000,237200000,237200000,151200000,163700000,163700000,640500000,8335600000,51900000,72300000,72300000,8459800000,9100300000,528400000,528400000,396400000,40500000,924800000,2238400000,1530700000,1432300000,98400000,3769100000,4693900000,6100000,931500000,1e+06,930500000,3160900000,-7900000,4090600000,315800000,4406400000,9100300000,129900000,81900000,33900000,71100000,316800000,-160400000,-30500000,-204600000,-34800000,44200000,-199500000,-190100000,-77900000,-77900000,-77900000,315700000,2634800000,308400000,0.48081,0.35608,0.19677,0.02932,0.0142,2.387,0.69258,1.06525,0.28953,1.23845,1.23426,6.29385,39.15206,2.95617,0.33358,8,0.01913,0.03598,0.26935,8.06589,10.89136
"32","2018_Q1",104.097868852459,"Up",660400000,-343300000,317100000,-79300000,-79300000,237800000,-44600000,-25300000,-20100000,1800000,-1e+06,193200000,193200000,359200000,552400000,552400000,-7e+05,551700000,2.91038304567337e-11,551700000,134100000,134100000,237800000,237800000,150800000,157400000,157400000,680100000,8403800000,44600000,70200000,70200000,8518600000,9198700000,587800000,587800000,383900000,38800000,971700000,2235500000,1126100000,987200000,138900000,3361600000,4333300000,6100000,944300000,1e+06,943300000,3611400000,-12900000,4548900000,316500000,4865400000,9198700000,552400000,79300000,-388700000,51700000,294700000,-136300000,-2700000,-139100000,-37400000,-17500000,-5.5e+07,-109900000,45700000,45700000,45700000,317100000,2619400000,-126700000,0.48016,0.36008,0.8354,0.11339,0.05998,-0.22965,0.69991,0.89064,0.28476,5.3561,5.33569,6.4114,44.10314,-1.23005,0.36309,6,0.06841,-0.01471,0.06779,7.83759,10.45122
"33","2018_Q2",104.833125,"Up",638600000,-336600000,3.02e+08,-83300000,-83300000,218700000,3e+06,-25500000,27800000,1e+06,-3e+05,221700000,221700000,-76800000,144900000,144900000,-4e+05,144500000,-1e+05,144400000,4.7e+07,4.7e+07,271200000,271200000,160800000,86900000,86900000,565900000,8430600000,46500000,85100000,85100000,8562200000,9128100000,4.45e+08,4.45e+08,378800000,3.6e+07,823800000,2230200000,1142700000,1012700000,1.3e+08,3372900000,4196700000,6100000,946100000,1e+06,945100000,3670200000,-7900000,4614500000,316900000,4931400000,9128100000,144900000,83300000,-1600000,-8.6e+07,140600000,-108600000,-15400000,-124200000,-37100000,-12800000,-53600000,-103500000,-87100000,-87100000,-87100000,3.02e+08,2.609e+09,184200000,0.47291,0.34247,0.22612,0.02928,0.01582,1.27562,0.68694,0.85102,0.28582,1.40776,1.40227,6.22575,44.92756,1.79578,0.36169,5,0.0209,0.02121,0.25693,8.48344,11.71468
"34","2018_Q3",110.171587301587,"Up",682400000,-350300000,332100000,-86300000,-86300000,245800000,-47500000,-2.8e+07,-2.1e+07,1e+06,5e+05,198300000,196100000,-47399999.9999999,148700000,148700000,-5e+05,148200000,0,148200000,61100000,61100000,2.5e+08,2.5e+08,1.54e+08,62700000,62700000,527800000,8595700000,45600000,9.4e+07,9.4e+07,8735300000,9263100000,430100000,430100000,10800000,10800000,440900000,2682300000,1143700000,1020800000,122900000,3.826e+09,4266900000,6100000,947400000,1e+06,946400000,3731700000,-7600000,4677600000,318600000,4996200000,9263100000,148700000,86300000,24700000.0000001,25500000,285200000,-1.53e+08,-100900000,-2.6e+08,-3.7e+07,88100000,-54200000,-11100000,14100000,14100000,14100000,332100000,2693100000,2.52e+08,0.48666,0.3602,0.21717,0.02966,0.016,1.7004,1.1971,0.85403,0.29073,1.45163,1.44597,6.68417,45.75775,2.46836,0.36242,7,0.02097,0.02853,0.24966,7.92532,10.70789
"35","2018_Q4",98.4098412698413,"Down",6.99e+08,-355500000,343500000,-87500000,-87500000,2.56e+08,-18400000,-28300000,9500000,-2e+05,6e+05,237600000,2.47e+08,-7.3e+07,1.74e+08,1.74e+08,-4e+05,173600000,-1e+05,173500000,107100000,107100000,2.72e+08,2.72e+08,155200000,81600000,81600000,615900000,8644500000,46500000,102200000,102200000,8793200000,9409100000,455400000,455400000,10500000,10500000,465900000,2680700000,1171700000,1069200000,102500000,3852400000,4318300000,5900000,950900000,1e+06,949900000,3818400000,-3400000,4771800000,3.19e+08,5090800000,9409100000,1.74e+08,87500000,16200000,2300000,2.8e+08,-1.28e+08,-8800000,-140800000,-36800000,-2700000,-53700000,-93200000,4.6e+07,4.6e+07,4.6e+07,343500000,2691200000,290800000,0.49142,0.36624,0.24821,0.03408,0.01844,1.67608,1.32196,0.84826,0.28602,1.7067,1.69915,6.876,46.8817,2.86057,0.362,8,0.02349,0.03248,0.2121,7.52285,10.09414
"36","2019_Q1",105.150163934426,"Up",6.94e+08,-356499999,337500001,-89600000,-89600000,247900001,-34300000,-28200000,-8500000,8e+05,1600000,213600001,222100001,-60300000,161800001,161800001,-7e+05,161100001,0,161100001,100500000,100500000,301200000,301200000,160300000,73400000,73400000,635400000,8691100000,44900000,98400000,98400000,8834400000,9469800000,436900000,436900000,10100000,10100000,4.47e+08,2679300000,1210800000,1079900000,130900000,3890100000,4337100000,5700000,947600000,1e+06,946600000,3870600000,-10900000,4.813e+09,319700000,5132700000,9469800000,161800000,89600000,51700000,-5.9e+07,244100000,-121999999,4e+06,-126899999,-36600000,-2800000,-80200000,-119600000,-2399999,-2399999,-6599998.99999999,337500001,2689400000,216800002,0.48631,0.3572,0.23213,0.03139,0.01701,1.34575,1.42148,0.84499,0.284,1.59372,1.58716,6.86558,47.55748,2.14475,0.36208,7,0.02189,0.024,0.22719,7.67081,10.44332
"37","2019_Q2",116.898095238095,"Up",674800000,-358500000,316300000,-88500000,-88500000,227800000,-21800000,-28200000,4600000,1700000,1e+05,2.06e+08,137900000,-34700000,103200000,103200000,-4e+05,102800000,-1e+05,102700000,92700000,92700000,277900000,277900000,166200000,117600000,117600000,654400000,8694300000,47800000,241200000,241200000,8983300000,9637700000,470900000,470900000,9700000,9700000,480600000,2677600000,1329500000,1085200000,244300000,4007100000,4487700000,5700000,947100000,1e+06,946100000,3891100000,-15800000,4828100000,321900000,5.15e+09,9637700000,103200000,88500000,61600000,19400000,272700000,-177700000,-3600000,-189700000,-36400000,-2700000,-50100000,-90800000,-7800000,-7800000,-7800000,316300000,2687300000,192700000,0.46873,0.33758,0.15219,0.01994,0.01066,1.87634,1.36163,0.8714,0.27883,1.02189,1.01769,6.71443,47.98408,1.91741,0.36219,6,0.01517,0.02102,0.35443,8.20297,11.38982
"38","2019_Q3",122.1415625,"Up",7.14e+08,-367300000,346700000,-87700000,-87700000,2.59e+08,-19800000,-2.8e+07,8300000,-2e+05,1e+05,239200000,188200000,-59100000,129100000,129100000,-4e+05,128700000,4.36557456851006e-11,128700000,47600000,47600000,296300000,296300000,154500000,111300000,111300000,609700000,8744600000,4.8e+07,235800000,235800000,9028400000,9638100000,483400000,483400000,283900000,283900000,767300000,2401400000,1317900000,1088100000,229800000,3719300000,4486600000,5600000,948100000,1e+06,947100000,3898800000,-23300000,4829200000,322300000,5151500000,9638100000,129100000,87700000,74100000,-22400000,268500000,-160400000,-17100000,-184400000,-36200000,-2799999.99999999,-89300000,-129200000,-45100000,-45100000,-45100000,346700000,2685300000,2.23e+08,0.48557,0.36275,0.18025,0.02498,0.01335,1.73271,0.7946,0.87093,0.27861,1.28664,1.28158,7.138,48.2225,2.22938,0.3619,6,0.01801,0.02436,0.28127,7.60802,10.18417
"39","2019_Q4",144.0921875,"Up",747700000,-367200000,380500000,-86500000,-86500000,2.94e+08,-27200000,-27900000,-3400000,2100000,2e+06,266800000,254800000,-74200000,180600000,180600000,-4e+05,180200000,-1e+05,180100000,61600000,61600000,273400000,273400000,161800000,117100000,117100000,613900000,8803800000,53500000,227200000,227200000,9084500000,9698400000,497400000,497400000,288800000,288800000,786200000,2394800000,1320200000,1100400000,219800000,3.715e+09,4501200000,5600000,948300000,1e+06,947300000,3951200000,-30600000,4874500000,322700000,5197200000,9698400000,180600000,86500000,-4300001,54800000,317599999,-111700000,-42800000,-166200000,-3.6e+07,-2300000,-98300000,-136600000,14799999,14799999,13999999,380500000,2683600000,397800000,0.50889,0.39321,0.24087,0.03465,0.01857,2.20877,0.78084,0.86608,0.27671,1.8139,1.80653,7.53054,49.03766,4.00649,0.36258,8,0.02349,0.04323,0.19989,6.89093,8.91837
"40","2020_Q1",150.285806451613,"Up",729500000,-367199999,362300001,-8.8e+07,-8.8e+07,274300001,-2.8e+07,-31800000,7600000,-2600000,-1200000,246300001,207500001,-79600000,127900001,127900001,-7e+05,127200001,-2.91038304567337e-11,127200001,148800000,148800000,274200000,274200000,150600000,1.55e+08,1.55e+08,728600000,8806300000,47600000,204300000,204300000,9058200000,9786800000,473300000,473300000,1.8e+07,1.8e+07,491300000,3.228e+09,1321600000,1.128e+09,193600000,4549600000,5040900000,5600000,844700000,1e+06,843700000,3601300000,-29100000,4422500000,323400000,4745900000,9786800000,127900000,8.8e+07,114400001,-85100000,245200001,-115300000,-1.1e+07,-1.36e+08,-35700000,570300000,-547800000,-22300000,86900001,86900001,87200001,362300001,3.246e+09,241500001,0.49664,0.37601,0.17437,0.0268,0.013,1.89858,1.483,1.06216,0.33167,1.30532,1.29854,7.48612,45.32618,2.47827,0.36635,7,0.01749,0.02593,0.28066,8.54872,11.29129
"41","2020_Q2",138.872222222222,"Down",731700000,-347500000,384200000,-89400000,-89400000,294800000,-91300000,-34200000,-59500000,1e+06,1400000,203500000,197500000,-45200000,152300000,152300000,-5e+05,151800000,-1e+05,151700000,9.1e+07,9.1e+07,269800000,269800000,143600000,117500000,117500000,621900000,8.924e+09,45900000,173900000,173900000,9143800000,9765700000,453600000,453600000,17100000,17100000,470700000,3.227e+09,1.306e+09,1149200000,156800000,4.533e+09,5003700000,5600000,9.26e+08,1e+06,9.25e+08,3.532e+09,-25500000,4438100000,323900000,4.762e+09,9765700000,152300000,89400000,76900000,-35400000,283200000,-95500000,-88800000,-188600000,-38600000,-2400000,-107300000,-148300000,-53700000,-53700000,-57799999,384200000,3244100000,298500000,0.52508,0.4029,0.20733,0.03186,0.01553,1.9677,1.32122,1.05076,0.33219,1.58579,1.5774,7.64881,46.33501,3.12036,0.4035,7,0.02044,0.03206,0.25445,8.20692,10.69573
"42","2020_Q3",171.414375,"Up",547900000,-267700000,280200000,-89300000,-89300000,190900000,-29300000,-38100000,7799999.99999999,2e+05,8e+05,161600000,151100000,-40800000,110300000,110300000,-6e+05,109700000,1.45519152283669e-11,109700000,620100000,620100000,222800000,222800000,131200000,142100000,142100000,1116200000,8947400000,4.4e+07,180500000,180500000,9171900000,10288100000,440600000,440600000,16300000,16300000,456900000,3765400000,1320800000,1165200000,155600000,5086200000,5543100000,5600000,923800000,1e+06,922800000,3510700000,-19600000,4420500000,324500000,4.745e+09,10288100000,110300000,89300000,-6700000,49400000,242300000,-91200000,-18800000,-110600000,-38300000,543200000,-99900000,398400000,530100000,530100000,529099999,280200000,3781700000,279200000,0.51141,0.34842,0.20022,0.02312,0.01066,2.54512,2.44299,1.1682,0.36758,1.16112,1.15599,5.79923,46.7294,2.95519,0.40539,6,0.01503,0.02835,0.34913,11.28337,16.56155
"43","2020_Q4",186.21640625,"Up",659600000,-298400000,361200000,-89199999,-89199999,272000001,-32800000,-39500000,7700000,-1300000,3e+05,239200001,238700001,-48500000,190200001,190200001,-4e+05,189800001,-1e+05,189700001,6.46e+08,6.46e+08,2.56e+08,2.56e+08,127900000,63900000,63900000,1093800000,8967300000,44100000,260400000,260400000,9271800000,10365600000,466300000,466300000,10900000,10900000,477200000,3765300000,1329200000,1177400000,151800000,5094500000,5571700000,5500000,926600000,1e+06,925600000,3552300000,-16300000,4468100000,325800000,4793900000,10365600000,190200000,89199999,37300000,-22300000,294399999,-105600000,-6400000,-1.14e+08,-37800000,-7100000,-109100000,-1.54e+08,26399999,26399999,25899999,361200000,3776200000,281800000,0.5476,0.41237,0.2876,0.03957,0.0183,1.4855,2.29212,1.16225,0.3643,2.02075,2.00998,7.02629,47.53718,3.00183,0.40266,6,0.02298,0.02847,0.19926,8.66611,11.50809
"44","2021_Q1",216.317049180328,"Up",693400000,-327500000,365900000,-90000001,-90000001,275899999,-26400000,-39100000,14400000,-1300000,-4e+05,249499999,235899999,-69600000,166299999,166299999,-6e+05,165699999,1.45519152283669e-11,165699999,188200000,188200000,247100000,247100000,127200000,63300000,63300000,625800000,8997800000,42600000,297800000,297800000,9338200000,9.964e+09,4.7e+08,4.7e+08,6400000,6400000,476400000,3764400000,1339600000,1185400000,154200000,5.104e+09,5580400000,5400000,831800000,9e+05,830900000,3219600000,4e+05,4057200000,326400000,4383600000,9.964e+09,166300000,90000001,8300000,-4500000,260100001,-106700000,-5600000,-112800000,-37600000,-6100000.00000006,-562700000,-606400000,-459099999,-459099999,-457799999,365900000,3770800000,324300000,0.52769,0.39789,0.23897,0.0378,0.01663,1.95715,1.3136,1.27302,0.37844,1.81513,1.80476,7.59574,44.3848,3.55249,0.41188,6,0.02141,0.03416,0.22692,9.7912,12.98514
"45","2021_Q2",287.685238095238,"Up",7.06e+08,-341700000,364300000,-9.2e+07,-9.2e+07,272300000,-41100000,-3.9e+07,-7300000,6e+06,-8e+05,231200000,211900000,-58500000,153400000,153400000,-4e+05,1.53e+08,-8824.57864198824,1.53e+08,259899999,259899999,271100000,271100000,131600000,60700000,60700000,723299999,9012800000,4.8e+07,422900000,422900000,9483700000,10206999999,476200000,476200000,6500000,6500000,482700000,3763500000,1388300000,1212700000,175600000,5151800000,5634500000,5400000,909900000,9e+05,9.09e+08,3250600000,79800000,4245700000,326800000,4572500000,1.0207e+10,153400000,9.2e+07,17599999,-36800000,226199999,-104500000,-3800000,-1.14e+08,-40200000,-1600000,2300000,-39500000,72699999,72699999,71699999,364300000,3.77e+09,281500000,0.51601,0.38569,0.21671,0.03346,0.01499,1.83987,1.49845,1.23226,0.36935,1.63068,1.62222,7.52457,45.19323,3.00023,0.42845,5,0.01985,0.02893,0.26275,9.63519,12.89056
"46","2021_Q3",278.04171875,"Down",749500000,-369199999,380300001,-91200000,-91200000,289100001,-27900000,-39100000,6800000,3400000,1e+06,261200001,-459599999,81600000,-377999999,-377999999,-5e+05,-378499999,-1e+05,-378599999,325800000,325800000,298900000,298900000,135300000,5.2e+07,5.2e+07,8.12e+08,9.139e+09,50600000,392100000,392100000,9581700000,10393700000,1234300000,1234300000,8500000,8500000,1242800000,3771700000,1262800000,1062200000,200600000,5034500000,6277300000,5400000,914100000,9e+05,913200000,2822900000,46700000,3789100000,327300000,4116400000,10393700000,-3.78e+08,91200000,558600000,9300000.00000001,281100000,-143200000,-20300000,-1.65e+08,-49100000,-1900000,200000.00000006,-50799999.9999999,65299999.9999999,65299999.9999999,65900000,380300001,3780200000,164800001,0.5074,0.38572,-0.50514,-0.09197,-0.03643,-0.435290000000001,0.65336,1.52495,0.3637,-4.17066,-4.17066,8.2565,41.68126,1.81544,0.54089,5,-0.03597,0.01799,-0.12969,9.08336,11.94881
"47","2021_Q4",298.675294117647,"Up",7.44e+08,-365100000,378900000,-90500000,-90500000,288400000,-35200000,-3.9e+07,-5e+05,3800000,5e+05,253200000,216700000,-60200000,156500000,156500000,-3e+05,156200000,-1e+05,156100000,4.7e+08,4.7e+08,267300000,267300000,128699999,55900000,55900000,921899999,9178400000,54600000,387900000,387900000,9620900000,10542799999,1266400000,1266400000,8700000,8700000,1275100000,3770300000,1264600000,1067800000,196800000,5034900000,6.31e+09,5400000,924600000,9e+05,923700000,2929900000,45300000,3905200000,327600000,4232800000,10542800000,156500000,90500000,37900001,37900000,322800001,-124500000,-3200000,-128300000,-49100000,-2200000,1700000,-49600000,144900001,144900001,144200001,378900000,3.779e+09,352500000,0.50927,0.38763,0.20981,0.03688,0.01481,2.25817,0.723,1.49074,0.35844,1.7196,1.7196,8.19591,42.96022,3.88314,0.54089,6,0.02212,0.038,0.31454,8.73317,11.47365
