"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","stock_based_compensation","change_in_working_capital","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"24","2017_Q4",32.1620634920635,"Down",4.39e+08,-1.9e+07,4.2e+08,-3.78e+08,-2.89e+08,-2.8e+07,-6.1e+07,4.2e+07,-4e+06,-4e+06,3.8e+07,3.8e+07,-1.3e+07,2.5e+07,2.5e+07,2.5e+07,2.5e+07,7.63e+08,7.5e+08,2.5e+07,2.5e+07,1.042e+09,2.66e+08,1.034e+09,1.5e+08,7.56e+08,7e+07,1.306e+09,2.348e+09,3.5e+08,1.5e+07,3.35e+08,6.5e+07,6.5e+07,4.22e+08,2.44e+08,1.6e+07,2.28e+08,5.09e+08,9.31e+08,9.01e+08,1.01e+09,1.417e+09,1.417e+09,2.348e+09,2.5e+07,2.8e+07,2.1e+07,2.5e+07,-2.09e+08,-2.09e+08,-1.35e+08,-1.5e+07,-1.5e+07,-1.4e+07,5000000.00000001,-1e+06,4000000.00000001,-1.45e+08,-1.45e+08,8e+06,-1.37e+08,7e+07,2.72e+08,-1.41e+08,0.95672,0.09567,0.05695,0.01764,0.01065,-5.64,2.46919,0.65702,0.11584,0.18014,0.17936,3.1633,10.21048,-1.016,0.01293,-0.07294,-7.01429,-11.69048
"25","2018_Q1",34.8024590163934,"Up",3.21e+08,-1.6e+07,3.05e+08,-2.96e+08,-2.08e+08,-2.9e+07,-5.9e+07,9e+06,-6e+06,-4e+06,3e+06,3e+06,-8.7e+07,-8.4e+07,-8.4e+07,-8.4e+07,-8.4e+07,7.08e+08,6.73e+08,5.5e+07,2.5e+07,9.93e+08,2.63e+08,1.016e+09,1.42e+08,7.58e+08,1e+08,1.279e+09,2.272e+09,3.05e+08,8e+06,2.97e+08,6e+07,6e+07,3.72e+08,3.07e+08,1.4e+07,2.93e+08,5.37e+08,9.09e+08,9.26e+08,9.26e+08,1.363e+09,1.363e+09,2.272e+09,-8.4e+07,2.9e+07,6.9e+07,2.4e+07,4e+06,4e+06,1.8e+07,-1.4e+07,-1.4e+07,-5.8e+07,-3.5e+07,-2e+06,-3.7e+07,-7.7e+07,-7.7e+07,9.31322574615479e-10,-7.7e+07,3.8e+07,2.37e+08,1.15e+08,0.95016,0.02804,-0.26168,-0.06163,-0.03697,-1.36905,2.66935,0.66691,0.10431,-0.60476,-0.61431,2.31107,9.81303,0.82795,-0.04405,0.0603,-12.39474,-52.33333
"26","2018_Q2",42.53859375,"Up",3.78e+08,-2e+07,3.58e+08,-3.35e+08,-2.4e+08,-2.8e+07,-6.7e+07,2.3e+07,-2e+06,-3e+06,2.1e+07,2.1e+07,-1.6e+07,5e+06,5e+06,5000000.00000001,5000000.00000001,6.5e+08,6.35e+08,5.2e+07,5.2e+07,9.83e+08,2.61e+08,9.91e+08,1.36e+08,7.63e+08,7.4e+07,1.257e+09,2.24e+09,4.26e+08,7e+06,4.19e+08,1.01e+08,1.01e+08,5.34e+08,3.16e+08,1.6e+07,3e+08,3.16e+08,8.5e+08,9.46e+08,9.35e+08,1.39e+09,1.39e+09,2.24e+09,5e+06,2.8e+07,2.9e+07,2.9e+07,1.12e+08,1.12e+08,1.74e+08,-1.5e+07,-1.5e+07,2.8e+07,-2.3e+08,-1.2e+07,-2.46e+08,-4.4e+07,-4.4e+07,6e+06,-3.8e+07,5.1e+07,7000000.00000003,1.64e+08,0.94709,0.06085,0.01323,0.00359999999999999,0.00223,32.8,1.84082,0.61151,0.00312,0.0358900000000001,0.03563,2.71333,9.9776,1.17721,0.00292000000000001,0.09574,-12.60784,-27.95652
"27","2018_Q3",48.6603174603175,"Up",4.33e+08,-2.4e+07,4.09e+08,-3.61e+08,-2.64e+08,-2.9e+07,-6.8e+07,4.8e+07,-6e+06,-3e+06,4.2e+07,4.2e+07,-1.1e+07,3.1e+07,3.1e+07,3.1e+07,3.1e+07,6.78e+08,6.66e+08,6.2e+07,6.2e+07,1.04e+09,2.58e+08,1.004e+09,1.38e+08,7.63e+08,8.2e+07,1.264e+09,2.304e+09,5.27e+08,1e+07,5.17e+08,1.04e+08,1.04e+08,6.31e+08,3.26e+08,1.9e+07,3.07e+08,3.26e+08,9.57e+08,9.79e+08,9.66e+08,1.347e+09,1.347e+09,2.304e+09,3.1e+07,2.9e+07,4e+07,3.2e+07,8.6e+07,8.6e+07,1.86e+08,-1.6e+07,-1.6e+07,-3.3e+07,-8e+06,-6e+06,-1.07e+08,4.6e+07,4.6e+07,-1.5e+07,3.1e+07,7.7e+07,0,1.58e+08,0.94457,0.11085,0.07159,0.02301,0.01345,5.09677,1.64818,0.71047,0,0.22491,0.22203,3.14153,9.77284,1.14633,0.01853,0.09444,-8.80519,-14.125
"28","2018_Q4",49.2942857142857,"Up",4.58e+08,-2.3e+07,4.35e+08,-3.46e+08,-2.46e+08,-2.8e+07,-7.2e+07,8.9e+07,-2e+06,-4e+06,8.7e+07,8.7e+07,-1.8e+07,6.9e+07,6.9e+07,6.9e+07,6.9e+07,6.63e+08,6.63e+08,2.6e+07,2.6e+07,9.26e+08,2.56e+08,1.01e+09,1.29e+08,7.6e+08,9.3e+07,1.266e+09,2.192e+09,3.8e+08,2.2e+07,3.58e+08,7.3e+07,7.3e+07,4.53e+08,2.97e+08,2e+07,2.77e+08,2.97e+08,7.5e+08,1.01e+09,1.035e+09,1.442e+09,1.442e+09,2.192e+09,6.9e+07,2.8e+07,2.4e+07,2.9e+07,-1.07e+08,-1.07e+08,1.4e+07,-1.4e+07,-1.4e+07,-1.3e+07,-2e+06,-1e+06,-3e+06,-2000000.00000001,-2000000.00000001,-3e+06,-4999999.99999999,1.17e+08,0,1.4e+07,0.94978,0.19432,0.15066,0.04785,0.03148,0.202900000000001,2.04415,0.52011,0,0.50155,0.49106,3.32912,10.48163,0.10176,0.03968,0.00805,-5.66667,-7.44944
"29","2019_Q1",48.7727868852459,"Down",3.46e+08,-1.9e+07,3.27e+08,-3.04e+08,-2.05e+08,-3.1e+07,-6.8e+07,2.3e+07,0,5e+06,2.3e+07,2.3e+07,-1.5e+07,8e+06,8e+06,8e+06,8e+06,6.7e+08,6.55e+08,3.3e+07,3.3e+07,9.15e+08,2.53e+08,9.99e+08,1.18e+08,7.56e+08,9.8e+07,1.252e+09,2.167e+09,3.3e+08,1.5e+07,3.15e+08,6.3e+07,6.3e+07,3.93e+08,3.03e+08,2.1e+07,2.82e+08,3.03e+08,6.96e+08,1.037e+09,1.043e+09,1.471e+09,1.471e+09,2.167e+09,8e+06,3.1e+07,3.7e+07,2.8e+07,-4.5e+07,-4.5e+07,3.1e+07,-1.6e+07,-1.6e+07,-3.1e+07,2e+06,-7e+06,-2e+06,-2e+06,-2e+06,-4e+06,-6e+06,5.4e+07,0,8e+06,0.94509,0.06647,0.02312,0.00544,0.00369,1,2.32824,0.47315,0,0.05808,0.05672,2.51185,10.679,0.05808,0.00451,0.00451,-12.40741,-29.13043
"30","2019_Q2",43.39,"Down",3.76e+08,-2.1e+07,3.55e+08,-3.24e+08,-2.2e+08,-3.1e+07,-7.3e+07,3.1e+07,2e+06,-2e+06,3.3e+07,3.3e+07,-7e+06,2.6e+07,2.6e+07,2.6e+07,2.6e+07,8.11e+08,7.71e+08,3.5e+07,3.5e+07,1.082e+09,2.57e+08,1.056e+09,1.09e+08,7.54e+08,1.73e+08,1.313e+09,2.395e+09,4.29e+08,1.1e+07,4.18e+08,1.01e+08,1.01e+08,5.3e+08,3.58e+08,2.2e+07,3.36e+08,3.58e+08,8.88e+08,1.046e+09,1.072e+09,1.507e+09,1.507e+09,2.395e+09,2.6e+07,3.1e+07,4.1e+07,2.7e+07,8.4e+07,8.4e+07,1.82e+08,-1.7e+07,-1.7e+07,-4.2e+07,-2.3e+07,-1e+06,-2.4e+07,1.16e+08,1.16e+08,-1522146.16724467,1.16e+08,6.2e+07,0,1.36e+08,0.94415,0.08245,0.06915,0.01725,0.01086,5.23077,2.04151,0.58925,0,0.18784,0.18405,2.71643,10.88739,0.98254,0.01394,0.07292,-13.08065,-26.16129
"31","2019_Q3",37.090625,"Down",4.22e+08,-2.7e+07,3.95e+08,-3.3e+08,-2.25e+08,-3e+07,-7.5e+07,6.5e+07,3e+06,-1e+06,6.8e+07,6.8e+07,-3.4e+07,3.4e+07,3.4e+07,3.4e+07,3.4e+07,9.66e+08,9.01e+08,3.5e+07,3.5e+07,1.271e+09,2.62e+08,1.033e+09,1.02e+08,7.54e+08,1.76e+08,1.295e+09,2.566e+09,5.4e+08,1.3e+07,5.27e+08,9.8e+07,9.8e+07,6.38e+08,3.53e+08,1.2e+07,3.41e+08,3.53e+08,9.91e+08,1.081e+09,1.106e+09,1.575e+09,1.575e+09,2.566e+09,3.4e+07,3e+07,4.2e+07,3.3e+07,7.5e+07,7.5e+07,1.81e+08,-2.1e+07,-2.1e+07,-4.5e+07,2.3e+07,-2.8e+07,-4e+06,1.32e+08,1.32e+08,-2e+06,1.3e+08,9.5e+07,0,1.83e+08,0.93602,0.15403,0.08057,0.02159,0.01325,5.38235,1.99216,0.62921,0,0.24358,0.2416,3.02329,11.28361,1.31105,0.01763,0.09492,-10.16842,-14.86154
"32","2019_Q4",31.41421875,"Down",4.27e+08,-2.5e+07,4.02e+08,-3.34e+08,-2.27e+08,-3.1e+07,-7.6e+07,6.8e+07,4e+06,1.2e+07,7.2e+07,7.2e+07,-2.2e+07,5e+07,5e+07,5e+07,5e+07,9.33e+08,8.38e+08,3e+07,3e+07,1.181e+09,2.65e+08,1.022e+09,9.2e+07,7.46e+08,1.82e+08,1.287e+09,2.468e+09,3.96e+08,1.6e+07,3.8e+08,7.2e+07,7.2e+07,4.68e+08,3.52e+08,8e+06,3.44e+08,3.52e+08,8.2e+08,1.114e+09,1.156e+09,1.648e+09,1.648e+09,2.468e+09,5e+07,3.1e+07,4.6e+07,3.1e+07,-1.26e+08,-1.26e+08,1e+06,-2.2e+07,-2.2e+07,-5.3e+07,-193328571.33823,-3000000.00000001,-1999999.99999997,-5.4e+07,-5.4e+07,-9e+06,-6.3e+07,9.9e+07,1.86264514923096e-09,-27000000.0000001,0.94145,0.15925,0.1171,0.03034,0.02026,-0.54,2.5235,0.49757,-8.67361737988404e-19,0.35971,0.35461,3.07194,11.85612,-0.19424,0.025,-0.0135,-9.42424,-13.72059
"33","2020_Q1",25.3304838709677,"Down",3.35e+08,-2.1e+07,3.14e+08,-2.9e+08,-1.87e+08,-3.4e+07,-6.9e+07,2.4e+07,-2e+06,1e+06,2.2e+07,2.1e+07,-5e+06,1.6e+07,1.6e+07,1.6e+07,1.6e+07,3.19e+08,3.19e+08,3.1e+07,2.7e+07,5.33e+08,2.7e+08,1.126e+09,1.1e+08,8.4e+08,1.69e+08,1.451e+09,1.984e+09,3.73e+08,1.1e+07,3.62e+08,6.2e+07,6.2e+07,4.35e+08,3.1e+08,8e+06,3.02e+08,3.88e+08,8.23e+08,1.15e+09,6.81e+08,1.161e+09,1.161e+09,1.984e+09,1.6e+07,3.4e+07,9e+06,3.3e+07,1e+06,-2.1e+07,6e+07,-2.3e+07,-2.3e+07,-3.6e+07,-4999999.99999988,3e+06,-5.5e+08,-5.26e+08,-5.26e+08,7e+06,-5.19e+08,5.8e+07,7.8e+07,4.1e+07,0.93731,0.07164,0.04776,0.01378,0.00806,2.5625,1.22529,0.70887,0.03931,0.11511,0.11348,2.41007,8.35252,0.29496,0.32537,0.02647,-4.15517,-10.04167
"34","2020_Q2",19.1077777777778,"Down",2.78e+08,-1.9e+07,2.59e+08,-2.77e+08,-1.76e+08,-3.2e+07,-6.9e+07,-1.8e+07,0,-999999.999999999,-1.8e+07,-2.7e+07,1.1e+07,-1.6e+07,-1.6e+07,-1.6e+07,-1.6e+07,7.98e+08,7.98e+08,5.5e+07,2.9e+07,1.012e+09,2.68e+08,1.093e+09,1.01e+08,8.26e+08,1.59e+08,1.415e+09,2.427e+09,2.51e+08,3.4e+07,2.17e+08,6e+07,6e+07,3.11e+08,3.89e+08,1.6e+07,3.73e+08,1.089e+09,1.4e+09,1.167e+09,6.62e+08,1.027e+09,1.027e+09,2.427e+09,-1.6e+07,3.2e+07,3.8e+07,2.6e+07,-1.24e+08,-1.17e+08,-7e+07,-2e+07,-2e+07,-2e+07,7e+08,-1.5e+07,5.7e+08,4.8e+08,4.8e+08,-1e+06,4.79e+08,1.4e+07,7e+08,-1.41e+08,0.93165,-0.0647500000000001,-0.0575500000000001,-0.01558,-0.00659,8.8125,3.25402,1.36319,0.28842,-0.11765,-0.11765,2.04412,7.55147,-1.03676,-0.00756000000000001,-0.06664,-7,5.44444
"35","2020_Q3",21.005625,"Up",5.9e+07,-1e+07,4.9e+07,-1.8e+08,-9.7e+07,-3.2e+07,-5.1e+07,-1.31e+08,-1.6e+07,-6e+06,-1.47e+08,-1.8e+08,2.7e+07,-1.53e+08,-1.53e+08,-1.53e+08,-1.53e+08,6.98e+08,6.98e+08,8.1e+07,2.6e+07,8.53e+08,2.59e+08,1.096e+09,9.5e+07,8.37e+08,1.58e+08,1.396e+09,2.249e+09,2.11e+08,1.3e+07,1.98e+08,3.8e+07,3.8e+07,2.49e+08,3.88e+08,1.3e+07,3.75e+08,1.088e+09,1.337e+09,1.193e+09,5.09e+08,9.12e+08,9.12e+08,2.249e+09,-1.53e+08,3.2e+07,4.3e+07,2.5e+07,0,-5.6e+07,-7.8e+07,-1.6e+07,-1.6e+07,-1.4e+07,2.38418579101562e-07,-9e+06,-9e+06,-1.01e+08,-1.01e+08,1e+06,-1e+08,-9.9e+07,7e+08,-1.42e+08,0.83051,-2.22034,-2.59322,-0.16776,-0.06803,0.9281,3.4257,1.46601,0.31125,-1.14179,-1.14179,0.4403,6.80597,-1.0597,-0.0765,-0.071,-0.0202,-0.01527
"36","2020_Q4",24.07359375,"Up",1.51e+08,-1.3e+07,1.38e+08,-1.81e+08,-1.05e+08,-3e+07,-4.6e+07,-4.3e+07,-1.2e+07,-1.2e+07,-5.5e+07,-5.8e+07,1e+07,-4.8e+07,-4.8e+07,-4.8e+07,-4.8e+07,4.46e+08,4.46e+08,7.6e+07,2.6e+07,6.13e+08,2.5e+08,1.093e+09,9.1e+07,8.43e+08,1.54e+08,1.383e+09,1.996e+09,2e+08,1.4e+07,1.86e+08,3.1e+07,3.1e+07,2.31e+08,3.67e+08,1e+07,3.57e+08,8.57e+08,1.088e+09,1.224e+09,4.61e+08,9.08e+08,9.08e+08,1.996e+09,-4.8e+07,3e+07,3.6e+07,2.9e+07,-5e+07,-4e+07,-3.2e+07,-1e+07,-1e+07,-1.2e+07,-2e+08,-1.2e+07,-2.12e+08,-2.56e+08,-2.56e+08,4e+06,-2.52e+08,-1.3e+07,4.9e+08,-8.3e+07,0.91391,-0.28477,-0.31788,-0.05286,-0.02405,1.72917,2.65368,1.19824,0.24549,-0.35556,-0.35556,1.11852,6.72593,-0.61481,-0.0272,-0.04703,-3.38462,-1.02326
"37","2021_Q1",42.8996721311475,"Up",1.16e+08,-1.3e+07,1.03e+08,-1.96e+08,-1.11e+08,-3.1e+07,-5.4e+07,-9.3e+07,-1.2e+07,-1.3e+07,-1.05e+08,-1.04e+08,3.2e+07,-7.2e+07,-7.2e+07,-7.2e+07,-7.2e+07,4.18e+08,4.18e+08,7.2e+07,2.2e+07,5.73e+08,2.4e+08,1.116e+09,8.6e+07,8.62e+08,1.58e+08,1.396e+09,1.969e+09,2.14e+08,1.8e+07,1.96e+08,2.8e+07,2.8e+07,2.42e+08,2.79e+08,1e+07,2.69e+08,8.41e+08,1.083e+09,1.253e+09,3.89e+08,8.86e+08,8.86e+08,1.969e+09,-7.2e+07,3.1e+07,2.8e+07,29163516.4470321,-1e+06,-78917631.2943372,-1.4e+07,-9e+06,-7636662.05634388,-1e+07,-1e+07,2e+06,-8e+06,-3.2e+07,-3.2e+07,4e+06,-2.8e+07,-6.2e+07,5.62e+08,-1.04e+08,0.88793,-0.80172,-0.62069,-0.08126,-0.03657,1.44444,2.36777,1.22235,0.28542,-0.53333,-0.53333,0.85926,6.56296,-0.77037,-0.04169,-0.06022,-2.32258,-1.54839
"38","2021_Q2",45.1604761904762,"Up",1.23e+08,-1.2e+07,1.11e+08,-1.95e+08,-1.11e+08,-2.9e+07,-5.5e+07,-8.4e+07,-1.2e+07,-1.1e+07,-9.6e+07,-9.6e+07,1.6e+07,-8e+07,-8e+07,-8e+07,-8e+07,6.74e+08,6.74e+08,1.71e+08,2.4e+07,8.45e+08,2.29e+08,1.119e+09,8e+07,8.52e+08,1.54e+08,1.387e+09,2.232e+09,2.39e+08,1.3e+07,2.26e+08,3.8e+07,3.8e+07,2.77e+08,2.69e+08,2e+06,2.67e+08,1.17e+09,1.447e+09,1.244e+09,3.09e+08,7.85e+08,7.85e+08,2.232e+09,-8e+07,2.9e+07,1.3e+07,2.9e+07,1.9e+07,4e+06,-1.9e+07,-1e+07,-1e+07,-1e+07,3.4e+08,-6e+07,2.87e+08,2.58e+08,2.58e+08,-2e+06,2.56e+08,-5.5e+07,9.01e+08,-6.2e+07,0.90244,-0.68293,-0.65041,-0.10191,-0.03584,0.775000000000001,3.05054,1.84331,0.40367,-0.58824,-0.58824,0.90441,5.77206,-0.45588,-0.04092,-0.03171,-4.12727,-2.70238
"39","2021_Q3",35.86203125,"Down",2.35e+08,-1.9e+07,2.16e+08,-2.51e+08,-1.69e+08,-2.8e+07,-5.4e+07,-3.5e+07,-1e+07,-1.1e+07,-4.5e+07,-4.5e+07,5e+06,-4e+07,-4e+07,-4e+07,-4e+07,7.75e+08,7.75e+08,2.31e+08,2.5e+07,1.006e+09,2.25e+08,1.118e+09,7.4e+07,8.55e+08,1.5e+08,1.381e+09,2.387e+09,3.95e+08,1.5e+07,3.8e+08,4.9e+07,4.9e+07,4.44e+08,2.64e+08,2e+06,2.62e+08,1.164e+09,1.608e+09,1.275e+09,2.69e+08,7.79e+08,7.79e+08,2.387e+09,-4e+07,2.8e+07,3e+07,3.2e+07,1.07e+08,1.61e+08,1.25e+08,-1.5e+07,-1.5e+07,-1.6e+07,0,-7e+06,-6e+06,1.03e+08,1.03e+08,-2e+06,1.01e+08,-7e+06,9e+08,8e+07,0.91915,-0.14894,-0.17021,-0.05135,-0.01676,-2,2.26577,2.06418,0.37704,-0.29412,-0.29412,1.72794,5.72794,0.58824,-0.02059,0.04117,-17.85714,-3.57143
"40","2021_Q4",30.6434375,"Down",3.03e+08,-2.3e+07,2.8e+08,-2.64e+08,-1.85e+08,-2.7e+07,-5.2e+07,1.6e+07,-1.3e+07,-1.2e+07,3e+06,2999999.99999999,-2e+06,1e+06,1e+06,1e+06,1e+06,6.82e+08,6.82e+08,2.78e+08,2.8e+07,9.6e+08,2.2e+08,1.094e+09,6.9e+07,8.46e+08,1.42e+08,1.352e+09,2.312e+09,3.24e+08,2.2e+07,3.02e+08,3.9e+07,3.9e+07,3.63e+08,2.57e+08,2e+06,2.55e+08,1.155e+09,1.518e+09,1.297e+09,2.7e+08,7.94e+08,7.94e+08,2.312e+09,1e+06,2.8e+07,3.1e+07,30917955.3461438,-1.23e+08,-1.65e+08,-6.3e+07,-1.5e+07,-16923492.8133858,-1.5e+07,0,-1.2e+07,-1.2e+07,-9e+07,-9e+07,-3e+06,-9.3e+07,4.4e+07,8.98e+08,-9.2e+07,0.92409,0.05281,0.00329999999999997,0.00126,0.00043,-92,2.64463,1.91184,0.38841,0.00729999999999992,0.00729999999999997,2.21168,5.79562,-0.67153,0.00051,-0.0472,4.90909,13.5
"41","2022_Q1",26.655,"Down",2.41e+08,-2e+07,2.21e+08,-2.49e+08,-1.71e+08,-2.7e+07,-5.1e+07,-2.8e+07,-1.9e+07,-1e+07,-4.7e+07,-4.7e+07,1.8e+07,-2.9e+07,-2.9e+07,-2.9e+07,-2.9e+07,7.23e+08,7.23e+08,7.5e+07,2.6e+07,9.4e+08,2.15e+08,1.098e+09,6.5e+07,8.43e+08,1.36e+08,1.349e+09,2.289e+09,3.21e+08,2.7e+07,2.94e+08,3.6e+07,3.6e+07,3.57e+08,2.45e+08,1e+06,2.44e+08,1.143e+09,1.5e+09,1.326e+09,2.41e+08,7.89e+08,7.89e+08,2.289e+09,-2.9e+07,2.6e+07,2.4e+07,26420517.0384551,4.4e+07,-213353456.987189,6.5e+07,-1.4e+07,-15933131.7903364,-1.3e+07,-1.49011611938477e-08,-6e+06,-6e+06,4.6e+07,4.6e+07,-5e+06,4.1e+07,-2e+06,8.98e+08,1e+07,0.91701,-0.11618,-0.12033,-0.03676,-0.01267,-0.34483,2.63305,1.90114,0.39231,-0.20567,-0.17576,1.70922,5.59574,0.07092,-0.01501,0.00518,-87.5,-6.25
"42","2022_Q2",23.7114516129032,"Down",2.62e+08,-2.2e+07,2.4e+08,-2.6e+08,-1.81e+08,-2.5e+07,-5.4e+07,-2e+07,-1.3e+07,-1.2e+07,-3.3e+07,-3.3e+07,-1e+06,-3.4e+07,-3.4e+07,-3.4e+07,-3.4e+07,7.81e+08,7.81e+08,2.62e+08,3.3e+07,1.043e+09,2.09e+08,1.084e+09,6.2e+07,8.39e+08,1.29e+08,1.329e+09,2.372e+09,4.08e+08,1.2e+07,3.96e+08,5.9e+07,5.9e+07,4.67e+08,2.41e+08,1e+06,2.4e+08,1.138e+09,1.605e+09,1.342e+09,2.07e+08,7.67e+08,7.67e+08,2.372e+09,-3.4e+07,2.5e+07,2.6e+07,2.2e+07,6.9e+07,27999999.9999999,8.6e+07,-1.4e+07,-1.4e+07,-1.4e+07,-449414603.890939,-1e+07,-1e+07,6.2e+07,6.2e+07,-4e+06,5.8e+07,5e+06,8.97e+08,6.1e+07,0.91603,-0.07634,-0.12977,-0.04433,-0.01433,-1.79411999999999,2.2334,2.09257,0.37816,-0.24638,-0.24638,1.89855,5.55797,0.44203,-0.01785,0.03202,23.2,-5.8
"43","2022_Q3",22.40546875,"Down",4.17e+08,-3.1e+07,3.86e+08,-3.22e+08,-2.44e+08,-2.5e+07,-5.3e+07,6.4e+07,-1e+07,-1.1e+07,5.4e+07,5.4e+07,-2.3e+07,3.1e+07,3.1e+07,3.1e+07,3.1e+07,1.045e+09,1.045e+09,2.92e+08,3.4e+07,1.337e+09,2.01e+08,1.039e+09,5.8e+07,8.2e+08,1.21e+08,1.275e+09,2.612e+09,5.86e+08,5e+07,5.36e+08,7e+07,7e+07,6.56e+08,2.64e+08,1e+06,2.63e+08,1.16e+09,1.816e+09,1.364e+09,2.38e+08,7.96e+08,7.96e+08,2.612e+09,3.1e+07,2.5e+07,3.6e+07,2.1e+07,2.02e+08,2.95e+08,2.94e+08,-1.3e+07,-1.3e+07,-1.2e+07,-1688243811.67282,-3e+06,-3e+06,2.79e+08,2.79e+08,-1.5e+07,2.64e+08,8.9e+07,8.96e+08,3.01e+08,0.92566,0.15348,0.07434,0.03894,0.01187,9.70968,2.03811,2.28141,0.34303,0.22143,0.21379,2.97857,5.68571,2.15,0.01585,0.15389,-1.67416,-2.32812
