"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"39","2020_Q2",12.7912698412698,"Down",3322914,-1389331,1933583,-623007,1310576,44067,44067,1354643,998048,-207741,790307,790307,790307,790307,8845479,790190,8055289,2105428,2105428,1362787,227872,227872,12541566,744942,7391573,-6646631,756060,13297626,1571578,32085,1271108,1571578,302843,302843,302843,1874421,459432,10963773,11423205,11423205,13297626,790307,40519,271591,184878,1287295,-1048,-1544368,-1545416,-258121,-258121,-258121,1351095,0,1742666,0.58189,0.39441,0.23784,0.06918,0.05943,2.20505,7.98024,0.16409,0,0.17202,0.17202,0.72327,2.48638,0.37931,0.0674,0.14861,-6.5469,-6.74931
"40","2020_Q3",12.983125,"Up",2954644,-1270434,1684210,-620201,1064009,48319,48319,1112328,1499507,-312896,1186611,1186611,1186611,1186611,9197925,2207019,6990906,1171815,1171815,1523392,219510,219510,12112642,710021,7393521,-6683500,717433,12830075,2025027,95493,1469612,2025027,124846,124846,124846,2149873,459432,10220770,10680202,10680202,12830075,1186611,40575,-565176,1234174,1896184,-1948,1451562,1449614,1416829,1416829,1416829,1104584,0,2649706,0.57002,0.36011,0.40161,0.1111,0.09249,2.233,5.98147,0.2013,0,0.25828,0.25828,0.64311,2.32465,0.57674,0.28834,0.24523,-8.32705,-8.64459
"41","2020_Q4",12.80734375,"Down",2336360,-974763,1361597,-608040,753557,38932,38932,792489,905737,-188205,717532,717532,717532,717532,9026957,885060,8141897,1283595,1283595,1544819,292612,166281,12147983,695593,7415962,-6720369,699299,12847282,1217820,40925,1158359,1217820,231728,231728,231728,1449548,459432,10938302,11397734,11397734,12847282,717532,40575,-6366,-1013516,-261775,-22441,-1037743,-1060184,-1321959,-1321959,-1321959,794132,0,-53620,0.58279,0.32253,0.30712,0.06295,0.05585,-0.07473,9.97519,0.12718,0,0.15618,0.15618,0.50853,2.48083,-0.01167,0.0617,-0.00461,-11.36707,-11.97913
"42","2021_Q1",12.7775409836066,"Down",2372163,-1237807,1134356,-626328,508028,94927,94927,602955,757708,-147180,610528,610528,610528,610528,8182825,591444,7591381,1387698,1387698,1415773,260315,161208,11246611,673665,7433920,-6760255,673665,11920276,1414285,31800,1363457,1414285,151684,151684,151684,1565969,459432,9894875,10354307,10354307,11920276,610528,43592,-240966,259382,672536,-17958,705268,687310,-293616,-293616,-293616,551620,0,940224,0.47819,0.21416,0.25737,0.05896,0.05122,1.54002,7.95215,0.15124,0,0.13289,0.13289,0.51633,2.25372,0.20465,0.2155,0.08949,-14.83417,-16.10704
"43","2021_Q2",13.9074603174603,"Up",3430868,-1361013,2069855,-545413,1524442,39760,39760,1564202,1492155,-310953,1181202,1181202,1181202,1181202,9072828,862049,8210779,1903737,1903737,1332835,343744,293597,12653144,666921,7462076,-6795155,666921,13320065,1570879,57704,1494147,1570879,213677,213677,213677,1784556,459432,11076077,11535509,11535509,13320065,1181202,34900,139315,-365211,990206,-28156,-691445,-719601,270605,270605,270605,1559342,0,1476928,0.6033,0.44433,0.34429,0.1024,0.08868,1.25036,8.05482,0.1547,0,0.2571,0.2571,0.74676,2.51082,0.32147,0.10053,0.1257,-5.81837,-5.95157
"44","2021_Q3",13.9525,"Up",3657978,-1499390,2158588,-643037,1515551,45640,45640,1561191,1698765,-354241,1344524,1344524,1344524,1344524,8622286,744461,7877825,1965015,1965015,918286,278326,194959,11783913,642398,7472678,-6830280,642398,12426311,1450413,26003,1404725,1450413,301138,301138,301138,1751551,459432,10215328,10674760,10674760,12426311,1344524,35125,-45710.0000000001,293163,1627102,-10602,470528,459926,-117588,-117588,-117588,1550676,0,2187478,0.5901,0.41431,0.36756,0.12595,0.1082,1.62695,8.12452,0.16408,0,0.29265,0.29265,0.7962,2.32347,0.47613,0.32336,0.1993,-5.56034,-5.68921
"45","2021_Q4",14.0321875,"Up",3179746,-1320509,1859237,-589324,1269913,38747,38747,1308660,1283552,-267046,1016506,1016506,1016506,1016506,9585375,691921,8893454,1930183,1930183,1287234,159361,159361,12962153,663533,7494082,-6830549,663533,13625686,1707217,87158,1542760,1707217,227203,227203,227203,1934420,459432,11231834,11691266,11691266,13625686,1016506,36903,-60025,38052,1031436,-43239,-1040737,-1083976,-52540,-52540,-52540,1306816,0,1568675,0.58471,0.39938,0.31968,0.08695,0.0746,1.5432,7.59256,0.16546,0,0.22125,0.22125,0.6921,2.54472,0.34144,0.08529,0.13162,-7.33491,-7.54806
"46","2022_Q1",17.7709677419355,"Up",3661037,-1567019,2094018,-736838,1357180,109710,109710,1466890,1403453,-287143,1116310,1116310,1116310,1116310,8166676,531213,7635463,1813346,1813346,1410789,192579,192579,11583390,658862,7528460,-6869598,658862,12242252,2147597,410894,1627390,2337761,83222,83222,83222,2420983,459432,9361837,9821269,9821269,12242252,1116310,39049,-87588,596762,1664533,-34378,1194554,1160176,-160708,-160708,-160708,1396229,0,2245756,0.57197,0.37071,0.30492,0.11366,0.09119,2.01177,4.95491,0.2465,0,0.24298,0.24298,0.79686,2.1377,0.48881,0.41413,0.22674,-5.84909,-6.01739
"47","2022_Q2",19.0412903225806,"Up",3892358,-1710117,2182241,-678415,1503826,40550,40550,1544376,1150716,-239251,911465,911465,911465,911465,7795591,511500,7284091,2550822,2550822,1497640,467588,255922,12311641,629446,7533300,-6903854,629446,12941087,1921922,367815,1533532,2010476,197877,197877,197877,2208353,459432,10273302,10732734,10732734,12941087,911465,34256,515118,-1433424,27415,-4840,-42288,-47128,-19713,-19713,-19713,1538082,0,339069,0.56065,0.38635,0.23417,0.08492,0.07043,0.372,6.12374,0.20576,0,0.19839,0.19839,0.84721,2.33609,0.0738,0.08339,0.03102,-5.06838,-5.18384
"48","2022_Q3",14.28109375,"Down",3626177,-1693753,1932424,-732495,1199929,58860,58860,1258789,798511,-165187,633324,633324,633324,633324,6765654,355572,6410082,2106537,2106537,1728204,478406,247001,11078801,602644,7540753,-6938109,602644,11681445,1983382,416442,1545858,1983382,31903,31903,31903,2015285,459432,9206728,9666160,9666160,11681445,633324,34255,295647,173960,1137186,-7453,413731,406278,-155928,-155928,-155928,1234184,0,1565878,0.53291,0.33091,0.17465,0.06552,0.05422,2.47248,5.58581,0.20849,0,0.13785,0.13785,0.78927,2.10394,0.34083,0.24053,0.16146,-5.48188,-5.63838
