"","YQ","p","d","revenue","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"38","2020_Q1",81.1851612903226,"Down",295575000,-321239000,-264237000,-43223000,-96080000,-148168000,-151281000,3113000,-244248000,-244248000,-51124000,-51124000,-51124000,-51124000,323655000,177254000,146401000,38195000,38195000,553936000,455325000,2951832000,3505768000,219302000,25973000,193329000,16358000,236494000,827637000,153576000,153576000,981213000,1217707000,3407917000,-1119756000,-1e+05,2288061000,2288061000,3505768000,-51124000,26071000,8181000,-8429000.00000001,-25301000,-41684000,177886000,-838129000,6657000,6657000,6624000,-856806000,-856806000,-856806000,-70009000,828471000,-0.32506,-0.17296,-0.02234,-0.01458,2.34228,0.5322,0.23632,-0.36518,-0.36518,2.11131,16.34376,-0.01563,-7.21073,-5.25412
"39","2020_Q2",79.896507936508,"Down",347821000,-348588000,-281740000,-43509000,-82373000,-54507000,-54604000,97000,-136880000,-136880000,-134643000,-134643000,-134643000,-134643000,1231116000,701054000,530062000,43732000,43732000,1484318000,465476000,2976807000,4461125000,204644000,38048000,166596000,14372000,243581000,1514306000,165585000,165585000,1679891000,1923472000,3764823000,-1225453000,-1717000,2537653000,2537653000,4461125000,-134643000,16006000,105554000,-36744000,-49827000,-13048000,-386025000,-405847000,4300000,4300000,979480000,523806000,523806000,523806000,-66367000,1538871000,-0.23683,-0.3871,-0.05306,-0.03018,6.09373,0.75797,0.34495,-0.90882,-0.90882,2.34775,17.12883,-0.03174,-4.63717,-3.73611
"40","2020_Q3",86.359375,"Up",268868000,-281650000,-225547000,-32673000,-67009000,-1388000.00000001,-4299999.99999999,2912000,-68397000,-68397000,-68092000,-68092000,-68092000,-68092000,1222657000,703926000,518731000,36378000,36378000,1504858000,463437000,2962877000,4467735000,170503000,30998000,139505000,50452000,222274000,1557327000,176941000,176941000,1734268000,1956542000,3821299000,-1311595000,1489000,2511193000,2511193000,4467735000,-68092000,17626000,66782000,-23186000,-6870000.00000001,-21196000,14422999.9999999,-6379999.99999988,16437000,16437000,16124000,2874000,2874000,2874000,-49383000,1558646000,-0.24923,-0.25325,-0.02712,-0.01524,6.77028,0.77913,0.34887,-0.45478,-0.45478,1.79575,16.77204,-0.01603,-6.80374,-5.01409
"41","2020_Q4",120.93203125,"Up",408363000,-306971000,-252070000,-31471000,6331000,-1955000,-4478000,2523000,4376000,-205290000,-202538000,-202538000,-202538000,-202538000,1283002000,806678000,476324000,36592000,36592000,1606627000,456455000,2747743000,4354370000,209006000,26061000,182945000,42507000,252832000,1577610000,186828000,186828000,1764438000,2017270000,3867495000,-1531479000,1084000,2337100000,2337100000,4354370000,-202538000,89912000,205231000,-10830000,81775000,-14127000,30887000,16828000,4470000,4470000,4158000,102761000,102761000,102761000,96243000,1578929000,0.0155,-0.49598,-0.08666,-0.04651,6.35452,0.86315,0.36261,-1.3488,-1.3488,2.71948,15.56386,-0.04937,3.07479,46.74254
"42","2021_Q1",136.882950819672,"Up",466339000,-781553000,-311955000,-446399000,-414979000,-3517000,-4559000,1042000,-418496000,-418496000,-418332000,-418332000,-418332000,-418332000,1839987000,1491288000,348699000,33157000,33157000,2198594000,451986000,2726498000,4925092000,269313000,35709000,233604000,49748000,633095000,1884027000,172417000,172417000,2056444000,2689539000,4280922000,-2045895000,526000,2235553000,2235553000,4925092000,-418332000,39818000,461427000,28491000,111404000,-16707000,121490000,-306638000,881926000,881926000,879859000,684625000,684625000,684625000,-375161000,2198061000,-0.88987,-0.89706,-0.18713,-0.08494,3.47277,1.20308,0.4463,-2.67288,-2.67288,2.97961,14.28377,-0.09082,-0.954450000000001,-0.862869999999987
"43","2021_Q2",119.349682539683,"Down",402077000,-592625000,-453868000,-115567000,-300541000,26572000,-4616000,31188000,-273969000,-273969000,-31164000,-31164000,-31164000,-31164000,1377967000,1103816000,274151000,52167000,52167000,1775302000,482736000,4959215000,6734517000,248847000,34704000,214143000,65916000,628914000,1885033000,571575000,571575000,2456608000,3085522000,5725691000,-2077060000,364000,3648995000,3648995000,6734517000,-31164000,43698000,-52094000,-37667000,-77227000,-12920000,63797000,-317512000,8759000,8759000,7245000,-387494000,-387494000,-387494000,-256843000,2199184000,-0.74747,-0.07751,-0.00854,-0.00463,2.82281,0.84558,0.32655,-0.18393,-0.18393,2.37306,21.53638,-0.00485,-3.19735,-2.73246
"44","2021_Q3",105.583125,"Down",434819000,-492515000,-362456000,-106235000,-171664000,-1223000,-4652000,3429000,-172887000,-172887000,-176912000,-176912000,-176912000,-176912000,1307579000,363715000,943864000,45284000,45284000,1669211000,501908000,5055123000,6724334000,302589000,36592000,265997000,58829000,675698000,1886052000,603483000,603483000,2489535000,3165233000,5813006000,-2253972000,67000,3559101000,3559101000,6724334000,-176912000,45323000,101048000,70878000,40337000,-24584000,-663706000,-793767000,14896000,14896000,13342000,-740088000,-740088000,-740088000,-126341000,2200332000,-0.39479,-0.40686,-0.04971,-0.02631,2.47035,0.88933,0.32722,-1.04414,-1.04414,2.5663,21.00583,-0.0278,-7.06622,-5.20058
"45","2021_Q4",88.25421875,"Down",456379000,-482454000,-383158000,-75356000,-141813000,-8773000,-4680000,-4093000,-150586000,-170796000,-166938000,-166938000,-166938000,-166938000,1218467000,273779000,944688000,52385000,52385000,1615591000,524200000,5038845000,6654436000,346431000,41717000,304714000,49377000,710231000,1887085000,599530000,599530000,2486615000,3196846000,5878367000,-2420910000,133000,3457590000,3457590000,6654436000,-166938000,46200000,95928000,-15964000,-40774000,-38870000,3182000,-49243000,1755000,1755000,81000,-89936000,-89936000,-89936000,-95613000,2201508000,-0.31074,-0.36579,-0.04828,-0.02509,2.27474,0.92459,0.33083,-0.97069,-0.97069,2.65371,20.10484,-0.02667,-10.28146,-6.93195
"46","2022_Q1",73.0977419354839,"Down",473812000,-576204000,-463669000,-88488000,-221450000,-3404000,-4658000,1254000,-224854000,-224854000,-220611000,-220611000,-220611000,-220611000,1030476000,315471000,715005000,74122000,74122000,1426237000,580248000,5258647000,6684884000,466385000,67829000,398556000,50683000,517068000,2180232000,599948000,599948000,2780180000,3297248000,6030599000,-2641520000,-1443000,3387636000,3387636000,6684884000,-220611000,45125000,57052000,93862000,-24572000,-59392000,208955000,78436999.9999999,12097000,12097000,-12196000,41669000.0000001,41669000.0000001,41692000,-176325000,2180232000,-0.46738,-0.46561,-0.06512,-0.033,2.75832,0.97332,0.32614,-1.28279,-1.28279,2.75507,19.69808,-0.03577,-6.52066,-5.19194
"47","2022_Q2",53.4727419354839,"Down",486571000,-528853000,-401951000,-102248000,-176987000,-5965000,-4478000,-1487000,-182952000,-182952000,-180937000,-180937000,-180937000,-180937000,816980000,189776000,627204000,79575000,79575000,1215138000,622613000,5275399000,6490537000,432387000,66471000,365916000,48565000,480952000,2181680000,569694000,569694000,2751374000,3232326000,6087315000,-2822457000,-6647000,3258211000,3258211000,6490537000,-180937000,47647000,35539000,-76003000,-173754000,-33623000,79191000,45561000,4282000,4282000,2735000,-125458000,-125458000,-125695000,-129340000,2181680000,-0.36374,-0.37186,-0.05553,-0.02788,2.52653,0.99206,0.33613,-1.04924,-1.04924,2.82158,18.89409,-0.03011,-10.55126,-7.71074
"48","2022_Q3",41.22875,"Down",521640000,-530033000,-397594000,-106083000,-152993000,-8230000,-4511000,-3719000,-161223000,-167814000,-166063000,-166063000,-166063000,-166063000,728044000,213421000,514623000,71875000,71875000,1101633000,663653000,5335522000,6437155000,392386000,84167000,308219000,50945000,443331000,2233145000,551333000,551333000,2784478000,3227809000,6206511000,-2988520000,-8645000,3209346000,3209346000,6437155000,-166063000,51861000,52333000,953000,-60916000,-63326000,84342000,21659000,16272000,16272000,63412000,24155000,24155000,23645000,-101132000,2233145000,-0.29329,-0.31835,-0.05174,-0.0258,2.4849,1.00575,0.34691,-0.94159,-0.94159,2.95775,18.19729,-0.02771,-14.88254,-9.83771
