"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"36","2019_Q3",5.07609375,"Down",25798000,-20794000,5004000,-5150000,-4867000,-283000,-146000,-259000,-254000,-405000,-1637000,-1475000,-1209000,-1209000,-1209000,881000,864000,12783000,12783000,5781000,1624000,1624000,21069000,24324000,12458000,4662000,1745000,36782000,57851000,8988000,4584000,4404000,5821000,5821000,14809000,4516000,4395000,19830000,34639000,145708000,-5728000,-116768000,23212000,23212000,57851000,-1209000,1851000,507000,1404000,2553000,-5176000,-5176000,2612000,-23000,2589000,-34000,-34000,-34000,1705000,15314000,0.19397,-0.00566,-0.04686,-0.05209,-0.0209,1.42272,1.49229,0.26471,-0.59259,-0.59259,12.64484,11.37732,-0.02809,8.4651,-98.85616
"37","2019_Q4",3.5475,"Down",28333000,-23137000,5196000,-5347000,-4948000,-399000,-151000,-289000,-292000,-440000,-1502000,-1504000,-1504000,-1504000,-1610000,1500000,1479000,16643000,16643000,8179000,1999000,1999000,28321000,23401000,39639000,23723000,9975000,63040000,91361000,13923000,9480000,4443000,8254000,8254000,26165000,5226000,5105000,24368000,50533000,164828000,-5728000,-118272000,40828000,40828000,91361000,-1504000,1975000,-552000,-1052000,-1133000,440000,440000,-1488000,2833000,1345000,652000,652000,652000,1824000,23130000,0.18339,-0.00533,-0.05682,-0.03943,-0.01762,1.0824,1.2377,0.25317,-0.7869,-0.7869,13.848,19.95503,-0.02327,11.85855,-143.24503
"38","2020_Q1",3.29467741935484,"Down",-5109000,8088000.00000001,2979000,-1114000,-1250000,136000,1865000,48000,-19000,1913000,1865000,1896000,-257000,-257000,-747000,1747000,1747000,12916000,12916000,7029000,7856000,1605000,29548000,10286000,50726000,19023000,9978000,61012000,90560000,10630000,6462000,4168000,13512000,13512000,44476000,4647000,4636000,5387000,49863000,164954000,-5728000,-118529000,40697000,40697000,90560000,-257000,2440000,1602000,-2620000,1165000,5088000,-92000,-482000,-214000,-696000,377000,719000,719000,4305000,21074000,-0.58309,-0.36504,0.14621,-0.01836,-0.00825,0.66436,1.22523,0.23271,-0.36439,-0.36439,-2.4922,19.8522,-0.01125,4.48943,10.363
"39","2020_Q2",2.83428571428571,"Down",19190000,-15882000,3308000,-5439000,-4863000,-576000,-2131000,-145000,-305000,-2276000,-2341000,-2368000,-2953000,-2953000,-3437000,1423000,1423000,14933000,14933000,6617000,1603000,1603000,24576000,20762000,38469000,22087000,9978000,59231000,83807000,11426000,7623000,3803000,9736000,9736000,22373000,4806000,4763000,23581000,45954000,165063000,-5728000,-121482000,37853000,37853000,83807000,-2953000,2407000,941000,228000,623000,-135000,-135000,-640000,-317000,-957000,-469000,-577000,-577000,276000,19986000,0.17238,-0.11105,-0.1791,-0.0908,-0.04101,1.09847,1.21401,0.23848,-1.67251,-1.67251,9.3382,18.41995,-0.05486,67.25725,-8.71093
"40","2020_Q3",2.734375,"Down",14510000,-11270000,3240000,-4229000,-3670000,-559000,-989000,147000,-394000,-842000,-777000,-810999.999999999,-1287000,-1287000,-1771000,9111000,9111000,14523000,14523000,7638000,1629000,1629000,32901000,19210000,37168000,21286000,9978000,56378000,89279000,10211000,5807000,4404000,9590000,9590000,24260000,4215000,4126000,23339000,47599000,170177000,-5728000,-122769000,41680000,41680000,89279000,-1287000,2375000,822000,-2484000,-574000,-67000,-67000,3366000,-13000,8329000,7688000,7870000,7870000,1386000,23583000,0.22329,-0.06816,-0.12205,-0.04249,-0.01984,1.35618,1.14201,0.26415,-0.58276,-0.58276,4.7746,13.71504,-0.02549,10.44156,-14.63296
"41","2020_Q4",2.7815625,"Up",21318000,-17573000,3745000,-5089000,-4528000,-561000,-1344000,-239000,-309000,-1583000,-1583000,-1594000,-1760000,-1760000,-2234000,4267000,4267000,15751000,15751000,9e+06,2560000,2560000,31578000,18129000,36248000,20484000,9978000,54377000,85955000,10997000,7025000,3972000,9642000,9642000,24899000,4002000,3912000,20898000,45797000,170415000,-5728000,-124529000,40158000,40158000,85955000,-1760000,2373000,62000,-2604000,-1929000,-288000,-288000,-2743000,-3000,-2627000,-4844000,-4918000,-4918000,1029000,21156000,0.17567,-0.06305,-0.10479,-0.05563,-0.02599,1.26824,1.14042,0.24613,-0.47071,-0.47071,4.49178,8.46144,-0.0342,16.41302,-12.56622
"42","2021_Q1",3.46065573770492,"Up",23145000,-19190000,3955000,-6002000,-5574000,-428000,-2047000,-442000,-284000,-2489000,-455000,-512000,-457000,-457000,-931000,3225000,3225000,12975000,12975000,9787000,22949000,2193000,48936000,9762000,30761000,16900000,9542000,40523000,89459000,7991000,4952000,3039000,16640000,14456000,42993000,2837000,2786000,6537000,49530000,170643000,-5728000,-124986000,39929000,39929000,89459000,-457000,2262000,-1221000,-3657000,-3073000,-842000,-841999.999999999,3229000,-12000,3315000,-600000.000000002,-969000,-969000,215000,22062000,0.17088,-0.08844,-0.04022,-0.02332,-0.01041,1.13823,1.24045,0.24662,-0.19412,-0.19412,4.8259,8.32548,-0.01436,87.61395,-9.20225
"43","2021_Q2",2.8984126984127,"Down",22354000,-19212000,3142000,-5493000,-5055000,-438000,-2351000,-302000,-272000,-2653000,-586000,-588000,5432000,5432000,4953000,13175000,13175000,14886000,14886000,9838000,2906000,2906000,40805000,9383000,31203000,16362000,9405000,40586000,81391000,9410000,5535000,3875000,8593000,8593000,30551000,2893000,2842000,4860000,35411000,171262000,-5728000,-119554000,45980000,45980000,81391000,5432000,909000,-6026000,-2547000,-2232000,-435000,18315000,-6667000,-6000,-6180000,9903000,9950000,9950000,-1442000,14515000,0.14056,-0.10517,0.22157,0.10772,0.06085,1.33564,0.77014,0.17834,1.00753,1.00753,4.54719,9.35313,0.07814,-0.92926,-0.56997
"44","2021_Q3",2.984375,"Up",25806000,-24241000,1565000,-6013000,-5583000,-430000,-4448000,3909000,-2e+05,-539000,-1759000,-1791000,-1856000,-1856000,-2335000,6160000,6160000,14079000,14079000,12020000,2868000,2868000,35127000,9222000,31037000,15932000,9405000,40259000,75386000,8133000,5104000,3029000,6915000,6915000,28161000,3413000,3328000,3413000,31574000,170950000,-5728000,-121410000,43812000,43812000,75386000,-1856000,862000,-2642000,-1731000,-5367000,1e+05,-294000,-909000,-40000,-1354000,-7015000,-7015000,-7015000,-3586000,13113000,0.06064,-0.17236,-0.09048,-0.0533,-0.03097,1.24736,0.72067,0.17394,-0.47498,-0.46523,5.24939,8.91212,-0.03076,-1.93893,-1.56317
"45","2021_Q4",2.6028125,"Down",28859000,-25112000,3747000,-5631000,-5201000,-430000,-1884000,-257000,-260000,-2141000,-2141000,-2141000,-2141000,-2141000,-2620000,5572000,5572000,15928000,15928000,9980000,2863000,2863000,34343000,9130000,31414000,15502000,9405000,40544000,74887000,8220000,4592000,3628000,7353000,7353000,29599000,3970000,3885000,3970000,33569000,170597000,-5728000,-123551000,41318000,41318000,74887000,-2141000,860000,682000,22000,-577000,-264000,-227000,696000,0,217000,-587000,-634000,-634000,-1024000,14026000,0.12984,-0.06528,-0.09079,-0.06341,-0.03499,1.16028,0.81245,0.1873,-0.52202,-0.52202,5.74995,8.23232,-0.0361,-8.25586,-4.48726
"46","2022_Q1",1.41806451612903,"Down",29540000,-22527000,7013000,-7186000,-6756000,-430000,-173000,-5032000,-173000,-5205000,-4385000,-4411000,-4418000,-4418000,-4887000,4585000,4538000,15811000,15811000,8525000,2942000,2276000,31863000,8918000,27271000,15072000,6046000,36189000,68052000,10342000,4277000,6065000,4022000,1565000,27233000,4371000,4299000,5077000,32310000,150451000,-5728000,-127969000,35742000,35742000,68052000,-4418000,848000,5165000,131000,1726000,-57000,8000.00000000047,-1364000,2104000,-2658000,-924000,-878000,-878000,675000,13575000,0.23741,-0.00585999999999999,-0.16544,-0.13673,-0.07181,1.17001,0.90398,0.19948,-1.33561,-1.33561,8.07324,4.57885,-0.02658,13.31852,-51.96532
"47","2022_Q2",0.959354838709677,"Down",25049000,-20287000,4762000,-7218000,-6788000,-430000,-2456000,-295000,-190000,-2751000,-2751000,-3701000,-3701000,-3701000,-4180000,16217000,15035000,15910000,15910000,10287000,2362000,2362000,44776000,8853000,27562000,14642000,6046000,36415000,81191000,12416000,5196000,7220000,4971000,1996000,30721000,5380000,4382000,6019000,36740000,181849000,-5728000,-131670000,44451000,44451000,81191000,-3701000,901000,2094000,70000,-636000,-254000,-1310000,284000,-453000,12550000,10604000,10604000,10604000,-1555000,13973000,0.19011,-0.09805,-0.16687,-0.09404,-0.05148,1.4575,0.82653,0.1721,-0.32994,-0.32994,1.97719,3.50864,-0.05801,1.44309,0.91368
"48","2022_Q3",1.0209375,"Up",30718000,-24555000,6163000,-7297000,-6867000,-430000,-1134000,-769000,-289000,-1903000,-1903000,-1576000,-1576000,-1576000,-2055000,16207000,13657000,15208000,15208000,11217000,3519000,3519000,46151000,8764000,26733000,14212000,6046000,35497000,81648000,13950000,6244000,7706000,8436000,4114000,33954000,4678000,4011000,5226000,39180000,181442000,-5728000,-133246000,42468000,42468000,81648000,6405448.6426795,1063271.86757423,-18048392.6548842,1624772.09607438,-8954900.04855611,-2005398.50352775,-3260775.38480957,12803488.1163964,-14917174.8362359,69178133.6976714,56962458.2643058,56488238.6896786,56488238.6896786,-10457648.7095463,12116000,0.20063,-0.03692,-0.0669,-0.04839,-0.02517,1.35922,0.92258,0.14839,-0.13362,-0.13362,1.9974,2.76143,-0.03468,-114.428821778549,3.60758000000001
