"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","preferred_equity","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",202.37746031746,"Up",343236000,-231638000,111598000,-89589000,-76820000,-12769000,22009000,-122000,583000,21887000,4710000,-4574000,136000,136000,136000,136000,310205000,300614000,9591000,105090000,105090000,320341000,171065000,146471000,12105000,906701000,390526000,210607000,152338000,6687000,16390000,616273000,1522974000,195095000,44685000,150410000,195095000,111044000,11010000,100034000,186044000,381139000,0,609696000,-2000,535919000,-3778000,1141835000,1141835000,1522974000,136000,17606000,4702000,76295000,98739000,-26216000,-24743000,-50959000,14141000,10402000,10190000,57970000,57970000,1721000,59691000,39615000,7.5e+07,94268000,0.32513,0.06412,4e-04,0.00012,9e-05,693.14706,4.64748,0.3338,0.04925,0.00681,0.00644,17.17554,57.13746,4.71717,4,1e-04,0.07099,-5.93727,-10.68676
"32","2018_Q1",235.014754098361,"Up",370124000,-232634000,137490000,-91017000,-77141000,-13876000,46473000,-756000,-452000.000000001,45717000,39902000,9803000,49705000,49705000,49705000,49705000,300133000,290072000,10061000,112696000,112696000,288657000,163176000,41286000,10594000,864662000,398684000,219026000,143753000,12357000,24775000,632289000,1496951000,210292000,78228000,132064000,210292000,88405000,6079000,82326000,88405000,298697000,-1.11022302462516e-16,627589000,0,585624000,-14959000,1198254000,1198254000,1496951000,49705000,19057000,-1716000,17502000,84548000,-24262000,0,-29613000,7979000,12036000,-63070000,-8135000.00000001,-8135000.00000001,-2407000,-10542000,65530000,0,48967000,0.37147,0.12556,0.13429,0.04148,0.0332,0.985149999999976,4.11172,0.24928,6.93889390390723e-18,2.45918,2.16523,18.31209,59.28429,2.42267,5,0.03863,0.03806,-4.58009,-6.45822
"33","2018_Q2",273.28671875,"Up",372033000,-223032000,149001000,-99583000,-86997000,-12586000,49418000,891000,1026000,50309000,3823000,1052000,4875000,4875000,4875000,4875000,268716000,254536000,14180000,123477000,123477000,295548000,180789000,32406000,16111000,868530000,407582000,206734000,136645000,12314000,20073000,624212000,1492742000,198643000,82195000,116448000,198643000,64148000,6074000,58074000,64148000,262791000,0,634044000,-3176000,596829000,2254000,1229951000,1229951000,1492742000,4875000,18304000,10248000,-54159000,-20732000,-15443000,422000,-15021000,-2183000,3155000,-2183000,-37936000,-37936000,2400000,-35536000,67722000,0,-2932000,0.4005,0.13283,0.0131,0.00396,0.00327,-0.60144,4.37232,0.21366,0,0.24068,0.2278,18.36746,60.72333,-0.14475,4,0.00377,-0.00227,-3.96793,-5.43761
"34","2018_Q3",292.903492063492,"Up",360460000,-208660000,151800000,-97113000,-83538000,-13575000,54687000,-4e+05,-270000,54287000,29597000,1457000,31054000,31054000,31054000,31054000,327166000,309097000,18069000,149938000,149938000,288950000,133488000,28742000,26388000,899542000,415727000,205128000,134812000,13348000,19584000,626802000,1526344000,202466000,91186000,111280000,202466000,66809000,6004000,60805000,66809000,269275000,0,646435000,-20000.0000000005,627884000,-17230000,1257069000,1257069000,1526344000,31054000,17604000,12567000,18464000,79689000,-22969000,-2000,-24271000,9250000,9381000,9249999.99999999,64668000,64668000,-10107000,54561000,72291000,0,66329000,0.42113,0.15171,0.08615,0.0247,0.02035,2.13592000000002,4.44293,0.21421,0,1.52585,1.43975,17.71128,61.76636,3.25909,6,0.02346,0.0501,-4.52568,-5.98252
"35","2018_Q4",246.505079365079,"Down",327169000,-192582000,134587000,-91249000,-78068000,-13181000,43338000,611000,894000,43949000,1437000,-1218000,219000,219000,219000,219000,355776000,318816000,36960000,144535000,144535000,291840000,121161000,26306000,24447000,913312000,424897000,204044000,131811000,13199000,20341000,631863000,1545175000,202520000,70566000,131954000,202520000,82342000,5785000,76557000,82342000,284862000,0,653801000,-128000,628101000,-21461000,1260313000,1260313000,1545175000,219000,19161000,26790000,5155000,51325000,-29020000,-15975000,-44995000,7144000,1675000,1025000,7355000,7355000,2364000,9719000,62499000,0,39852000,0.41137,0.13246,0.00067,0.00017,0.00014,181.9726,4.50974,0.22602,0,0.0107,0.01012,15.97973,61.55675,1.94647,6,0.00016,0.02968,-5.69251,-8.20933
"36","2019_Q1",239.79,"Down",340378000,-205738000,134640000,-84924000,-71399000,-13525000,49716000,-8484000,-8323000,41232000,-12483000,5128000,-7355000,-7355000,-7355000,-7355000,382110000,344781000,37329000,176298000,176298000,311163000,57465000,46117000,11348000,927036000,432641000,223689000,133421000,11195000,38654000,658355000,1585391000,249289000,120469000,128820000,249289000,72447000,4455000,67992000,72447000,321736000,0,659948000,-95000,620747000,-16945000,1263655000,1263655000,1585391000,-7355000,19666000,32488000,5134000.00000001,49933000,-19582000,499000.000000004,-19083000,64000,64000,-69000,30781000,30781000,-4816000,25965000,69382000,-1.16415321826935e-10,49806000,0.39556,0.14606,-0.02161,-0.00582,-0.00464,-6.77172000000002,3.71872,0.25461,0,-0.35887,-0.33735,16.60786,61.65675,2.43015,4,-0.0055,0.03728,-5.50734,-7.68586
"37","2019_Q2",231.748412698413,"Down",330932000,-195629000,135303000,-85456000,-72633000,-12823000,49847000,3058000,3191000,52905000,33430000,-2432000,30998000,30998000,30998000,30998000,313258000,296044000,17214000,238069000,238069000,321747000,47433000,29910000,17523000,920507000,432938000,257805000,131053000,11241000,33396000,692764000,1613271000,238407000,133542000,104865000,238407000,92170000,4460000,87710000,92170000,330577000,0,661886000,-13056000,651745000,-17881000,1282694000,1282694000,1613271000,30998000,19074000,20450000,-91532000,-21010000,-30604000,20091000,-10513000,925000,925000,-17232000,-48755000,-48755000,18000,-48737000,68921000,0,-50783000,0.40885,0.15063,0.09367,0.02417,0.01921,-1.63827,3.86107,0.25772,0,1.51011,1.43836,16.12179,62.48814,-2.47396,3,0.02255,-0.03694,-4.54517,-6.28439
"38","2019_Q3",199.0778125,"Down",312282000,-208413000,103869000,-79023000,-67824000,-11199000,24846000,1340000,1479000,26186000,27606000,-4773000,22833000,22833000,22833000,22833000,313730000,291867000,21863000,230294000,230294000,329955000,55637000,34722000,20915000,929616000,436920000,254364000,134054000,11181000,28145000,693301000,1622917000,259962000,131190000,128772000,259962000,45091000,4452000,40639000,45091000,305053000,0,659610000,-1650000,674578000,-14674000,1317864000,1317864000,1622917000,22833000,18764000,-30918000,12589000,23268000,-22191000,-4685000,-31476000,3009000,3009000,2901000,-5307000,-5307000,1130000,-4177000,43610000,-2.3283064365387e-10,38781000,0.33261,0.07956,0.07312,0.01733,0.01407,1.69846,3.57597,0.23148,0,1.10695,1.05998,15.13948,63.89024,1.88011,4,0.01675,0.02845,-7.19399,-12.62698
"39","2019_Q4",172.09421875,"Down",307471000,-188919000,118552000,-77878000,-65876000,-12002000,40674000,-149000,-10000,40525000,32750000,-6187000,26563000,26563000,26563000,26563000,336794000,315949000,20845000,210449000,210449000,343715000,53531000,33807000,19724000,944489000,444087000,249208000,131644000,11019000,23242000,693295000,1637784000,255411000,125355000,130056000,255411000,42038000,4424000,37614000,42038000,297449000,0,661776000,0,701141000,-22582000,1340335000,1340335000,1637784000,26563000,19187000,9920000,-4874000,50796000,-26919000,3e+06,-23900000,306000,306000,93000,26989000,26989000,-2907000,24082000,59861000,0,34255000,0.38557,0.13229,0.08639,0.01982,0.01622,1.28958,3.69792,0.22192,0,1.28529,1.23114,14.87739,64.85387,1.65747,5,0.01922,0.02478,-5.62627,-8.28033
"40","2020_Q1",192.486290322581,"Up",315523000,-201383000,114140000,-83236000,-70649000,-12587000,30904000,3098000,3236000,34002000,20921000,-280000,20641000,20641000,20641000,20641000,292637000,268670000,23967000,202219000,202219000,337640000,49701000,33981000,15720000,882197000,456085000,354100000,211408000,31245000,27998000,810185000,1692382000,248468000,128629000,119839000,248468000,66670000,16550000,50120000,66670000,315138000,50932.2628390477,671021000,-157000,721782000,-15402000,1377244000,1377244000,1692382000,20641000,19891000,11850000,-3518000,48864000,-26293000,-3154000,-100999000,3492000,3492000,3331000,-48804000,-48804000,1525000,-47279000,50795000,3.72529029846191e-09,21264000,0.36175,0.09795,0.06542,0.01499,0.0122,1.03018,3.55055,0.22882,0,0.99739,0.95951,15.24634,66.5496,1.02749,5,0.0143,0.01473,-5.76114,-9.46923
"41","2020_Q2",198.629841269841,"Up",328607000,-207192000,121415000,-83051000,-72305000,-10746000,38364000,-5676000,-5480000,32688000,20381000,-3547000,16834000,16834000,16834000,16834000,439672000,419557000,20115000,198158000,198158000,311604000,52741000,34601000,18140000,1002175000,455624000,359180000,206837000,30767000,21904000,814804000,1816979000,207301000,86348000,120953000,357301000,83785000,16444000,67341000,83785000,441086000,-2.91038304567337e-11,667762000,-1573000,738616000,-28912000,1375893000,1375893000,1816979000,16834000,20957000,12598000,-10870000,39519000,-27290000,3818000,-23472000,560000,560000,138386000,154433000,154433000,-3546000,150887000,59321000,1.5e+08,24708000,0.36948,0.11675,0.05123,0.01223,0.00926,1.46774,2.80485,0.32058,0.08255,0.81011,0.78272,15.81362,66.21237,1.18903,4,0.01046,0.01535,-4.88313,-7.55062
"42","2020_Q3",188.2625,"Down",303379000,-197095000,106284000,-77521000,-67242000,-10279000,28763000,1282000,2053000,30045000,20838000,-1930000,18908000,18908000,18908000,18908000,460698000,446134000,14564000,197775000,197775000,322766000,55466000,43772000,11694000,1036705000,454824000,367533000,203720000,32472000,28776000,822357000,1859062000,209151000,101127000,108024000,359151000,88114000,18231000,69883000,88114000,447265000,0,677591000,-140000,757524000,-23178000,1411797000,1411797000,1859062000,18908000,21618000,11467000,-22772000,29221000,-15184000,5500000,-9684000,6239000,6239000,5736000,25273000,25273000,1304000,26577000,50381000,1.5e+08,14355000,0.35033,0.09481,0.06232,0.01339,0.01017,0.7592,2.88654,0.31681,0.08069,0.90547,0.87606,14.52825,67.60832,0.68743,4,0.01146,0.0087,-6.16697,-10.802
"43","2020_Q4",193.97703125,"Up",318567000,-204643000,113924000,-80980000,-70854000,-10126000,32944000,636000,1252000,33580000,26166000,-1180000,24986000,24986000,24986000,24986000,363537000,350993000,12544000,164538000,164538000,321961000,50103000,42071000,8032000,900139000,456348000,373049000,200428000,32651000,36373000,829397000,1729536000,185359000,81027000,104332000,185359000,91957000,18907000,73050000,91957000,277316000,1053679.90309524,685423000,-180000,782510000,-15533000,1452220000,1452220000,1729536000,24986000,21462000,17061000,11977000,75486000,-26059000,1979000,-24080000,1787000,1787000,-148588000,-97182000,-97182000,2041000,-95141000,54406000,0,41504000,0.35761,0.10341,0.07843,0.01721,0.01445,1.66109,4.85619,0.19096,0,1.19276,1.15713,15.20751,69.325,1.98129,4,0.01618,0.02688,-6.68193,-11.035
"44","2021_Q1",211.169016393443,"Up",320451000,-200577000,119874000,-85349000,-73552000,-11797000,34525000,3090000,3260000,37615000,30109000,-3967000,26142000,26142000,26142000,26142000,410784000,396097000,14687000,124093000,124093000,314928000,70972000,41492000,29480000,920777000,466628000,363312000,197231000,33001000,31034000,842914000,1763691000,169188000,71864000,97324000,195488000,65938000,18103000,47835000,65938000,261426000,2106000,693068000,-39000.0000000002,808652000,-1522000,1502265000,1502265000,1763691000,26142000,21594000,14900000,15890000,78526000,-25681000,-15222000,-40903000,4607000,4607000,4425999.99999997,42049000,42049000,3055000,45104000,56119000,-1.49011611938477e-08,50295000,0.37408,0.10774,0.08158,0.0174,0.01482,1.92392,4.71015,0.17402,-6.93889390390723e-18,1.24379,1.20576,15.2465,71.37496,2.39295,6,0.01667,0.03207,-7.31987,-11.89816
"45","2021_Q2",205.717142857143,"Down",318046000,-205366000,112680000,-83100000,-72391000,-10709000,29580000,522000,683000,30102000,27092000,-3361000,23731000,23731000,23731000,23731000,435942000,424249000,11693000,120365000,120365000,300086000,71789000,40309000,31480000,928182000,459072000,359142000,193074000,32952000,29115000,837048000,1765230000,153562000,73049000,80513000,179862000,64600000,18490000,46110000,64600000,244462000,2122000,701586000,-5410000,832383000,-9913000,1520768000,1520768000,1765230000,23731000,22155000,8215000,-2781000,51320000,-15847000,-3034000,-26604000,4864000,4864000,4723000,29439000,29439000,-1287000,28152000,51735000,0,36468000,0.35429,0.09301,0.07461,0.0156,0.01344,1.53672,5.16052,0.16075,0,1.12209,1.09385,15.03835,71.80699,1.72434,5,0.01497,0.023,-8.42644,-14.73773
"46","2021_Q3",209.71875,"Up",321677000,-198148000,123529000,-85306000,-73921000,-11385000,38223000,362000,525000,38585000,34832000,-6434000,28398000,28398000,28398000,28398000,476698000,462037000,14661000,120782000,120782000,299610000,76264000,37979000,38285000,973354000,458785000,355033000,189620000,32927000,31120000,829488000,1802842000,157364000,69782000,87582000,183664000,61913000,18962000,42951000,61913000,245577000,2122000,705582000,-2269000,860781000,-8951000,1557265000,1557265000,1802842000,28398000,22164000,4544000,-343999.999999998,54762000,-17779000,-1.86264514923096e-09,-17875000,552000,552000,397000,37284000,37284000,504000,37788000,60387000,0,48698000,0.38402,0.11882,0.08828,0.01824,0.01575,1.71484,5.29965,0.1577,-8.67361737988404e-19,1.34276,1.30897,15.21003,73.5327,2.30261,7,0.01754,0.03008,-7.89405,-12.4715
"47","2021_Q4",233.5859375,"Up",336060000,-208269000,127791000,-87053000,-74815000,-12238000,40738000,-455000,-287000,40283000,37925000,-6844000,31081000,31081000,31081000,31081000,537494000,519485000,18009000,116043000,116043000,291601000,66099000,34718000,31381000,1011237000,458041000,362901000,192778000,32760000,35585000,828114000,1839351000,158777000,62008000,96769000,185077000,64302000,20349000,43953000,64302000,249379000,2124000,711152000,-48000,891862000,-15118000,1589972000,1589972000,1839351000,31081000,22245000,22837000,2672000,78835000,-22836000,1750000,-13267000,1550000,1550000,-6711000,58857000,58857000,-1409000,57448000,62983000,0,49663000,0.38026,0.12122,0.09249,0.01955,0.0169,1.59786,5.46387,0.15684,0,1.46685,1.43,15.86012,74.93737,2.34381,6,0.01879,0.03002,-8.53395,-13.19392
"48","2022_Q1",224.012741935484,"Down",340525000,-213035000,127490000,-94622000,-81456000,-13166000,32868000,-488000,-122000,32380000,23337000,-3412000,19925000,19925000,19925000,19925000,567247000,552827000,14420000,105894000,105894000,290235000,66433000,46847000,19586000,1029809000,468365000,377943000,188311000,43439000,42604000,850928000,1880737000,200777000,81128000,118195000,200777000,63930000,1490000,62440000,63930000.0000001,264707000,2243511.51706918,723540000,-27000,911787000,-19269000,1616031000,1616031000,1880738000,19925000,23134000,11024000,28538000,82621000,-24489000,9250000,-50241000.0000001,2406000,2406000,2021000.00000006,34401000,34401000,-1059000,33342000,56002000,-5.96046447753906e-08,63463000,0.37439,0.09652,0.05851,0.01233,0.01059,3.18509,5.12912,0.1638,-6.93889390390723e-18,0.93593,0.91757,15.99535,75.9092,2.98102,6,0.01186,0.03778,-10.12905,-17.25834
"49","2022_Q2",192.514516129032,"Down",543122000,-374295000,168827000,-177083000,-153212000,-23871000,-8256000,-12640000,1004000,-20896000,-54801000,16733000,-38068000,-38068000,-38068000,-38068000,344292000,329428000,14864000,202897000,202897000,536314000,90492000,80273000,10219000,1173995000,674412000,2895786000,1094710000,1526866000,77566000,3572737000,4746732000,480302000,200991000,279311000,494115000,431544000,239635000,191909000,2073715000,2567830000,2390000,1306264000,-2843000,873719000,-628000,2178902000,2178902000,4746732000,-38068000,67508000,18276000,-49058000,-1342000,-25093000,1507000,-1876493000,2974000,2974000,1657660000,-220175000,-220175000,-3224000,-223399000,59252000,1655984000,-31632000,0.31085,-0.0152,-0.07009,-0.01747,-0.00802,0.83093,2.37595,1.1785,0.34887,-1.79085,-1.74568,25.55027,102.39037,-1.48807,1,-0.00892,-0.00741,22.13751,-158.87742
"50","2022_Q3",166.37453125,"Down",561004000,-393411000,167593000,-181310000,-158748000,-22562000,-13717000,-16806000,-533000,-30523000,-16854000,9380000,-7473999.99999999,-7473999.99999999,-7473999.99999999,-7473999.99999999,268889000,255698000,13191000,216124000,216124000,583050000,121774000,94663000,27111000,1189837000,667783000,2730538000,1080329000,1421216000,43942000,3400158000,4589995000,466632000,201874000,264758000,485985000,382115000,223796000,158319000,2018144000,2504129000,2390000,1309598000,-92000,866245000,-92275000,2085866000,2085866000,4589995000,-7473999.99999999,52189000,-6825000,-99275000,-61385000,-26486000,21294000,-6887000,18000,18000,-2335000,-70607000,-70607000,-3123000,-73730000,38472000,1655092000,-96669000,0.29874,-0.02445,-0.01332,-0.00358,-0.00163,12.93404,2.4483,1.20052,0.36059,-0.31276,-0.31276,23.47592,87.18567,-4.04524,0,-0.00181,-0.02345,36.03148,-101.0573
