"","YQ","p","d","revenue","total_claims_losses","claims_losses","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","accounts_notes_receivable","property_plant_equipment_net","other_assets","total_assets","short_term_debt","other_short_term_liabilities","long_term_debt","pension_liabilities","other_long_term_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization","non_cash_items","stock_based_compensation","deferred_income_taxes","other_non_cash_adjustments","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","net_change_in_investments","increase_in_investments","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"35","2018_Q4",78.3707936507937,"Down",3.504e+09,-2.083e+09,-2.083e+09,-8.8e+08,5.41e+08,-5.6e+07,-6.7e+07,1.1e+07,4.85e+08,3.85e+08,-1.06e+08,2.79e+08,2.79e+08,-3e+06,2.76e+08,2.76e+08,9.51e+08,4.476e+09,7.07e+08,1.4995e+10,2.1129e+10,6.38e+08,4.089e+09,5.512e+09,1.727e+09,1.625e+09,1.3591e+10,1.332e+09,5.61e+08,7.71e+08,-3.587e+09,1.4196e+10,-4.488e+09,7.453e+09,8.5e+07,7.538e+09,2.1129e+10,2.79e+08,1.24e+08,9.2e+07,4.7e+07,3.2e+07,1.3e+07,4.11e+08,9.06e+08,-4.76e+08,-4.79e+08,2e+06,2e+06,1e+06,-4.73e+08,-2.11e+08,-1.04e+08,-4e+06,-4e+06,-1.51e+08,2.4e+07,-4.9e+07,-5.15e+08,-8.2e+07,-8.2e+07,-3e+06,-8.5e+07,6.65e+08,6.15e+09,7.06e+08,0.15439,0.07877,0.03661,0.01306,2.55797,1.803,0.29107,0.54762,0.54118,6.95238,14.7877,1.40079,0.41865,0.02858,0.04143,0.76449,7.81805,9.60998
"36","2019_Q1",83.4885245901639,"Up",3.712e+09,-2.163e+09,-2.163e+09,-9.28e+08,6.21e+08,-5.6e+07,-8.9e+07,3.3e+07,5.65e+08,2.24e+08,-6.5e+07,1.59e+08,1.59e+08,-6e+06,1.53e+08,1.53e+08,1.066e+09,4.317e+09,7.01e+08,1.5494e+10,2.1578e+10,3.14e+08,4.61e+09,5.51e+09,1.911e+09,1.649e+09,1.3994e+10,1.378e+09,5.61e+08,8.17e+08,-3.567e+09,1.4347e+10,-4.647e+09,7.511e+09,7.3e+07,7.584e+09,2.1578e+10,1.59e+08,1.23e+08,2.97e+08,4.7e+07,-1.05e+08,3.55e+08,5.3e+08,1.109e+09,-3.35e+08,-4.4e+08,5e+06,5e+06,-7e+06,-3.37e+08,-2.13e+08,-3.29e+08,-2.54e+08,-2.53e+08,2.1e+07,2.1e+07,-4.2e+07,-5.63e+08,2.09e+08,2.09e+08,-9.4e+07,1.15e+08,7.44e+08,5.824e+09,1.004e+09,0.1673,0.04122,0.02017,0.00709,6.56209,1.8452,0.2699,0.30297,0.30118,7.3505,14.87327,1.98812,0.42178,0.02157,0.05917,1.39216,6.39516,7.66184
"37","2019_Q2",90.8211111111111,"Up",4.071e+09,-2.282e+09,-2.282e+09,-8.51e+08,9.38e+08,-2.3e+07,-9.2e+07,6.9e+07,9.15e+08,9.44e+08,-2.17e+08,7.27e+08,7.27e+08,-1.1e+07,7.16e+08,7.16e+08,1.117e+09,4.63e+09,7.16e+08,2.3674e+10,3.0137e+10,1.562e+09,3.886e+09,1.1472e+10,1.874e+09,3.357e+09,2.2151e+10,1.242e+09,5.61e+08,6.81e+08,-3.385e+09,1.4642e+10,-4.59e+09,7.909e+09,7.7e+07,7.986e+09,3.0137e+10,7.27e+08,1.25e+08,-3.9e+07,5.7e+07,-9e+06,-8.7e+07,-1.089e+09,-2.76e+08,-2.12e+08,-2.13e+08,2.7e+07,2.7e+07,-2e+06,-1.87e+08,-2.1e+08,7.207e+09,6.459e+09,-3e+06,7.7e+07,7.7e+07,-2.48e+08,6.826e+09,6.363e+09,6.363e+09,4.7e+07,6.41e+09,1.063e+09,1.3034e+10,-2.1e+07,0.23041,0.17588,0.08966,0.02376,-0.02933,2.77373,0.43249,1.41782,1.40117,8.06139,15.66139,-0.04158,0.41584,0.03527,-8e-04,0.2933,11.21072,12.70469
"38","2019_Q3",95.29765625,"Up",4.349e+09,-2.537e+09,-2.537e+09,-1.132e+09,6.8e+08,-6.1e+07,-1.39e+08,7.8e+07,6.19e+08,5.5e+08,-2.06e+08,3.44e+08,3.44e+08,-1.2e+07,3.32e+08,3.32e+08,1.294e+09,5.553e+09,7.99e+08,2.447e+10,3.2116e+10,1.663e+09,4.372e+09,1.1459e+10,2.044e+09,4.241e+09,2.3779e+10,1.297e+09,5.61e+08,7.36e+08,-3.446e+09,1.4741e+10,-4.527e+09,8.065e+09,2.72e+08,8.337e+09,3.2116e+10,3.44e+08,1.85e+08,1.27e+08,6e+07,9.1e+07,-24000000.0000001,-1.39e+08,5.17e+08,-5.282e+09,-5.448e+09,8.4e+07,8.4e+07,-44999999.9999999,-5.243e+09,-2.12e+08,-655999999.999999,-4.57e+08,-4.54e+08,-6.9e+07,3.1e+07,-5.65e+08,-1.502e+09,-6.228e+09,-6.228e+09,4.6e+07,-6.182e+09,8.65e+08,1.3122e+10,-4.35e+09,0.15636,0.07634,0.03982,0.01034,-13.10241,2.85223,0.40858,0.65483,0.64971,8.57791,15.9073,-8.57988,0.41815,0.01961,-0.15679,0.63855,13.67399,17.39412
"39","2019_Q4",100.05015625,"Up",3.968e+09,-2.437e+09,-2.437e+09,-1.064e+09,4.67e+08,-5.3e+07,-1.29e+08,7.6e+07,4.14e+08,4.14e+08,-1.08e+08,3.06e+08,3.06e+08,-3e+06,3.03e+08,3.03e+08,1.213e+09,5.198e+09,8.16e+08,2.387e+10,3.1097e+10,1.139e+09,4.724e+09,1.1429e+10,1.998e+09,4.01e+09,2.33e+10,1.357e+09,5.61e+08,7.96e+08,-3.617e+09,1.4811e+10,-4.931e+09,7.62e+09,1.77e+08,7.797e+09,3.1097e+10,3.06e+08,1.7e+08,1.35e+08,6.7e+07,1.3e+07,5.5e+07,4.39e+08,1.05e+09,-6.1e+07,-1.23e+08,-9e+06,-9e+06,-4e+06,-7.4e+07,-2.33e+08,-2.27e+08,-3e+06,-3.03e+08,-1.76e+08,2.4e+07,-3.51e+08,-9.87e+08,-1.1e+07,-1.1e+07,-7e+07,-8.1e+07,6.37e+08,1.2568e+10,1.123e+09,0.11769,0.07636,0.03886,0.00974,3.70627,2.98833,0.40415,0.59881,0.59295,7.8419,15.05929,2.21937,0.46047,0.02032,0.04258,0.76898,17.82575,24.31478
"40","2020_Q1",102.448709677419,"Up",4.264e+09,7.256e+09,7.256e+09,-1.0928e+10,5.92e+08,-6.1e+07,-1.25e+08,6.4e+07,5.31e+08,5.31e+08,-1.35e+08,3.96e+08,3.96e+08,-5e+06,3.91e+08,3.91e+08,1.155e+09,5.236e+09,8.58e+08,2.4108e+10,3.1357e+10,1.215e+09,5.122e+09,1.0741e+10,2.336e+09,4e+09,2.3414e+10,8.62e+08,5.61e+08,8.62e+08,-3.774e+09,1.5199e+10,-5.055e+09,7.793e+09,1.5e+08,7.943e+09,3.1357e+10,3.96e+08,1.67e+08,4.5e+07,6.8e+07,-1.1e+07,-1.2e+07,4.62e+08,1.07e+09,5.134e+09,5.363e+09,-1e+07,-1e+07,-4.68e+09,4.44e+08,-2.35e+08,-6.29e+08,-6.04e+08,-3.04e+08,-1.59e+08,2.6e+07,1.682e+09,6.59e+08,2.173e+09,2.173e+09,1.12e+08,2.285e+09,7.59e+08,1.1956e+10,6.49e+09,0.13884,0.0917,0.04923,0.01247,16.59847,2.94775,0.38129,0.77273,0.76517,8.42688,14.29249,12.82609,0.46443,0.02386,0.24738,0.60102,14.23057,18.24493
"41","2020_Q2",97.864126984127,"Down",4.651e+09,-2.555e+09,-2.555e+09,-1.026e+09,1.07e+09,-6.3e+07,-1.25e+08,6.2e+07,1.007e+09,1.007e+09,-2.4e+08,7.67e+08,7.67e+08,-1.3e+07,7.54e+08,7.54e+08,1.48e+09,5.558e+09,8.5e+08,2.3503e+10,3.1391e+10,2.409e+09,4.116e+09,1.1231e+10,2.248e+09,3.936e+09,2.394e+10,1.307e+09,5.61e+08,7.46e+08,-3.655e+09,1.549e+10,-5.847e+09,7.295e+09,1.56e+08,7.451e+09,3.1391e+10,7.67e+08,1.83e+08,5.3e+07,7.2e+07,9e+06,-2.8e+07,-1.641e+09,-6.38e+08,-1.11e+08,-1.18e+08,5.7e+07,5.7e+07,-1.91e+08,-2.45e+08,-2.32e+08,1.69e+09,1.497e+09,-5.03e+08,4.4e+07,4.4e+07,-1.62e+08,1.34e+09,4.57e+08,4.57e+08,-1.32e+08,3.25e+08,1.253e+09,1.364e+10,-2.59e+08,0.23006,0.16212,0.10119,0.02402,-0.3435,3.21299,0.43452,1.49307,1.47843,9.2099,14.44554,-0.51287,0.45941,0.03615,-0.0095,0.30769,9.70471,11.36449
"42","2020_Q3",111.158125,"Up",4.189e+09,-2.429e+09,-2.429e+09,-8.75e+08,8.85e+08,-9.8e+07,-1.3e+08,3.2e+07,7.87e+08,7.87e+08,-2.07e+08,5.8e+08,5.8e+08,-8e+06,5.72e+08,5.72e+08,1.711e+09,5.647e+09,8.66e+08,2.3945e+10,3.2169e+10,1.216e+09,4.38e+09,1.1985e+10,2.197e+09,3.999e+09,2.3777e+10,1.375e+09,5.61e+08,8.14e+08,-3.627e+09,1.606e+10,-5.582e+09,8.226e+09,1.66e+08,8.392e+09,3.2169e+10,5.8e+08,1.79e+08,1.03e+08,7.5e+07,-2e+06,3e+07,3.54e+08,1.216e+09,4e+06,-8.2e+07,4.6e+07,4.6e+07,-3.69e+08,-3.19e+08,-2.34e+08,-4.6e+08,-2.67e+08,-4e+06,2.2e+07,2.2e+07,-4.7e+07,-7.19e+08,1.78e+08,1.78e+08,53000000.0000001,2.31e+08,1.064e+09,1.3201e+10,1.629e+09,0.21127,0.13655,0.06816,0.01778,2.8479,2.83329,0.41036,1.13267,1.12157,8.29505,16.28911,3.22574,0.46337,0.029,0.05862,0.40909,10.79887,12.98305
"43","2020_Q4",110.7378125,"Down",3.968e+09,-2.495e+09,-2.495e+09,-9.33e+08,5.4e+08,-8.1e+07,-1.27e+08,4.6e+07,4.59e+08,4.59e+08,-1.39e+08,3.2e+08,3.2e+08,-4e+06,3.16e+08,3.16e+08,2.388e+09,5.236e+09,8.64e+08,2.4193e+10,3.2681e+10,1.216e+09,4.979e+09,1.1532e+10,2.163e+09,4.039e+09,2.3929e+10,1.443e+09,5.61e+08,8.82e+08,-3.606e+09,1.5902e+10,-5.148e+09,8.591e+09,1.61e+08,8.752e+09,3.2681e+10,3.2e+08,1.85e+08,1.02e+08,7.2e+07,-1e+06,3.1e+07,8.14e+08,1.421e+09,-1.71e+08,-7.8e+07,-1.03e+08,-1.03e+08,1.92e+08,-8.2e+07,-2.36e+08,-5.04e+08,-1.504e+09,-5.04e+08,3.2e+07,3.2e+07,-7.6e+07,-7.84e+08,5.55e+08,5.55e+08,1.22e+08,6.77e+08,7.25e+08,1.2748e+10,1.507e+09,0.13609,0.07964,0.03611,0.00967,4.76899,2.73412,0.39007,0.62205,0.61598,7.81102,16.91142,2.96654,0.46457,0.01993,0.0544,0.74684,14.28966,19.18519
"44","2021_Q1",112.619180327869,"Up",4.416e+09,7.479e+09,7.479e+09,-1.1324e+10,5.71e+08,-3.1e+07,-1.26e+08,9.5e+07,5.4e+08,5.4e+08,-1.61e+08,3.79e+08,3.79e+08,-5e+06,3.74e+08,3.74e+08,2.089e+09,5.326e+09,8.56e+08,2.4778e+10,3.3049e+10,5.17e+08,6.039e+09,1.0796e+10,2.662e+09,3.775e+09,2.3789e+10,9.43e+08,5.61e+08,9.43e+08,-3.562e+09,1.6272e+10,-5.11e+09,9.104e+09,1.56e+08,9.26e+09,3.3049e+10,3.79e+08,1.94e+08,1.27e+08,7.1e+07,3.4e+07,2.2e+07,6.83e+08,1.383e+09,-7e+07,-7e+07,1.07e+08,1.07e+08,-1.87e+08,-1.5e+08,-2.41e+08,-1.504e+09,-1.504e+09,-1.504e+09,3.4e+07,3.4e+07,9.52e+08,-7.59e+08,4.74e+08,4.74e+08,4.68e+08,9.42e+08,7.65e+08,1.1313e+10,1.539e+09,0.1293,0.08469,0.04039,0.01132,4.11497,2.56901,0.34231,0.73913,0.72621,8.72727,16.8834,3.0415,0.47628,0.02277,0.05698,0.64439,12.05752,16.15412
"45","2021_Q2",131.747619047619,"Up",5.083e+09,5205643720.09746,5205643720.09746,-3.725e+09,1.358e+09,-3.6e+07,-1.18e+08,8.2e+07,1.322e+09,1.322e+09,-3.24e+08,9.98e+08,9.98e+08,-1.5e+07,9.83e+08,9.83e+08,1.12e+09,5.597e+09,8.3e+08,2.4726e+10,3.2273e+10,1.015e+09,4.766e+09,1.0242e+10,2.594e+09,4.06e+09,2.2677e+10,1.412e+09,5.61e+08,8.51e+08,-3.561e+09,1.678e+10,-5.197e+09,9.434e+09,1.62e+08,9.596e+09,3.2273e+10,9.98e+08,1.97e+08,2.44e+08,7.8e+07,1.98e+08,-3.2e+07,-1.847e+09,-4.08e+08,-6.9e+07,-6.9e+07,4e+06,4e+06,-2e+06,-6.7e+07,-2.37e+08,-4e+06,-4e+06,-4e+06,-7.7e+07,3.5e+07,5.7e+07,-2.61e+08,-7.36e+08,-7.36e+08,-3.6e+07,-7.72e+08,1.555e+09,1.1257e+10,-3.7e+07,0.26717,0.19339,0.10244,0.03046,-0.03764,2.36317,0.34881,1.93124,1.91245,9.98625,18.53438,-0.07269,0.46562,0.04435,-0.00135,0.2411,6.51897,7.46465
"46","2021_Q3",149.0346875,"Up",5.017e+09,-4965226723.57434,-4965226723.57434,-3.789e+09,1.228e+09,-1.9e+07,-1.09e+08,9e+07,1.209e+09,1.209e+09,-3.82e+08,8.27e+08,8.27e+08,-7e+06,8.2e+08,8.2e+08,8.88e+08,5.839e+09,8.16e+08,2.541e+10,3.2953e+10,5.16e+08,4.958e+09,1.0257e+10,2.539e+09,4.419e+09,2.2689e+10,1.506e+09,5.61e+08,9.45e+08,-3.842e+09,1.7597e+10,-5.153e+09,1.0108e+10,1.56e+08,1.0264e+10,3.2953e+10,8.27e+08,1.93e+08,1.34e+08,9.8e+07,9.9e+07,-6.3e+07,3999999.99999952,1.158e+09,-8.2e+07,-8.2e+07,-3999999.99999999,-3999999.99999999,-2.71e+08,-3.57e+08,-2.41e+08,-5.05e+08,-5.05e+08,-5.05e+08,-2.82e+08,4e+07,1.075e+09,47000000.0000001,8.48e+08,8.48e+08,7.4e+07,9.22e+08,1667050556.20923,1.0773e+10,375754033.445812,0.24477,0.16344,0.07989,0.02488,-0.424890910426502,2.21054,0.32692,1.611,1.59533,9.85658,19.85855,0.750301444697676,0.485009530308587,0.02929,-0.053554228594009,0.135338721600571,3.65446083516951,8.04967
"47","2021_Q4",164.371875,"Up",4.583e+09,-8519999999.99999,-8519999999.99999,4.677e+09,7.4e+08,-2.4e+07,-1.06e+08,8.2e+07,7.16e+08,7.16e+08,-1.74e+08,5.42e+08,5.42e+08,-5e+06,5.37e+08,5.37e+08,1.398e+09,5.624e+09,8.24e+08,2.5136e+10,3.2982e+10,5.16e+08,6.143e+09,1.0228e+10,2.387e+09,3.82e+09,2.3094e+10,1.595e+09,5.61e+08,1.034e+09,-4.105e+09,1.7589e+10,-5.345e+09,9.734e+09,1.54e+08,9.888e+09,3.2982e+10,5.42e+08,1.79e+08,-2.9e+08,8.7e+07,-2.9e+08,-8.7e+07,8.93e+08,1.324e+09,-1.17e+08,-1.17e+08,18878601.9786928,18878601.9786928,-4.8e+07,-1.65e+08,-2.72e+08,-3e+06,-3e+06,-3e+06,-2.6e+08,4e+07,-1.297e+09,-1.832e+09,-6.73e+08,-6.73e+08,-1.68e+08,-8.41e+08,1287510333.72554,1.0744e+10,1894992420.06749,0.16147,0.11717,0.05431,0.01628,1.7747162537441,2.33556,0.32575,1.06548,1.05088,9.09325,19.31349,3.76294546681861,0.523879718185152,0.02001,-0.0724410666888509,0.257601432960343,3.66387259244724,12.62973
"48","2022_Q1",156.420806451613,"Down",5.137e+09,8.52e+09,8.52e+09,-1.2671e+10,9.86e+08,-2.5e+07,-1.09e+08,8.4e+07,9.61e+08,9.61e+08,-1.54e+08,8.07e+08,8.07e+08,-4e+06,8.03e+08,8.03e+08,1.752e+09,5.063e+09,8.47e+08,2.6203e+10,4.014e+10,1.7e+07,6.637e+09,1.0933e+10,1.632e+09,1.3569e+10,2.3166e+10,1.673e+09,5.61e+08,1.112e+09,-4.478e+09,1.8389e+10,-4.575e+09,1.1009e+10,2.13e+08,1.1222e+10,3.4388e+10,8.07e+08,1.78e+08,-2.2e+08,8.5e+07,-70000000.0000001,-2.35e+08,6.77e+08,1.442e+09,-1.38e+08,-1.38e+08,1.3e+07,1.3e+07,-4.5e+08,-5.75e+08,-2.76e+08,2.39e+08,2.39e+08,-5.04e+08,-3.79e+08,4.6e+07,1.165e+09,7.49e+08,1.616e+09,1.616e+09,-2.25e+08,1.391e+09,1.164e+09,0,1.857e+09,0.19194,0.15632,0.0702241104080699,0.0221984577171143,2.31258,2.22613845828942,0.337241096845934,1.59325,1.57143,10.19246,20.2636884762354,3.68452,0.54762,0.0319290676310824,-0.0585373714392673,0.34371,5.15893555350135,11.3352530093632
"49","2022_Q2",159.644032258065,"Up",5.549e+09,57993708498.2616,57993708498.2616,-4.104e+09,1.445e+09,-2.1e+07,-1.09e+08,8.8e+07,1.424e+09,1.424e+09,-3.38e+08,1.086e+09,1.086e+09,-1.5e+07,1.071e+09,1.071e+09,7.72e+08,5.469e+09,8.65e+08,2.6582e+10,3.3688e+10,1.191e+09,5.396e+09,1.0552e+10,1.515e+09,1.4339e+10,2.2532e+10,1.587e+09,5.61e+08,1.026e+09,-4.887e+09,1.8916e+10,-4.679e+09,1.0937e+10,2.19e+08,1.1156e+10,3.3688e+10,1.086e+09,1.8e+08,2.23e+08,1.05e+08,1.44e+08,-2.6e+07,-2.191e+09,-7.02e+08,-1.22e+08,-1.22e+08,-8e+06,-8e+06,-2.9e+07,-1.59e+08,-2.72e+08,8.21e+08,-4e+06,-4e+06,-4.66e+08,3.4e+07,7.72e+08,8.55e+08,-6e+06,-6e+06,-1.36e+08,-1.42e+08,1.625e+09,1.1743e+10,-3.5e+08,0.26041,0.19301,0.096,0.03179,-0.3268,2.01972,0.34858,2.125,2.09589,11.00992,21.7004,-0.69444,0.53968,0.04747,-0.0123699999999999,0.25397,6.75138,7.59239
"50","2022_Q3",161.74025,"Up",5.379e+09,151205125494.785,151205125494.785,-4.015e+09,1.364e+09,-5.2e+07,-1.13e+08,6.1e+07,1.312e+09,1.312e+09,-3.34e+08,9.78e+08,9.78e+08,-1.1e+07,9.67e+08,9.67e+08,9.09e+08,5.726e+09,8.63e+08,2.3782e+10,3.344e+10,1.311e+09,5.705e+09,1.0487e+10,1.407e+09,1.4143e+10,2.2523e+10,1.605e+09,5.61e+08,1.044e+09,-5.429e+09,1.988e+10,-5.363e+09,1.0693e+10,2.24e+08,1.0917e+10,3.344e+10,9.78e+08,1.68e+08,41000000.0000001,8.9e+07,9.1e+07,-1.39e+08,94999999.9999995,1.282e+09,-1.17e+08,-1.17e+08,8e+06,8e+06,1e+07,-99000000.0000001,-2.75e+08,1.15e+08,-4e+06,-4e+06,-5.69e+08,3.1e+07,3.72e+08,-3.57e+08,8.26e+08,8.26e+08,-6.19e+08,2.07e+08,1.532e+09,1.1798e+10,1.844e+09,0.25358,0.17977,0.08858,0.02892,1.90693,2.06311,0.35281,1.92247,1.8998,10.69384,21.25845,3.666,0.54672,0.04478,0.06649,0.28438,7.1077,7.98314
