"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","raw_materials","work_in_process","finished_goods","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",36.7801587301587,"Up",239755000,-154286000,85469000,-55373000,-55373000,30096000,-537000,-1983000,1446000,29559000,2114000,31673000,-7926000,23747000,23747000,-83000,23664000,23664000,78981000,78981000,152093000,152093000,215067000,82621000,18308000,114138000,31289000,31289000,477430000,198675000,434997000,-236322000,368512000,138256000,202037000,23322000,567187000,1044617000,125051000,60695000,3353000,61003000,33418000,158469000,156712000,99648000,40799000,38950000,19899000,256360000,414829000,230177000,538501000,-148081000,620597000,9191000,629788000,1044617000,23747000,9119000,-499000,9187000,41554000,-6946000,-1007000,-7957000,-4662000,-22775000,1125000,2582000,-1457000,-26312000,7285000,7285000,114000,7399000,39215000,190130000,49382000,0.35648,0.12553,0.0987,0.03757,0.02265,2.0868,3.01277,0.65868,0.18201,0.5111,0.50456,5.17829,13.40382,1.06657,0.10069,0.0308,0.0537,0.19701,2.83435,3.69315
"28","2017_Q1",38.3874193548387,"Up",239590000,-158567000,81023000,-54262000,-54262000,26761000,-5170000,-2101000,-3069000,21591000,168000,21759000,-3958000,17801000,17801000,-159000,17642000,17642000,104331000,104331000,145999000,145999000,203471000,80052000,18735000,104684000,30018000,30018000,483819000,196137000,430146000,-234009000,359949000,134667000,199609000,21052000,556086000,1039905000,124046000,63927000,3274000,56845000,33715000,157761000,156544000,102860000,45307000,40460000,17093000,259404000,417165000,233202000,550095000,-169852000,613445000,9295000,622740000,1039905000,17801000,8782000,1501000,16425000,44509000,-8838000,0,-8666000,-4654000,241000,822000,2051000,-1229000,-3591000,32252000,32252000,-6902000,25350000,35543000,190259000,47088000,0.33817,0.11169,0.07363,0.02833,0.01697,2.66909,3.06678,0.66989,0.18296,0.38186,0.37697,5.18593,13.27803,1.01922,0.10074,0.02434,0.05141,0.2638,2.41758,3.21094
"29","2017_Q2",37.8060317460317,"Down",220252000,-144436000,75816000,-56996000,-56996000,18820000,-2842000,-3514000,672000,15978000,160000,16138000,-204000,15934000,15934000,-204000,15730000,15730000,70651000,70651000,154701000,154701000,235724000,97623000,16551000,121550000,33803000,33803000,494879000,197412000,439881000,-242469000,362989000,133675000,200407000,21766000,560401000,1055280000,115709000,69042000,3170000,43497000,33783000,149492000,156170000,103961000,43527000,42067000,18367000,260131000,409623000,236622000,560346000,-160965000,636003000,9654000,645657000,1055280000,15934000,8924000,1062000,-50491000,-24571000,-4874000,-39024305.4557353,-4881000,-4668000,-460000,-184000,481000,-665000,-5312000,-34764000,-34764000,1084000,-33680000,27744000,189953000,-27417000,0.34422,0.08545,0.07142,0.02436,0.01491,-1.74298,3.3104,0.63443,0.18,0.33901,0.33468,4.74681,13.70696,-0.59088,0.1006,0.02171,-0.02918,0.29676,4.3001,6.33911
"30","2017_Q3",38.3542857142857,"Up",305349000,-202596000,102753000,-68231000,-68231000,34522000,3262000,-2244000,5506000,37784000,-623000,37161000,-6917000,30244000,30244000,-335000,29909000,29909000,55095000,55095000,190650000,190650000,296687000,100559000,18412000,177716000,37194000,37194000,579626000,214652000,468486000,-253834000,385832000,136818000,236153000,5422000,600484000,1180110000,134136000,73266000,3823000,57047000,145381000,279517000,126030000,101182000,42705000,40842000,17635000,227212000,506729000,239789000,583698000,-153670000,669817000,3564000,673381000,1180110000,30244000,9488000,-4590000,-23076000,12066000,-13638000,-52255000,-65733000,-5531000,47656000,-143000,1566000,-1709000,36935000,-16732000,-16732000,1176000,-15556000,44010000,271411000,14213000,0.33651,0.11306,0.09795,0.04442,0.02534,0.475209999999999,2.07367,0.75251,0.22999,0.6432,0.63636,6.56665,14.40467,0.30566,0.11895,0.03388,0.01359,0.18493,4.91516,6.26603
"31","2017_Q4",42.7592063492064,"Up",311113000,-207271000,103842000,-70850000,-70850000,32992000,-1859000,-2297000,438000,31133000,-816000,30317000,-5769000,24548000,24548000,-78000,24470000,24470000,60129000,60129000,176286000,176286000,301374000,101863000,21950000,177561000,44462000,44462000,582251000,213206000,476490000,-263284000,384036000,135768000,236981000,3660000,597242000,1179493000,144061000,76163000,4194000,63704000,104081000,248142000,125608000,103609000,42180000,42776000,18653000,229217000,477359000,243007000,602235000,-146768000,698474000,3660000,702134000,1179493000,24548000,10006000,1962000,16353000,52869000,-3798000,472000,-3330000,-5046000,-41602000,834000,1723000,-889000,-45814000,3725000,3725000,1309000,5034000,42998000,229689000,61322000,0.33378,0.10605,0.07865,0.03485,0.02075,2.50601,2.34644,0.67987,0.19474,0.52624,0.52064,6.6906,15.02095,1.31875,0.10852,0.02851,0.05922,0.20621,3.94344,5.13943
"32","2018_Q1",40.7565573770492,"Down",288195000,-193624000,94571000,-69370000,-69370000,25201000,-2227000,-2267000,40000,22974000,-2003000,20971000,-13104000,7867000,7867000,204000,8071000,8071000,67233000,67233000,171007000,171007000,312325000,109590000,16742000,185993000,38566000,38566000,589131000,215694000,486187000,-270493000,380528000,131471000,236810000,3318000,596222000,1185353000,145448000,79348000,2213000,63887000,100453000,245901000,125596000,109733000,42178000,48304000,19251000,235329000,481230000,244799000,604905000,-149047000,700657000,3466000,704123000,1185353000,7867000,10088000,13109000,491000,31555000,-10963000,-5165000,-15922000,-5044000,-3711999.99999999,369000,727000,-358000,-8386999.99999999,7246000,7246000,-142000,7104000,35289000,226049000,37921000,0.32815,0.08744,0.02801,0.01146,0.00681,4.69843,2.39581,0.68345,0.1907,0.1732,0.17172,6.18444,15.03556,0.81376,0.10824,0.01261,0.03647,0.62495,4.50044,6.30197
"33","2018_Q2",42.46359375,"Up",295630000,-196648000,98982000,-76275000,-76275000,22707000,-2632000,-2428000,-204000,20075000,-558000,19517000,1698000,21215000,21215000,-41000,21174000,21174000,67370000,67370000,192771000,192771000,343316000,121743000,18695000,202878000,38394000,38394000,641851000,217368000,493058000,-275690000,381445000,129918000,2.39e+08,3315000,598813000,1240664000,135772000,84829000,2747000,48196000,152945000,288717000,125076000,102955000,41058000,43412000,18485000,228031000,516748000,248747000,613113000,-141503000,720357000,3559000,723916000,1240664000,21215000,9896000,-1936000,-56359000,-27184000,-5713000,-8428000,-14141000,-5037000,52007000,-7307000,642000,-7949000,39663000,-1662000,-1662000,1799000,137000,32603000,278021000,-31167000,0.33482,0.07681,0.07162,0.02925,0.01707,-1.47195,2.22311,0.71382,0.22409,0.45438,0.44955,6.34399,15.4583,-0.66882,0.10809,0.02372,-0.02821,0.23789,6.46109,9.27692
"34","2018_Q3",45.815873015873,"Up",343970000,-227894000,116076000,-74965000,-74965000,41111000,-2561000,-2606000,44999.9999999999,38550000,-1636000,36914000,-6875000,30039000,30039000,458000,30497000,30497000,70044000,70044000,206542000,206542000,328632000,112061000,19686000,196885000,34735000,34735000,639953000,205097000,478977000,-273880000,370696000,123497000,235408000,3026000,575793000,1215746000,143275000,82123000,3589000,57563000,167803000,311078000,94920000,93960000,38472000,38188000,17300000,188880000,499958000,251336000,634992000,-173630000,712698000,3090000,715788000,1215746000,30039000,9699000,3622000,-11007000,32353000,-5427000,-1.86264514923096e-09,-5228000,-5621000,-14674000,-1851000,1153000,-3004000,-22146000,4979000,4979000,-2305000,2674000,50810000,262723000,41251000,0.33746,0.11952,0.08866,0.04261,0.02509,1.35262,2.05721,0.69847,0.2161,0.65585,0.64887,7.3972,15.32684,0.887120000000001,0.12088,0.03368,0.03846,0.18431,3.79215,4.6868
"35","2018_Q4",41.4603174603175,"Down",341866000,-228900000,112966000,-72483000,-72483000,40483000,-2865000,-2443000,-422000,37618000,-1947000,35671000,-5739000,29932000,29932000,74000,30006000,30006000,41173000,41173000,193429000,193429000,323215000,108091000,19745000,195379000,31948000,31948000,589765000,206157000,484006000,-277849000,396229000,134742000,249653000,3138000,602386000,1192151000,142915000,75348000,5869000,61698000,122846000,265761000,94229000,95200000,36361000,39966000,18873000,189429000,455190000,260144000,658232000,-183826000,734550000,2411000,736961000,1192151000,29932000,9392000,3707000,12218000,55249000,-3536000,-33657000,-37004000,-6302000,-45536000,5825000,6952000,-1127000,-46013000,-27768000,-27768000,-1103000,-28871000,49875000,217075000,64296000,0.33044,0.11842,0.08777,0.04072,0.02517,2.14277,2.21916,0.61766,0.18209,0.64253,0.63572,7.32047,15.72912,1.37679,0.13495,0.0346,0.06128,0.21002,3.52686,4.34508
"36","2019_Q1",47.2888524590164,"Up",316663000,-212321000,104342000,-74983000,-74983000,29359000,-3529000,-2362000,-1167000,25830000,2475000,28305000,-3974000,24331000,24331000,-131000,24200000,24200000,59173000,59173000,172899000,172899000,314049000,98858000,18649000,196542000,33758000,33758000,579879000,207064000,486004000,-278940000,395422000,135052000,248748000,2928000,602486000,1182365000,143882000,76652000,2419000,64811000,111975000,255857000,94379000,95784000,38020000,39830000,17934000,190163000,446020000,262167000,654724000,-183019000,733872000,2473000,736345000,1182365000,24331000,9617000,-1090000,35159000,68017000,-7032000,-2886000,-9919000,-5652000,-10782000,-21856000,252000,-22108000,-38290000,19808000,19808000,-1808000,1.8e+07,38976000,206354000,71077000,0.3295,0.09271,0.07642,0.03287,0.02047,2.93707,2.26642,0.60572,0.17453,0.51931,0.5182,6.79534,15.74833,1.52526,0.12129,0.02875,0.06844,0.23355,3.7762,5.01315
"37","2019_Q2",45.5466666666667,"Down",290715000,-201209000,89506000,-76299000,-76299000,13207000,-2103000,-2342000,239000,11104000,-497000,10607000,-1480000,9127000,9127000,-71000,9056000,9056000,54364000,54364000,180584000,180584000,336639000,107010000,20698000,208931000,34115000,34115000,605702000,202597000,484974000,-282377000,420460000,132813000,249900000,28632000,623057000,1228759000,144389000,91399000,1748000,51242000,131957000,284084000,93803000,114272000,36963000,39808000,37501000,208075000,492159000,266639000,652737000,-185281000,734095000,2505000,736600000,1228759000,9127000,9268000,5939000,-27269000,-2935000,-5156000,-5405000,-10558000,-6723000,19669000,-3078000,1251000,-4329000,9868000,-3625000,-3625000,-1184000,-4809000,22475000,225760000,-8470000,0.30788,0.04543,0.03115,0.01229,0.00737,-0.93529,2.13212,0.66815,0.18373,0.19559,0.19392,6.27894,15.85518,-0.18294,0.14521,0.01466,-0.00787,0.74238,7.62607,12.97766
"38","2019_Q3",44.70734375,"Down",355340000,-235622000,119718000,-75782000,-75782000,43936000,-2587000,-2295000,-292000,41349000,-750000,40599000,-7787000,32812000,32812000,-67000,32745000,32745000,40991000,40991000,220815000,220815000,352383000,118091000,22174000,212118000,34937000,34937000,649126000,202100000,483249000,-281149000,418437000,130724000,250168000,28368000,620537000,1269663000,163414000,99654000,2109000,61651000,129337000,301356000,93707000,113908000,36523000,40696000,36689000,207615000,508971000,269165000,673493000,-183470000,759188000,1504000,760692000,1269663000,32812000,9082000,5795000,-40609000,7079999.99999999,-4422000,-1323000,-5740000,-6787000,-2855000,-4970000,244000,-5214000,-15097000,-13757000,-13757000,384000,-13373000,53018000,223044000,15774000,0.33691,0.12364,0.09215,0.04305,0.02579,0.48172,2.15402,0.66909,0.17567,0.70724,0.70118,7.67473,16.39715,0.34069,0.14659,0.03602,0.01437,0.20727,3.4338,4.1436
"39","2019_Q4",51.15046875,"Up",348416000,-230793000,117623000,-74500000,-74500000,43123000,-2287000,-2037000,-250000,40836000,1678000,42514000,-8439000,34075000,34075000,-168000,33907000,33907000,47805000,47805000,198052000,198052000,333810000,108473000,22263000,203074000,37900000,37900000,617567000,197712000,478464000,-280752000,421661000,132665000,253385000,26781000,619373000,1236940000,168111000,94531000,5337000,68243000,80797000,257245000,93123000,109745000,33404000,39890000,36451000,202868000,460113000,271935000,699876000,-196617000,775194000,1633000,776827000,1236940000,34075000,9355000,1618000,41032000,86080000,-5147000,-14143000,-19290000,-7409000,-48473000,78000,836000,-758000,-55806000,10984000,10984000,-4170000,6814000,52478000,173920000,96802000,0.33759,0.12377,0.09732,0.04365,0.02741,2.85493,2.4007,0.5923,0.14061,0.73233,0.72606,7.52518,16.74285,2.09076,0.16002,0.03896,0.09128,0.21851,2.4032,2.92454
"40","2020_Q1",53.5033870967742,"Up",320107000,-218851000,101256000,-71870000,-71870000,29386000,-3321000,-1571000,-109000,26065000,-2950000,23115000,-3130000,19985000,19985000,-210000,19775000,19775000,64405000,64405000,173327000,173327000,300246000,98286000,18392000,183568000,29466000,29466000,567444000,201328000,491654000,-290326000,425971000,131127000,256059000,29614000,627299000,1194743000,154047000,82593000,3010000,68444000,21879000,185764000,93141000,117405000,38288000,39563000,39554000,210546000,396310000,274295000,712460000,-190210000,796545000,1888000,798433000,1194743000,19985000,9272000,7270000,50924000,87451000,-6264000,44000,-6218000,-6752000,-59284000,422999.999999999,863000,-440000,-65613000,15620000,15620000,980000.000000001,16600000,38658000,115020000,86448000,0.31632,0.0918,0.06178,0.02477,0.01655,4.37158,3.05465,0.49636,0.09627,0.42345,0.41985,6.85454,17.05664,1.85113,0.14458,0.02573,0.08386,0.34144,1.3093,1.72242
"41","2020_Q2",48.3631746031746,"Down",266754000,-176437000,90317000,-75623000,-75623000,14694000,-474000,-1234000,760000,14220000,-873000,13347000,-2555000,10792000,10792000,-149000,10643000,10643000,39987000,39987000,167590000,167590000,310006000,97538000,21452000,191016000,25472000,25472000,543055000,188646000,474964000,-286318000,417832000,124503000,255772000,28390000,606478000,1149533000,140216000,88388000,2907000,48921000,41720000,191387000,92563000,112362000,37057000,39081000,36224000,204925000,396312000,279483000,698917000,-227221000,751179000,2042000,753221000,1149533000,10792000,9199000,5376000,-30023000,-4656000,-5510000,-5626000,-11136000,-7240000,19670000,-16110000,871000,-16981000,-3680000,-19472000,-19472000,-4946000,-24418000,23893000,134283000,-9085000,0.33858,0.05508,0.0399,0.01413,0.00926,-0.85361,2.83747,0.52616,0.11682,0.22938,0.22741,5.74901,16.1892,-0.1958,0.15603,0.01789,-0.00909,0.68026,3.9466,6.41731
"42","2020_Q3",55.4396875,"Up",308281000,-201159000,107122000,-72314000,-72314000,34808000,-2435000,-1132000,-1303000,32373000,-875000,31498000,-6696000,24802000,24802000,-151000,24651000,24651000,43083000,43083000,183210000,183210000,299395000,94697000,20696000,184002000,23653000,23653000,549341000,186363000,478360000,-291997000,415628000,121725000,256219000,29773000,601991000,1151332000,159380000,86767000,7297000,65316000,4243000,173896000,92489000,109698000,36631000,37713000,35354000,202187000,376083000,282793000,715621000,-224550000,773864000,1385000,775249000,1151332000,24802000,8791000,7189000,10875000,51657000,-3910000,-200000.000000002,-4107000,-7206000,-37578000,-94000.0000000037,649000,-742999.999999996,-44878000,2672000,2672000,424000,3096000,43599000,96732000,57260000,0.34748,0.11291,0.07996,0.0318,0.02141,2.32283,3.15902,0.48511,0.08402,0.53357,0.52899,6.67275,16.7503,1.23939,0.15597,0.03245,0.05833,0.29232,1.23051,1.54128
"43","2020_Q4",64.5596875,"Up",351190000,-226893000,124297000,-75472000,-75472000,48825000,-1733000,-1130000,-519000,47092000,-441000,46651000,-8076000,38575000,38575000,-203000,38372000,38372000,114480000,114480000,171843000,171843000,289292000,89627000,21607000,178058000,26924000,26924000,602539000,186767000,485341000,-298574000,412136000,120568000,255580000,26915000,598903000,1201442000,175938000,97638000,3883000,74417000,2388000,187866000,91938000,109447000,36354000,37130000,35963000,201385000,389251000,285581000,745434000,-220446000,810569000,1622000,812191000,1201442000,38575000,8927000,3603000,35602000,86707000,-5791000,-263000,-6131000,-7195000,-2840000,127000,1494000,-1367000,-9908000,70668000,70668000,729000,71397000,57752000,94326000,95639000,0.35393,0.13903,0.10926,0.04725,0.03194,2.49242,3.20728,0.47926,0.07851,0.83417,0.82698,7.63457,17.62107,2.07911,0.15641,0.04485,0.09414,0.18751,-0.34897,-0.41278
"44","2021_Q1",73.5506557377049,"Up",321106000,-209703000,111403000,-76713000,-76713000,34690000,-2172000,-1131000,267000,32518000,-317000,32201000,-5213000,26988000,26988000,-194000,26794000,26794000,130787000,130787000,159827000,159827000,300932000,87226000,20565000,193141000,27708000,27708000,619254000,209021000,521246000,-312225000,444032000,133782000,266737000,34689000,653053000,1272307000,190063000,95903000,5112000,89048000,2551000,203704000,91966000,126933000,44443000,37636000,44854000,218899000,422603000,288042000,764562000,-204771000,847833000,1871000,849704000,1272307000,26988000,9571000,3962000,37625000,78146000,-7611000,-49826000,-57437000,-8034000,-325000.000000007,245000,707000,-462000,-8114000,12595000,12595000,3712000,16307000,44261000,94517000,79488000,0.34694,0.10803,0.08344,0.03153,0.02106,2.96663,3.03997,0.49735,0.07429,0.57996,0.57009,6.95035,18.35136,1.72052,0.1739,0.03251,0.07421,0.29984,-0.81946,-1.04555
"45","2021_Q2",80.581746031746,"Up",333046000,-217500000,115546000,-81603000,-81603000,33943000,-1247000,-1090000,-1e+05,32696000,-152000,32544000,-4381000,28163000,28163000,-283000,27880000,27880000,118331000,118331000,179439000,179439000,310330000,93852000,20634000,195844000,27150000,27150000,635250000,205137000,519035000,-313898000,441292000,130339000,265296000,36398000,646429000,1281679000,185925000,109984000,7104000,68837000,2671000,200354000,91361000,126446000,42546000,38486000,45414000,217807000,418161000,297309000,779456000,-215336000,861429000,2089000,863518000,1281679000,28163000,9574000,7617000,-39972000,5382000,-6744000,70000,-6671000,-8143000,-457000,234000,5083000,-4849000,-8366000,-9655000,-9655000,-2801000,-12456000,43517000,94032000,1182000,0.34694,0.10192,0.08371,0.03229,0.02175,0.0424,3.17064,0.48425,0.07337,0.60216,0.59446,7.19322,18.60538,0.02553,0.17587,0.03323,0.00108999999999998,0.29207,-0.55838,-0.71588
"46","2021_Q3",80.89875,"Up",437280000,-285041000,152239000,-100485000,-100485000,51754000,-2985000,-1366000,-430000,48769000,-153000,48616000,-9253000,39363000,39363000,-222000,39141000,39141000,81597000,81597000,226074000,226074000,350121000,117503000,22518000,210100000,33474000,33474000,691266000,210423000,534075000,-323652000,609156000,244261000,316409000,38979000,819579000,1510845000,241897000,148862000,3592000,89443000,132428000,387005000,91279000,128930000,41386000,38983000,48561000,220209000,607214000,303589000,804047000,-206337000,901299000,2332000,903631000,1510845000,39363000,10961000,7180000,-27356000,30148000,-6025000,-180987000,-186988000,-8177000,129721000,-2476000,3906000,-6382000,119068000,-37772000,-37772000,1038000,-36734000,62715000,223707000,38587000,0.34815,0.11835,0.08951,0.04332,0.02591,0.98585,1.78619,0.67197,0.14807,0.84538,0.83456,9.44449,19.4665,0.83341,0.17661,0.03767,0.03072,0.20891,2.26597,2.74587
"47","2021_Q4",88.43578125,"Up",459019000,-295903000,163116000,-106446000,-106446000,56670000,269000,-1384000,2061000,56939000,-76000,56863000,-10409000,46454000,46454000,-282000,46172000,46172000,75952000,75952000,218175000,218175000,395531000,141845000,23924000,229762000,38472000,38472000,728130000,205970000,526986000,-321016000,611881000,244110000,320256000,39799000,817851000,1545981000,282940000,163941000,4307000,114692000,106293000,401473000,90527000,128403000,39899000,39150000,49354000,218930000,620403000,308326000,832145000,-217456000,923015000,2563000,925578000,1545981000,46454000,12232000,5496000,-5810000,58372000,-6666000,-13070000,-19725000,-8179000,-26869000,-7506000,2401000,-9907000,-42554000,-3907000,-3907000,-1738000,-5645000,68902000,196820000,66835000,0.35536,0.12346,0.10059,0.04988,0.02987,1.44752,1.81365,0.67029,0.12731,0.99509,0.98238,9.89265,19.89256,1.44041,0.17627,0.04345,0.05343,0.17714,1.7542,2.13284
"48","2022_Q1",84.8803225806452,"Down",432520000,-287332000,145188000,-97741000,-97741000,47447000,4476000,-1356000,6447000,51923000,-240000,51683000,-10688000,40995000,40995000,-328000,40667000,40667000,40536000,40536000,196173000,196173000,449975000,164448703.869571,26440787.7135334,260949952.454704,37963000,37963000,724647000,170423000,494946000,-324523000,680095000,249691000,329630000,93099000,850518000,1575165000,282713000,164758000,2547000,115408000,97981000,396014000,90535000,99277000,38943904.1635954,39772000,59505000,189812000,585826000,315265000,859817000,-187885000,987197000,2142000,989339000,1575165000,40995000,11805000,890000,-17829000,35861000,-9702000,-41714000,-51421000,-8899000,-7679000,-677000.000000002,4134000,-4811000,-17255000,-32815000,-32815000,-2601000,-35416000,59252000,188516000,42409000,0.33568,0.1097,0.09402,0.04111,0.02582,1.04284,1.82985,0.59214,0.11968,0.8588,0.86526,9.13385,20.84738,0.89558,0.18793,0.03881,0.03321,0.21883,2.49747,3.11885
"49","2022_Q2",73.5906451612903,"Down",451470000,-306136000,145334000,-104673000,-104673000,40661000,-2457000,-1494000,-378000,38204000,-720000,37484000,-7365000,30119000,30119000,-354000,29765000,29765000,38581000,38581000,229736000,229736000,527867000,184332000,31961000,311574000,37401000,37401000,833585000,214190000,545962000,-331772000,635414000,247127000,329388000,51224000,849604000,1683189000,281554000,190488000,3774000,87292000,194846000,491588000,89933000,137503000,39926000,41438000,56139000,227436000,719024000,319570000,861156000,-219019000,961707000,2458000,964165000,1683189000,30119000,12078000,10639000,-114147000,-61311000,-9456000,553000,-8903000,-9130000,96851000,-18976000,343000,-19319000,68745000,-1469000,-1469000,-486000,-1955000,52739000,284779000,-63499000,0.32191,0.09006,0.06593,0.03087,0.01768,-2.13334,1.6957,0.74575,0.16919,0.63677,0.62213,9.65842,20.57405,-1.35845,0.19532,0.02805,-0.0458,0.30674,4.66823,6.05489
"50","2022_Q3",84.73234375,"Up",551138000,-361850000,189288000,-108313000,-108313000,80975000,-4420000,-2932000,-1159000,76555000,7000,76562000,-16799000,59763000,59763000,-399000,59364000,59364000,33225000,33225000,278924000,278924000,567143000,199427388.391288,42149386.8593997,388201642.635887,33891000,33891000,913183000,210639000,541214000,-330575000,627718000,239939000,327100000,53306000,838357000,1751540000,301160000,195614000,2742000,102804000,223054000,539527000,89846000,94493000,43840787.5092138,38846000,55647000,184339000,723866000,323465000,900135000,-198696000,1024904000,2770000,1027674000,1751540000,59763000,12443000,7848000,-81284000,-1230000,-10622000,-1918000,-12548000,-9075000,29421000,-9752000,1573000,-11325000,10594000,-3184000,-3184000,-2172000,-5356000,93418000,312900000,18311000,0.34345,0.14692,0.10771,0.05777,0.03389,0.30845,1.69256,0.70437,0.17864,1.2794,1.26038,11.87797,22.08845,0.39463,0.19558,0.04769,0.01276,0.15287,2.9938,3.45384
