"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_affiliates_net_of_taxes","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","income_taxes_receivable","misc_short_term_assets","total_current_assets","property_plant_equipment_net","long_term_investments_receivables","other_long_term_assets","goodwill","other_intangible_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"22","2018_Q4",121.136507936508,"Up",2.594e+09,-1.678e+09,9.16e+08,-7.12e+08,-4.29e+08,2.04e+08,-1.3e+08,-1.03e+08,-2.7e+07,7.4e+07,-2.3e+07,5.1e+07,1.4e+07,2e+06,6.7e+07,6.7e+07,-7e+06,6e+07,6e+07,8.79e+08,8.27e+08,2.298e+09,2.298e+09,5.19e+08,1.54e+08,6.6e+07,2.99e+08,3.696e+09,4.17e+08,1.34e+08,1.8251e+10,1.1794e+10,6.103e+09,9.6e+07,2.58e+08,1.8802e+10,2.2498e+10,2.279e+09,2.162e+09,1.17e+08,1.01e+08,1e+09,9.84e+08,1.6e+07,3.38e+09,1.0518e+10,1.14e+09,7.34e+08,4.06e+08,1.1658e+10,1.5038e+10,1.0876e+10,7.26e+08,-2.2e+08,7.215e+09,7.46e+09,2.2498e+10,6.7e+07,2.83e+08,-36999999.9999999,3.1e+07,3.44e+08,-1.23e+08,-4.7e+07,-6e+06,-1.82e+08,-74999999.9999999,-1.33e+08,7e+06,-2.01e+08,-3.9e+07,-3.9e+07,-1.3e+07,-5.2e+07,4.87e+08,1.0619e+10,3.81e+08,0.35312,0.07864,0.02313,0.00804,0.00267,6.35,1.09349,2.01582,0.472,0.29659,0.29014,12.82254,35.66485,1.88334,0.00312,0.01982,20,47.7451
"23","2019_Q1",133.295573770492,"Up",2.688e+09,-1.742e+09,9.46e+08,-7.37e+08,-4.43e+08,2.09e+08,-1.03e+08,-1.03e+08,0,1.06e+08,-2e+06,1.04e+08,-3e+07,2e+06,7.6e+07,7.6e+07,-7e+06,6.9e+07,6.9e+07,9.38e+08,8.91e+08,2.394e+09,2.394e+09,5.42e+08,1.51e+08,6.9e+07,3.22e+08,3.874e+09,4.34e+08,1.42e+08,1.8099e+10,1.18e+10,5.951e+09,1.09e+08,2.39e+08,1.8675e+10,2.2549e+10,2.395e+09,4.37e+08,1e+08,1e+08,1.039e+09,1.007e+09,3.2e+07,3.534e+09,1.0907e+10,1.154e+09,7.36e+08,4.18e+08,1.2061e+10,1.5595e+10,1.0901e+10,8.07e+08,-2.24e+08,6.714e+09,6.954e+09,2.2549e+10,7.6e+07,2.94e+08,4.8e+07,-1e+06,4.17e+08,-1.38e+08,-4.7e+07,8e+06,-1.78e+08,4.6e+08,-6.04e+08,-1.4e+07,-1.58e+08,8.1e+07,8.1e+07,-1.7e+07,6.4e+07,5.03e+08,1.1007e+10,3.94e+08,0.35193,0.07775,0.02567,0.00992,0.00306,5.71014,1.09621,2.24259,0.48814,0.34621,0.33807,13.48721,33.68791,1.97692,0.00361,0.02061,20.01789,48.17703
"24","2019_Q2",140.289365079365,"Up",2.684e+09,-1.748e+09,9.36e+08,-7.14e+08,-4.19e+08,2.22e+08,-1.01e+08,-1.08e+08,7e+06,1.21e+08,-1.2e+07,1.09e+08,-4.1e+07,-1e+06,6.7e+07,6.7e+07,-9e+06,5.8e+07,5.8e+07,9.91e+08,9.36e+08,2.461e+09,2.461e+09,5.47e+08,1.53e+08,6.5e+07,3.29e+08,3.999e+09,4.37e+08,1.37e+08,1.8536e+10,1.1857e+10,5.811e+09,1.03e+08,7.65e+08,1.911e+10,2.3109e+10,2.224e+09,2.122e+09,1.02e+08,1e+08,1.178e+09,9.71e+08,2.07e+08,3.502e+09,1.1187e+10,1.555e+09,7.42e+08,8.13e+08,1.2742e+10,1.6244e+10,1.0927e+10,8.65e+08,-2.62e+08,6.615e+09,6.865e+09,2.3109e+10,6.7e+07,2.95e+08,-1.73e+08,-7.6e+07,1.13e+08,-1.41e+08,-1.73e+08,1e+06,-3.15e+08,3.8e+08,-1.45e+08,-7e+06,2.28e+08,2.6e+07,2.6e+07,1.9e+07,4.5e+07,5.17e+08,1.1287e+10,3.41e+08,0.34873,0.08271,0.02161,0.00845,0.00251,5.87931,1.14192,2.36621,0.48842,0.29442,0.28756,13.62437,33.57868,1.73096,0.00294,0.0173,19.91489,46.37838
"25","2019_Q3",155.62171875,"Up",2.74e+09,-1.799e+09,9.41e+08,-7.3e+08,-4.36e+08,2.11e+08,-1.19e+08,-1.12e+08,-7e+06,9.2e+07,-1.4e+07,7.8e+07,-8e+06,1e+06,7.1e+07,7.1e+07,-1.1e+07,6e+07,6e+07,9.94e+08,9.38e+08,2.401e+09,2.401e+09,5.83e+08,1.8e+08,6.4e+07,3.39e+08,3.978e+09,4.58e+08,1.52e+08,1.848e+10,1.1937e+10,5.701e+09,1.02e+08,7.4e+08,1.909e+10,2.3068e+10,2.25e+09,2.139e+09,1.11e+08,1e+08,1.145e+09,9.34e+08,2.11e+08,3.495e+09,1.1299e+10,1.493e+09,6.71e+08,8.22e+08,1.2792e+10,1.6287e+10,1.0964e+10,9.25e+08,-2.15e+08,6.523e+09,6.781e+09,2.3068e+10,7.1e+07,2.94e+08,2e+06,2.4e+07,3.91e+08,-1.65e+08,-3.1e+07,1e+06,-1.95e+08,5e+07,-2.36e+08,-1.4e+07,-2e+08,-4e+06,-4e+06,6e+06,2e+06,5.05e+08,1.1399e+10,3.72e+08,0.34343,0.07701,0.0219,0.00885,0.0026,6.2,1.1382,2.40186,0.49415,0.30581,0.29895,13.96534,33.24669,1.89602,0.00305,0.01891,20.60396,49.3128
"26","2019_Q4",146.00078125,"Down",2.769e+09,-1.852e+09,9.17e+08,-6.94e+08,-3.95e+08,2.23e+08,-1.11e+08,-1.11e+08,19244546.7941227,1.12e+08,-4.3e+07,6.9e+07,1e+06,-1e+06,6.9e+07,6.9e+07,-1.2e+07,5.7e+07,5.7e+07,9.2e+08,8.63e+08,2.514e+09,2.514e+09,5.61e+08,1.5e+08,6.5e+07,3.46e+08,3.995e+09,4.51e+08,1.43e+08,1.8303e+10,1.1919e+10,5.546e+09,1.08e+08,7.3e+08,1.8897e+10,2.2892e+10,2.313e+09,2.19e+09,1.23e+08,9.8e+07,1.165e+09,9.54e+08,2.11e+08,3.576e+09,1.1444e+10,1.478e+09,6.54e+08,8.24e+08,1.2922e+10,1.6498e+10,1.099e+10,9.82e+08,-3.77e+08,6.131e+09,6.394e+09,2.2892e+10,6.9e+07,2.99e+08,7.7e+07,-1.15e+08,3.3e+08,-1.49e+08,-2.54e+08,3e+06,-4e+08,3.75e+08,-2.98e+08,-3.8e+07,38999999.9999999,-3.1e+07,-3.1e+07,-4.4e+07,-7.5e+07,5.22e+08,1.1542e+10,2.57e+08,0.33117,0.08053,0.02059,0.00891,0.00249,4.50877,1.11717,2.58023,0.50419,0.29306,0.28629,14.2365,31.52185,1.32134,0.00294,0.01324,20.34866,47.63229
"27","2020_Q1",142.876290322581,"Down",2.895e+09,-1.901e+09,9.94e+08,-7.98e+08,-4.84e+08,1.96e+08,-7e+07,-1.07e+08,3.7e+07,1.26e+08,-3e+07,9.6e+07,-6.8e+07,-8e+06,2e+07,2e+07,-4e+06,1.6e+07,1.6e+07,9.02e+08,8.37e+08,2.582e+09,2.582e+09,6.45e+08,1.38e+08,5.6e+07,4.51e+08,4.129e+09,4.58e+08,1.49e+08,1.8515e+10,1.2159e+10,5.514e+09,1.19e+08,7.23e+08,1.9122e+10,2.3251e+10,2.62e+09,2.512e+09,1.08e+08,1e+08,1.225e+09,1.014e+09,2.11e+08,3.945e+09,1.1545e+10,1.498e+09,6.46e+08,8.52e+08,1.3043e+10,1.6988e+10,1.1049e+10,9.98e+08,-3.11e+08,6.003e+09,6.263e+09,2.3251e+10,2e+07,3.14e+08,6.3e+07,1.86e+08,5.83e+08,-1.27e+08,-1.3e+08,0,-2.8e+08,-5.8e+07,-2.7e+08,-1.5e+07,-3.43e+08,-4e+07,-4e+07,1.4e+07,-2.6e+07,5.1e+08,1.1645e+10,6.37e+08,0.34335,0.0677,0.00553,0.00255,0.00069,39.8125,1.04664,2.71244,0.50084,0.08303,0.08126,15.02335,31.15205,3.30566,0.00082,0.03282,21.06471,54.81122
"28","2020_Q2",135.510793650794,"Down",2.754e+09,-1.824e+09,9.3e+08,-7.23e+08,-4.07e+08,2.07e+08,-9.1e+07,-1.04e+08,1.3e+07,1.16e+08,-1.4e+07,1.02e+08,-1.7e+07,6e+06,9.1e+07,9.1e+07,-9e+06,8.2e+07,8.2e+07,9.9e+08,9.27e+08,2.634e+09,2.634e+09,6.53e+08,1.73e+08,4.9e+07,4.31e+08,4.277e+09,4.45e+08,1.43e+08,1.8213e+10,1.1989e+10,5.328e+09,1.2e+08,7.76e+08,1.8801e+10,2.3078e+10,2.478e+09,2.384e+09,9.4e+07,1.39e+08,1.29e+09,1.036e+09,2.54e+08,3.907e+09,1.1894e+10,1.475e+09,6.18e+08,8.57e+08,1.3369e+10,1.7276e+10,1.1012e+10,1.08e+09,-4.85e+08,5.542e+09,5.802e+09,2.3078e+10,9.1e+07,3.16e+08,-3.5e+07,-2.09e+08,1.63e+08,-1.41e+08,3000000.00000001,1e+06,-1.5e+08,5.15e+08,-3.45e+08,-6.3e+07,1.07e+08,1.2e+08,1.2e+08,-3e+07,9e+07,5.23e+08,1.2033e+10,1.9e+08,0.33769,0.07516,0.02977,0.01413,0.00355,2.31707,1.0947,2.97759,0.52141,0.42797,0.41901,14.3737,28.92484,0.99165,0.00425,0.00984,21.11472,53.34783
"29","2020_Q3",156.7153125,"Up",2.521e+09,-1.704e+09,8.17e+08,-7.39e+08,-4.31e+08,7.8e+07,-7.5e+07,-1.07e+08,3.2e+07,3e+06,-2.8e+07,-2.5e+07,5e+06,-1e+06,-2.1e+07,-2.1e+07,-2e+06,-2.3e+07,-2.3e+07,1.182e+09,1.109e+09,2.371e+09,2.371e+09,6.55e+08,1.46e+08,5.3e+07,4.56e+08,4.208e+09,4.44e+08,1.53e+08,1.8378e+10,1.2133e+10,5.262e+09,1.23e+08,8.6e+08,1.8975e+10,2.3183e+10,2.397e+09,2.295e+09,1.02e+08,1.42e+08,1.304e+09,1.061e+09,2.43e+08,3.843e+09,1.1965e+10,1.523e+09,5.39e+08,9.84e+08,1.3488e+10,1.7331e+10,1.1043e+10,1.057e+09,-4.44e+08,5.591e+09,5.852e+09,2.3183e+10,-2.1e+07,3.08e+08,-4.2e+07,2.27e+08,4.72e+08,-1.42e+08,-8e+07,-1e+06,-2.19e+08,-4e+07,-1e+06,-3.2e+07,-7.3e+07,1.8e+08,1.8e+08,2e+06,1.82e+08,3.86e+08,1.2107e+10,4.66e+08,0.32408,0.03094,-0.00912,-0.00393,-0.00099,-20.26087,1.09498,2.96155,0.52224,-0.12042,-0.11837,13.19895,29.27225,2.43979,-0.00118,0.02392,28.30311,140.0641
"30","2020_Q4",168.50109375,"Up",2.786e+09,-1.8e+09,9.86e+08,-7.79e+08,-4.6e+08,2.07e+08,-8.5e+07,-9.9e+07,1.4e+07,1.22e+08,-2e+07,1.02e+08,3e+06,3e+06,1.08e+08,1.08e+08,-7e+06,1.01e+08,1.01e+08,1.543e+09,1.464e+09,2.414e+09,2.414e+09,6.88e+08,1.65e+08,7.8e+07,4.45e+08,4.645e+09,4.52e+08,1.63e+08,1.8577e+10,1.2363e+10,5.222e+09,1.25e+08,8.67e+08,1.9192e+10,2.3837e+10,2.562e+09,2.461e+09,1.01e+08,1.44e+08,1.433e+09,1.188e+09,2.45e+08,4.139e+09,1.2195e+10,1.396e+09,4.29e+08,9.67e+08,1.3591e+10,1.773e+10,1.107e+10,1.158e+09,-3.17e+08,5.846e+09,6.107e+09,2.3837e+10,1.08e+08,3.19e+08,-2.6e+07,1.73e+08,5.74e+08,-1.57e+08,-3.3e+07,-3006333.13386331,-1.91e+08,-3.6e+07,0,-1.7e+07,-5.3e+07,3.3e+08,3.3e+08,2.5e+07,3.55e+08,5.26e+08,1.2339e+10,5.39e+08,0.35391,0.0743,0.03625,0.01654,0.00424,5.33663,1.12225,2.90323,0.51764,0.52797,0.51875,14.56351,30.55933,2.81756,0.00509,0.02716,20.52471,52.15459
"31","2021_Q1",187.74606557377,"Up",3.298e+09,-2.172e+09,1.126e+09,-8.35e+08,-4.91e+08,2.91e+08,-9.4e+07,-1e+08,6e+06,1.97e+08,-3e+06,1.94e+08,-6.3e+07,-1e+06,1.3e+08,1.3e+08,-1.1e+07,1.19e+08,1.19e+08,1.902e+09,1.814e+09,2.41e+09,2.41e+09,7.78e+08,1.59e+08,5.6e+07,5.63e+08,5.09e+09,4.82e+08,7.8e+07,1.8914e+10,1.2654e+10,5.205e+09,1.14e+08,8.57e+08,1.9474e+10,2.4564e+10,2.915e+09,2.813e+09,1.02e+08,1.49e+08,1.494e+09,1.252e+09,2.42e+08,4.558e+09,1.2384e+10,1.342e+09,3.38e+08,1.004e+09,1.3726e+10,1.8284e+10,1.1095e+10,1.277e+09,-2.05e+08,6.001e+09,6.28e+09,2.4564e+10,1.3e+08,3.44e+08,8e+06,2.68e+08,7.5e+08,-1.76e+08,-5.7e+07,-2e+06,-2.36e+08,-9.7e+07,-1.01e+08,0,-1.98e+08,3.16e+08,3.16e+08,3.4e+07,3.5e+08,6.35e+08,1.2533e+10,7.9e+08,0.34142,0.08824,0.03608,0.01895,0.00484,6.63866,1.11672,2.91146,0.51022,0.62206,0.60932,17.23994,31.36958,4.12964,0.0059,0.0392,16.74173,36.53265
"32","2021_Q2",230.898095238095,"Up",3.409e+09,-2.293e+09,1.116e+09,-7.65e+08,-4.42e+08,3.51e+08,-6.1e+07,-9.8e+07,3.7e+07,2.9e+08,-3.3e+07,2.57e+08,-4.4e+07,4e+06,2.17e+08,2.17e+08,-5e+06,2.12e+08,2.12e+08,2.402e+09,2.305e+09,2.361e+09,2.361e+09,8.16e+08,1.59e+08,6.4e+07,5.93e+08,5.579e+09,4.72e+08,7.4e+07,1.8342e+10,1.2415e+10,4.915e+09,1.07e+08,8.17e+08,1.8888e+10,2.4467e+10,2.954e+09,2.819e+09,1.35e+08,1.44e+08,1.77e+09,1.554e+09,2.16e+08,4.868e+09,1.2092e+10,1.27e+09,3.37e+08,9.33e+08,1.3362e+10,1.823e+10,1.1068e+10,1.489e+09,-3.76e+08,5.953e+09,6.237e+09,2.4467e+10,2.17e+08,3.23e+08,-3e+06,3.3e+08,8.67e+08,-1.49e+08,-2e+07,1e+06,-1.76e+08,-7e+06,-6.2e+07,-9.9e+07,-1.68e+08,5.23e+08,5.23e+08,-3.2e+07,4.91e+08,6.74e+08,1.2236e+10,8.99e+08,0.32737,0.10296,0.06219,0.03399,0.00866,4.24057,1.14606,2.92288,0.5001,1.10705,1.08774,17.80157,31.08616,4.69452,0.01074,0.04554,14.5905,28.01709
"33","2021_Q3",252.40703125,"Up",3.438e+09,-2.323e+09,1.115e+09,-8.25e+08,-4.82e+08,2.9e+08,-6.4e+07,-9.3e+07,2.9e+07,2.26e+08,-4e+06,2.22e+08,-4.8e+07,1e+06,1.75e+08,1.75e+08,0,1.75e+08,1.75e+08,1.911e+09,1.807e+09,2.276e+09,2.276e+09,8.81e+08,1.78e+08,6.9e+07,6.34e+08,5.068e+09,4.7e+08,7.4e+07,1.8325e+10,1.2551e+10,4.77e+09,1.05e+08,8.15e+08,1.8869e+10,2.3937e+10,2.857e+09,2.756e+09,1.01e+08,1.47e+08,1.815e+09,1.597e+09,2.18e+08,4.819e+09,1.214e+10,1.218e+09,2.66e+08,9.52e+08,1.3358e+10,1.8177e+10,1.0696e+10,1.664e+09,-3.27e+08,5.76e+09,5.76e+09,2.3937e+10,1.75e+08,3.43e+08,3.6e+07,-1.5e+07,5.39e+08,-1.45e+08,-4.8e+07,-1e+06,-1.85e+08,-3.6e+07,-4.5e+07,-7.82e+08,-8.63e+08,-5.09e+08,-5.09e+08,1.1e+07,-4.98e+08,6.33e+08,1.2287e+10,5.21e+08,0.32432,0.08435,0.0509,0.03038,0.00731,2.97714,1.05167,3.15573,0.51331,0.91384,0.8979,17.953,30.07833,2.72063,0.00908,0.02704,16.39179,35.77931
"34","2021_Q4",259.50609375,"Up",3.391e+09,-2.253e+09,1.138e+09,-8.34e+08,-4.98e+08,3.04e+08,-2.8e+07,-9e+07,6.2e+07,2.76e+08,-3e+06,2.73e+08,-1.2e+07,0,2.61e+08,2.61e+08,4.65661287307739e-10,2.61e+08,2.61e+08,1.574e+09,1.47e+09,2.33e+09,2.33e+09,6.3e+08,1.64e+08,5.6e+07,4.1e+08,4.534e+09,4.85e+08,7.4e+07,1.894e+10,1.3124e+10,4.812e+09,1.05e+08,8.15e+08,1.9499e+10,2.4033e+10,2.716e+09,2.663e+09,5.3e+07,9.1e+07,2.04e+09,1.826e+09,2.14e+08,4.847e+09,1.2081e+10,1.276e+09,2.97e+08,9.79e+08,1.3357e+10,1.8204e+10,1.0747e+10,1.925e+09,-4.45e+08,5.829e+09,5.829e+09,2.4033e+10,2.61e+08,3.36e+08,1.2e+07,2.35e+08,8.44e+08,-1.62e+08,-9.29e+08,1e+06,-1.095e+09,3.6e+07,-9.5e+07,-7e+06,-6.6e+07,-3.17e+08,-3.17e+08,-2e+07,-3.37e+08,6.4e+08,1.2172e+10,7.25e+08,0.33559,0.08965,0.07697,0.04478,0.01086,2.77778,0.93542,3.12301,0.50647,1.36292,1.33846,17.70757,30.43864,3.7859,0.01354,0.03761,16.55938,34.86184
"35","2022_Q1",236.817580645161,"Down",3.636e+09,-2.364e+09,1.272e+09,-8.04e+08,-5.42e+08,4.68e+08,-8.6e+07,-8.8e+07,2e+06,3.82e+08,-6e+06,3.76e+08,-5.9e+07,1e+06,3.18e+08,3.18e+08,0,3.18e+08,3.18e+08,1.477e+09,1.366e+09,2.551e+09,2.551e+09,7.35e+08,1.56e+08,5.8e+07,5.21e+08,4.763e+09,4.97e+08,7.6e+07,1.9353e+10,1.3301e+10,4.943e+09,1.24e+08,8.97e+08,1.9926e+10,2.4689e+10,3.118e+09,2.981e+09,1.37e+08,9.1e+07,2.032e+09,1.825e+09,2.07e+08,5.241e+09,1.2034e+10,1.372e+09,4.1e+08,9.62e+08,1.3406e+10,1.8647e+10,1.0777e+10,2.243e+09,-4.06e+08,6.042e+09,6.042e+09,2.4689e+10,3.18e+08,2.62e+08,-1.8e+07,1.3e+08,6.92e+08,-1.84e+08,-4.66e+08,4e+06,-6.47e+08,7.7e+07,-2.04e+08,-1.1e+07,-1.38e+08,-9.3e+07,-9.3e+07,-1.1e+07,-1.04e+08,7.3e+08,1.2125e+10,7.35e+08,0.34983,0.12871,0.08746,0.05263,0.01288,2.31132,0.9088,3.08623,0.49111,1.66057,1.6208,18.98695,31.55091,3.83812,0.01628,0.03762,14.5863,22.75214
"36","2022_Q2",217.155483870968,"Down",3.568e+09,-2.323e+09,1.245e+09,-7.43e+08,-4.88e+08,5.02e+08,-9.5e+07,-8.5e+07,-1e+07,4.07e+08,-7e+06,4e+08,-7.1e+07,-4e+06,3.25e+08,3.25e+08,5342256.97121062,3.25e+08,3.25e+08,1.493e+09,1.387e+09,2.619e+09,2.619e+09,6.6e+08,1.62e+08,4.3e+07,4.55e+08,4.772e+09,5.31e+08,7.2e+07,1.9594e+10,1.3532e+10,4.917e+09,1.2e+08,9.35e+08,2.0197e+10,2.4969e+10,2.951e+09,2.816e+09,1.35e+08,9e+07,2.116e+09,1.927e+09,1.89e+08,5.157e+09,1.2547e+10,1.346e+09,4.55e+08,8.91e+08,1.3893e+10,1.905e+10,1.0745e+10,2.568e+09,-4.19e+08,5.919e+09,5.919e+09,2.4969e+10,3.25e+08,2.55e+08,3.9e+07,-1.11e+08,5.08e+08,-1.77e+08,-4.36e+08,3e+06,-6.13e+08,6.26e+08,-4.03e+08,-7.9e+07,1.44e+08,3.9e+07,3.9e+07,-1.8e+07,2.1e+07,7.57e+08,1.2637e+10,5.4e+08,0.34893,0.1407,0.09109,0.05491,0.01302,1.66154,0.92534,3.21845,0.50611,1.70335,1.66838,18.70021,31.02201,2.83019,0.01633,0.02713,14.72127,22.1992
"37","2022_Q3",228.2185,"Up",3.541e+09,-2.331e+09,1.21e+09,-7.53e+08,-4.83e+08,4.57e+08,-1.25e+08,-9.2e+07,-3.3e+07,3.32e+08,-4e+06,3.28e+08,-7.1e+07,-1e+06,2.56e+08,2.56e+08,21026770.9136319,2.56e+08,2.56e+08,1.518e+09,1.428e+09,2.679e+09,2.679e+09,7.14e+08,1.88e+08,4.4e+07,4.82e+08,4.911e+09,5.29e+08,6.7e+07,1.8906e+10,1.3104e+10,4.733e+09,1.2e+08,8.57e+08,1.9502e+10,2.4413e+10,2.965e+09,2.847e+09,1.18e+08,1.52e+08,1.987e+09,1.81e+09,1.77e+08,5.104e+09,1.2615e+10,1.342e+09,4.94e+08,8.48e+08,1.3957e+10,1.9061e+10,1.079e+10,2.824e+09,-6.97e+08,5.352e+09,5.352e+09,2.4413e+10,2.56e+08,2.7e+08,4.9e+07,-2.46e+08,3.29e+08,-1.61e+08,-3.8e+07,0,-1.99e+08,4.77e+08,-4.9e+08,-1.6e+07,-2.9e+07,1.01e+08,1.01e+08,-6e+07,4.1e+07,7.27e+08,1.2767e+10,3.91e+08,0.34171,0.12906,0.0723,0.04783,0.01049,1.52734,0.96219,3.56147,0.52296,1.35953,1.33961,18.8051,28.42273,2.07647,0.01315,0.02009,15.47318,24.61488
