"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"26","2016_Q3",76.43921875,"Up",962408000,-348718000,613690000,-367412000,-91386000,-276026000,246278000,-129775000,-129257000,-518000.000000001,116503000,-26561000,89942000,-3883999.99999999,86058000,86058000,86058000,75061000,202338000,202338000,229015000,229015000,386262000,138029000,248233000,817615000,9670358000,11665101000,5744681000,3779957000,2140463000,21335459000,22153074000,240021000,143082000,96939000,100345000,535598000,364010000,875964000,12325859000,12325859000,2002944000,2002944000,14328803000,15204767000,9898296000,3375000,9894921000,-2946081000,-4006000,6948307000,6948307000,22153074000,86058000,276026000,49035000,69406000,480525000,-199508000,-471903000,2223000,-669188000,-309753000,539647000,-106000,-15385000,214403000,25740000,25740000,896000,26636000,522304000,12426204000,396086000,0.63766,0.2559,0.07799,0.0108,0.00339,5.27685,0.93339,2.18827,0.56092,0.22236,0.22167,2.85107,20.58363,1.17338,0.91762,5,0.018,0.01853,4.12668,23.40374,49.63442
"27","2016_Q4",70.2849206349206,"Down",992017000,-365979000,626038000,-370766000,-89942000,-280824000,255272000,-130573000,-129741000,-832000,124699000,-21293000,103406000,-5041000,98365000,98365000,98365000,87368000,156219000,156219000,276259000,276259000,407197000,157102000,250095000,839675000,9714149000,11617899000,5750033000,3737448000,2130418000,21332048000,22171723000,233160000,148916000,84244000,101362000,563216000,358683000,897738000,12491596000,12491596000,2028672000,2028672000,14520268000,15418006000,9918219000,3375000,9914844000,-3159059000,-5541000,6753717000,6753717000,22171723000,98365000,280824000,44735000,-37390000,386534000,-221181000,-51230000,9762000,-262649000,-309779000,140453000,-299000,262000,-169363000,-45478000,-45478000,-641000,-46119000,536096000,12592958000,282566000,0.63108,0.25733,0.08807,0.01294,0.00394,3.2342,0.93532,2.28289,0.56797,0.25882,0.25817,2.93875,20.00693,0.83707,0.91769,4,0.01858,0.01322,3.54568,23.19872,48.71956
"28","2017_Q1",72.6074193548387,"Up",1032416000,-392232000,640184000,-365948000,-92122000,-273826000,274236000,-133246000,-129034000,-4212000,140990000,-12196000,128794000,-4084000,124710000,124710000,124710000,124710000,567599000,567599000,373532000,373532000,383630000,128721000,254909000,1324761000,9805315000,11545016000,5757676000,351294000,5436046000,21350331000,22675092000,285535000,188516000,97019000,101749000,574071000,353005000,961355000,12069393000,12069393000,2087229000,2087229000,14156622000,15117977000,10941841000,3605000,10938236000,-3378838000,-5888000,7557115000,7557115000,22675092000,124710000,273826000,33666000,45347000,477549000,-259705000,-11692000,748000,-270649000,-353527000,-436070000,1001890000,-8033000,204260000,411160000,411160000,220000,411380000,548062000,12171142000,337788000,0.62008,0.26563,0.12079,0.0165,0.0055,2.70859,1.37801,2.0005,0.53676,0.35417,0.35472,2.93203,21.46194,0.95931,1.004,6,0.02192,0.01548,2.83479,21.17195,42.31225
"29","2017_Q2",80.55,"Up",1.016e+09,-3.64e+08,6.52e+08,-3.9e+08,-1.01e+08,-2.89e+08,2.62e+08,-1.28e+08,-1.34e+08,6e+06,1.34e+08,-1.1e+07,1.23e+08,-4e+06,1.19e+08,1.19e+08,1.19e+08,1.19e+08,205192000,205192000,302697000,302697000,408560000,153337000,255223000,916449000,10293693000,12566700000,6530001000,3894362000,2142337000,22860393000,23776842000,238971000,154753000,84218000,112882000,550342000,366758000,902195000,13380091000,13380091000,2131076000,2131076000,15511167000,16413362000,10972178000,3614000,10968564000,-3602985000,-5713000,7363480000,7363480000,23776842000,1.19e+08,2.89e+08,2.6e+07,8e+06,4.42e+08,-2.62e+08,-1.497e+09,-4e+06,-1.763e+09,-3.48e+08,1.304e+09,0,-7e+06,9.49e+08,-3.72e+08,-3.72e+08,0,-3.72e+08,5.51e+08,13492973000,3.01e+08,0.64173,0.25787,0.11713,0.01616,0.005,2.52941,1.0158,2.22902,0.56748,0.32979,0.32898,2.81571,20.40695,0.83418,0.96444,6,0.02032,0.01309,2.92437,24.11575,50.71672
"30","2017_Q3",84.6049206349206,"Up",1.038e+09,-3.73e+08,6.65e+08,-3.93e+08,-9.8e+07,-2.95e+08,2.72e+08,-1.43e+08,-1.41e+08,-2e+06,1.29e+08,-1.2e+07,1.17e+08,-5e+06,1.12e+08,1.12e+08,1.12e+08,1.12e+08,199663000,199663000,305982000,305982000,445690000,175976000,269714000,951335000,10507736000,13024553000,6919358000,3953812000,2151383000,23532289000,24483624000,286691000,178927000,107764000,114932000,596289000,387065000,997912000,13726333000,13726333000,2169070000,2169070000,15895403000,16893315000,11436679000,3661000,11433018000,-3841187000,-5183000,7590309000,7590309000,24483624000,1.12e+08,2.95e+08,3e+07,5.2e+07,4.89e+08,-3.01e+08,-6.07e+08,-4e+06,-9.12e+08,-3.48e+08,3.31e+08,4.41e+08,-4e+06,4.2e+08,-3000000.00000048,-3000000.00000048,1e+06,-2e+06,5.67e+08,13841265000,3.23e+08,0.64066,0.26204,0.1079,0.01476,0.00457,2.88393,0.95333,2.22564,0.56533,0.30728,0.30615,2.84779,20.82429,0.88616,0.95475,6,0.01949,0.01369,3.10714,24.05926,50.15295
"31","2017_Q4",90.072380952381,"Up",1.064e+09,-3.88e+08,6.76e+08,-3.97e+08,-1.01e+08,-2.96e+08,2.79e+08,-1.43e+08,-1.42e+08,-1e+06,1.36e+08,-1.8e+07,1.18e+08,-3e+06,1.15e+08,1.15e+08,1.15e+08,8.5e+07,6719134000,6719134000,317856000,317856000,437565000,167235000,270330000,7474555000,10599604000,12937597000,6905922000,3885311000,2146364000,23537201000,31011756000,278802000,179335000,99467000,114198000,655871000,387447000,1048871000,15090217000,15090217000,2200336000,2200336000,17290553000,18339424000,16822801000,4063000,16818738000,-4145527000,-4959000,12672332000,12672332000,31011756000,1.15e+08,2.96e+08,3e+07,4.1e+07,4.82e+08,-2.89e+08,-9e+06,2e+06,-2.96e+08,-3.86e+08,2.975e+09,3.757e+09,-1.6e+07,6.33e+09,6.516e+09,6.516e+09,0,6.516e+09,5.75e+08,15204415000,3.3e+08,0.63534,0.26222,0.07989,0.00671,0.00274,3.88235,7.12629,1.4472,0.49028,0.21499,0.21409,2.69122,32.05268,0.83468,0.97633,6,0.01566,0.01097,4.54118,14.75701,30.41319
"32","2018_Q1",91.4677049180328,"Up",1.238e+09,-4.39e+08,7.99e+08,-4.88e+08,-1.26e+08,-3.62e+08,3.11e+08,-1.57e+08,-1.55e+08,-2e+06,1.54e+08,-4.1e+07,1.13e+08,-1.4e+07,9.9e+07,9.9e+07,9.9e+07,7.1e+07,3.14e+08,3.14e+08,3.98e+08,3.98e+08,4.22e+08,1.62e+08,2.6e+08,1.134e+09,1.2933e+10,1.8162e+10,1.0021e+10,3.36e+08,7.805e+09,3.1095e+10,3.2229e+10,3.81e+08,2.49e+08,1.32e+08,1.15e+08,7.96e+08,4.57e+08,1.292e+09,1.6044e+10,1.6044e+10,2.554e+09,2.554e+09,1.8598e+10,1.989e+10,1.6848e+10,4e+06,1.6844e+10,-4.505e+09,-4e+06,1.2339e+10,1.2339e+10,3.2229e+10,9.9e+07,3.62e+08,4.9e+07,1.2e+08,6.3e+08,-3.76e+08,-7.147e+09,1e+06,-7.522e+09,-4.57e+08,-6.56e+08,1.608e+09,-2e+06,492999999.999998,-6.399e+09,-6.399e+09,-1.16415321826935e-10,-6.399e+09,6.73e+08,1.6159e+10,4.31e+08,0.6454,0.25121,0.05735,0.00575,0.0022,6.07042,0.87771,1.61196,0.50138,0.17476,0.1739,3.04719,30.37098,1.06086,1.12485,5,0.017,0.01388,6.43662,23.54383,50.94855
"33","2018_Q2",88.403125,"Down",1.299e+09,-4.33e+08,8.66e+08,-5.08e+08,-1.34e+08,-3.74e+08,3.58e+08,-1.6e+08,-1.59e+08,-1e+06,1.98e+08,-8e+07,1.18e+08,-4e+06,1.14e+08,1.14e+08,1.14e+08,8.6e+07,2.2e+08,2.2e+08,4.02e+08,4.02e+08,4.52e+08,1.75e+08,2.77e+08,1.074e+09,1.3051e+10,1.8125e+10,1.0075e+10,5.854e+09,2.196e+09,3.1176e+10,3.225e+10,3.52e+08,2.48e+08,1.04e+08,1.3e+08,7.05e+08,4.65e+08,1.187e+09,1.5616e+10,1.5616e+10,2.615e+09,2.615e+09,1.8231e+10,1.9418e+10,1.7694e+10,4e+06,1.769e+10,-4.858e+09,-4e+06,1.2832e+10,1.2832e+10,3.225e+10,1.14e+08,3.74e+08,1.02e+08,-1.38e+08,4.52e+08,-3.7e+08,-1.4e+07,0,-3.84e+08,-4.71e+08,-4.87e+08,8.1e+08,-1.5e+07,-1.63e+08,-9.5e+07,-9.5e+07,0,-9.5e+07,7.32e+08,1.5746e+10,2.28e+08,0.66667,0.2756,0.0662,0.0067,0.00267,2.65116,0.9048,1.51325,0.48825,0.21027,0.20976,3.17604,31.37408,0.55746,1.15159,6,0.01786,0.00731,5.47674,21.21038,43.36872
"34","2018_Q3",95.7279365079365,"Up",1.331e+09,-4.54e+08,8.77e+08,-5.18e+08,-1.39e+08,-3.79e+08,3.59e+08,-1.57e+08,-1.57e+08,-1.16415321826935e-10,2.02e+08,-1.7e+07,1.85e+08,-5e+06,1.8e+08,1.8e+08,1.8e+08,1.51e+08,2.06e+08,2.06e+08,4.55e+08,4.55e+08,5.03e+08,1.97e+08,3.06e+08,1.164e+09,1.3218e+10,1.7992e+10,1.0075e+10,5.729e+09,2.188e+09,3.121e+10,3.2374e+10,4.26e+08,2.72e+08,1.54e+08,1.12e+08,7.48e+08,4.76e+08,1.286e+09,1.5844e+10,1.5844e+10,2.678e+09,2.678e+09,1.8522e+10,1.9808e+10,1.7715e+10,4e+06,1.7711e+10,-5.144e+09,-5e+06,1.2566e+10,1.2566e+10,3.2374e+10,1.8e+08,3.79e+08,3.4e+07,6.6e+07,6.59e+08,-3.93e+08,-4000000.00000095,3e+06,-3.94e+08,-4.65e+08,2e+08,-3e+06,-5e+06,-2.73e+08,-8000000.00000095,-8000000.00000095,-1e+06,-8999999.99999905,7.38e+08,1.5956e+10,4.16e+08,0.6589,0.26972,0.11345,0.01202,0.00466,2.75497,0.90513,1.57632,0.49286,0.36386,0.36298,3.20723,30.27952,1.00241,1.12048,7,0.01974,0.01333,3.07947,21.34146,43.87187
"35","2018_Q4",95.3485714285714,"Down",1.374e+09,-4.74e+08,9e+08,-5.3e+08,-1.45e+08,-3.85e+08,3.7e+08,-1.57e+08,-1.58e+08,1e+06,2.13e+08,-4.5e+07,1.68e+08,-4e+06,1.64e+08,1.64e+08,1.64e+08,1.36e+08,3.23e+08,3.23e+08,4.71e+08,4.71e+08,4.55e+08,1.82e+08,2.73e+08,1.249e+09,1.3433e+10,1.7962e+10,1.0074e+10,5.62e+09,2.268e+09,3.1395e+10,3.2644e+10,4.03e+08,3.02e+08,1.01e+08,1.11e+08,7.9e+08,4.84e+08,1.304e+09,1.6313e+10,1.6313e+10,2.732e+09,2.732e+09,1.9045e+10,2.0349e+10,1.7747e+10,4e+06,1.7743e+10,-5.447e+09,-5e+06,1.2295e+10,1.2295e+10,3.2644e+10,1.64e+08,3.85e+08,7.6e+07,3.9e+07,6.64e+08,-4.78e+08,-8e+06,-1.7e+07,-5.03e+08,-4.64e+08,4.33e+08,0,-1.3e+07,-4.4e+07,1.17e+08,1.17e+08,0,1.17e+08,7.55e+08,1.6424e+10,3.2e+08,0.65502,0.26929,0.09898,0.01106,0.00417,2.35294,0.95782,1.65506,0.50312,0.32771,0.32692,3.31084,29.62651,0.77108,1.11807,6,0.01908,0.01017,3.41176,21.32583,43.51622
"36","2019_Q1",102.782459016393,"Up",1.366e+09,-4.83e+08,8.83e+08,-5.34e+08,-1.45e+08,-3.89e+08,3.49e+08,-1.62e+08,-1.63e+08,1e+06,1.87e+08,-1.7e+07,1.7e+08,-6e+06,1.64e+08,1.64e+08,1.64e+08,1.36e+08,2.77e+08,2.77e+08,5.01e+08,5.01e+08,4.51e+08,1.72e+08,2.79e+08,1.229e+09,1.3676e+10,1.788e+10,1.0078e+10,3.07e+08,7.495e+09,3.1556e+10,3.2785e+10,4.61e+08,3.13e+08,1.48e+08,1.07e+08,8.49e+08,4.98e+08,1.417e+09,1.6575e+10,1.6575e+10,2.759e+09,2.759e+09,1.9334e+10,2.0751e+10,1.7771e+10,4e+06,1.7767e+10,-5.732e+09,-5e+06,1.2034e+10,1.2034e+10,3.2785e+10,1.64e+08,3.89e+08,3.4e+07,1.38e+08,7.25e+08,-4.98e+08,-1.6e+07,2e+06,-5.12e+08,-4.95e+08,2.4e+08,2.98023223876953e-08,2e+06,-2.53e+08,-40000000.0000001,-40000000.0000001,0,-40000000.0000001,7.38e+08,1.6682e+10,3.84e+08,0.64641,0.25549,0.09956,0.0113,0.00415,2.82353,0.86733,1.72436,0.50883,0.3293,0.32536,3.30751,29.13801,0.92978,1.19855,5,0.02005,0.0122,3.63971,22.229,47.00573
"37","2019_Q2",113.690158730159,"Up",1.426e+09,-4.86e+08,9.4e+08,-5.46e+08,-1.52e+08,-3.94e+08,3.94e+08,-1.67e+08,-1.66e+08,-1e+06,2.27e+08,-1.1e+07,2.16e+08,-6e+06,2.1e+08,2.1e+08,2.1e+08,1.82e+08,2.45e+08,2.45e+08,5.45e+08,5.45e+08,4.03e+08,8.5e+07,3.18e+08,1.193e+09,1.3883e+10,2.2702e+10,1.0078e+10,5.178e+09,7.446e+09,3.6585e+10,3.7778e+10,4.18e+08,3.11e+08,1.07e+08,9.6e+07,1.051e+09,5.02e+08,1.565e+09,1.712e+10,1.712e+10,7.347e+09,7.347e+09,2.4467e+10,2.6032e+10,1.7773e+10,4e+06,1.7769e+10,-6.022e+09,-5e+06,1.1746e+10,1.1746e+10,3.7778e+10,2.1e+08,3.94e+08,4e+07,-1.32e+08,5.12e+08,-4.8e+08,-1e+07,1e+06,-4.89e+08,-5.05e+08,5.29e+08,-4.2e+07,-1e+07,-2.8e+07,-5e+06,-5e+06,0,-5e+06,7.88e+08,1.7216e+10,1.82e+08,0.65919,0.2763,0.12763,0.01549,0.00482,1,0.7623,2.21624,0.45571,0.43855,0.43645,3.43614,28.30361,0.43855,1.21687,5,0.01892,0.00501,2.77473,21.5368,43.0736
"38","2019_Q3",123.31015625,"Up",1.478e+09,-5.03e+08,9.75e+08,-5.48e+08,-1.55e+08,-3.93e+08,4.27e+08,-1.68e+08,-1.68e+08,-4.65661287307739e-10,2.59e+08,-9e+06,2.5e+08,-4e+06,2.46e+08,2.46e+08,2.46e+08,2.17e+08,2.88e+08,2.88e+08,5.91e+08,5.91e+08,4.15e+08,1.11e+08,3.04e+08,1.294e+09,1.4151e+10,2.2702e+10,1.0078e+10,5.074e+09,7.55e+09,3.6853e+10,3.8147e+10,5.03e+08,3.37e+08,1.66e+08,9.8e+07,1.097e+09,5.03e+08,1.698e+09,1.7471e+10,1.7471e+10,7.455e+09,7.455e+09,2.4926e+10,2.6624e+10,1.7805e+10,4e+06,1.7801e+10,-6.277e+09,-5e+06,1.1523e+10,1.1523e+10,3.8147e+10,2.46e+08,3.93e+08,4.1e+07,3.5e+07,7.15e+08,-5.18e+08,-3e+06,0,-5.21e+08,-4.96e+08,3.28e+08,-1e+06,-4e+06,-1.73e+08,2.1e+07,2.1e+07,-1.45519152283669e-11,2.1e+07,8.2e+08,1.7569e+10,3.41e+08,0.65968,0.2889,0.14682,0.01883,0.00569,1.57143,0.76207,2.31051,0.46056,0.52289,0.52038,3.56145,27.76627,0.82169,1.19518,6,0.01951,0.00933,2.28571,21.07439,40.47073
"39","2019_Q4",122.6325,"Down",1.433e+09,-5.13e+08,9.2e+08,-5.38e+08,-1.5e+08,-3.88e+08,3.82e+08,-1.76e+08,-1.71e+08,-5e+06,2.06e+08,-5e+06,2.01e+08,-5e+06,1.96e+08,1.96e+08,1.96e+08,1.68e+08,1.82e+08,1.82e+08,6.67e+08,6.67e+08,4.04e+08,9.9e+07,3.05e+08,1.253e+09,1.4416e+10,2.2675e+10,1.0078e+10,4.968e+09,7.629e+09,3.7091e+10,3.8344e+10,4.78e+08,3.68e+08,1.1e+08,1e+08,1.156e+09,5.25e+08,1.734e+09,1.775e+10,1.775e+10,7.535e+09,7.535e+09,2.5285e+10,2.7019e+10,1.7833e+10,4e+06,1.7829e+10,-6.503e+09,-5e+06,1.1325e+10,1.1325e+10,3.8344e+10,1.96e+08,3.88e+08,3.2e+07,4.7e+07,6.63e+08,-5.39e+08,-2e+06,2e+06,-5.39e+08,-4.99e+08,2.82e+08,-1e+06,-1e+07,-2.28e+08,-1.04e+08,-1.04e+08,0,-1.04e+08,7.7e+08,1.785e+10,2.83e+08,0.64201,0.26657,0.11724,0.01483,0.00438,1.68452,0.72261,2.38578,0.46552,0.40191,0.4,3.42823,27.0933,0.67703,1.19378,5,0.01817,0.00771,2.97024,22.94545,46.25131
"40","2020_Q1",135.251612903226,"Up",1.426e+09,-4.84e+08,9.42e+08,-5.54e+08,-1.57e+08,-3.97e+08,3.88e+08,-1.65e+08,-1.72e+08,7e+06,2.23e+08,-9e+06,2.14e+08,-6e+06,2.08e+08,2.08e+08,2.08e+08,1.8e+08,1.96e+08,1.96e+08,5.96e+08,5.96e+08,4.12e+08,1.07e+08,3.05e+08,1.204e+09,1.4666e+10,2.2587e+10,1.0078e+10,7.2e+07,1.2437e+10,3.7253e+10,3.8457e+10,8.64e+08,3.34e+08,5.3e+08,1e+08,9.56e+08,6.57e+08,1.92e+09,1.8021e+10,1.8021e+10,8.027e+09,8.027e+09,2.6048e+10,2.7968e+10,1.7859e+10,4e+06,1.7855e+10,-7.365e+09,-5e+06,1.0489e+10,1.0489e+10,3.8457e+10,2.08e+08,3.97e+08,2.6e+07,1.77e+08,8.08e+08,-5.2e+08,-2e+06,-1e+07,-5.32e+08,-5.25e+08,2.62e+08,7.45058059692383e-09,7.45058059692383e-09,-2.63e+08,1.3e+07,1.3e+07,-685709.725214738,1.3e+07,7.85e+08,1.8121e+10,4.48e+08,0.66059,0.27209,0.12623,0.01716,0.00468,2.48889,0.62708,2.66641,0.4712,0.43269,0.43062,3.42788,25.21394,1.07692,1.26202,6,0.01924,0.01223,2.91667,22.83439,46.19845
"41","2020_Q2",147.306666666667,"Up",1.421e+09,-4.74e+08,9.47e+08,-5.74e+08,-1.75e+08,-3.99e+08,3.73e+08,-1.74e+08,-1.74e+08,9339502.08470762,1.99e+08,-9e+06,1.9e+08,-5e+06,1.85e+08,1.85e+08,1.85e+08,1.57e+08,3.1e+08,3.1e+08,4.95e+08,4.95e+08,4.42e+08,1.07e+08,3.35e+08,1.247e+09,1.4815e+10,2.2554e+10,1.0078e+10,4.734e+09,7.742e+09,3.7369e+10,3.8616e+10,4.15e+08,2.96e+08,1.19e+08,9.49e+08,1.305e+09,7.41e+08,2.669e+09,1.7746e+10,1.7746e+10,8.08e+09,8.08e+09,2.5826e+10,2.8495e+10,1.7839e+10,4e+06,1.7835e+10,-7.712e+09,-6e+06,1.0121e+10,1.0121e+10,3.8616e+10,1.85e+08,3.99e+08,4.3e+07,2.6e+07,6.53e+08,-4.47e+08,-1.3e+07,-8e+06,-4.68e+08,-5.41e+08,7.19e+08,-7.3e+07,-1.55e+08,-5e+07,1.35e+08,1.35e+08,-1e+06,1.34e+08,7.72e+08,1.8695e+10,3.56e+08,0.66643,0.26249,0.11049,0.01551,0.00407,2.26752,0.46722,2.81543,0.48413,0.3774,0.3756,3.41587,24.32933,0.85577,1.30048,4,0.01892,0.00965,3.44586,23.81477,49.28954
"42","2020_Q3",152.02109375,"Up",1.44e+09,-4.85e+08,9.55e+08,-5.66e+08,-1.64e+08,-4.02e+08,3.89e+08,-1.77e+08,-1.77e+08,2149260.35854644,2.12e+08,-5e+06,2.07e+08,-6e+06,2.01e+08,2.01e+08,2.01e+08,1.72e+08,2.514e+09,2.514e+09,4.39e+08,4.39e+08,4.83e+08,1.37e+08,3.46e+08,3.436e+09,1.4963e+10,2.2502e+10,1.0078e+10,4.626e+09,7.798e+09,3.7465e+10,4.0901e+10,4.62e+08,2.8e+08,1.82e+08,9.9e+07,1.403e+09,7.63e+08,1.964e+09,2.1014e+10,2.1014e+10,8.097e+09,8.097e+09,2.9111e+10,3.1075e+10,1.7876e+10,4e+06,1.7872e+10,-8.044e+09,-6e+06,9.826e+09,9.826e+09,4.0901e+10,2.01e+08,4.02e+08,4.6e+07,1.07e+08,7.56e+08,-4.14e+08,-3e+06,-5e+06,-4.22e+08,-5.3e+08,2.436e+09,-1000000.00000001,-3.8e+07,1.867e+09,2.201e+09,2.201e+09,0,2.201e+09,7.91e+08,2.1113e+10,4.9e+08,0.66319,0.27014,0.11944,0.0175,0.00421,2.84884,1.74949,3.16253,0.5162,0.41346,0.41148,3.46154,23.62019,1.17788,1.27404,5,0.01798,0.01255,3.0814,23.51327,47.81234
"43","2020_Q4",150.5790625,"Down",1.486e+09,-4.88e+08,9.98e+08,-5.6e+08,-1.54e+08,-4.06e+08,4.38e+08,-1.71e+08,-1.68e+08,-3e+06,2.67e+08,-1e+08,1.67e+08,-5e+06,1.62e+08,1.62e+08,1.62e+08,1.62e+08,2.42e+08,2.42e+08,4.55e+08,4.55e+08,4.87e+08,1.12e+08,3.75e+08,1.184e+09,1.5092e+10,2.251e+10,1.0078e+10,4.535e+09,7.897e+09,3.7602e+10,3.8786e+10,3.86e+08,2.64e+08,1.22e+08,1.14e+08,1.425e+09,7.87e+08,1.925e+09,1.919e+10,1.919e+10,8.169e+09,8.169e+09,2.7359e+10,2.9284e+10,1.7908e+10,4e+06,1.7904e+10,-8.402e+09,-4e+06,9.502e+09,9.502e+09,3.8786e+10,1.62e+08,4.06e+08,1.34e+08,-4.1e+07,6.61e+08,-3.77e+08,-7e+07,1e+06,-4.46e+08,-5.45e+08,-2.077e+09,-1e+06,1.55e+08,-2.468e+09,-2.253e+09,-2.253e+09,1e+06,-2.252e+09,8.44e+08,1.9304e+10,4.31e+08,0.6716,0.29475,0.10902,0.01705,0.00418,2.66049,0.61506,3.08188,0.49771,0.3785,0.37674,3.47196,22.20093,1.00701,1.27336,4,0.01912,0.01166,3.3642,22.58531,43.52055
"44","2021_Q1",150.030819672131,"Down",1.493e+09,-5.22e+08,9.71e+08,-2.24e+08,-1.85e+08,-4.01e+08,7.47e+08,-1.7e+08,-1.68e+08,-2e+06,5.77e+08,-6.5e+07,5.12e+08,-4e+06,5.08e+08,5.08e+08,5.08e+08,5.08e+08,2.32e+08,2.32e+08,4.31e+08,4.31e+08,4.41e+08,9.5e+07,3.46e+08,1.104e+09,1.5162e+10,2.2502e+10,1.0078e+10,6.8e+07,1.2356e+10,3.7664e+10,3.8768e+10,8.07e+08,2.3e+08,5.77e+08,1.29e+08,1.033e+09,7.04e+08,1.969e+09,1.9151e+10,1.9151e+10,8.187e+09,8.187e+09,2.7338e+10,2.9307e+10,1.7937e+10,4e+06,1.7933e+10,-8.472e+09,-4e+06,9.461e+09,9.461e+09,3.8768e+10,5.08e+08,4.01e+08,9.8e+07,-2.2e+07,9.85e+08,-3.86e+08,-2.1e+07,2e+06,-4.05e+08,-5.74e+08,-4.5e+07,-1e+06,0,-6.2e+08,-39999999.9999995,-40000000.0000005,1366821.77281593,-4e+07,1.148e+09,1.928e+10,7.44e+08,0.65037,0.50033,0.34025,0.05369,0.0131,1.46457,0.56069,3.09766,0.49732,1.17593,1.17051,3.45602,21.90046,1.72222,1.3287,4,0.0293,0.02015,1.12992,16.59233,25.49933
"45","2021_Q2",176.749206349206,"Up",1.485e+09,-4.62e+08,1.023e+09,-5.72e+08,-1.64e+08,-4.08e+08,4.51e+08,-1.77e+08,-1.69e+08,-8e+06,2.74e+08,-1.46e+08,1.28e+08,-7e+06,1.21e+08,5.8e+07,5.8e+07,5.8e+07,2.54e+08,2.54e+08,4.12e+08,4.12e+08,5.1e+08,1.15e+08,3.95e+08,1.176e+09,1.5149e+10,2.2427e+10,1.0078e+10,4.324e+09,8.025e+09,3.7576e+10,3.8752e+10,6.28e+08,1.87e+08,4.41e+08,1.59e+08,1.146e+09,8.14e+08,1.933e+09,1.9713e+10,1.9713e+10,8.183e+09,8.183e+09,2.7896e+10,2.9829e+10,1.7921e+10,4e+06,1.7917e+10,-8.995e+09,-3e+06,8.923e+09,8.923e+09,3.8752e+10,1.21e+08,4.08e+08,1.93e+08,-1.38e+08,5.84e+08,-3.02e+08,-4e+06,-5e+06,-3.11e+08,-5.88e+08,4.67e+08,-6.7e+07,-2.9e+07,-2.17e+08,5.6e+07,5.6e+07,1e+06,5.7e+07,8.59e+08,1.9872e+10,4.26e+08,0.68889,0.3037,0.03906,0.0065,0.0015,7.34483,0.60838,3.34293,0.5128,0.13426,0.13395,3.4375,20.65509,0.98611,1.36111,6,0.01747,0.01152,10.13793,22.83818,43.49889
"46","2021_Q3",183.69328125,"Up",1.583e+09,-4.94e+08,1.089e+09,-5.77e+08,-1.69e+08,-4.08e+08,5.12e+08,-1.64e+08,-1.6e+08,-4e+06,3.48e+08,-8e+06,3.4e+08,-6e+06,3.34e+08,3.35e+08,3.35e+08,3.35e+08,3.39e+08,3.39e+08,4.34e+08,4.34e+08,5.56e+08,1.48e+08,4.08e+08,1.329e+09,1.5178e+10,2.2466e+10,1.0078e+10,4.222e+09,8.166e+09,3.7644e+10,3.8973e+10,8.04e+08,2.19e+08,5.85e+08,7.1e+07,1.143e+09,8.05e+08,2.018e+09,2.0014e+10,2.0014e+10,8.228e+09,8.228e+09,2.8242e+10,3.026e+10,1.7955e+10,4e+06,1.7951e+10,-9.24e+09,-2e+06,8.713e+09,8.713e+09,3.8973e+10,3.34e+08,4.08e+08,5e+07,-5000000.00000003,7.87e+08,-3.07e+08,-1.1e+07,1.3e+07,-3.05e+08,-5.75e+08,1.91e+08,-1e+06,-1e+07,-3.95e+08,86999999.9999999,8.7e+07,0,8.7e+07,9.2e+08,2.0085e+10,6.14e+08,0.68793,0.32344,0.21162,0.03845,0.0086,1.83284,0.65857,3.47297,0.51536,0.77546,0.77367,3.66435,20.16898,1.4213,1.33102,7,0.02458,0.01658,1.71642,21.46304,38.56641
