"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q4",37.1553968253968,"Down",78752000,-54231000,24521000,-15160000,-15160000,9361000,-350000,49000,58000,-457000,9011000,9011000,-2511000,6500000,6500000,6500000,6500000,77011000,77011000,45814000,45814000,135931000,14266000,2157000,2153000,273022000,13081000,39182000,-26101000,22084000,8047000,11588000,35165000,308187000,79955000,58957000,20998000,2111000,2111000,83534000,8578000,6018000,8578000,92112000,64526000,160303000,-8754000,216075000,216075000,308187000,6500000,937000,1598000,-4989000,4046000,-1144000,-526000,-1670000,-562000,1814000,1814000,-1179000,635000,10298000,1468000,6676000,0.31137,0.11887,0.08254,0.03008,0.02109,1.02708,3.26839,0.4263,0.00476,0.96769,0.95757,11.72428,32.16838,0.9939,0.03203,0.02952,-7.3357,-8.06997
"33","2019_Q1",36.8401639344262,"Down",83051000,-55200000,27851000,-16564000,-16564000,11287000,-646000,55000,159000,-1499000,10641000,10641000,-2339000,8302000,8302000,8302000,8302000,77170000,77170000,54414000,54414000,137609000,12242000,3085000,1825000,281435000,12959000,38861000,-25902000,21013000,8390000,10246000,33972000,315407000,78169000,54131000,24038000,2020000,2020000,81623000,10931000,10931000,10931000,92554000,64857000,167859000,-9863000,222853000,222853000,315407000,8302000,865000,-366000,-5292000,3509000,-625000,-345000,-2126000,-590000,793000,793000,-634000,159000,12152000,1434000,8574000,0.33535,0.1359,0.09996,0.03725,0.02632,1.03276,3.44799,0.41531,0.00455,1.2356,1.22629,12.36062,33.16758,1.27608,0.03847,0.03645,-6.23239,-6.71002
"34","2019_Q2",35.2446031746032,"Down",74213000,-52071000,22142000,-13914000,-13914000,8228000,879000,70000,242000,567000,9107000,9107000,-2453000,6654000,6654000,6654000,6654000,69758000,69758000,53045000,53045000,146715000,11693000,1092000,2183000,281211000,13191000,39953000,-26762000,21674000,8557000,10714000,34865000,316076000,78875000,55244000,16044000,1241000,1241000,80116000,5939000,5936000,5939000,86055000,65067000,173766000,-8812000,230021000,230021000,316076000,6654000,939000,-249000,-11313000,-3969000,-760000,-461000,-1221000,-2700000,-7890000,-7890000,478000,-7412000,9167000,0,-453000,0.29836,0.11087,0.08966,0.02893,0.02105,-0.0680799999999999,3.51005,0.37412,0,0.98797,0.97752,11.01901,34.15308,-0.0672600000000001,0.03137,-0.00192,-7.60969,-8.47812
"35","2019_Q3",31.214375,"Down",70674000,-49037000,21637000,-14111000,-14111000,7526000,207000,85000,129000,-7000,7733000,7733000,-2481000,5252000,5252000,5252000,5252000,70180000,70180000,44255000,44255000,148688000,12550000,1514000,2197000,275673000,12972000,40191000,-27219000,21831000,8785000,10688000,34803000,310476000,69582000,50109000,17033000,961000,961000,70543000,5899000,5899000,5899000,76442000,65791000,178200000,-9957000,234034000,234034000,310476000,5252000,906000,532000,-4314000,2376000,-490000,-508000,-998000,-818000,560000,560000,-138000,422000,8432000,0,6109000,0.30615,0.10649,0.07431,0.02244,0.01692,1.16318,3.90787,0.32663,0,0.77635,0.76952,10.44701,34.59483,0.90303,0.0253,0.02546,-8.32306,-9.32501
"36","2019_Q4",33.0265625,"Up",58501000,-41312000,17189000,-12592000,-12592000,4597000,49000,151000,-25000,-76999.9999999999,4646000,4646000,-1155000,3491000,3491000,3491000,3491000,66103000,66103000,38088000,38088000,153700000,12886000,1956000,2395000,270777000,13528000,40842000,-27314000,21584000,8974000,10278000,35112000,305889000,63447000,45183000,16376000,663000,663000,64110000,5822000,5822000,5822000,69932000,66455000,180873000,-11371000,235957000,235957000,305889000,3491000,916000,603000,-6482000,-1472000,-1291000,-122000,-1413000,-818000,-3703000,-3703000,-374000,-4077000,5513000,-2.91038304567337e-11,-1105000,0.29382,0.07858,0.05967,0.0148,0.01141,-0.31653,4.22363,0.29638,0,0.51581,0.5124,8.64376,34.86362,-0.16327,0.01782,-0.00457,-11.99039,-14.3796
"37","2020_Q1",28.2195161290323,"Down",59989000,-43749000,16240000,-14051000,-14051000,2189000,-351000,94000,10000,-1038000,1838000,1838000,260000,2098000,2098000,2098000,2098000,56943000,56943000,43279000,43279000,148851000,12788000,1391000,1983000,261861000,13913000,41968000,-28055000,17107000,9414000,17277762.1561853,39204000,301065000,54244000,33031000,19277000,388000,388000,54632000,6188000,6028000,6188000,60820000,67027000,182151000,-8933000,240245000,240245000,301065000,2098000,984000,1667000,-8097000,-3348000,-545000,-367000,-5265000,-816000,-9429000,-9429000,269000,-9160000,3173000,0,-5729000,0.27072,0.03649,0.03497,0.00873,0.00697,-2.7307,4.79318,0.25316,0,0.30999,0.30785,8.86362,35.49719,-0.84648,0.01184,-0.02325,-17.94611,-26.01325
"38","2020_Q2",27.7725396825397,"Down",43660000,-34501000,9159000,-10846000,-10846000,-1687000,197000,52000,62000,82999.9999999998,-1490000,-1490000,597000,-893000,-893000,-893000,-893000,52587000,52587000,32133000,32133000,150498000,14343000,621000,2114000,249561000,13357000,41999000,-28642000,38072000,8997000,23239000,51429000,300990000,42759000,29575000,11868000,4526000,375000,47285000,15330000,15136000,15330000,62615000,66665000,180444000,-8734000,238375000,238375000,300990000,-893000,1105000,962000,-3921000,-2747000,-106000,-270000,-376000.000000001,-1312000,-4435000,-4435000,79000,-4356000,-582000,0,-5206000,0.20978,-0.03864,-0.02045,-0.00375,-0.00297,5.82979,5.2778,0.26267,6.7762635780344e-21,-0.13169,-0.13169,6.43858,35.15337,-0.76773,-0.00031,-0.02052,90.35567,31.1719
"39","2020_Q3",27.61796875,"Down",37126000,-30417000,6709000,-10599000,-10599000,-3890000,-802000,-12000,3000,-793000,-4692000,-4692000,765000,-3927000,-3927000,-3927000,-3927000,45267000,45267000,27798000,27798000,152864000,15969000,1449000,427000,241898000,12787000,41696000,-28909000,36690000,8790000,22091000,49477000,291375000,42289000,29977000,11839000,3965000,60000,46254000,14433000,14251000,14433000,60687000,63398000,175638000,-8348000,230688000,230688000,291375000,-3927000,1067000,1523000,-752000,-2089000,-156000,-186000,-342000,-4790000,-7221000,-7221000,-99000,-7320000,-2823000,0,-4496000,0.18071,-0.10478,-0.10577,-0.01702,-0.01348,1.14489,5.22977,0.26307,0,-0.58273,-0.58273,5.50913,34.23179,-0.66716,-0.01243,-0.01834,16.03507,11.63676
"40","2020_Q4",29.0975,"Up",45382000,-34313000,11069000,-9627000,-9627000,1442000,-217000,-5000,11000,-223000,1225000,1225000,937000,2162000,2162000,2162000,2162000,47089000,47089000,32050000,32050000,154823000,15264000,367000,334000,249226000,12397000,42285000,-29888000,37691000,9683000,23087000,50088000,299314000,44577000,31831000,12746000,5982000,1825000,50559000,14709000,14543000,14709000,65268000,61015000,176925000,-3894000,234046000,234046000,299314000,2162000,1246000,1281000,332000,5021000,-88000,-236000,-324000,-3897000,800000.000000001,800000.000000001,1022000,1822000,2688000,0,1995000,0.24391,0.03177,0.04764,0.00924,0.00722,0.922759999999999,4.92941,0.27887,0,0.32782,0.32782,6.88127,35.4884,0.3025,0.01221,0.00802,-17.51823,-32.65534
"41","2021_Q1",31.0673770491803,"Up",44459000,-34939000,9520000,-10344000,-10344000,-824000,-119000,1000,57000,-246000,-943000,-5846000,2257000,-3589000,-3589000,-3589000,-3589000,57859000,57859000,27686000,27686000,149864000,16002000,968000,1231000,251411000,11921000,42169000,-30248000,23913000,9686000,11748000,44244000,295655000,40077000,26354000,13438000,10360000,872000,50437000,14070000,13939000,14070000,64507000,61654000,172484000,-2990000,231148000,231148000,295655000,-3589000,1129000,3968000,9239000,10747000,-227000,90000,-137000,-852000,9758000,9758000,1012000,10770000,305000,0,7060000,0.21413,-0.01853,-0.08073,-0.01553,-0.01214,-1.96712,4.98465,0.27907,0,-0.54669,-0.54669,6.77212,35.20914,1.0754,-0.01116,0.02879,-189.70164,70.21723
"42","2021_Q2",33.5666666666667,"Up",54115000,-42568000,11547000,-10568000,-10568000,979000,230000,-3000,121000,112000,1209000,1209000,-546000,663000,663000,663000,663000,66553000,66553000,28008000,28008000,147739000,16428000,908000,244000,258728000,11673000,42977000,-31304000,33571000,9618000,21090000,45244000,303972000,48795000,35560000,12687000,5890000,1472000,54685000,14628000,14517000,14628000,69313000,62116000,172282000,261000,234659000,234659000,303972000,663000,1066000,202000,7103000,9034000,-298000,-464000,-762000,-1062000,7210000,7210000,1484000,8694000,2045000,0,9396000,0.21338,0.01809,0.01225,0.00283,0.00218,14.17195,4.73124,0.29538,0,0.10084,0.1007,8.23042,35.68958,1.42905,0.00613,0.03769,-32.54425,-67.98059
"43","2021_Q3",32.25546875,"Down",57920000,-43126000,14794000,-11273000,-11273000,3521000,-137000,-2000,25000,-160000,3384000,3384000,-947000,2437000,2437000,2437000,2437000,73888000,73888000,37041000,37041000,145308000,15119000,410000,248000,271356000,11385000,43251000,-31866000,23910000,9509000,11532000,44470000,315826000,51639000,37808000,13315000,13531000,928000,65170000,14056000,13965000,14056000,79226000,62837000,173795000,-32000,236600000,236600000,315826000,2437000,1050000,1077000,4336000,8900000,-375000,-324000,-699000,-924000,7277000,7277000,58000,7335000,4571000,0,9479000,0.25542,0.06079,0.04208,0.0103,0.00772,3.88962,4.16382,0.33485,0,0.37065,0.37014,8.80913,35.98479,1.44167,0.01341,0.03782,-16.16452,-20.98495
"44","2021_Q4",31.000625,"Down",54178000,-41204000,12974000,-10331000,-10331000,2643000,34000,15000,8000,11000,2677000,2677000,-1109000,1568000,1568000,1568000,1568000,80471000,80471000,31798000,31798000,149326000,14723000,444000,191000,276318000,10988000,43035000,-32047000,23092000,9305000,11105000,43428000,319746000,55667000,41857000,13079000,13348000,909000,69015000,13804000,13731000,13804000,82819000,63536000,174412000,-1021000,236927000,236927000,319746000,1568000,1034000,923000,4989000,8514000,-325000,-255000,-580000,-951000,6983000,6983000,-4e+05,6583000,3677000,0,9450000,0.23947,0.04878,0.02894,0.00662,0.0049,6.02679,4.00374,0.34955,0,0.23848,0.23815,8.24,36.03452,1.43726,0.01005,0.03769,-21.88496,-30.44684
"45","2022_Q1",31.7472580645161,"Up",68982000,-52048000,16934000,-13829000,-13829000,3105000,-254000,0,19000,-476000,2851000,2851000,-755000,2096000,2096000,2096000,2096000,84063000,84063000,42620000,42620000,148216000,14971000,905000,65586.6017074601,289870000,10607000,42925000,-32318000,22896000,1565000,18177000,43065000,332935000,67889000,48881000,17816000,13281000,467000,81170000,13346000,13278000,13346000,94516000,64586000,175574000,-1741000,238419000,238419000,332935000,2096000,1043000,221000,2367000,5727000,-259000,-1045000,-1304000,-584000,3839000,3839000,-247000,3592000,4148000,0,7011000,0.24548,0.04501,0.03038,0.00879,0.0063,3.34494,3.57115,0.39643,0,0.31724,0.316,10.44074,36.08582,1.06115,0.01204,0.02785,-20.26591,-27.07343
"46","2022_Q2",27.1606451612903,"Down",66887000,-49980000,16907000,-11697000,-11697000,5210000,-32000.0000000001,46000,178000,-256000,5178000,5178000,-1643000,3535000,3535000,3535000,3535000,90029000,90029000,39183000,39183000,152893000,10812000,1088000,54000,292917000,10185000,42797000,-32612000,21754000,9016000,9815000,41554000,334471000,69152000,52599000,14115000,13239000,579000,82391000,12610000,12512000,12610000,95001000,64065000,178172000,-2767000,239470000,239470000,334471000,3535000,942000,1099000,3835000,9411000,-270000,-565000,-835000,-2247000,6329000,6329000,-363000,5966000,6152000,0,11360000,0.25277,0.07789,0.05285,0.01476,0.01057,3.21358,3.55521,0.39671,0,0.53504,0.53294,10.12366,36.24489,1.71939,0.01774,0.04507,-14.6341,-17.28004
"47","2022_Q3",24.20125,"Down",62825000,-47223000,15602000,-12515000,-12515000,3087000,-165000,-6000,3000,-162000,2922000,2922000,-893000,2029000,2029000,2029000,2029000,82042000,82042000,34389000,34389000,153305000,12251000,3279000,220000,281987000,9549000,41034000,-31485000,20648000,8879000,9006000,39459000,321446000,66470000,49853000,14635000,12073000,2195000,78543000,11252000,11172000,11252000,89795000,63200000,179215000,-10764000,231651000,231651000,321446000,2029000,965000,832000,-4925000,-1099000,-137000,-33000,-170000,-2657000,-3926000,-3926000,-4061000,-7987000,4052000,0,-117000,0.24834,0.04914,0.0323,0.00876,0.00631,-0.05766,3.59022,0.38763,0,0.30557,0.30557,9.4616,34.8872,-0.01762,0.01241,-0.00048,-20.24729,-26.57661
