"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","other_intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",15.3555555555556,"Up",313478000,-183997000,129481000,-135695000,-45694000,-13576000,-76425000,-6214000,-1768000,-2125000,357000,-7982000,-7982000,-3858000,-11840000,-18455000,-18455000,-18455000,168689000,168689000,22893000,22893000,127307000,48402000,48402000,367291000,155689000,492349000,416140000,14027000,62182000,648038000,1015329000,183221000,53171000,130050000,183221000,120351000,206228000,206228000,326579000,509800000,217925000,287148000,456000,505529000,505529000,1015329000,-18455000,13762000,12011000,11891000,19209000,-6758000,-5621000,-555000,13033000,13033000,14000,13047000,7548000,120351000,16539000,0.41305,-0.01982,-0.05887,-0.03651,-0.01818,-0.89618,2.00463,1.00845,0.11853,-0.39808,-0.39808,6.76182,10.90442,0.35675,-0.02218,0.01988,-6.40408,7.77889
"32","2018_Q1",15.7983606557377,"Up",320902000,-185295000,135607000,-128030000,-39030000,-13757000,-75243000,7577000,-1448000,-2143000,695000,6129000,6129000,-1907000,4222000,1253000,1253000,1253000,171044000,171044000,19683000,19683000,98392000,81028000,48114000,370147000,123281000,518060000,416987000,11965000,89108000,641341000,1011488000,164936000,54501000,110435000,178062000,120599000,204606000,204606000,325205000,503267000,216429000,288456000,3336000,508221000,508221000,1011488000,1253000,13610000,15562000,-17184000,13241000,-6764000,-6140000,-5181000,1920000,1920000,1787000,3707000,21187000,120599000,-854000,0.42258,0.02361,0.00389999999999999,0.00247,0.00124,-0.68156,2.07875,0.99025,0.11923,0.0269299999999999,0.02716,6.89785,10.92432,-0.01836,0.0015,-0.00102,-2.38094,-6.65765
"33","2018_Q2",16.29265625,"Up",315464000,-169998000,145466000,-129866000,-35166000,-12255000,-82445000,15600000,-1718000,-2138000,420000,13882000,14004000,-5559000,8445000,-25322000,-25322000,-25322000,176312000,176312000,43276000,43276000,92914000,78786000,44043000,391288000,118629000,507001000,418209000,11805000,76987000,625630000,1016918000,154496000,51769000,102727000,201282000,120847000,206322000,206322000,327169000,528451000,216926000,265523000,6018000,488467000,488467000,1016918000,-25322000,12104000,30301000,-8079000,9004000,-5661000,-5661000,-1530000,1813000,1813000,680000,2493000,27704000,120847000,19523000,0.46112,0.04945,-0.08027,-0.05184,-0.0249,-0.77099,1.94398,1.08186,0.11884,-0.54249,-0.53991,6.75845,10.46483,0.41826,-0.03105,0.02394,-2.00206,-3.55545
"34","2018_Q3",19.1485714285714,"Up",313849000,-174714000,139135000,-177614000,-48592000,-24951000,-104071000,-38479000,-150000,-2169000,2019000,-38629000,-38733000,80825000,42092000,35491000,35491000,35491000,163300000,163300000,31895000,31895000,87347000,47814000,47814000,330356000,109448000,482083000,417709000,11416000,52958000,591531000,921887000,159936000,52738000,107198000,159936000,121096000,112284000,112284000,233380000,393316000,218636000,298146000,11789000,528571000,528571000,921887000,35491000,11425000,-65818000,-2514000,-21416000,-6587000,11521000,-884000,-10779000,-10779000,-427000,-11206000,-27054000,121096000,-116980000,0.44332,-0.1226,0.11308,0.06715,0.0385,-3.29605,2.06555,0.74411,0.13136,0.75801,0.75012,6.70317,11.28919,-2.49845,0.04658,-0.15353,1.55999,1.09681
"35","2018_Q4",17.8528571428571,"Down",289876000,-169220000,120656000,-112492000,-45727000,-9558000,-57207000,8164000,-2360000,-5095000,2735000,5804000,5786000,-1411000,4375000,-6230000,-6230000,-6230000,105200000,105200000,33388000,33388000,81131000,46488000,46488000,266207000,104127000,486871000,415503000,10935000,60433000,590998000,857205000,152841000,50913000,101928000,152841000,9e+07,101093000,101093000,191093000,343934000,210455000,292409000,10407000,513271000,513271000,857205000,-6230000,9930000,10749000,-24675000,-10226000,-3368000,-3695000,-44279000,-58200000,-58200000,-283000,-58483000,18094000,9e+07,-8538000,0.41623,0.02816,-0.02149,-0.01214,-0.00726999999999998,1.37047,1.74173,0.67008,0.10499,-0.13366,-0.13212,6.21891,11.01156,-0.18317,-0.00884,-0.01212,-0.84006,-1.86183
"36","2019_Q1",18.504262295082,"Up",294885000,-157273000,137612000,-122623000,-44560000,-11441000,-66622000,14989000,406000,-1090000,1496000,15395000,15395000,-8421000,6974000.00000001,4762000.00000001,4762000.00000001,4762000.00000001,110399000,110399000,52430000,52430000,79363000,47867000,47867000,290059000,105860000,460816000,412643000,10557000,37616000,566676000,856735000,158454000,57738000,100716000,158454000,9e+07,121843000,121843000,211843000,370297000,196699000,280083000,9656000,486438000,486438000,856735000,4762000.00000001,9712000,8802999.99999999,1689000,24966000,-3544000,-3741000,-15542000,5682999.99999999,5682999.99999999,-484000,5199000,24701000,9e+07,31267000,0.46666,0.05083,0.0161500000000001,0.00979,0.00556,6.56594,1.83056,0.76124,0.10505,0.10362,0.10181,6.4164,10.5844,0.68034,0.00682,0.04478,-0.82584,-1.36093
"37","2019_Q2",18.9388888888889,"Up",287835000,-153678000,134157000,-130728000,-47727000,-10202000,-72799000,3429000,-646000,-1006000,360000,2783000,-1177000,714000,-463000,-727000,-727000,-727000,115729000,115729000,29096000,29096000,87626000,33462000,33462000,265913000,101264000,453446000,402202000,10322000,40922000,554710000,820623000,141378000,55994000,85384000,141378000,9e+07,120888000,120888000,210888000,352266000,178200000,279420000,10737000,468357000,468357000,820623000,-727000,8371000,6867000,-32053000,-17542000,1164000,25781000,-20877000,-12638000,-12638000,388000,-12250000,11800000,9e+07,-19803000,0.46609,0.01191,-0.00253,-0.00155,-0.000890000000000001,27.23934,1.88087,0.75213,0.10967,-0.01625,-0.01625,6.43494,10.47076,-0.44272,-0.00107,-0.02915,-2.18042,-7.50335
"38","2019_Q3",17.95171875,"Down",274671000,-151281000,123390000,-124941000,-45836000,-8900000,-70205000,-1551000,-443000,-1072000,629000,-1994000,871000.000000001,-454000,416999.999999998,6530000,6530000,6530000,96954000,96954000,32329000,32329000,85583000,34267000,34267000,249133000,96133000,443889000,393774000,9736000,40379000,540022000,789155000,143761000,57127000,86634000,143761000,9e+07,130384000,130384000,220384000,364145000,131038000,285827000,8145000,425010000,425010000,789155000,6530000,8428000,-7199000,-1169999.99999999,6589000,6082000,6081000,-28166000,-15496000,-15496000,-562000,-16058000,6877000,9e+07,12243000,0.44923,-0.00565,0.02377,0.01536,0.00827,1.87489,1.73297,0.85679,0.11405,0.14971,0.14681,6.29705,9.74369,0.28068,0.01012,0.01897,-1.0112,4.48356
"39","2019_Q4",18.53453125,"Up",258343000,-142799000,115544000,-116995000,-41694000,-8630000,-66671000,-1451000,-890000,-1354000,464000,-2341000,-11563000,-3248000,-14811000,-14633000,-14633000,-14633000,71146000,71146000,33737000,33737000,90869000,32386000,32386000,228138000,83629000,427203000,378560000,9346000,39297000,510832000,738970000,140511000,57021000,83490000,140511000,9e+07,132649000,132649000,222649000,363160000,95487000,271273000,9050000,375810000,375810000,738970000,-14633000,7928000,14236000,-16851000,-9320000,24213000,24214000,-40700000,-25806000,-25806000,179000,-25627000,6477000,9e+07,17087000,0.44725,-0.00562,-0.05664,-0.03894,-0.0198,-1.1677,1.62363,0.96634,0.12179,-0.36264,-0.37054,6.40239,9.31352,0.42346,-0.02445,0.02855,2.91092,-12.9938
"40","2020_Q1",13.0209677419355,"Down",248190000,-133885000,114305000,-115035000,-41747000,-10116000,-63172000,-730000,-1087000,-1363000,276000,-1817000,-10398000,5133000,-5265000,-5396000,-5396000,-5396000,70141000,70141000,30143000,30143000,77322000,33216000,33216000,210822000,78090000,393925000,345718000,8761000,39446000,472015000,682837000,128283000,47532000,80751000,128283000,118910000,111399000,111399000,230309000,358592000,48995000,265908000,9342000,324245000,324245000,682837000,-5396000,8534000,7642000,-8031000,2749000,31712000,31712000,-36952000,-2491000,-2491000,30000,-2461000,7804000,118910000,26352000,0.46055,-0.00294,-0.02174,-0.01664,-0.0079,-4.88362,1.64341,1.10593,0.17414,-0.13973,-0.13973,6.42713,8.39665,0.68241,-0.00973,0.04752,6.24923,-66.80685
"41","2020_Q2",9.38111111111111,"Down",247038000,-116809000,130229000,-138635000,-40625000,-9380000,-88630000,-8406000,-1268000,-1439000,171000,-9674000,-17034000,2856000,-14178000,-13805000,-13805000,-13805000,58902000,58902000,28724000,28724000,74634000,32194000,32194000,194454000,71442000,1290821000,313251000,8416000,969154000,1362263000,1556717000,115460000,53219000,62241000,276867000,118719000,877392000,877392000,996111000,1272978000,22657000,252143000,8939000,283739000,283739000,1556717000,-13805000,7863000,4939000,-12477000,-13480000,33046000,32027000,-30303000,-11756000,-11756000,3000,-11753000,-543000,118719000,17170000,0.52716,-0.03403,-0.05588,-0.04865,-0.00887,-1.24375,0.70234,4.48644,0.07626,-0.38084,-0.38084,6.81503,7.8275,0.47367,-0.01079,0.01342,-110.16022,-7.11599
"42","2020_Q3",7.54,"Down",208765000,-94616000,114149000,-120893000,-32691000,-7747000,-80455000,-6744000,1405000,-1464000,2869000,-5339000,-18468000,1948000,-16520000,-16441000,-16441000,-16441000,49783000,49783000,27756000,27756000,68413000,32458000,32458000,178410000,68917000,1251270000,293019000,8159000,950092000,1320187000,1498597000,115294000,55587000,59707000,271448000,88485000,863603000,863603000,952088000,1223536000,23008000,242573000,9480000,275061000,275061000,1498597000,-16441000,6621000,8526000,-4555000,-5849000,18792000,27257000,-30232000,-8824000.00000001,-8824000.00000001,119000,-8705000.00000001,-123000,88485000,12166000,0.54678,-0.0323,-0.07875,-0.05977,-0.01097,-0.73998,0.65725,4.44824,0.05905,-0.45916,-0.45916,5.83028,7.68177,0.33977,-0.0134,0.00991,-314.65041,-5.73873
"43","2020_Q4",7.61765625,"Up",153783000,-76496000,77287000,-96376000,-31871000,-10359000,-54146000,-19089000,-1564000,-1712000,148000,-20653000,-68821000,979000,-67842000,-67541000,-67541000,-67541000,241037000,241037000,27602000,27602000,59029000,23211000,23211000,350879000,65880000,1134030000,226666000,7568000,899796000,1199910000,1550789000,82595000,39120000,43475000,232077000,301233000,819943000,819943000,1121176000,1353253000,22964000,167574000,6998000,197536000,197536000,1550789000,-67541000,9151000,48604000,-21906000,-31692000,3747000,3410000,212644000,184362000,184362000,-501000,183861000,-9938000,301233000,-29076000,0.50257,-0.12413,-0.4392,-0.34192,-0.04355,0.43049,1.51191,6.85067,0.19424,-1.88567,-1.88567,4.29346,5.51499,-0.81177,-0.05122,-0.02205,-6.05714999999992,-3.15344
"44","2021_Q1",10.9385245901639,"Up",60143000,-19056000,41087000,-87129000,-25766000,-9466000,-51897000,-46042000,-2742000,-2907000,165000,-48784000,-72490000,-1164000,-73654000,-73575000,-73575000,-73575000,113667000,113667000,31030000,31030000,62597000,19138000,19138000,226432000,57176000,1059186000,227457000,4579000,827150000,1116362000,1342794000,99743000,50918000,48825000,237014000,205481000,774596000,774596000,980077000,1217091000,23792000,94462000,7449000,125703000,125703000,1342794000,-73575000,9466000,27401000,1320000.00000001,-35388000,-1463000,-1665000,-95944000,-132997000,-132997000,95000.0000000001,-132902000,-36576000,205481000,-35555000,0.68316,-0.76554,-1.22333,-0.58531,-0.05479,0.48325,0.95535,9.68227,0.15302,-2.05116,-2.05116,1.67669,3.5044,-0.99122,-0.06654,-0.03215,-2.51023,-1.99414
"45","2021_Q2",10.678253968254,"Down",111396000,-15188000,96208000,-121975000,-69091000,-7376000,-45508000,-25767000,-3648000,-3762000,114000,-29415000,-35901000,635000,-35266000,-35266000,-35266000,-35266000,84969000,84969000,35916000,35916000,57695000,20057000,20057000,198637000,49994000,1003197000,227896000,4500000,770801000,1053191000,1251828000,106666000,49648000,57018000,236309000,205158000,720820000,720820000,925978000,1162287000,22379000,59211000,7951000,89541000,89541000,1251828000,-35266000,6087000,5319000,-5006000,-28866000,-76000,-201000,-425000,-29492000,-29492000,88000,-29404000,-19680000,205158000,-25397000,0.86366,-0.23131,-0.31658,-0.39385,-0.02817,0.72016,0.84058,12.9805,0.16389,-0.98212,-0.98212,3.10226,2.49362,-0.70728,-0.03473,-0.02501,-6.10716,-4.66445
"46","2021_Q3",6.5646875,"Down",104320000,-16039000,88281000,-111875000,-60300000,-6388000,-45187000,-23594000,-3298000,-3701000,402999.999999999,-26892000,-33278000,4e+05,-32878000,-32878000,-32878000,-32878000,50850000,50850000,31185000,31185000,51483000,17226000,17226000,150744000,43579000,910827000,228950000,4532000,677345000,954406000,1105150000,86199000,36922000,49277000,213848000,205140000,627714000,627714000,832854000,1046702000,23864000,25798000,8786000,58448000,58448000,1105150000,-32878000,5036000,8050000,-16806000,-36598000,-278000,825000,-826999.999999985,-36600000,-36600000,-156000,-36756000,-18558000,205140000,-36042000,0.84625,-0.22617,-0.31516,-0.56252,-0.02975,1.09623,0.70491,17.90826,0.18562,-0.91659,-0.91659,2.90828,1.62944,-1.0048,-0.03689,-0.04044,-8.31393,-6.53937
"47","2021_Q4",2.7165625,"Down",100267000,-1944000,98323000,-116031000,-73093000,-3620000,-39318000,-17708000,11936000,-3163000,15099000,-5772000,-11180000,333000,-10847000,-10847000,-10847000,-10847000,34510000,34510000,31254000,31254000,38221000,14082000,14082000,118067000,27080000,902836000,229221000,4186000,669429000,929916000,1047983000,80004000,28840000,51164000,203228000,177500000,617751000,617751000,795251000,998479000,25461000,14951000,9092000,49504000,49504000,1047983000,-10847000,2845000,-793000,-5748000,-14543000,-1512000,-1532000,-350000,-16425000,-16425000,74000,-16351000,-14863000,177500000,-22456000,0.98061,-0.17661,-0.10818,-0.21911,-0.01035,2.07025,0.58096,20.16966,0.16937,-0.30123,-0.30123,2.7845,1.37477,-0.62362,-0.01284,-0.02658,-9.62053,-8.07488
"48","2022_Q1",1.74290322580645,"Down",95668000,-32608000,63060000,63556130,106054130,-4365000,-38133000,126616130,-2251000,-2537000,286000,124365130,-28277870,4060000,-24217870,-34343150,-34343150,-34343150,19191000,19191000,26270000,26270000,20639000,20559000,17017000,86659000,16906000,892818000,188257000,3761000,700800000,909724000,996383000,78399000,27157000,51242000,198485000,186911000,593941000,593941000,780852000,979337000,26892000,-19389000,9543000,17046000,17046000,996383000,-34340000,3903000,15568000,-5007000,-19876000,-1172000,-1191000,9379000,-11688000,-11688000,471000,-11217000,130519130,186911000,120280130,0.65915,1.3235,-0.35898,-2.01473,-0.03447,-3.5023,0.4366,57.4526,0.18759,-0.953,-0.953,2.65472,0.47301,3.33768,-0.04304,0.15075,1.28502,1.32463
"49","2022_Q2",1.12790322580645,"Down",76818000,-15762000,61056000,-57832000,-20784000,-1539000,-35509000,3224000,-3366000,-3127000,-239000,-142000,-9330000,48000,-9282000,-10378000,-10378000,-10378000,45508000,45508000,21833000,21833000,16774000,16049000,16049000,100164000,22588000,846099000,229007000,3604000,613488000,868687000,968851000,68883000,20784000,48099000,182468000,195805000,550768000,550768000,746573000,929041000,60508000,-29767000,9069000,39810000,39810000,968851000,-10378000,1574000,3355000,-6805000,-12254000,-1524000,-1524000,40832000,27054000,27054000,-148000,26906000,4798000,195805000,-3579000,0.79481,0.04197,-0.1351,-0.26069,-0.01071,0.34486,0.54894,23.33688,0.2021,-0.28163,-0.28163,2.08461,1.08033,-0.09712,-0.0132,-0.00455,31.32493,46.61818
"50","2022_Q3",1.1,"Down",69270000,-3117000,66153000,-61522000,-15082000,-1605000,-44835000,4631000,-3171000,-3270000,99000.0000000009,1460000,-4274000,164000,-4110000,-4928000,-4928000,-4928000,35442000,35442000,16624000,16624000,16008000,15439000,15439000,83513000,22244000,820401000,229028000,3474000,587899000,842645000,926158000,57620000,18579000,39041000,168217000,194177000,525476000,525476000,719653000,887870000,63878000,-34695000,9105000,38288000,38288000,926158000,-4928000,1710000,-198000.000000002,-8658000,-12074000,-1423000,-1423000,2796000,-10701000,-10701000,14000,-10687000,6341000,194177000,-3904000,0.955,0.06685,-0.07114,-0.12871,-0.00532,0.79221,0.49646,23.18925,0.20966,-0.13373,-0.13373,1.87978,1.03902,-0.10594,-0.0065,-0.00515,25.03312,34.27661
