"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2018_Q2",18.5628125,"Up",1045287000,-988335000,56952000,-60877000,-26003000,-3925000,-21557000,-21491000,-66000,-25482000,-25482000,6027000,-19455000,-19455000,-24117000,-24117000,240964000,240964000,151936000,151936000,659026000,94144000,17129000,19991000,24271000,1146070000,1157825000,355974000,173095000,1513799000,2659869000,164785000,118168000,46617000,602610000,12086000,779481000,767784000,67028000,14066000,834812000,1614293000,684604000,-55184000,299250000,650000,929320000,1045576000,2659869000,-19455000,-19455000,26474000,-5840000,-42270000,-41091000,-7352000,-872000,7979000,-2890000,-5162000,-47125000,-47125000,-47125000,22549000,1370394000,-33100000,0.05448,-0.00375,-0.02307,-0.02307,-0.00907,1.37248,1.4703,1.54393,0.51521,-0.60046,-0.60046,26.02547,23.13813,-0.82412,-0.00558,-0.01333,50.08781,-287.75287
"32","2018_Q3",16.6538095238095,"Down",986837000,-910625000,76212000,-64447000,-29731000,11765000,-18767000,-21312000,2545000,-7002000,-7002000,10753000,3751000,3751000,-994000,-994000,235133000,235133000,137068000,137068000,625302000,95316000,14915000,30647000,15863000,1092819000,1139249000,353705000,170826000,1492954000,2585773000,175432000,121573000,53859000,527224000,22868000,725524000,768111000,55025000,14434000,823136000,1548660000,687516000,-55183000,293405000,-4208000,921530000,1037113000,2585773000,3751000,3751000,26823000,-6655999.99999999,63032000,86950000,-7288000.00000001,-10150000,-80587000,-123000,-91039000,-14239000,-14239000,-14239000,38588000,1295335000,83579000,0.07723,0.01192,-0.00101,-0.000960000000000006,-0.000380000000000004,-84.0835,1.50625,1.49324,0.50095,-0.02474,-0.0247400000000002,24.56529,22.93961,2.08053,0.00391,0.03501,27.47491,90.1149200000001
"33","2018_Q4",16.0250793650794,"Down",1000100000,-936384000,63716000,-63067000,-25083000,649000,-22726000,-22609000,-117000,-22077000,-22077000,14658000,-7419000,-7419000,-12469000,-12469000,171674000,171674000,134950000,134950000,765198000,115791000,15529000,24254000,62797000,1187613000,1143551000,353670000,170791000,1497221000,2684834000,203618000,155663000,47955000,622180000,41725000,867523000,767177000,35999000,14235000,803176000,1670699000,695190000,-55183000,276082000,-17176000,898913000,1014135000,2684834000,-7419000,-7419000,30713000,-7669000,22904000,38529000,-16474000,-139445000,94934000,-202000,84391000,-16525000,-16525000,-16525000,31362000,1389357000,23134000,0.06371,0.00065,-0.01247,-0.0123,-0.00464,-1.85532,1.36897,1.64741,0.51748,-0.30994,-0.30994,24.85894,22.34379,0.57503,-0.00087,0.00948,38.8267,1876.24499
"34","2019_Q1",14.8127868852459,"Down",-48292000,28376000.0000001,-19916000,-48970000,-27442000,-68886000,-21260000,-19076000,-2184000,-90146000,60205000,-11291000,48318000,59857000,53503000,53503000,251683000,251683000,100361000,100361000,734883000,119715000,14470000,26315000,66512000,1206642000,886576000,123214000,88525000,1009790000,2216432000,215874000,156901000,58973000,593050000,24776000,833700000,298190000,21553000,11430000,319743000,1153443000,696269000,-58162000,324728000,-16016000,946819000,1062989000,2216432000,59857000,48318000,14248000,-127803000,-1160000,-45421000,662235000,657932000,-618268000,-354000,-528787000,83724000,83724000,83724000,-54638000,891240000,617728000,0.41241,1.42645,-1.10791,0.05033,0.02414,11.54567,1.44733,1.08509,0.40211,1.31415,1.20369,-1.18616,23.25594,15.17275,0.03231,0.31265,-11.70535,-9.28428000000008
"35","2019_Q2",14.7812698412698,"Down",642315000,-635575000,6740000,-46745000,-20646000,-40005000,-12326000,-13164000,838000,-52331000,-52331000,14460000,-37871000,-37871000,-42799000,-42799000,214068000,214068000,66566000,66566000,707025000,95292000,12290000,11568000,59174000,1082951000,879046000,185583000,143260000,1064629000,2147580000,150506000,103729000,46777000,582263000,33170000,765939000,301033000,56801000,50956000,357834000,1123773000,701720000,-58162000,277082000,-12523000,908117000,1023807000,2147580000,-37871000,-37871000,19235000,-6879000,4732000,-20783000,-7654000,-7654000,-10903000,4721000,-16516000,-44953000,-44953000,-44953000,-20770000,883296000,-38152000,0.01049,-0.06228,-0.06663,-0.0418,-0.01993,0.89142,1.41389,1.09764,0.4113,-1.06161,-1.06161,15.93241,22.52554,-0.94635,-0.01653,-0.01943,-32.2209,-16.72861
"36","2019_Q3",9.56171875,"Down",895853000,-888257000,7596000.00000001,-46976000,-21648000,-39380000,-15452000,-15046000,-406000,-54832000,-54832000,14653000,-40179000,-40179000,-45342000,-45342000,193280000,193280000,108700000,108700000,658506000,125702000,11993000,60202000,40628000,1086188000,872154000,182385000,144114000,1054539000,2140727000,165665000,105802000,59863000,524754000,26337000,716756000,370880000,58517000,53039000,429397000,1146153000,726115000,-98032000,226869000,24177000,879129000,994574000,2140727000,-40179000,-40179000,19094000,-4111999.99999999,13771000,-11426000,-12658000,-12658000.0000001,35093999.9999999,-116000,-15250000,-39334000,-39334000,-39334000,-20286000,895634000,-33826000,0.00847999999999999,-0.0439599999999999,-0.05061,-0.04559,-0.02118,0.74602,1.51542,1.15241,0.41838,-1.13115,-1.13115,22.34883,21.93162,-0.843859999999999,-0.01795,-0.01736,-34.6226,-17.8353
"37","2019_Q4",13.60296875,"Up",163392000,-176649000,-13257000,-35006000,-14156000,-48263000,-307000,-505000,198000,-48570000,-48570000,11579000,-36457000,-35491000,-38970000,-38970000,235537000,235537000,64322000,64322000,250614000,71582000,10578000,29569000,18502000,622055000,809041000,167946000,110679000,1070016000,1692071000,170255000,126815000,43440000,282142000,31518000,483915000,248289000,53405000,51502000,301694000,785609000,730855000,-114046000,187899000,-11754000,792954000,906462000,1692071000,-35491000,-36457000,14634000,-4177000,39410000,31845000,-19591000,53380000,6888000,-7000,-65094000,20131000,20131000,20131000,-33629000,530431000,-25389000,-0.08114,-0.29538,-0.23851,-0.04299,-0.02303,0.6515,1.28546,0.86668,0.31348,-1.05678,-1.05678,4.43085,21.50325,-0.6885,-0.02246,-0.01704,-8.76904,-6.11015
"38","2020_Q1",10.7927419354839,"Down",715678000,-684466000,31212000,-46134000,-20627000,-14922000,-2287000,-7152000,4865000,-17209000,-17209000,-19376000,-34322000,-34459000,-39749000,-39749000,245977000,245977000,107183000,107183000,252992000,61761000,13685000,17941000,23919000,667913000,827271000,134036000,134036000,1030305000,1698218000,196077000,156693000,39384000,320367000,25347000,541791000,243990000,47151000,47151000,291141000,832932000,734627000,-119808000,148150000,-11064000,751905000,865286000,1698218000,-34459000,-34322000,19164000,21495000,-15368000,-9168000,-32109000,-2424000,37332000,-219000,27449000,15857000,15857000,15857000,4242000,564357000,-23859000,0.04361,-0.02085,-0.05554,-0.04594,-0.02341,0.60024,1.23279,0.96261,0.33232,-1.13026,-1.13026,20.35026,21.38037,-0.67843,-0.02319,-0.01616,75.0542200000001,-21.33628
"39","2020_Q2",7.3668253968254,"Down",632869000,-617228000,15641000,-45878000,-21638000,-30237000,-8268000,-9104000,836000,-38505000,-62596000,44283000,-10347000,-10347000,-16445000,-16445000,194333000,194333000,34447000,34447000,214336000,123269000,12550000,57161000,11191000,566385000,843466000,97134000,97134000,1071713000,1638098000,131690000,96053000,35637000,297828000,31683000,461201000,247210000,49607000,49607000,296817000,758018000,734663000,-131287000,131705000,30939000,766020000,880080000,1638098000,-10347000,-10347000,18080000,1906000,8138000,17777000,-38792000,-39890000,-24073000,-1209000,-42259000,-64372000,-64372000,-64372000,-12157000,545038000,-87094000,0.02471,-0.04778,-0.02598,-0.01869,-0.01004,5.29608,1.22807,0.86131,0.33273,-0.4744,-0.4744,18.25671,22.09779,-2.51245,-0.00742,-0.05906,-28.84799,-11.59854
"40","2020_Q3",13.70234375,"Up",388024000,-360896000,27128000,-46496000,-20518000,-19368000,-9609000,-9623000,13999.9999999995,-28977000,-28977000,11458000,-5474000,-5474000,-8214000,-8214000,163362000,163362000,67185000,67185000,173121000,112387000,15465000,18974000,20234000,516055000,850369000,90888000,90888000,1055020000,1571075000,125797000,93566000,32231000,168072000,30143000,324012000,341219000,48574000,48574000,389793000,713805000,736735000,-131287000,123491000,12840000,741779000,857270000,1571075000,-5474000,-5474000,19375000,12288000,21971000,48160000,-25089000,-28089000,-37333000,-3277000,-41999000,-21928000,-21928000,-21928000,6999.99999999627,509291000,-14569000,0.06991,-0.04991,-0.02117,-0.00958,-0.00523,1.77368,1.5927,0.83265,0.32417,-0.23738,-0.23738,11.21359,21.43684,-0.42103,-0.00482,-0.0103,49418.42857,-17.86085
"41","2020_Q4",15.20640625,"Up",424062000,-393933000,30129000,-46334000,-19934000,-16205000,-10154000,-10166000,12000,-26359000,-24359000,-7280000,-30733000,-30733000,-34486000,-34486000,150407000,150407000,54482000,54482000,184661000,119127000,14634000,14687000,31877000,508677000,858490000,96690000,96690000,1028743000,1537420000,118248000,89566000,28682000,180992000,32240000,331480000,345056000,57329000,57329000,402385000,733865000,738821000,-131287000,89005000,-10913000,685626000,803555000,1537420000,-30733000,-30733000,19753000,26751000,-5260000,10511000,-21495000,-21495000,11768000,-702000,9672000,-1312000,-1312000,-1312000,3548000,526048000,-15927000,0.07105,-0.03821,-0.08132,-0.04292,-0.02243,0.46184,1.53456,0.91327,0.34216,-0.9959,-0.9959,12.24622,19.79976,-0.45995,-0.02386,-0.01148,105.87401,-23.18056
"42","2021_Q1",22.897868852459,"Up",478764000,-440106000,38658000,-50593000,-48967000,-11935000,-10403000,-10441000,38000,-22338000,-45198000,1922000,-43100000,-43100000,-49630000,-49630000,233860000,233860000,55568000,55568000,269491000,83434000,16531000,25292000,40950000,642353000,801690000,134874000,134874000,936564000,1578917000,178529000,140058000,38471000,238860000,35167000,452556000,287299000,62398000,62398000,349697000,802253000,740936000,-131287000,39375000,-2172000,646852000,776664000,1578917000,-43100000,-28304093.7687422,21036000,28506000,16005000,22447000,14749000,78022000,-6576000,27000,-7943000,92526000,92526000,92526000,9101000,526159000,37933000,0.08075,-0.02493,-0.10366,-0.0639,-0.03143,-0.76432,1.41939,1.03295,0.33324,-1.43323,-1.43323,13.82592,18.68003,1.09544,-0.03533,0.02779,32.1172400000073,-24.49091
"43","2021_Q2",29.8271428571429,"Up",553640000,-509233000,44407000,-49953000,-23518000,-5546000,-31639000,-31649000,10000,-37185000,-292000,-1862000,-1979000,-1979000,-6545000,-6545000,446833000,446833000,62519000,62519000,258759000,242429000,14988000,19365000,207593000,1010540000,799546000,134540000,134540000,934086000,1944626000,129208000,92972000,36236000,235546000,56725000,421479000,537880000,64738000,64738000,602618000,1024097000,883005000,-131287000,44248000,-8398000,787568000,920529000,1944626000,-1979000,-1979000,20681000,-8946000,-46737000,-36981000,42322000,42322000,193624000,-9088000,374275000,379616000,379616000,379616000,15135000,773426000,12582000,0.08021,-0.01002,-0.01182,-0.00711,-0.00337,-1.92238,2.3976,1.11251,0.39772,-0.17363,-0.17363,14.68736,20.89317,0.33378,-0.00293,0.00715,21.57866,-58.88803
"44","2021_Q3",34.29890625,"Up",724418000,-639408000,85010000,-50152000,-23383000,34858000,-19867000,-18617000,-1250000,14991000,11166000,4783000,16117000,16117000,9743000,9743000,496932000,496932000,80298000,80298000,275001000,177679000,16450000,41701000,118441000,1029910000,808221000,154823000,154823000,963044000,1992954000,158980000,102404000,56576000,176384000,35263000,370627000,538619000,78478000,78478000,617097000,987724000,901012000,-91626000,53991000,694000,864071000,1005230000,1992954000,16117000,16117000,20532000,12211000,-42091000,6769000,-28375000,-32375000,-11376000.0000001,-676000,-13447000,-39053000,-39053000,-39053000,55390000,715003000,-19859000,0.11735,0.04812,0.01345,0.00969,0.00489,-2.03828,2.77883,0.98259,0.35877,0.25847,0.25847,19.21788,22.9227,-0.52683,0.00619,-0.01104,3.93700999999997,6.25598000000001
"45","2021_Q4",37.180625,"Up",746791000,-730179000,16612000,-59464000,-31184000,-42852000,-9903000,-9463000,-440000,-52755000,-54578000,-7000,-54411000,-54411000,-59622000,-59622000,589822000,589822000,90271000,90271000,243207000,194226000,15730000,45691000,131073000,1117526000,842141000,153537000,153537000,995678000,2113204000,155190000,112459000,42731000,196947000,52167000,404304000,514434000,76848000,76848000,591282000,995586000,1067648000,-91626000,-5631000,1038000,971429000,1117618000,2113204000,-54411000,-15488321.8815491,28280000,6746000,21725000,2340000,-50417000,-53417000,-6251000,-630000,156599000,105522000,105522000,105522000,-14572000,711381000,-43257000,0.02224,-0.05738,-0.07984,-0.05335,-0.02821,0.72552,2.76407,0.89081,0.33664,-1.18105,-1.18105,14.79321,19.24308,-0.85688,-0.03055,-0.0227,-8.34196,-2.83672
"46","2022_Q1",31.3961290322581,"Down",802319000,-746289000,56030000,-46583000,-36115000,9447000.00000001,-7100000,-6840000,-260000,2346999.99999999,702999.999999985,-4759000,-3873000.00000002,-3872999.99999999,-9567999.99999999,-9567999.99999999,551079000,426220000,119961000,119961000,267838000,152133000,16483000,44136833.1937128,134739000,1091011000,893517000,175227000,148489000,1068744000,2159755000,203043000,146063000,56980000,208703000,60058000,471804000,514006000,71926000,71926000,585932000,1057736000,1069635000,-91626000,-15199000,-12310000,950500000,1102019000,2159755000,-3872999.99999999,-59236713.9246222,22459000,11116000,2416000.00000001,32118000,-63508000,-192815000,10050000,-4192000,760999.99999997,-159936000,-159936000,-159936000,31906000,722709000,-24427000,0.06984,0.01177,-0.01193,-0.00868000000000001,-0.00443000000000001,2.55299,2.31242,0.95982,0.33463,-0.18953,-0.18953,15.89317,18.82849,-0.48388,-0.00237,-0.01288,5.37924000000001,18.16767
"47","2022_Q2",31.2853225806452,"Down",781435000,-772509000,8926000,-56828000,-30863000,-47902000,-8324000,-8735000,411000,-56226000,-56226000,1153000,-55872000,-55872000,-61474000,-61474000,534137000,509195000,142041000,142041000,313950000,172478000,20675000,56087000,95070000,1162606000,940912000,148983000,148983000,1089895000,2252501000,153287000,106308000,46979000,345891000,81479000,580657000,557937000,71300000,71300000,629237000,1209894000,1067713000,-91626000,-76673000,-8889000,890525000,1042607000,2252501000,-55872000,-55872000,20399000,2859000,-129926000,-162540000,-61984000,37933000,179295000,-6260000,167913000,43306000,43306000,43306000,-27503000,903828000,-220566000,0.01142,-0.0613,-0.07867,-0.05896,-0.02729,3.58796,2.00223,1.16045,0.40126,-1.16428,-1.16428,14.79991,16.866,-4.17739,-0.02793,-0.10931,-13.44184,-7.71765
"48","2022_Q3",33.7809375,"Up",1012394000,-921314000,91080000,-57239000,-30113000,33841000,21171000,-6994000,28165000,55012000,55012000,-2895000,52720000,52720000,46398000,46398000,533117000,508151000,158363000,158363000,315040000,92829000,20634000,95905000.4188617,71128000,1099349000,980917000,215742000,155395000,1196659000,2296008000,172278000,127163000,45115000,407569000,67727000,647574000,495027000,71678000,71678000,566705000,1214279000,1069983000,-91626000,-30275000,-16909000,931173000,1081729000,2296008000,52720000,52720000,20967000,6654000,-24442000,55899000,-66299000,-73275000,-5000,-1476000,-7610000,-24986000,-24986000,-24986000,54808000,902596000,-33038000,0.08996,0.03343,0.04583,0.04289,0.02021,-0.71206,1.69764,1.12254,0.39312,0.87489,0.69359,19.08989,17.55837,-0.622970000000001,0.02555,-0.01607,6.74133,10.91809
