"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"35","2020_Q2",0.443174603174603,"Down",57227000,-44013000,13214000,-37844000,-24630000,-741000,-741000,-25371000,-41706000,-20000,-41726000,-41726000,-41726000,-41726000,26147000,26147000,1938000,1938000,108325000,4963000,4963000,141373000,69645000,167287000,1150000,166137000,236932000,378305000,31861000,31861000,169098000,176874000,176874000,191701000,360799000,314167000,-92658000,-197780000,-6223000,17506000,17506000,378305000,-41726000,5732000,16971000,2212000,-16811000,-1590000,-1590000,40210000,21809000,21809000,21809000,-18898000,94359000,-18256000,0.2309,-0.43039,-0.72913,-2.38353,-0.1103,0.43752,0.83604,20.61002,0.24943,-0.82206,-0.82206,1.12745,0.34489,-0.35967,-0.14451,-0.06323,-3.60948,-2.76947
"36","2020_Q3",0.355625,"Down",76442000,-54945000,21497000,-31135000,-9638000,-1052000,-1052000,-10690000,-10690000,-24000,-10714000,-10714000,-10714000,-10714000,20414000,20414000,2574000,2574000,87388000,9908000,9908000,120284000,65258000,158838000,1150000,157688000,224096000,344380000,18533000,18533000,151603000,170551000,170551000,185392000,336995000,314512000,-92658000,-208494000,-5975000,7385000,7385000,344380000,-10714000,5340000,382000.000000002,12807000,7815000,-538000,-538000,-13010000,-5733000.00000001,-5733000.00000001,-5733000.00000001,-4298000,81386000,7995000.00000001,0.28122,-0.12608,-0.14016,-1.45078,-0.03111,-0.746219999999997,0.79341,45.63236,0.23633,-0.20976,-0.20976,1.49657,0.14458,0.15653,-0.04132,0.03083,-14.18613,-6.32621
"37","2020_Q4",0.295,"Down",85171000,-54099000,31072000,-38122000,-7050000,-1080000,-1080000,-8130000,-6995000,-27000,-7022000,-7022000,-7022000,-7022000,21417000,21417000,5222000,5222000,94898000,5535000,5535000,127072000,60617000,149230000,1150000,148080000,209847000,336919000,28580000,28580000,165052000,155955000,155955000,170810000,335862000,314959000,-92658000,-215516000,-5728000,1057000,1057000,336919000,-7022000,5302000,-653000,2734000,361000,-810000,-810000,1452000.00000001,1003000,1003000,1003000,-1748000,82874000,203000,0.36482,-0.08277,-0.08245,-6.64333,-0.02084,-0.02891,0.76989,317.75024,0.24598,-0.13623,-0.13623,1.65236,0.02051,0.00394,-0.02927,0.00085,-35.15847,-8.7173
"38","2021_Q1",0.652459016393443,"Up",100106000,-61024000,39082000,-43438000,-4356000,-1044000,-1044000,-5400000,-5041000,-35000,-5076000,-5076000,-5076000,-5076000,18997000,18997000,6416000,6416000,85028000,3689000,3689000,114130000,56552000,136073000,1150000,134923000,192625000,306755000,51916000,27091000,95514000,140928000,140928000,215318000,310832000,315394000,-92658000,-220592000,-6221000,-4077000,-4077000,306755000,-5076000,5103000,115000,7265000,7407000,-1305000,-1305000,-8522000,-2420000,-2420000,-2420000,746999.999999999,117988000,6742000,0.39041,-0.04351,-0.05071,1.24503,-0.01655,-1.32821,1.1949,-76.24037,0.38463,-0.09783,-0.09783,1.92931,-0.07857,0.12994,-0.01992,0.02646,132.51807,-22.72521
"39","2021_Q2",2.33444444444444,"Up",111494000,-60661000,50833000,-41618000,9215000,-1142000,-1142000,8073000,8725000,-28000,8697000,8697000,8697000,8697000,5843000,5843000,4671000,4671000,88390000,6381000,6381000,105285000,52591000,131809000,1150000,130659000,184400000,289685000,31639000,31639000,128865000,134667000,134667000,151336000,280201000,320205000,-92658000,-211895000,-6168000,9484000,9484000,289685000,8697000,4500000,-1000,-5431000,7765000,-803000,-803000,-20116000,-13154000,-13154000,-13154000,13715000,50114000,7509000,0.45593,0.08265,0.078,0.91702,0.03002,0.8634,0.81702,29.5446,0.17299,0.16948,0.16948,2.17265,0.18481,0.14633,0.04477,0.03865,3.22793,4.80423
"40","2021_Q3",5.2359375,"Up",138590000,-66988000,71602000,-46165000,25437000,-925000,-925000,24512000,24877000,-426000,24451000,24451000,24451000,24451000,5845000,5845000,2010000,2010000,73368000,5757000,5757000,86980000,48808000,126664000,1150000,125514000,175472000,262452000,47369000,19877000,84600000,126885000,126885000,143426000,228026000,320635000,-92658000,-187444000,-6107000,34426000,34426000,262452000,24451000,4389000,174000,5464000,34478000,-920000,-920000,-33556000,2000,2000,2000,29826000,16834000,34796000,0.51665,0.18354,0.17643,0.71025,0.09316,1.42309,1.02813,6.62365999999997,0.06414,0.3891,0.37082,2.20544,0.54784,0.55372,0.13725,0.19532,0.368440000000006,0.432010000000001
"41","2021_Q4",6.74984375,"Up",121486000,-60529000,60957000,-46104000,14853000,-2189000,-2189000,12664000,13750000,-94000,13656000,13656000,13656000,13656000,6937000,6937000,1604000,1604000,82284000,6926000,6926000,97751000,45769000,120401000,1150000,119251000,166170000,263921000,62518000,29765000,99668000,116520000,116520000,116520000,216188000,320207000,-92658000,-173788000,-6028000,47733000,47733000,263921000,13656000,4142000,119000,3990000,21907000,-1079000,-1079000,-19736000,1092000,1092000,1092000,18995000,37150000,2.2e+07,0.50176,0.12226,0.11241,0.28609,0.05174,1.61101,0.98077,4.52911,0.14076,0.21731,0.2071,1.93326,0.7596,0.3501,0.0678,0.10923,1.59058,2.03413
"42","2022_Q1",4.81612903225806,"Down",133451000,-67019000,66432000,-56301000,10131000,-93999.9999999998,-93999.9999999998,10037000,10278000,-369000,9909000,9909000,9909000,9909000,15506000,15506000,2110000,2110000,81764000,6615000,6615000,105995000,44442000,129521000,1150000,128371000,173963000,279958000,60267000,25165000,95458000,5867000,5867000.00000001,126281000,221739000,320281000,-92658000,-163879000,-5525000,58219000,58219000,279958000,9909000,4195000,146000,-2859000,11391000,-2470000,-2470000,-352000,8569000,8569000,8569000,14326000,155605000,9366000,0.4978,0.07592,0.07425,0.1702,0.03539,0.9452,1.11038,3.80871,0.55582,0.15598,0.14655,2.1007,0.91644,0.14743,0.0451,0.04263,9.77935,13.82874
"43","2022_Q2",4.50483870967742,"Down",127655000,-63788000,63867000,-50584000,13283000,-143000,-143000,13140000,13491000,-103000,13388000,13388000,13388000,13388000,7540000,7540000,1172000,1172000,96868000,8077000,8077000,113657000,42150000,131587000,1150000,130437000,173737000,287394000,57858000,29413000,94362000,124972000,124972000,124972000,219334000,321518000,-97505000,-150491000,-5462000,68060000,68060000,287394000,13388000,3987000,159000,-19077000,-1543000,-1184000,-1184000,-5239000,-7966000,-7966000,-7966000,17270000,36504000,-2888000,0.50031,0.10405,0.10488,0.19671,0.04658,-0.21572,1.20448,3.22266,0.12702,0.20893,0.19582,1.99212,1.06211,-0.04507,0.05833,-0.01258,1.67713,2.18053
"44","2022_Q3",4.76453125,"Up",144634000,-69316000,75318000,-53453000,21865000,-1e+05,-1e+05,21765000,21812000,35130000,56942000,56942000,56942000,56942000,22176000,22176000,1450000,1450000,96728000,8504000,8504000,128858000,39763000,164698000,1150000,128010000,204461000,333319000,57549000,27962000,94663000,120961000,120961000,120961000,215624000,322027000,-105386000,-93549000,-5397000,117695000,117695000,333319000,56942000,3992000,-35054000,-488000,25392000,-2872000,-2872000,-7884000,14636000,14636000,14636000,25857000,37114000,-12633000,0.52075,0.15117,0.3937,0.48381,0.17083,-0.22186,1.36123,1.83206,0.11135,0.90834,0.85409,2.3072,1.87747,-0.20152,0.20648,-0.04581,0.577719999999998,0.683190000000001
