"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","non_cash_items","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","return_on_invested_capital","net_debt_ebit"
"32","2018_Q1",254.618196721311,"Up",621295000,-276038000,345257000,-277771000,-201730000,-76041000,67486000,-10030000,-5781000,-1460000,-2789000,57456000,45950000,36784000,82734000,82734000,82734000,82734000,754978000,383824000,371154000,464847000,464847000,594804000,162020000,15885000,1976649000,493496000,1305150000,-811654000,775131000,174113000,506069000,94949000,2296363000,4273012000,346755000,135182000,191771000,155941000,127288000,502696000,434581000,405485000,183276000,840066000,1342762000,361234000,1830439000,738794000,2930250000,2930250000,4273012000,69365000,69365000,-29839000,15737000,-13083000,-96000,10982000,10982000,-7310000,3576000,59858000,59858000,-4917000,54941000,434581000,0.55571,0.10862,0.13316,0.02823,0.01936,3.9321,0.45824,0.1017,2.77939,2.74253,20.87194,98.43955,0.02194,-4.74761
"33","2018_Q2",276.11671875,"Up",551519000,-249316000,302203000,-258557000,-209130000,-49427000,43646000,4109000,-5782000,-1254000,11145000,47755000,863689000,-206915000,656774000,656774000,656774000,656774000,762933000,407272000,355661000,430361000,430361000,612217000,171605000,171605000,1977116000,499708000,1320930000,-821222000,756320000,168212000,510359000,77749000,4237796000,6214912000,301742000,259365000,42377000,154456000,154087000,456198000,434678000,835945000,190988000,1270623000,1726821000,370991000,4013232000,104085000,4488091000,4488091000,6214912000,40346000,40346000,-20247000,1434000,-18816000,-87000,3872000,3872000,-1270000,2515000,24045000,24045000,-1383000,22662000,434678000,0.54795,0.07914,1.19085,0.14634,0.10568,4.3339,0.38476,0.06994,22.04901,21.76839,18.51543,150.67281,0.11405,-7.52084999999999
"34","2018_Q3",310.385396825397,"Up",575911000,-274244000,301667000,-257875000,-210425000,-47450000,43792000,9896000,-5977000,15000,15858000,53688000,340086000,-72043000,268043000,268043000,268043000,268043000,818247000,403006000,415241000,404091000,404091000,591433000,178563000,178563000,1992334000,490249000,1289367000,-799118000,732820000,158035000,500022000,74763000,4393889000,6386223000,291306000,261721000,29585000,151115000,149394000,442421000,438776000,866080000,179174000,1304856000,1747277000,376598000,4281275000,-18710000,4638946000,4638946000,6386223000,77862000,77862000,-22631000,-61477000,-83842000,-1418000,-597999.999999999,-598000,4.65661287307739e-10,-2016000,-7996000,-7996000,4436000,-3560000,438776000,0.52381,0.07604,0.46542,0.05778,0.04197,4.50325,0.37665,0.06871,8.99051,8.87002,19.3168,155.59623,0.0451,-8.6653
"35","2018_Q4",268.306031746032,"Down",545138000,-258422000,286716000,-250441000,-201196000,-49245000,36275000,-4151000,-6064000,-672000,2585000,32124000,350131000,-80805000,269326000,269326000,269326000,269326000,860570000,434517000,426053000,381526000,381526000,601053000,191048000,191048000,2034197000,484323000,1295884000,-811561000,725821000,150662000,501903000,73256000,4684465000,6718662000,301811000,257028000,44783000,151348000,149576000,453159000,438803000,926219000,172271000,1365022000,1818181000,382396000,4550601000,-32299000,4900481000,4900481000,6718662000,62277000,62277000,-21836000,-7673000,-29509000,-90000,-1278000,-1278000,-808000,-2176000,30592000,30592000,912000,31504000,438803000,0.52595,0.06654,0.49405,0.05496,0.04009,4.48893,0.37102,0.06531,9.01872,8.89099,18.25463,164.09875,0.04299,-11.62693
"36","2019_Q1",269.859508196721,"Up",616847000,-284282000,332565000,-267106000,-214032000,-53074000,65459000,-84000,-6139000,-950000,7005000,65375000,-1041247000,212718000,-828529000,-828529000,-828529000,-828529000,844796000,431526000,413270000,392443000,392443000,583815000,202424000,15175000,2023478000,508690000,1326829000,-818139000,423191000,133123000,219770000,70298000,3587590000,5611068000,322148000,122450000,172185000,128647000,101218000,450795000,438937000,701005000,147766000,1139942000,1590737000,394345000,3722073000,-46958000,4020331000,4020331000,5611068000,105009000,105009000,-53835000,-979000.000000007,-54811000,-1366000,-36775000,12137000,-8862000,-47003000,3195000.00000001,3195000.00000001,-4620000,-1424999.99999999,438937000,0.53914,0.10612,-1.34317,-0.20608,-0.14766,4.48869,0.39567,0.07823,-27.72855,-27.40751,20.64414,134.54923,-0.16056,-6.2002
"37","2019_Q2",299.430793650794,"Up",553979000,-242217000,311762000,-255156000,-207581000,-47575000,56606000,11430000,-5986000,-1280000,18696000,68036000,1127266000,-262071000,865195000,865195000,865195000,865195000,858989000,455890000,403099000,391699000,391699000,590438000,190517000,26558000,2031643000,502952000,1330536000,-827584000,656407000,139382000,230541000,286484000,4831271000,6862914000,280985000,239018000,41967000,163321000,161564000,444306000,437606000,1117147000,336242000,1554753000,1999059000,402850000,4585701000,-80965000,4863855000,4863855000,6862914000,42943000,42943000,-16152000,9522000,-22713000,-237000,0,0,2398000,2161000,22391000,22391000,1982000,24373000,437606000,0.56277,0.10218,1.56178,0.17788,0.12607,4.57262,0.411,0.06376,29.03242,28.7402,18.58928,163.21113,0.13479,-7.44414
"38","2019_Q3",326.21359375,"Up",572619000,-264850000,307769000,-251379000,-201257000,-50122000,56390000,-3178000,-5841000,-1233000,3896000,53212000,769601000,-170791000,598810000,598810000,598810000,598810000,981856000,580684000,401172000,377904000,377904000,589897000,138283000,15863000,2087940000,499180000,1349435000,-850255000,642585000,127476000,235401000,279708000,5559005000,7646945000,284325000,246809000,37516000,161652000,159885000,445977000,437680000,1276478000,333038000,1714158000,2160135000,410604000,5184511000,-49573000,5486810000,5486810000,7646945000,155402000,155402000,-22222000,7151000,-15071000,-580000,-11089000,3912000,-3976000,-15645000,124686000,124686000,145000,124831000,437680000,0.53748,0.09848,1.04574,0.10914,0.07831,4.68172,0.3937,0.05724,20.08553,19.86366,19.20702,184.04085,0.08316,-9.65022
"39","2019_Q4",352.545625,"Up",560633000,-253607000,307026000,-249566000,-201622000,-47944000,57460000,-2056000,-5525000,-898000,4367000,55404000,-335216000,76400000,-258816000,-258816000,-258816000,-258816000,979248000,561071000,418177000,356025000,356025000,587987000,124372000,14788000,2047632000,495876000,1347364000,-851488000,701893000,146965000,264084000,290844000,5129484000,7177116000,285087000,249835000,35252000,148953000,147184000,434040000,437808000,1174076000,336075000,1611884000,2045924000,396435000,4917313000,-152113000,5131192000,5131192000,7177116000,99750000,99750000,-31092000,-19089000,-109909000,3675000,829000,5828000,-8995000,-4491000,-14650000,-14650000,-5366000,-20016000,437808000,0.54764,0.10249,-0.46165,-0.05044,-0.03606,4.71761,0.39872,0.061,-8.67608,-8.57092,18.79364,172.00872,-0.03838,-9.4229
"40","2020_Q1",367.678709677419,"Up",624428000,-293989000,330439000,-271234000,-214165000,-57069000,59205000,-5763000,-6064000,1166000,-865000,53442000,699430000,-145944000,553486000,553486000,553486000,553486000,1114645000,660672000,453973000,392672000,392672000,554007000,118831000,16500000,2180155000,499339000,1382172000,-882833000,691160000,145525000,264131000,281504000,5828704000,8008859000,323383000,107014000,207606000,155940000,122205000,905495000,13579000,1334728000,336941000,1348307000,2253802000,410023000,5470779000,-87348000,5755057000,5755057000,8008859000,159802000,159802000,-20119000,-37502000,-61196000,-156000,-4627000,3373000,0,-4783000,93823000,93823000,5476000,99299000,439751000,0.52919,0.09481,0.88639,0.09617,0.06911,2.40769,0.39162,0.05491,18.49454,18.2735,20.86504,192.30317,0.07351,-11.39927
"41","2020_Q2",441.297301587302,"Up",571644000,-254276000,317368000,-242995000,-193692000,-49303000,74373000,-3345000,-5690000,-928000,3273000,71028000,898699000,-212787000,685912000,685912000,685912000,685912000,1036701000,603551000,433150000,380476000,380476000,557029000,108381000,13594000,2082587000,486174000,1361722000,-875548000,680838000,138317000,264131000,278390000,6601772000,8684359000,280721000,118221000,162500000,588533000,162225000,869254000,12205000,1509821000,348709000,1522026000,2391280000,423745000,6156691000,-148955000,6293079000,6293079000,8684359000,67336000,62808000,-21653000,9231000,-12422000,-1415000,-95937000,4068000,-1265000,-98617000,-48231000,-48231000,-5977000,-54208000,12205000,0.55518,0.1301,1.19989,0.10899,0.07898,2.39583,0.37999,0.00141,22.96709,22.71533,19.14093,210.71753,0.08777,-13.77511
"42","2020_Q3",506.5003125,"Up",536880000,-243892000,292988000,-241246000,-189262000,-51984000,51742000,10715000,-5740000,-774000,17229000,62457000,1245945000,-279516000,966429000,966429000,966429000,966429000,1031810000,607584000,424226000,360854000,360854000,628401000,111519000,19722000,2132584000,481430000,1385430000,-9.04e+08,780254000,211367000,291504000,277383000,7964723000,10097307000,319312000,130905000,188407000,607583000,181081000,926895000,12233000,1804777000,348124000,1817010000,2743905000,429488000,7123093000,-61142000,7353402000,7353402000,10097307000,87594000,92122000,-5881000,14197000,-88573000,-182000.000000004,4134000,4134000,-6931000,-2979000.00000001,570000,570000,3119000,3688999.99999997,12233000,0.54572,0.09638,1.80008,0.13143,0.09571,2.30078,0.37315,0.00121,32.59127,32.14358,18.10542,247.98172,0.10539,-19.70502
"43","2020_Q4",569.501875,"Up",647263000,-279952000,367311000,-257711000,-198165000,-59546000,109600000,-5489000,-5728000,-776000,1015000,104111000,1684461000,-369637000,1314824000,1314824000,1314824000,1314824000,1154427000,840325000,314102000,402241000,402241000,640228000,126965000,15669000,2323861000,480949000,1404622000,-923673000,776224000,205305000,291916000,279003000,9697070000,12020931000,364731000,132994000,231737000,621926000,195290000,986657000,12241000,2196888000,354229000,2209129000,3195786000,412316000,8428925000,83971000,8825145000,8825145000,12020931000,187203000,135664000,-19960000,110580000,90854000,-183000,6980000,6979000,-6358000,439000,226957000,226957000,6012000,232969000,12241000,0.56748,0.16933,2.03136,0.14899,0.10938,2.35529,0.36212,0.00102,44.24038,43.61087,21.7787,296.94297,0.11916,-10.42141
"44","2021_Q1",592.184590163934,"Up",789839000,-329619000,460220000,-274609000,-217679000,-56930000,185611000,-1025000,-4703000,707000,2971000,184586000,1088902000,-241838000,847064000,847064000,847064000,847064000,991118000,662205000,328913000,419424000,419424000,622253000,107040000,16419000,2139835000,491371000,1452761000,-961390000,780272000,199497000,291916000,288859000,10832783000,12972618000,419661000,139451000,256928000,210077000,167609000,631536000,12258000,2448884000,372099000,2461142000,3092678000,429378000,9268012000,282456000,9879940000,9879940000,12972618000,308083000,294378000,-48760000,-14407000,-59753000,-425158000,5017000,5017000,-1743000,-421884000,-187259000,-187259000,9273000,-177986000,14056000,0.58268,0.235,1.07245,0.08574,0.0653,3.3883,0.31303,0.00108,28.39257,28.02157,26.47446,331.16374,0.06863,-5.26403
"45","2021_Q2",608.617301587302,"Up",726796000,-326169000,400627000,-299765000,-225853000,-73912000,100862000,16938000,-398000,-71000,17407000,117800000,1297203000,-319789000,977414000,977414000,977414000,977414000,1019868000,673470000,346398000,408137000,408137000,605156000,142156000,31885000,2175317000,482712000,1420284000,-937572000,772093000,191764000,291916000,288413000,11757843000,13933160000,402457000,138494000,174889000,205697000,205697000,609892000,10901000,2703308000,397196000,2714209000,3324101000,445103000,10245426000,68434000.0000001,10609059000,10609059000,13933160000,128337000,113610000,-19535000,-28792000,-48327000,-1401000,-45946000,4052000,5703859.73570646,-47347000,17936000,17936000,-7347000,10589000,12639000,0.55122,0.13878,1.34483,0.09213,0.07015,3.56672,0.31333,0.00091,32.77383,32.37971,24.37032,355.7341,0.07335,-9.98621
"46","2021_Q3",749.10203125,"Up",715931000,-314333000,401598000,-276816000,-213425000,-63391000,124782000,1302000,-363000,1761000,-96000,126084000,1156775000,-242661000,914114000,914114000,914114000,914114000,1161398000,732836000,428562000,399307000,399307000,598989000,129399000,18796000,2289093000,482001000,1447596000,-965595000,766072000,184852000,291916000,289304000,12828463000,15117556000,394766000,133457000,208888000,190550000,190550000,587052000,10779000,2924845000,382656000,2935624000,3522676000,459700000,11159475000,125166000,11594880000,11594880000,15117556000,217470000,154624000,-23387000,-76890000,-100277000,-122000.00000006,4055000,4055000,-1068000,2865000,57212000,57212000,2245000,59457000,12515000,0.56095,0.17429,1.27682,0.07884,0.06047,3.8993,0.30381,0.00083,30.65131,30.28271,24.006,388.78983,0.0629,-9.20712
"47","2021_Q4",748.3625,"Down",747049000,-309614000,437435000,-280631000,-216150000,-64481000,156804000,-3237000,-426000,-2232000,-579000,153567000,5022226000,-1094193000,3928033000,3928033000,3928033000,3928033000,1337098000,859902000,477196000,417714000,417714000,588911000,122563000,17973000,2466286000,476648000,1454941000,-978293000,779811000,177073000,291916000,310822000,17487094000,19953380000,434394000,136398000,243946000,213783000,213783000,649916000,10645000,3960441000,391109000,3971086000,4621002000,421205000,15080854000,-63041000,15332378000,15332378000,19953380000,256692000,230363000,-34589000,-46761000,-81350000,-122000,6353000,6353000,-21813000,-15582000,133431000,133431000,-6072000,127359000,12384000,0.58555,0.2099,5.25807,0.25619,0.19686,3.79478,0.30139,0.00062,131.75129,129.96404,25.05699,514.26769,0.20347,-8.44822
"48","2022_Q1",602.812903225806,"Down",732769000,-334333000,398436000,-280548000,-221694000,-58854000,117888000,7468000,-364000,-2211000,10043000,125356000,-2027149000,461845000,-1565304000,-1565304000,-1565304000,-1565304000,869918000,470783000,399135000,423537000,423537000,572239000,124785000,15649000,1990479000,511639000,1513479000,-1001840000,910269000,253939000,347343000,308987000,15808914000,17799393000,465226000,141941000,312966000,215223000,164371000,680938000,10514000,3422705000,358129000,3433219000,4114157000,441736000,13525343000,-175553000,13685236000,13685236000,17799393000,201648000,170867000,-56183000,67712000,-567427000,-1374999.99999997,6172000,6172000,-162000,4635000,-391925000,-391925000,-1462000,-393387000,11003000,0.54374,0.16088,-2.13615,-0.11438,-0.08794,2.92314,0.30063,0.00062,-52.50231,-51.7901,24.57802,459.02046,-0.09144,-7.28586
"49","2022_Q2",520.811612903226,"Down",700062000,-296502000,403560000,-260137000,-197594000,-62543000,143423000,30677000,-4048000,2128000,32597000,174100000,-4371017000,1001404000,-3369613000,-3369613000,-3369613000,-3369613000,2073479000,802316000,1271163000,464107000,464107000,605492000,160343000,33686000,3303421000,485743000,1500447000,-1014704000,895250000,247144000,345728000,302378000,11070277000,14373698000,399502000,160651000,184542000,248325000,248325000,648331000,1196739000,2345712000,349823000,3542451000,4190782000,459433000,10137628000,-307856000,10182916000,10182916000,14373698000,60639000,46315000,-28899000,-883063000,-911962000,1186116000,4177000,4177000,23142125.526355,1190293000,324646000,324646000,6877000,331523000,1197243000,0.57646,0.20487,-4.81331,-0.33091,-0.23443,5.09527,0.41155,0.08329,-112.61323,-112.61323,23.39623,340.31532,-0.24549,-6.10945
"50","2022_Q3",498.570625,"Down",691099000,-295118000,395981000,-275764000,-208730000,-67034000,120217000,-4906999.99999999,-10720000,-897000,6710000,115310000,-1222880000,295696000,-927184000,-927184000,-927184000,-927184000,1967659000,596584000,1371075000,450324000,450324000,657130000,174584000,44050000,3249697000,471321000,1494099000,-1022778000,873106000,239747000,347323000,286036000,9432429000,12682126000,364798000,158259000,180631000,248450000,248450000,613714000,1196943000,1948872000,335344000,3145815000,3759529000,471865000,9210457000,-533386000,8922597000,8922597000,12682126000,122029000,50198000,-12795000,-128615000,-141410000,-150000,-120733000,4267000,-443000.000000007,-121326000,-212538000,-212538000,6789000,-205749000,1197409000,0.57297,0.17395,-1.34161,-0.10391,-0.07311,5.29513,0.42135,0.09442,-31.11982,-31.11982,23.19591,299.47627,-0.07682,-6.40716
