"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","income_taxes_receivable","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"29","2017_Q2",28.4404761904762,"Up",557903000,-510371000,47532000,-35132000,-32651000,12400000,-1232000,-1151000,-81000,11168000,-1511000,9657000,-1102000,8555000,8555000,8555000,8555000,752477000,752477000,381200000,381200000,404023000,35352000,34193000,1159000,1573052000,165080000,297641000,191616000,5303000,100722000,462721000,2035773000,347914000,343796000,4118000,13865000,75389000,75389000,437168000,206463000,10083000,10083000,216546000,653714000,637834000,757437000,-13212000,1382059000,1382059000,2035773000,8555000,12273000,2037000,55040000,77905000,-6795000,-674000,-7469000,-3082000,4141000,5141000,-1e+06,-792000,267000,70703000,70703000,341000,71044000,24673000,220328000,74020000,0.0852,0.02223,0.01533,0.00619,0.0042,8.65225,3.59828,0.473,0.10823,0.17279,0.17083,11.26826,27.91418,1.49502,0.00531,0.0459,-21.56807,-42.91524
"30","2017_Q3",29.0190476190476,"Up",619611000,-560127000,59484000,-34816000,-32335000,24668000,-1929000,-1099000,-830000,22739000,-1544000,21195000,-3121000,18074000,18074000,18074000,18074000,749311000,749311000,391830000,391830000,416030000,40473000,39177000,1296000,1597644000,172080000,294716000,191616000,4366000,98734000,466796000,2064440000,347105000,343241000,3864000,15333000,83684000,83684000,446122000,202122000,10359000,10359000,212481000,658603000,642781000,773943000,-10887000,1405837000,1405837000,2064440000,18074000,12044000,3661000,-19155000,14624000,-17009000,-1771000,-18530000,-3103000,1953000,2953000,-1e+06,-19999.9999999998,-1170000,-5076000,-5076000,1910000,-3165999.99999999,36712000,217455000,3669000,0.096,0.03981,0.02917,0.01286,0.00875,0.202999999999998,3.58118,0.46848,0.10533,0.36318,0.35976,12.45049,28.24895,0.0737300000000001,0.01106,0.00225,-14.48725,-21.56056
"31","2017_Q4",27.5322222222222,"Down",610929000,-552686000,58243000,-34829000,-32093000,23414000,-1384000,-990000,-394000,22030000,-2511000,19519000,-1688000,17831000,17831000,17831000,17831000,730146000,730146000,411550000,411550000,421858000,42349000,42150000,199000,1605903000,178122000,292681000,191616000,4908000,96157000,470803000,2076706000,338944000,335315000,3629000,16804000,90045000,90045000,445793000,197766000,8236000,8236000,206002000,651795000,645454000,788939000,-9482000,1424911000,1424911000,2076706000,17831000,12274000,3247000,-35991000,-2639000,-10959000,-414000,-11373000,-3103000,-2153000,1734000,-3887000,-4000,-5260000,-19272000,-19272000,107000,-19165000,35688000,214570000,-9574000,0.09534,0.03833,0.02919,0.01251,0.00859,-0.53693,3.60235,0.45743,0.10332,0.35759,0.35428,12.25166,28.57537,-0.192,0.01082,-0.00581000000000001,-14.44676,-22.01999
"32","2018_Q1",26.5273770491803,"Down",678368000,-615930000,62438000,-35689000,-33322000,26749000,-1276000,-795000,-481000,25473000,-3062000,22411000,-98836000,-76425000,-76425000,-76425000,-76425000,742546000,742546000,436560000,436560000,268917000,182634000,36018000,120000,1630657000,186473000,292174000,191616000,4034000,96524000,478647000,2109304000,374364000,362701000,11663000,18274000,85679000,85679000,478317000,193406000,98443000,89749000,291849000,770166000,639106000,708181000,-8149000,1339138000,1339138000,2109304000,-76425000,12081000,7972000,112324000,55952000,-15743000,-3006000,-18749000,-3108000,-22081000,1380000,-23461000,4.65661287307739e-10,-25189000,12014000,12014000,386000,12400000,38830000,211680000,234247000,0.09204,0.03943,-0.11266,-0.05707,-0.03623,-3.06506,3.40916,0.57512,0.10036,-1.54151,-1.58984,13.68284,27.01073,4.72482,-0.04634,0.14203,-13.67154,-19.8462
"33","2018_Q2",25.505625,"Down",608136000,-549818000,58318000,-38116000,-35750000,20202000,-452000,-495000,43000,19750000,-2235000,17515000,-41156000,-23641000,-23641000,-23641000,-23641000,676327000,676327000,403767000,403767000,305980000,179418000,31729000,66000,1565492000,200422000,292092000,191616000,4034000,96442000,492514000,2058006000,381433000,368625000,12808000,19746000,83652000,83652000,484831000,187601000,138243000,90270000,325844000,810675000,612849000,640466000,-5984000,1247331000,1247331000,2058006000,-23641000,12384000,41824000,-6037000,24530000,-20002000,-997000,-20999000,-4551000,-55302000,3079000,-58381000,-10763000,-70616000,-67085000,-67085000,866000,-66219000,32586000,207347000,47703000,0.0959,0.03322,-0.03887,-0.01895,-0.01149,-2.01781,3.22894,0.64993,0.10075,-0.48727,-0.48727,12.53449,25.70915,0.98322,-0.01484,0.02995,-14.39207,-23.21453
"34","2018_Q3",23.5580952380952,"Down",660591000,-606292000,54299000,-38192000,-35825000,16107000,-1003000,-648000,-355000,15104000,-1758000,13346000,-2403000,10943000,10943000,10943000,10943000,595639000,595639000,444953000,444953000,318986000,183508000,35277000,0,1543086000,203872000,290227000,192116000,4034000,94077000,494099000,2037185000,404409000,383606000,20803000,21219000,75368000,75368000,500996000,181777000,110267000,90262000,292044000,793040000,612717000,639779000,-8351000,1244145000,1244145000,2037185000,10943000,12699000,-25503000,-38851000,-40712000,-16569000,-787000,-19565000,-4570000,-7189000.00000001,298000,-7487000.00000001,-7999.99999999814,-18903000,-79180000,-79180000,-1508000,-80688000,28806000,202996000,-24211000,0.0822,0.02438,0.01657,0.0088,0.00537,-2.21246,3.08004,0.63742,0.09965,0.23062,0.22975,13.92154,26.21957,-0.51023,0.01161,-0.01555,-13.6306,-24.37717
"35","2018_Q4",20.6630158730159,"Down",640688000,-587911000,52777000,-39975000,-37607000,12802000,-1064000,-2203000,1139000,11738000,-1845000,9893000,-2094000,7799000,7799000,7799000,7799000,475713000,475713000,455971000,455971000,321194000,190924000,34988000,38000,1443802000,208495000,288474000,192116000,4034000,92324000,496969000,1940771000,380317000,373879000,6438000,4880000,92976000,92976000,478173000,149341000,111575000,90615000,260916000,739089000,600623000,609577000,-8518000,1201682000,1201682000,1940771000,7799000,14560000,5366000,-28836000,-1111000,-13629000,-842000,-14471000,-48637000,-56099000,86000,-56185000,7646000,-104189000,-119771000,-119771000,-155000,-119926000,27362000,154221000,-13009000,0.08238,0.01998,0.01217,0.00649,0.00402,-1.66803,3.01941,0.61505,0.07946,0.16844,0.16788,13.83745,25.95369,-0.28097,0.01015,-0.00886,-11.74958,-25.11264
"36","2019_Q1",23.1798360655738,"Up",657050000,-616608000,40442000,-21650000,-19266000,18792000,-478000,-279000,-199000,18314000,-3527000,14787000,12929000,27716000,27716000,27716000,27716000,458102000,458102000,468161000,468161000,309975000,167312000,27024000,206000,1403550000,210954000,285279000,192116000,2478000,90685000,496233000,1899783000,432488000,422053000,10435000,6793000,97878000,97878000,537159000,147277000,83122000,68799000,230399000,767558000,559075000,584274000,-11124000,1132225000,1132225000,1899783000,27716000,12196000,-2424000,56492000,93980000,-12369000,-1445000,-13814000,759000,-89637000,168000,-89805000,-1611000,-97259000,-17093000,-17093000,-518000,-17611000,30988000,154070000,62182000,0.06155,0.0286,0.04218,0.02448,0.01459,2.24354,2.61291,0.67792,0.0811,0.64367,0.62967,15.2593,26.29474,1.44411,0.02518,0.04541,-9.81128,-16.1788
"37","2019_Q2",23.3919047619048,"Up",602820000,-549020000,53800000,-36137000,-33770000,17663000,1292000,-312000,1604000,18955000,-1576000,17379000,-3606000,13773000,13773000,13773000,13773000,395316000,395316000,405358000,405358000,315563000,181692000,24007000,660000,1297929000,203796000,367205000,192116000,2269000,172820000,571001000,1868930000,383295000,371732000,11563000,8706000,98235000,98235000,490236000,145205000,154764000,140396000,299969000,790205000,534178000,557804000,-13257000,1078725000,1078725000,1868930000,13773000,12172000,2341000,-11872000,16414000,-9325000,-846000,-10171000,-274000,-60801000,279000,-61080000,-1236000,-68514000,-62271000,-62271000,-515000,-62786000,29835000,153911000,12244000,0.08925,0.0293,0.02285,0.01277,0.00737,0.88899,2.64756,0.73254,0.08235,0.33899,0.33714,14.83682,26.54996,0.30135,0.0144,0.00883,-8.09134,-13.66727
"38","2019_Q3",24.463125,"Up",601602000,-548604000,52998000,-37643000,-35282000,15355000,143000,-665000,808000,15498000,-3414000,12084000,-2637000,9447000,9447000,9447000,9447000,396613000,396613000,362881000,362881000,316237000,182079000,25730000,803000,1257810000,202665000,367403000,192116000,2269000,173018000,570068000,1827878000,3.8e+08,372106000,7894000,8744000,98916000,98916000,487660000,143115000,152053000,137574000,295168000,782828000,520431000,539743000,-15124000,1045050000,1045050000,1827878000,9447000,11953000,4855000,26103000,52358000,-4810000,-515000,-5275000,-2167000,-38545000,414000,-38959000,-6000,-46594000,488999.999999985,488999.999999985,808000,1297000,27308000,151859000,51238000,0.08809,0.02552,0.0157,0.00904,0.00517,5.42373,2.57928,0.74908,0.08308,0.24593,0.24327,15.66101,27.20493,1.33384,0.01136,0.03798,-8.96272,-15.93969
"39","2019_Q4",30.35953125,"Up",555229000,-513812000,41417000,-25776000,-23409000,15641000,-1089000,-953000,-136000,14552000,-5843000,8709000,-1573000,7136000,7136000,7136000,7136000,348042000,348042000,348099000,348099000,315835000,186139000,24017000,1054000,1198115000,199256000,361375000,192116000,2257000,167002000,560631000,1758746000,304585000,295693000,8892000,8784000,127868000,127868000,441237000,141017000,147720000,134889000,288737000,729974000,516105000,530660000,-17993000,1028772000,1028772000,1758746000,7136000,12264000,783000,-31641000,-11458000,-9380000,-864000,-10244000,-2173000,-17654000,657000,-18311000,-76000,-25555000,-47257000,-47257000,-1314000,-48571000,27905000,149801000,-11543000,0.07459,0.02817,0.01285,0.00694,0.00406,-1.61757,2.71535,0.70956,0.08517,0.19083,0.18845,14.84768,27.51095,-0.30868,0.00964,-0.0087,-7.10414,-12.67445
"40","2020_Q1",26.156935483871,"Down",508444000,-471131000,37313000,-36645000,-34279000,668000.000000002,-1622000,-905000,-717000,-954000,-9949000,-10903000,3972000,-6931000,-6931000,-6931000,-6931000,347558000,347558000,324424000,324424000,314956000,208144000,29566000,1119000,1195082000,205819000,358973000,192116000,5274000,161583000,564792000,1759874000,310889000,302994000,7895000,8825000,139531000,139531000,459245000,138912000,146885000,133381000,285797000,745042000,515715000,515876000,-16759000,1014832000,1014832000,1759874000,-6931000,12038000,4343000,26372000,35822000,-8802000,-371000,-9173000,-1012000,-3525000,235000,-3760000,-2081000,-12174000,14475000,14475000,1439000,15914000,12706000,147737000,26304000,0.07339,0.00131,-0.01363,-0.00683,-0.00394,-3.79512,2.60228,0.73415,0.08395,-0.18777,-0.18483,13.77412,27.49254,0.71259,-0.00105,0.02009,-15.72651,-299.13323
"41","2020_Q2",19.5136507936508,"Down",514964000,-471603000,43361000,-33956000,-31575000,9405000,-1765000,-1103000,-662000,7640000,-2915000,4725000,-873000,3852000,3852000,3852000,3852000,411786000,411786000,317862000,317862000,338437000,196917000,35863000,1092000,1265002000,201580000,356800000,192116000,5274000,159410000,558380000,1823382000,323266000,315729000,7537000,8868000,127205000,127205000,459339000,231798000,142623000,131376000,374421000,833760000,508925000,502692000,-21995000,989622000,989622000,1823382000,3852000,12192000,2830000,-21983000,-3109000,-11849000,-983000,-11491000,92813000,-18970000,359000,-19329000,-1767000,66538000,51938000,51938000,-4108000,47830000,21597000,240666000,-11362000,0.0842,0.01826,0.00748,0.00389,0.00211,-2.94964,2.75396,0.8425,0.13199,0.1047,0.10391,13.99739,26.89921,-0.30883,0.00684,-0.00828,-7.92332,-18.19458
"42","2020_Q3",19.07171875,"Down",490966000,-456294000,34672000,-30887000,-28516000,3785000,-2032000,-2064000,32000,1753000,-5657000,-3904000,497000,-3407000,-3407000,-3407000,-3407000,351167000,351167000,302068000,302068000,363665000,191219000,31777000,549000,1208119000,198001000,351915000,192116000,5336000,154463000,549916000,1758035000,309808000,304601000,5207000,8912000,145900000,145900000,464620000,164664000,144391000,132616000,309055000,773675000,512201000,493451000,-21292000,984360000,984360000,1758035000,-3407000,12339000,6066000,8029000,23027000,-9246000,-850000,-9223000,-67205000,5000,5000,-3.72529029846191e-09,-34000.0000000002,-73061000,-59257000,-59257000,3890000,-55367000,16124000,173576000,14410000,0.07062,0.00771,-0.00694,-0.00346,-0.00194,-4.22953,2.60023,0.78597,0.09873,-0.0935,-0.09295,13.47401,27.01466,0.39547,0.00186,0.01106,-11.01408,-46.91968
"43","2020_Q4",22.33859375,"Up",525951000,-479597000,46354000,-32092000,-29724000,14262000,-1543000,-1982000,439000,12719000,-5603000,7116000,-1201000,5915000,5915000,5915000,5915000,329558000,329558000,306242000,306242000,352851000,196576000,29280000,648000,1185227000,190610000,358670000,192116000,5200000,161354000,549280000,1734507000,287009000,282591000,4418000,8956000,153520000,153520000,449485000,147522000,147173000,139132000,294695000,744180000,511869000,493524000,-15066000,990327000,990327000,1734507000,5915000,12408000,5485000,-18111000,5697000,-4699000,-1103000,-5802000,-17213000,7000,7000,0,-112000,-23158000,-23263000,-23263000,1654000,-21609000,26670000,156478000,5061000,0.08813,0.02712,0.01125,0.00597,0.00341,0.85562,2.63686,0.75145,0.09021,0.1622,0.16101,14.42266,27.1568,0.13878,0.00908,0.00390999999999999,-6.48969,-12.13575
"44","2021_Q1",27.2559016393443,"Up",521250000,-470589000,50661000,-34359000,-32380000,16302000,-2501000,-2019000,-482000,13801000,-4445000,9356000,-1661000,7695000,7695000,7695000,7695000,390808000,390808000,309331000,309331000,327377000,174835000,26457000,417000,1202351000,185272000,356612000,192116000,4924000,159572000,541884000,1744235000,387853000,282208000,5572000,9161000,84122000,84122000,481136000,131051000,142460000,137672000,273511000,754647000,514034000,492205000,-16651000,989588000,989588000,1744235000,7695000,11853000,-2340000,77615000,94823000,-8422000,-1945000,-7867000,-15031000,-5304000,587000,-5891000,-1674000,-27845000,59111000,59111000,2069000,61180000,28155000,140212000,99009000,0.09719,0.03127,0.01476,0.00778,0.00441,12.86667,2.49898,0.76259,0.08039,0.2114,0.20907,14.31966,27.18574,2.71995,0.01064,0.07782,-8.90059,-15.3721
"45","2021_Q2",28.841746031746,"Up",505721000,-463494000,42227000,-32146000,-30548000,10081000,-2260000,-1984000,-276000,7821000,1853000,9674000,-1757000,7917000,7917000,7917000,7917000,400428000,400428000,276287000,276287000,355164000,181561000,32456000,9e+05,1213440000,183294000,364019000,192116000,4924000,166979000,547313000,1760753000,419068000,325226000,6671000,9209000,76833000,76833000,505110000,128862000,149234000,144607000,278096000,783206000,509267000,486267000,-17987000,977547000,977547000,1760753000,7917000,11055000,2681000,14960000,36613000,-5757000,-652000,-6409000,-2255000,-12776000,276000,-13052000,-2924000,-23760000,6444000,6444000,-2006000,4438000,21136000,138071000,32096000,0.0835,0.01993,0.01565,0.0081,0.0045,4.05406,2.40233,0.8012,0.07842,0.2184,0.21566,13.95092,26.96681,0.88541,0.01085,0.02538,-12.4128,-26.0249
"46","2021_Q3",25.53296875,"Down",544662000,-496749000,47913000,-35633000,-34034000,12280000,-1475000,-1915000,440000,10805000,-1581000,9224000,-1855000,7369000,7369000,7369000,7369000,369301000,369301000,290073000,290073000,415322000,192281000,36264000,246000,1266977000,188318000,363496000,192116000,4941000,166439000,551814000,1818791000,483464000,380164000,7330000,9259000,88686000,88686000,581409000,126639000,143465000,139604000,270104000,851513000,506944000,476855000,-16521000,967278000,967278000,1818791000,7369000,10939000,3292000,-17940000,3660000,-10808000,-1214000,-12022000,-1495000,-17197000,70000,-17267000,-842000,-25306000,-33668000,-33668000,3683000,-29985000,23219000,135898000,-3674000,0.08797,0.02255,0.01353,0.00762,0.00405,-0.49858,2.17915,0.88032,0.07472,0.20328,0.20073,15.02516,26.68353,-0.10135,0.01054,-0.00295,-10.05224,-19.00676
"47","2021_Q4",24.86421875,"Down",571882000,-518177000,53705000,-35983000,-34387000,17722000,-1365000,-1865000,5e+05,16357000,-5928000,10429000,-2364000,8065000,8065000,8065000,8065000,288567000,288567000,311384000,311384000,478325000,200733000,35810000,2099000,1279009000,188858000,372499000,192116000,4248000,176135000,561357000,1840366000,501042000,401106000,4376000,7663000,91464000,91464000,600169000,123510000,154351000,152349000,277861000,878030000,506583000,473385000,-17632000,962336000,962336000,1840366000,8065000,10969000,7335000,-67950000,-41581000,-12710000,-1002000,-13712000,-1875000,-9897000,0,-9897000,-219000,-17862000,-73155000,-73155000,-6091000,-79246000,28691000,131173000,-49605000,0.09391,0.03099,0.0141,0.00838,0.00438,-6.15065,2.13108,0.91239,0.07128,0.22768,0.22613,16.14437,27.16698,-1.40036,0.01117,-0.03975,-5.48583,-8.88128
"48","2022_Q1",24.8648387096774,"Up",633054000,-570998000,62056000,-39322000,-37731000,22734000,-2555000,-2168000,-387000,20179000,-4099000,16080000,-3661000,12419000,12419000,12419000,12419000,271749000,271749000,355883000,355883000,523240000,197272000,41688000,341000,1348144000,186666000,369070000,192116000,5972000,170982000,555736000,1903880000,535273000,426555000,6164000,985000,118124000,118124000,654382000,129289000,146407000,146323000,275696000,930078000,510968000,479992000,-17158000,973802000,973802000,1903880000,12419000,11189000,-424000,-24498000,-1314000,-9280000,-452000,-9732000,1.86264514923096e-09,0,0,0,-1212000,-7024000,-18070000,-18070000,-1378000,-19448000,33923000,130274000,3806000.00000001,0.09803,0.03591,0.01962,0.01275,0.00652,0.30647,2.06018,0.9551,0.06843,0.35059,0.3482,17.87127,27.49067,0.10744,0.01458,0.00304,-4.17047,-6.22306
"49","2022_Q2",23.6579032258065,"Down",636083000,-578481000,57602000,-37898000,-36289000,19704000,-1914000,-1620000,-294000,17790000,-4297000,13493000,-2533000,10960000,10960000,10960000,10960000,244935000,244935000,381998000,381998000,608347000,215738000,47061000,2000,1451018000,190526000,361012000,192116000,6352000,162544000,551538000,2002556000,553057000,457252000,6089000,1808000,129600000,129600000,684465000,201510000,140176000,140092000,341686000,1026151000,510240000,482052000,-15887000,976405000,976405000,2002556000,10960000,10897000,5149000,-95031000,-68025000,-15878000,-767000,-16645000,72959000,-5023000,459000,-5482000,-2997000,59134000,-25536000,-25536000,-1278000,-26814000,30601000,203318000,-77775000,0.09056,0.03098,0.01723,0.01122,0.00547,-7.09626,2.11993,1.05095,0.10153,0.31128,0.30952,18.06592,27.73169,-2.20895,0.0127,-0.05892,-1.35999,-2.11211
"50","2022_Q3",25.21578125,"Up",728029000,-669273000,58756000,-37434000,-35842000,21322000,-1140000,-1924000,784000,20182000,1110000,21292000,-4071000,17221000,17221000,17221000,17221000,262269000,262269000,446515000,446515000,666742000,225746000,44901000,23000,1601272000,198497000,367016000,192116000,7876000,167024000,565513000,2166785000,608891000,500886000,14609000,2630000,173557000,173557000,785078000,262185000,133749000,133665000,395934000,1181012000,512686000,491379000,-18292000,985773000,985773000,2166785000,17221000,10965000,-274000,-53397000,-25485000,-1671000,-998000,-2669000,62041000,-3909000,-1.16415321826935e-10,-3909000,-654000,51655000,23501000,23501000,-4517000,18984000,32287000,264815000,-18710000,0.08071,0.02929,0.02365,0.01747,0.00795,-1.08646,2.03963,1.19806,0.12222,0.48983,0.48735,20.70794,28.03917,-0.53218,0.01665,-0.01352,0.07886,0.11941
