"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","pension_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","minority_interest_2","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",29.4892063492063,"Down",3.921e+09,-3.054e+09,8.67e+08,-5.45e+08,-5.45e+08,3.22e+08,-1.14e+08,-8.4e+07,-3e+07,2.08e+08,-4.6e+07,1.62e+08,-3e+07,1.32e+08,1.32e+08,-3e+06,1.29e+08,1.29e+08,8.22e+08,8.22e+08,2.672e+09,2.672e+09,2.991e+09,2.42e+08,2.42e+08,6.727e+09,7.331e+09,3.794e+09,1.37e+08,5.87e+08,2.356e+09,7.14e+08,1.1125e+10,1.7852e+10,2.624e+09,2.624e+09,6.54e+08,1.644e+09,1.644e+09,4.922e+09,5.737e+09,2.072e+09,1.459e+09,9.1e+07,5.22e+08,7.809e+09,1.2731e+10,2.722e+09,6.175e+09,-4.015e+09,4.882e+09,2.39e+08,5.121e+09,1.7852e+10,1.32e+08,1.99e+08,-1.6e+07,-2.84e+08,3.1e+07,-1.79e+08,2e+06,-1.77e+08,2.62e+08,-1.74e+08,-3.2e+07,3.1e+07,-1.15e+08,-1.15e+08,1.4e+07,-1.01e+08,5.21e+08,6.391e+09,8.8e+07,0.22112,0.08212,0.0329,0.02519,0.00723,0.68217,1.36672,2.48604,0.358,0.516,0.50787,15.684,19.528,0.352,0.01134,0.00648,10.68906,17.29503
"32","2018_Q1",28.8362295081967,"Down",4.071e+09,-3.081e+09,9.9e+08,-5.79e+08,-5.79e+08,4.11e+08,-9.1e+07,-7.5e+07,-1.6e+07,3.2e+08,-3.3e+07,2.87e+08,-3.77e+08,-9e+07,-9e+07,-6e+06,-9.6e+07,-9.6e+07,1.043e+09,1.043e+09,2.025e+09,2.025e+09,2.787e+09,2.24e+08,2.24e+08,6.079e+09,7.451e+09,3.534e+09,1.39e+08,5.95e+08,2.008e+09,7.92e+08,1.0985e+10,1.7064e+10,2.807e+09,2.807e+09,6.53e+08,1.565e+09,1.565e+09,5.025e+09,5.076e+09,2.113e+09,1.515e+09,1e+08,4.98e+08,7.189e+09,1.2214e+10,2.535e+09,6.044e+09,-3.976e+09,4.603e+09,2.47e+08,4.85e+09,1.7064e+10,-9e+07,1.95e+08,2.95e+08,9.12e+08,1.312e+09,-1.95e+08,-9e+06,-2.04e+08,-6.71e+08,-1.93e+08,2.7e+07,-8.72e+08,2.36e+08,2.36e+08,6e+06,2.42e+08,6.06e+08,5.729e+09,1.7e+09,0.24318,0.10096,-0.02358,-0.01979,-0.00563,-17.70833,1.20975,2.51835,0.33574,-0.39669,-0.39024,16.82231,19.02066,7.02479,-0.00481,0.13394,7.73267,11.40146
"33","2018_Q2",24.078125,"Down",3.83e+09,-2.976e+09,8.54e+08,-5.91e+08,-5.91e+08,2.63e+08,-1.13e+08,-7.6e+07,-3.7e+07,1.5e+08,-3.7e+07,1.13e+08,-3.3e+07,8e+07,8e+07,-5e+06,7.5e+07,7.5e+07,8.37e+08,8.37e+08,2.509e+09,2.509e+09,2.895e+09,2.47e+08,2.47e+08,6.488e+09,7.502e+09,3.59e+09,1.4e+08,6.06e+08,2.039e+09,8.05e+08,1.1092e+10,1.758e+10,2.85e+09,2.85e+09,6.59e+08,1.432e+09,1.432e+09,4.941e+09,5.6e+09,2.077e+09,1.478e+09,1.01e+08,4.98e+08,7.677e+09,1.2618e+10,2.52e+09,6.084e+09,-3.867e+09,4.737e+09,2.25e+08,4.962e+09,1.758e+10,8e+07,1.99e+08,-1.02e+08,-5.66e+08,-3.89e+08,-2.48e+08,0,-2.48e+08,4.92e+08,-2.4e+07,-3.5e+07,3.99e+08,-2.38e+08,-2.38e+08,1.6e+07,-2.22e+08,4.62e+08,6.259e+09,-3.19e+08,0.22298,0.06867,0.01958,0.01511,0.00427,-4.25333,1.31309,2.54293,0.35603,0.3125,0.30738,15.95833,19.7375,-1.32917,0.0082,-0.02399,11.73593,20.61597
"34","2018_Q3",22.1631746031746,"Down",3.841e+09,-2.949e+09,8.92e+08,-5.88e+08,-5.88e+08,3.04e+08,-1.23e+08,-7.8e+07,-4.5e+07,1.81e+08,2e+06,1.83e+08,-1.9e+07,1.64e+08,1.64e+08,-7e+06,1.57e+08,1.57e+08,9.75e+08,9.75e+08,2.388e+09,2.388e+09,2.941e+09,2.65e+08,2.65e+08,6.569e+09,7.233e+09,3.553e+09,1.38e+08,5.76e+08,2.035e+09,8.04e+08,1.0786e+10,1.7355e+10,2.88e+09,2.88e+09,6.21e+08,1.332e+09,1.332e+09,4.833e+09,5.726e+09,1.952e+09,1.369e+09,9.9e+07,4.84e+08,7.678e+09,1.2511e+10,2.451e+09,6.208e+09,-4.022e+09,4.637e+09,2.07e+08,4.844e+09,1.7355e+10,1.64e+08,1.93e+08,-8e+07,2.8e+07,3.05e+08,-1.92e+08,-3e+07,-2.22e+08,2.11e+08,-7.3e+07,1.5e+07,1.2e+08,2.03e+08,2.03e+08,-4.1e+07,1.62e+08,4.97e+08,6.347e+09,3.52e+08,0.23223,0.07915,0.04087,0.03241,0.00905,2.24204,1.3592,2.58278,0.36572,0.6569,0.65145,16.07113,19.40167,1.4728,0.01446,0.02678,10.80885,17.67105
"35","2018_Q4",20.5585714285714,"Down",3.928e+09,-3.028e+09,9e+08,-5.53e+08,-5.53e+08,3.47e+08,1.71e+08,-8.2e+07,2.53e+08,5.18e+08,-5e+06,5.13e+08,-1.59e+08,3.54e+08,3.54e+08,-3e+06,3.51e+08,3.51e+08,8.96e+08,8.96e+08,2.67e+09,2.67e+09,2.938e+09,2.49e+08,2.49e+08,6.753e+09,7.132e+09,3.706e+09,1.37e+08,5.72e+08,1.908e+09,1.089e+09,1.0838e+10,1.7591e+10,2.819e+09,2.819e+09,9.16e+08,1.312e+09,1.312e+09,5.047e+09,5.604e+09,1.94e+09,1.35e+09,9.5e+07,4.95e+08,7.544e+09,1.2591e+10,2.358e+09,6.525e+09,-4.083e+09,4.8e+09,2e+08,5e+09,1.7591e+10,3.54e+08,1.97e+08,-1.76e+08,-3.15e+08,6e+07,-1.73e+08,-2.1e+07,-1.94e+08,2e+08,-9.9e+07,-1e+07,5.8e+07,-7.6e+07,-7.6e+07,-1.2e+07,-8.8e+07,5.44e+08,6.52e+09,2.15e+08,0.22912,0.08834,0.08936,0.0702,0.01995,0.61254,1.33802,2.5182,0.37064,1.48729,1.47479,16.64407,20.33898,0.91102,0.02853,0.01597,10.33824,16.20749
"36","2019_Q1",18.6159016393443,"Down",3.876e+09,-3.008e+09,8.68e+08,-5.8e+08,-5.8e+08,2.88e+08,-8.2e+07,-8.5e+07,2999999.99999994,2.06e+08,-3999999.99999999,2.02e+08,-9.2e+07,1.1e+08,1.1e+08,0,1.1e+08,1.1e+08,8.01e+08,8.01e+08,2.03e+09,2.03e+09,2.856e+09,2.38e+08,2.38e+08,5.925e+09,7.259e+09,3.688e+09,1.36e+08,5.69e+08,1.847e+09,1.136e+09,1.0947e+10,1.6872e+10,2.92e+09,2.92e+09,6.53e+08,1.208e+09,1.208e+09,4.781e+09,5.11e+09,1.911e+09,1.345e+09,9.5e+07,4.71e+08,7.021e+09,1.1802e+10,2.343e+09,6.597e+09,-4.076e+09,4.864e+09,2.06e+08,5.07e+09,1.6872e+10,1.1e+08,1.89e+08,4.9e+07,5.92e+08,9.4e+08,-1.96e+08,-7e+06,-2.03e+08,-7.68e+08,-2e+07,6e+06,-8.2e+08,-8.3e+07,-8.3e+07,-6e+06,-8.9e+07,4.77e+08,5.763e+09,9.65e+08,0.22394,0.0743,0.02838,0.0217,0.00652,8.77273,1.23928,2.32781,0.34157,0.4721,0.4721,16.63519,20.87554,4.14163,0.01161,0.07572,10.40252,17.22917
"37","2019_Q2",16.2701587301587,"Down",3.598e+09,-2.879e+09,7.19e+08,-5.47e+08,-5.47e+08,1.72e+08,-1.07e+08,-8.5e+07,-2.2e+07,6.5e+07,-1.03e+08,-3.8e+07,-6e+06,-4.4e+07,-4.4e+07,-1.7e+07,-6.1e+07,-6.1e+07,8.6e+08,8.6e+08,2.446e+09,2.446e+09,2.94e+09,2.46e+08,2.46e+08,6.492e+09,7.196e+09,4.585e+09,1.36e+08,5.63e+08,1.864e+09,2.022e+09,1.1781e+10,1.8273e+10,2.737e+09,2.737e+09,9.61e+08,1.389e+09,1.389e+09,5.087e+09,5.545e+09,2.61e+09,1.299e+09,9.4e+07,1.217e+09,8.155e+09,1.3242e+10,2.346e+09,6.476e+09,-4.014e+09,4.808e+09,2.23e+08,5.031e+09,1.8273e+10,-4.4e+07,1.93e+08,4.6e+07,-5.59e+08,-3.64e+08,-2.21e+08,-2.3e+07,-2.44e+08,7.13e+08,0,-3.1e+07,6.45e+08,3.7e+07,3.7e+07,0,3.7e+07,3.65e+08,6.506e+09,-4.09e+08,0.19983,0.0478,-0.01695,-0.01212,-0.00334,6.70492,1.27619,2.63208,0.35604,-0.26293,-0.26293,15.50862,20.72414,-1.76293,-0.0017,-0.02891,15.46849,32.82558
"38","2019_Q3",12.9690625,"Down",3.632e+09,-2.855e+09,7.77e+08,-5.86e+08,-5.86e+08,1.91e+08,-1.05e+08,-8.8e+07,-1.7e+07,8.6e+07,-3999999.99999999,8.2e+07,-2.6e+07,5.6e+07,5.6e+07,-2e+06,5.4e+07,5.4e+07,9.17e+08,9.17e+08,2.473e+09,2.473e+09,3.091e+09,3e+08,3e+08,6.781e+09,7.194e+09,4.495e+09,1.35e+08,5.7e+08,1.865e+09,1.925e+09,1.1689e+10,1.847e+10,2.75e+09,2.75e+09,9.71e+08,1.36e+09,1.36e+09,5.081e+09,5.766e+09,2.574e+09,1.277e+09,9.4e+07,1.203e+09,8.34e+09,1.3421e+10,2.357e+09,6.492e+09,-4.002e+09,4.847e+09,2.02e+08,5.049e+09,1.847e+10,5.6e+07,1.96e+08,-1.8e+07,-1.61e+08,7.3e+07,-1.78e+08,3e+06,-1.75e+08,2.13e+08,1e+06,-1.1e+07,1.66e+08,6.4e+07,6.4e+07,6e+06,7e+07,3.87e+08,6.737e+09,7.4e+07,0.21393,0.05259,0.01487,0.0107,0.00292,1.37037,1.33458,2.65815,0.36475,0.23276,0.23276,15.65517,20.89224,0.31897,0.00634,0.00515,15.03876,30.4712
"39","2019_Q4",15.39125,"Up",3.802e+09,-2.965e+09,8.37e+08,-5.72e+08,-5.72e+08,2.65e+08,-1.23e+08,-8.8e+07,-3.5e+07,1.42e+08,-2.1e+07,1.21e+08,-3.1e+07,9e+07,9e+07,-2e+06,8.8e+07,8.8e+07,8.68e+08,8.68e+08,2.748e+09,2.748e+09,2.965e+09,2.8e+08,2.8e+08,6.861e+09,7.032e+09,4.406e+09,1.34e+08,5.5e+08,1.839e+09,1.883e+09,1.1438e+10,1.8299e+10,2.651e+09,2.651e+09,1.096e+09,1.426e+09,1.426e+09,5.173e+09,5.58e+09,2.511e+09,1.244e+09,9.1e+07,1.176e+09,8.091e+09,1.3264e+10,2.365e+09,6.543e+09,-4.073e+09,4.835e+09,2e+08,5.035e+09,1.8299e+10,9e+07,1.95e+08,-2e+06,-1.31e+08,1.52e+08,-1.6e+08,-5e+06,-1.65e+08,2.4e+07,0,-9e+06,-2.2e+07,-3.5e+07,-3.5e+07,-1.9e+07,-5.4e+07,4.6e+08,6.676e+09,2e+08,0.22015,0.0697,0.02315,0.01748,0.00481,2.27273,1.32631,2.63436,0.36483,0.37447,0.36975,16.17872,20.57447,0.85106,0.00879,0.01406,12.62609,21.91698
"40","2020_Q1",10.8654838709677,"Down",3.713e+09,-2.903e+09,8.1e+08,-6.18e+08,-6.18e+08,1.92e+08,-1.03e+08,-7.9e+07,-2.4e+07,8.9e+07,-7.7e+07,1.2e+07,-4.11e+08,-3.99e+08,-3.99e+08,7e+06,-3.92e+08,-3.92e+08,9.08e+08,9.08e+08,1.941e+09,1.941e+09,2.851e+09,2.34e+08,2.34e+08,5.934e+09,7.208e+09,4.043e+09,1.37e+08,5.65e+08,1.527e+09,1.814e+09,1.1251e+10,1.7185e+10,2.908e+09,2.908e+09,9.1e+08,1.469e+09,1.469e+09,5.287e+09,4.753e+09,2.6e+09,1.334e+09,9e+07,1.176e+09,7.353e+09,1.264e+10,2.374e+09,6.113e+09,-4.136e+09,4.351e+09,1.94e+08,4.545e+09,1.7185e+10,-3.99e+08,2.11e+08,1.02e+08,1.432e+09,1.346e+09,-1.99e+08,-1.7e+07,-2.16e+08,4.939e+09,0,-5.998e+09,-1.096e+09,3.4e+07,3.4e+07,1.4e+07,4.8e+07,4.03e+08,5.663e+09,2.047e+09,0.21815,0.05171,-0.10558,-0.08625,-0.02281,-5.22194,1.12238,2.78108,0.32953,-1.6824,-1.70435,15.93562,18.67382,8.78541,-0.02772,0.15982,11.79901,24.76562
"41","2020_Q2",7.59761904761905,"Down",3.056e+09,-2.552e+09,5.04e+08,-5.81e+08,-5.81e+08,-7.7e+07,-1e+08,-7.3e+07,-2.7e+07,-1.77e+08,-1.91e+08,-3.68e+08,-2.49e+08,-6.17e+08,-6.17e+08,-2e+06,-6.19e+08,-6.19e+08,9.71e+08,9.71e+08,2.025e+09,2.025e+09,2.919e+09,2.58e+08,2.58e+08,6.173e+09,6.939e+09,3.579e+09,1.35e+08,3.69e+08,1.261e+09,1.814e+09,1.0518e+10,1.6691e+10,2.645e+09,2.645e+09,1.312e+09,1.309e+09,1.309e+09,5.266e+09,5.212e+09,2.516e+09,1.254e+09,8.6e+07,1.176e+09,7.728e+09,1.2994e+10,2.379e+09,5.444e+09,-4.313e+09,3.51e+09,1.87e+08,3.697e+09,1.6691e+10,-6.17e+08,1.96e+08,3.4e+08,-4.8e+08,-5.61e+08,-2.11e+08,-4.6e+07,-2.57e+08,9.78e+08,3441733.32827613,-2e+06,9.39e+08,1.21e+08,1.21e+08,-5.9e+07,6.2e+07,1.19e+08,6.524e+09,-3.23e+08,0.16492,-0.0252,-0.20255,-0.16743,-0.03709,0.521809999999999,1.17224,3.51474,0.39087,-2.6453,-2.6453,13.05983,15,-1.38034,-0.04569,-0.02536,46.66387,-72.11688
"42","2020_Q3",9.26671875,"Up",2.144e+09,-2.216e+09,-7.2e+07,-4.51e+08,-4.51e+08,-5.23e+08,-1.19e+08,-8.5e+07,-3.4e+07,-6.42e+08,-2.47e+08,-8.89e+08,1.86e+08,-7.03e+08,-7.03e+08,7e+06,-6.96e+08,-6.96e+08,1.006e+09,1.006e+09,1.727e+09,1.727e+09,2.474e+09,2.06e+08,2.06e+08,5.413e+09,6.799e+09,3.615e+09,1.35e+08,3.83e+08,1.434e+09,1.663e+09,1.0414e+10,1.5827e+10,1.858e+09,1.858e+09,1.293e+09,1.475e+09,1.475e+09,4.626e+09,5.688e+09,2.5e+09,1.273e+09,8e+07,1.147e+09,8.188e+09,1.2814e+10,2.387e+09,4.748e+09,-4.302e+09,2.833e+09,1.8e+08,3.013e+09,1.5827e+10,-7.03e+08,2.76e+08,4.5e+07,1.23e+08,-2.59e+08,-1.52e+08,1.9e+07,-1.33e+08,4.36e+08,8634305.43066668,-51000000.000001,3.85e+08,-6999999.99999997,-6999999.99999997,9e+06,2e+06,-2.47e+08,6.981e+09,-4.62e+08,-0.03358,-0.24394,-0.32463,-0.231,-0.04398,0.66379,1.17013,4.2529,0.44108,-2.97436,-2.97436,9.16239,12.10684,-1.97436,-0.05571,-0.03698,-24.19028,-11.42447
"43","2020_Q4",10.0740625,"Up",3.465e+09,-2.775e+09,6.9e+08,-5.55e+08,-5.55e+08,1.35e+08,-1.2e+08,-8.8e+07,-3.2e+07,1.5e+07,-2.5e+07,-1e+07,1.3e+07,3e+06,3e+06,-5e+06,-2e+06,-2e+06,1.057e+09,1.057e+09,2.251e+09,2.251e+09,2.152e+09,2.35e+08,2.35e+08,5.695e+09,6.84e+09,3.657e+09,1.35e+08,3.93e+08,1.472e+09,1.657e+09,1.0497e+10,1.6192e+10,2.33e+09,2.33e+09,9.4e+08,1.623e+09,1.623e+09,4.893e+09,5.708e+09,2.552e+09,1.319e+09,8e+07,1.153e+09,8.26e+09,1.3153e+10,2.396e+09,4.746e+09,-4.282e+09,2.86e+09,1.79e+08,3.039e+09,1.6192e+10,3e+06,1.93e+08,-4.2e+07,4.27e+08,5.81e+08,-1.24e+08,-1e+06,-1.25e+08,4.744e+09,13006010.8689192,-5.113e+09,-3.69e+08,8.7e+07,8.7e+07,4e+06,9.1e+07,3.28e+08,6.648e+09,6.18e+08,0.19913,0.03896,-0.00058,-0.000660000000000022,-0.000119999999999995,-309,1.16391,4.32807,0.41057,-0.00855,-0.00855,14.80769,12.22222,2.64103,-0.00016,0.05049,17.04573,41.41481
"44","2021_Q1",14.4877049180328,"Up",3.656e+09,-2.794e+09,8.62e+08,-6.05e+08,-6.05e+08,2.57e+08,-1.04e+08,-7.8e+07,-2.6e+07,1.53e+08,-2.6e+07,1.27e+08,-6e+07,6.7e+07,6.7e+07,-4e+06,62999999.9999999,62999999.9999999,1.539e+09,1.539e+09,1.691e+09,1.691e+09,2.153e+09,2.37e+08,2.37e+08,5.62e+09,7.073e+09,3.813e+09,1.35e+08,4.08e+08,1.467e+09,1.803e+09,1.0886e+10,1.6506e+10,3.485e+09,2.945e+09,5.58e+08,1.063e+09,1.063e+09,5.106e+09,5.432e+09,2.709e+09,1.47e+09,8.4e+07,1.155e+09,8.141e+09,1.3247e+10,2.404e+09,4.809e+09,-4.135e+09,3.078e+09,1.81e+08,3.259e+09,1.6506e+10,6.7e+07,1.94e+08,-3.1e+08,1.403e+09,1.354e+09,-1.6e+08,8e+06,-1.52e+08,1.51e+08,13985144.2047811,-903000000.000001,-7.52e+08,4.5e+08,4.5e+08,4.5e+07,4.95e+08,4.51e+08,5.99e+09,1.754e+09,0.23578,0.0703,0.01723,0.01933,0.00382,27.84127,1.10067,4.06474,0.3629,0.26923,0.26923,15.62393,13.15385,7.49573,0.00527,0.14668,9.86918,17.31907
"45","2021_Q2",18.4219047619048,"Up",3.511e+09,-2.751e+09,7.6e+08,-5.64e+08,-5.64e+08,1.96e+08,-1.13e+08,-7.9e+07,-3.4e+07,8.3e+07,-5e+07,3.3e+07,-1.5e+07,1.8e+07,1.8e+07,-6e+06,1.2e+07,1.2e+07,1.223e+09,1.223e+09,2.159e+09,2.159e+09,2.359e+09,2.07e+08,2.07e+08,5.948e+09,6.857e+09,3.764e+09,1.34e+08,3.95e+08,1.471e+09,1.764e+09,1.0621e+10,1.6569e+10,3.037e+09,3.037e+09,7.76e+08,1.52e+09,1.52e+09,5.333e+09,5.326e+09,2.624e+09,1.388e+09,8.6e+07,1.15e+09,7.95e+09,1.3283e+10,2.417e+09,4.821e+09,-4.132e+09,3.106e+09,1.8e+08,3.286e+09,1.6569e+10,1.8e+07,1.97e+08,-5.4e+07,-4.43e+08,-2.82e+08,-1.85e+08,5e+06,-1.8e+08,6.89e+08,9e+06,-5.54e+08,1.44e+08,-3.18e+08,-3.18e+08,-3.4e+07,-3.52e+08,3.93e+08,6.102e+09,-2.2e+08,0.21646,0.05582,0.00342,0.00365,0.000720000000000001,-18.3333299999999,1.11532,4.0423,0.36828,0.05106,0.05042,14.94043,13.21702,-0.93617,0.001,-0.01832,12.41476,24.89286
"46","2021_Q3",16.2334375,"Down",3.979e+09,-3.078e+09,9.01e+08,-6.58e+08,-6.58e+08,2.43e+08,-1.27e+08,-9.7e+07,-3e+07,1.16e+08,-1.8e+07,9.8e+07,-2.7e+07,7.1e+07,7.1e+07,-4e+06,6.7e+07,6.7e+07,1.03e+09,1.03e+09,2.819e+09,2.819e+09,3.314e+09,3.56e+08,3.56e+08,7.519e+09,8.297e+09,5.364e+09,1.216e+09,8.74e+08,1.17e+09,2.104e+09,1.3661e+10,2.118e+10,3.858e+09,3.858e+09,9.94e+08,1.751e+09,1.751e+09,6.603e+09,6.978e+09,3.188e+09,1.677e+09,9.7e+07,1.414e+09,1.0166e+10,1.6769e+10,3.367e+09,4.888e+09,-4.043e+09,4.212e+09,1.99e+08,4.411e+09,2.118e+10,7.1e+07,2.08e+08,9e+06,-7.7e+07,2.11e+08,-2e+08,3e+06,-2.053e+09,4.242e+09,0,-2.566e+09,1.676e+09,-1.66e+08,-1.66e+08,2.8e+07,-1.38e+08,4.51e+08,7.972e+09,2.01e+08,0.22644,0.06107,0.01684,0.01519,0.00316,3,1.13872,3.80163,0.37639,0.27572,0.27236,16.37449,17.33333,0.827159999999999,0.0043,0.01291,15.39246,28.5679
"47","2021_Q4",20.76015625,"Up",4.934e+09,-3.894e+09,1.04e+09,-7.27e+08,-7.27e+08,3.13e+08,-1.13e+08,-1.04e+08,-9e+06,2e+08,-1.3e+07,1.87e+08,-5.3e+07,1.34e+08,1.34e+08,-2e+06,1.32e+08,1.32e+08,1.187e+09,1.187e+09,3.193e+09,3.193e+09,3.443e+09,2.98e+08,2.98e+08,8.121e+09,8.216e+09,5.28e+09,1.048e+09,1.017e+09,1.195e+09,2.02e+09,1.3496e+10,2.1617e+10,3.962e+09,3.962e+09,1.148e+09,1.783e+09,1.783e+09,6.893e+09,7.153e+09,3.065e+09,1.582e+09,9.9e+07,1.384e+09,1.0218e+10,1.7111e+10,3.376e+09,5.02e+09,-4.082e+09,4.314e+09,1.92e+08,4.506e+09,2.1617e+10,1.34e+08,2.4e+08,-6e+06,-2.99e+08,6.9e+07,-2.81e+08,2.3e+07,-2.58e+08,2.719e+09,0,-2.384e+09,3.35e+08,1.46e+08,1.46e+08,-2.2e+07,1.24e+08,5.53e+08,8.301e+09,2.6e+07,0.21078,0.06344,0.02675,0.02929,0.00611,0.196970000000007,1.17815,3.79738,0.384,0.5523,0.54545,20.64435,18.05021,0.10879,0.00832,0.00164000000000002,12.86438,22.72843
"48","2022_Q1",17.7520967741936,"Down",5.054e+09,-3.969e+09,1.085e+09,-7.5e+08,-7.5e+08,3.35e+08,-1.28e+08,-1.07e+08,-2.1e+07,2.07e+08,-1.2e+07,1.95e+08,3.62e+08,5.57e+08,5.57e+08,-4e+06,5.53e+08,5.53e+08,1.088e+09,1.088e+09,2.387e+09,2.387e+09,3.594e+09,2.62e+08,2.62e+08,7.331e+09,8.345e+09,5.726e+09,1.039e+09,1.004e+09,1.596e+09,2.087e+09,1.4071e+10,2.1402e+10,4.837e+09,4.148e+09,7.49e+08,1.026e+09,1.026e+09,6.612e+09,6.648e+09,2.958e+09,1.445e+09,1.35e+08,1.378e+09,9.606e+09,1.6218e+10,3.389e+09,5.573e+09,-3.963e+09,4.999e+09,1.85e+08,5.184e+09,2.1402e+10,5.57e+08,2.38e+08,-7.32e+08,1.001e+09,1.064e+09,-3.15e+08,1.3e+07,-3.02e+08,2.26e+09,0,-3.106e+09,-8.46e+08,-8.4e+07,-8.4e+07,-1e+07,-9.4e+07,5.73e+08,7.397e+09,8.97e+08,0.21468,0.06628,0.10942,0.10667,0.02584,1.62206,1.10874,3.12847,0.34562,1.95406,1.93357,17.85866,17.66431,3.16961,0.03559,0.05773,11.01047,18.83284
"49","2022_Q2",12.523064516129,"Down",4.908e+09,-3.966e+09,9.42e+08,-6.88e+08,-6.88e+08,2.54e+08,-1.09e+08,-1.04e+08,-5e+06,1.45e+08,-1.1e+07,1.34e+08,-3.8e+07,9.6e+07,9.6e+07,-6110427.9049074,9.6e+07,9.6e+07,1.053e+09,1.053e+09,3.22e+09,3.22e+09,4.026e+09,2.64e+08,2.64e+08,8.563e+09,8.291e+09,5.768e+09,1.034e+09,1.006e+09,1.581e+09,2.147e+09,1.4059e+10,2.2622e+10,4.983e+09,4.339e+09,9.2e+08,1.042e+09,1.042e+09,6.945e+09,7.45e+09,2.905e+09,1.375e+09,1.37e+08,1.393e+09,1.0355e+10,1.73e+10,3.391e+09,5.669e+09,-3.915e+09,5.145e+09,1.77e+08,5.322e+09,2.2622e+10,9.6e+07,2.44e+08,-3.7e+07,-1.014e+09,-7.11e+08,-2.68e+08,-3.2e+07,-3e+08,3.086e+09,-5e+06,-2.099e+09,9.82e+08,-2.9e+07,-2.9e+07,2e+06,-2.7e+07,4.98e+08,8.37e+09,-7.46e+08,0.19193,0.05175,0.01956,0.01804,0.00424,-7.77083,1.23297,3.25066,0.36999,0.33922,0.33449,17.34276,18.18021,-2.63604,0.00578,-0.04495,14.69277,28.80709
"50","2022_Q3",12.714375,"Up",5.212e+09,-4.172e+09,1.04e+09,-7.17e+08,-7.17e+08,3.23e+08,-4.5e+07,-1.1e+08,6.5e+07,2.78e+08,-2.6e+07,2.52e+08,-82000000.0000001,1.7e+08,1.7e+08,-4e+06,1.66e+08,1.66e+08,1.248e+09,1.248e+09,3.306e+09,3.306e+09,4.389e+09,2.8e+08,2.8e+08,9.223e+09,8.041e+09,5.637e+09,1.023e+09,9.95e+08,1.512e+09,2.107e+09,1.3678e+10,2.2901e+10,5.25e+09,4.593e+09,8.35e+08,1.036e+09,1.036e+09,7.121e+09,7.569e+09,2.864e+09,1.293e+09,1.34e+08,1.437e+09,1.0433e+10,1.7554e+10,3.396e+09,5.835e+09,-4.057e+09,5.174e+09,1.73e+08,5.347e+09,2.2901e+10,1.7e+08,2.37e+08,-3.9e+07,-1.9e+08,1.78e+08,-2.19e+08,1.16e+08,-1.03e+08,2.37e+09,0,-2.22e+09,1.5e+08,2.25e+08,2.25e+08,-3.5e+07,1.9e+08,5.6e+08,8.404e+09,2.33e+08,0.19954,0.06197,0.03185,0.03105,0.00725,1.40361,1.29518,3.28296,0.36697,0.58451,0.5784,18.35211,18.21831,0.82042,0.00999,0.01402,12.77857,22.1548
