"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","other_adjustments","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","derivative_hedging_assets_short_term","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","liabilities_from_derivatives_hedging_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",9.60852459016393,"Up",2400492000,-2242923000,157569000,-120788000,-43433000,-2425000,-74930000,36781000,-20394000,-20394000,16387000,-5474000,23635000,18161000,18161000,18554000,-124000,18430000,14858000,14858000,417263000,417263000,350743000,95271000,77977000,3840000,13454000,878135000,1036667000,405367000,56545000,36421000,1442034000,2320169000,523240000,313412000,209828000,145417000,13708000,131709000,668657000,595420000,555315000,1257194000,1925851000,396421000,-5468000,390953000,394318000,2320169000,18161000,26229000,-17569000,-40820000,-13999000,-15237000,-59802000,93500000,-15696000,77804000,4003000,4003000,4003000,63010000,661774000,-16682000,0.06564,0.01532,0.00768,0.04674,0.00794,-0.905149999999999,1.31328,4.884,0.28523,0.55286,0.55286,72.009,11.72765,-0.500419999999999,0.01116,-0.0101,10.26688,17.58832
"31","2018_Q2",9.74015625,"Up",2802891000,-2658561000,144330000,-115883000,-39366000,-2468000,-74049000,28447000,-21445000,-21445000,7002000,57762000,913000,58675000,58675000,59042000,-396000,58646000,11693000,11693000,417657000,417657000,392950000,113880000,86075000,9823000,17982000,936180000,1019513000,399491000,53968000,33265000,1419004000,2355184000,393436000,271798000,121638000,269204000,12498000,256706000,662640000,591706000,552758000,1254150000,1916790000,441006000,-5610000,435396000,438394000,2355184000,58675000,26482000,-47389000,-141482000,-103714000,-8757000,-8757000,1.25e+08,-15694000,109306000,-3165000,-3165000,-3165000,54929000,662444000,-96223000,0.05149,0.01015,0.02092,0.13377,0.0249,-1.64074,1.4128,4.3723,0.28127,1.73509,1.73509,82.92577,12.88154,-2.84683,0.03465,-0.05685,11.84713,22.87591
"32","2018_Q3",11.0479365079365,"Up",3126575000,-2977314000,149261000,-118609000,-39954000,-2437000,-76218000,30652000,-21613000,-21613000,9039000,6005999.99999999,16000,6022000,6022000,6413000,-110000,6303000,7482000,7482000,423225000,423225000,338320000,108850000,85117000,12805000,10928000,877877000,1005929000,395151000,51459000,32837000,1401080000,2278957000,390256000,256768000,133488000,217768000,14764000,203004000,608024000,577835000,539228000,1240951000,1848975000,432638000,-5263000,427375000,429982000,2278957000,6022000,25342000,6008000,50116000,87488000,-11170000,-11170000,-64700000,-15829000,-80529000,-4211000,-4211000,-4211000,55994000,663116000,94924000,0.04774,0.0098,0.00202,0.01466,0.00277,15.06013,1.44382,4.30012,0.29097,0.18593,0.18593,92.22935,12.60693,2.80012,0.00377,0.05681,11.709,21.3896
"33","2018_Q4",10.825873015873,"Down",3468835000,-3333861000,134974000,-128982000,-42127000,-3079000,-83776000,5992000,-22579000,-22579000,-16587000,-14435000,-29000,-14464000,-14464000,-14080000,27000,-14053000,12451000,12451000,407537000,407537000,481457000,117416000,89599000,7281000,20536000,1018861000,1109892000,446577000,62221000,31806000,1556469000,2575330000,471641000,336530000,135111000,326645000,13944000,312701000,798286000,646787000,608224000,1310562000,2108848000,469021000,-4762000,464259000,466482000,2575330000,-14464000,27586000,4350000,-47148000,-29676000,-8604000,-183490000,235266000,-17131000,218135000,4969000,4969000,4969000,33578000,663775000,-22145000,0.03891,0.00173,-0.00405,-0.03013,-0.00546,1.57582,1.27631,4.52075,0.25774,-0.41194,-0.41194,101.68362,13.60905,-0.64915,-0.00791,-0.01246,19.39734,108.69893
"34","2019_Q1",11.4968852459016,"Up",3274301000,-3052457000,221844000,-139603000,-49555000,-2976000,-87072000,82241000,-23508000,-23508000,58733000,58693000,-6523000,52170000,52170000,52530000,-554000,49285000,8121000,8121000,334777000,334777000,386442000,145568000,98977000,26390000,20201000,874908000,1132632000,416751000,58532000,30813000,1549383000,2424291000,468866000,308979000,159887000,113886000,4494000,109392000,582752000,677890000,635034000,1342345000,1925097000,502591000,-5260000,497331000,499194000,2424291000,52170000,27428000,3975000,131185000,214758000,-22232000,-22303000,-178600000,-18185000,-196785000,-4330000,-4330000,-4330000,109669000,664455000,225145000,0.06775,0.02512,0.01505,0.09873,0.02033,4.56823,1.50134,3.85641,0.27408,1.44641,1.44641,96.09383,14.59562,6.60753,0.02676,0.12226,5.98468,7.98062
"35","2019_Q2",12.6850793650794,"Up",2979626000,-2822782000,156844000,-127010000,-41090000,-2976000,-82944000,29834000,-22956000,-22956000,6878000,6818000,-24000,6794000,6794000,7126000,-853149.140512976,7126000,8638000,8638000,403676000,403676000,464866000,132004000,99144000,8044000,24816000,1009184000,1113176000,723630000,55220000,341924000,1836806000,2845990000,471884000,343198000,128686000,308285000,12916000,295369000,780169000,911161000,868484000,1576299000,2356468000,491507000,-3516000,487991000,489522000,2845990000,6794000,28205000,3284000,-125320000,-87037000,-6001000,-6641000,113200000,-19005000,94195000,517000,517000,517000,58039000,665138000,-73258000,0.05264,0.01001,0.00239,0.01456,0.0025,-10.28038,1.29355,4.81381,0.23371,0.20818,0.20818,87.04721,14.25624,-2.14017,0.00345,-0.03546,11.31136,22.00509
"36","2019_Q3",12.8696875,"Up",3507540000,-3340397000,167143000,-130396000,-40968000,-2977000,-86451000,36747000,-23066000,-23066000,13681000,14809000,-438000,14371000,14371000,14489000,-670000,13819000,10446000,10446000,373905000,373905000,426029000,121028000,87272000,9071000,24685000,931408000,1106114000,726393000,52243000,348964000,1832507000,2763915000,406309000,283127000,123182000,294859000,12583000,282276000,701168000,910914000,868142000,1576740000,2277908000,487374000,-2780000,484594000,486007000,2763915000,14371000,26105000,1921000,11148000,53545000,-13920000,-13920000,-18400000,-19417000,-37817000.0000001,1808000,1808000,1808000,62852000,665826000,60518000.0000001,0.04765,0.01048,0.00394,0.02843,0.005,4.37933,1.32837,4.68699,0.2409,0.40305,0.40305,102.3024,14.13387,1.76509,0.0067,0.02934,10.42735,17.83493
"37","2019_Q4",13.5115625,"Up",3245653000,-3057884000,187769000,-135926000,-45333000,-2766000,-87827000,51843000,-22091000,-22091000,29752000,15706000,-813000,14893000,14893000,15080000,-395000,9639000,5780000,5780000,335752000,335752000,393695000,136155000,94809000,9198000,32148000,871382000,1101608000,705255000,49477000,331034000,1806863000,2678245000,438395000,310368000,128027000,182173000,7908000,174265000,620568000,885827000,842584000,1575930000,2196498000,482910000,-2389000,480521000,481747000,2678245000,14893000,27234000,15316000,85574000,143017000,-20579000,-20579000,-500086000,372982000,-127104000,-4666000,-4666000,-4666000,79077000,690103000,144885000,0.05785,0.01597,0.00297,0.02001,0.0036,15.03112,1.40417,4.55944,0.25767,0.2813,0.2813,94.71934,14.02326,4.22824,0.00468,0.07041,8.65388,13.19991
"38","2020_Q1",11.5651612903226,"Down",3348911000,-3197910000,151001000,-131418000,-43546000,-2712000,-85160000,19583000,-21743000,-21743000,-2160000,-1061000,181000,-880000,-880000,-828000,-314000,-2824000,12042000,12042000,413195000,413195000,450482000,128793000,81940000,4564000,42289000,1004512000,1104863000,699052000,46765000,327813000,1803915000,2808427000,519120000,373386000,145734000,234767000,12698000,222069000,753887000,712068000,669189000,1595301000,2349188000,395915000,-5076000,458065000,459239000,2808427000,-880000,26648000,528000,-41419000,-15123000,-25304000,-26074000,459302000,-411843000,47459000,6262000,6262000,6262000,46231000,883233000,-20673000,0.04509,0.00585,-0.00084,-0.00615,-0.00101,7.32047,1.33244,5.11539,0.31449,-0.08168,-0.08168,96.86212,11.30442,-0.597930000000001,-0.00137,-0.01006,18.8443,44.48711
"39","2020_Q2",7.32301587301587,"Down",2595093000,-2449355000,145738000,-126188000,-40923000,-2712000,-82553000,19550000,-21601000,-21601000,-2051000,-2794000,5869000,3075000,3075000,3276000,-22000,1572000,54389000,54389000,189977000,189977000,214408000,220228000,109179000,79788000,31261000,679002000,1091440000,690743000,44052000,322350000,1782183000,2461185000,252232000,145698000,106534000,117270000,11277000,105993000,369502000,960647000,907981000,1651591000,2021093000,446775000,-8056000,438719000,440092000,2461185000,3075000,25775000,2515000,106552000,137917000,-10501000,-11040000,-6.5e+07,-19530000,-84530000,42347000,42347000,42347000,45325000,690944000,135507000,0.05616,0.00753,0.00061,0.00357,0.00064,86.20038,1.83761,4.59243,0.28074,0.04586,0.04586,75.71387,12.79997,3.95352,0.00075,0.06478,14.04424,32.56036
"40","2020_Q3",8.699375,"Up",1469577000,-1229630000,239947000,-138444000,-59017000,-2713000,-76714000,101503000,-21089000,-21089000,80414000,79501000,-3528000,75973000,75973000,76262000,-3875000,74069000,10358000,10358000,232832000,232832000,344026000,181760000,93397000,48571000,39792000,768976000,1075084000,678218000,41340000,312989000,1753302000,2522278000,301676000,163351000,138325000,125420000,8089000,117331000,427096000,895321000,840322000,1586676000,2013772000,507931000,-508999.999999998,507422000,508506000,2522278000,75973000,24880000,3322000,-80089000,24086000,-5163000,-5812000,-46900000,-15113999.9999999,-62305000,-44031000,-44031000,-44031000,126383000,691355000,44659000,0.16328,0.06907,0.0504,0.14566,0.02937,0.602940000000004,1.80048,3.96017,0.2741,2.18693,2.16551,43.39003,14.9819,1.31858,0.03535,0.02132,5.38836,6.70913
"41","2020_Q4",12.11515625,"Up",2061382000,-1892141000,169241000,-128165000,-43218000,-2712000,-82235000,41076000,-19854000,-19854000,21222000,20328000,-2136000,18192000,18192000,18230000,3040000,16224000,4861000,4861000,239396000,239396000,328706000,164191000,92295000,43159000,28737000,737154000,1070251000,678899000,38627000,316383000,1749150000,2486304000,316769000,186794000,129975000,92663000,6589000,86074000,409432000,876042000,819643000,1567807000,1977239000,440942000,897000,509065000,509065000,2486304000,18192000,24773000,2462000,42859000,88286000,-17920000,-17920000,-56600000,-19263000,-75863000,-5497000,-5497000,-5497000,65849000,691765000,92924000,0.0821,0.01993,0.00787,0.03187,0.00653,5.72756,1.80043,3.88406,0.27823,0.47825,0.47426,60.76471,13.02438,2.73918,0.00781,0.04474,10.4315,16.72276
"42","2021_Q1",16.1945901639344,"Up",2195547000,-2029335000,166212000,-133873000,-49375000,-2702000,-81796000,32339000,-20995000,-20995000,11344000,4528000.00000001,-86000,4442000,4442000,4442000.00000001,-542000,2218000.00000001,9714000,9714000,227317000,227317000,384432000,159967000,119340000,16556000,24071000,781430000,1082486000,676584000,35925000,317094000,1759070000,2540500000,371245000,207873000,163372000,126286000,12055000,114231000,497531000,687865000,631647000,1547470000,2045001000,426673000,1600000,495499000,495499000,2540500000,4442000,24707000,22101000,10987000,62237000,-34536000,-34956000,-3451000,-18977000,-22428000,4853000,4853000,4853000,57046000,859605000,33583000,0.0757,0.01473,0.00101,0.00448000000000002,0.000870000000000002,15.14112,1.57062,4.12715,0.33836,0.0660899999999999,0.0642100000000002,65.42154,12.76141,1.00069,0.00109,0.01644,14.89835,26.28068
"43","2021_Q2",20.3590476190476,"Up",2553327000,-2408295000,145032000,-129575000,-46324000,-2723000,-80528000,15457000,-20359000,-20359000,-4902000,-4427000,130000,-4297000,-4297000,-4297000,-2559000,-6856000,11598000,11598000,314179000,314179000,468841000,130401000,85949000,8584000,35868000,925019000,1075328000,683737000,34002000,321166000,1759065000,2684084000,372857000,237991000,134866000,302038000,21001000,281037000,674895000,693064000,637006000,1464495000,2139390000,401465000,3698000,544694000,544694000,2684084000,-4297000,24975000,1060000,-127721000,-105983000,-13907000,-22668000,79400000,-21032000,130535000,1884000,1884000,1884000,40432000,771431000,-101326000,0.0568,0.00605,-0.00269,-0.01259,-0.00255,14.77917,1.37061,3.92769,0.28741,-0.20184,-0.19991,75.17081,11.92814,-2.98307,-0.00341,-0.05043,18.79286,49.15786
"44","2021_Q3",19.11953125,"Down",3279145000,-3101100000,178045000,-144873000,-54031000,-2673000,-88169000,33172000,-20320000,-20320000,12852000,12672000,-533000,12139000,12139000,12139000,-4312000,7827000,6177000,6177000,349950000,349950000,490952000,111869000,79320000,5227000,27322000,958948000,1073665000,677206000,31329000,317308000,1750871000,2709819000,421065000,247638000,173427000,297407000,32151000,265256000,718472000,688871000,632551000,1460728000,2179200000,387044000,4044000,530619000,530619000,2709819000,12139000,25505000,2127000,12654000,52425000,-21434000,-21434000,-9499999.99999999,-23140000,-36412000,-5421000,-5421000,-5421000,58677000,771857000,50430000,0.0543,0.01012,0.00239,0.01475,0.00289,6.44308,1.3347,4.1069,0.28484,0.23062,0.22826,96.61879,11.52326,1.4859,0.00393,0.02532,13.04907,23.08212
"45","2021_Q4",19.9725,"Up",3323910000,-3120852000,203058000,-149567000,-54674000,-2742000,-92151000,53491000,-19660000,-19660000,33831000,34023000,-386000,33637000,33637000,32644000,787666.75761997,29181000,15365000,15365000,360928000,360928000,413387000,134471000,84071000,12692000,37708000,924151000,1089386000,663454000,28587000,306298000,1752840000,2676991000,469555000,314949000,154606000,209987000,40288000,169699000,679542000,681119000,624742000,1463403000,2142945000,394581000,-66000,534046000,534046000,2676991000,33637000,25692000,1044000,92242000,152615000,-26412000,-37375000,-8e+07,-26052000,-106052000,9188000,9188000,9188000,79183000,782284000,145399000,0.06109,0.01609,0.00878,0.05464,0.0109,4.98266,1.35996,4.01266,0.29223,0.86087,0.85607,98.05912,11.63864,4.28944,0.01461,0.07279,9.6854,14.33735
"46","2022_Q1",23.4448387096774,"Up",4091895000,-3898767000,193128000,-153156000,-57849000,-2573000,-92734000,39972000,-19747000,-19747000,20225000,19864000,-547000,19317000,19317000,20310000,3290000,14854000,10849000,10849000,411194000,411194000,509517000,133525000,87076000,11652000,34797000,1065085000,1099348000,666732000,26014000,312583000,1766080000,2831165000,536252000,353296000,182956000,303348000,31654000,271694000,839600000,681088000,624271000,1463798000,2303398000,529669000,-1902000,527767000,527767000,2831165000,19317000,26069000,2294000,-96519000,-48839000,-33573000,-33573000,101800000,-23904000,77896000,-4516000,-4516000,-4516000,66041000,782710000,-63504000,0.0472,0.00977,0.00363,0.02814,0.00525,-4.27521,1.26856,4.36442,0.27646,0.43966,0.4411,121.11573,15.62134,-1.87965,0.00746,-0.03189,11.6876,19.31004
"47","2022_Q2",24.1885483870968,"Up",4500538000,-4294300000,206238000,-158013000,-56281000,-2499000,-99233000,48225000,-21474000,-21474000,26751000,31662000,-1177000,30485000,30485000,30485000,-4640000,25845000,10834000,10834000,526098000,526098000,511905000,151564000,77935000,17828000,55801000,1200401000,1202867000,749804000,33207000,307173000,1952671000,3153072000,615169000,466275000,148894000,292764000,52008000,240756000,907933000,744797000,687518000,1712533000,2620466000,396484000,-3409000,532606000,532606000,3153072000,30485000,26701000,-3266000,-31292000,22628000,8094000,-206800000,208500000,-24343000,184157000,-15000,-15000,-15000,74926000,967736000,52905000,0.04583,0.01072,0.00574,0.04853,0.0082,2.04701,1.32213,4.92008,0.30692,0.7612,0.75836,132.552,11.57703,1.55818,0.01151,0.02356,12.77129,19.84245
"48","2022_Q3",25.01453125,"Up",5323650000,-5042174000,281476000,-171512000,-60870000,-2117000,-108525000,109964000,-21056000,-21056000,88908000,165757000,-2950000,162807000,162807000,162807000,-5629000,157178000,7381000,7381000,515183000,515183000,431029000,123612000,68648000,17361000,37603000,1077205000,1179583000,752780000,31089000,311826000,1932363000,3009568000,742524000,573624000,168900000,191071000,53678000,137393000,933595000,547514000,489487000,1410676000,2344271000,532121000,-6355000,665297000,665297000,3009568000,162807000,24951000,-75306000,250113000,362565000,74162000,74230000,-412900000,-24781000,-440248000,-3453000,-3453000,-3453000,134915000,863162000,462140000,0.05287,0.02066,0.02952,0.23625,0.05223,2.94023,1.15382,3.52365,0.28681,4.63269,4.61393,156.91022,15.49652,13.6212,0.07571,0.22261,6.34311,7.78237
