"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","decrease_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",31.2988888888889,"Down",166380000,-99170000,67210000,-28131000,-28131000,39079000,221000,221000,39300000,39300000,-9829000,29471000,29471000,29471000,29471000,107313000,107313000,87915000,87915000,35451000,18106000,18106000,248785000,108233000,77891000,3283000,186124000,434909000,75842000,18198000,57644000,75842000,30413000,1286000,29127000,30413000,106255000,123425000,391770000,328654000,328654000,434909000,29471000,3801000,1477000,82294000,117043000,-3914000,-3914000,-8500000,-217000,276000,-493000,-8717000,104412000,104412000,104412000,42880000,0,131089000,0.40395,0.23488,0.17713,0.08967,0.06776,4.44807,3.28031,0.3233,0,0.25085,0.2494,1.41621,2.79747,1.11582,0.08208,0.36508,-2.50264,-2.74605
"34","2019_Q1",34.9406557377049,"Up",139971000,-80115000,59856000,-27622000,-27622000,32234000,569000,569000,32803000,32803000,-7632000,25171000,25171000,25171000,25171000,105699000,105699000,91163000,91163000,57801000,15562000,15562000,270225000,117144000,77753000,3250000,194897000,465122000,92775000,31084000,61691000,92775000,29384000,2125000,27259000,29384000,122159000,124924000,416942000,342963000,342963000,465122000,25171000,3433000,2335000,-8187000,22752000,-12205000,-12205000,-1.49011611938477e-08,-12161000,201000,-12362000,-12161000,-1614000,-1614000,-1614000,35667000,-1.13686837721616e-13,22907000,0.42763,0.23029,0.17983,0.07339,0.05412,0.91006,2.91269,0.35619,-2.11758236813575e-22,0.21476,0.21355,1.19425,2.9262,0.19545,0.0676,0.06152,-2.9635,-3.27912
"35","2019_Q2",33.8877777777778,"Down",179571000,-110206000,69365000,-30166000,-30166000,39199000,56000,56000,39255000,39255000,-7700000,31555000,31555000,31555000,31555000,7907000,7907000,219345000,219345000,50156000,13877000,13877000,291285000,122492000,121868000,47469000,244360000,535645000,71575000,23528000,48047000,106575000,65913000,2125000,63788000,65913000,172488000,122293000,448497000,363157000,363157000,535645000,31555000,3394000,2834000,-147773000,-109990000,-8647000,-8647000,3.5e+07,-14155000,302000,-14457000,20845000,-97792000,-97792000,-97792000,42593000,0,-106127000,0.38628,0.21829,0.17572,0.08689,0.05891,-3.36324,2.73315,0.47497,0,0.2695,0.26819,1.53366,3.1016,-0.90639,0.07354,-0.24734,-0.18564,-0.20171
"36","2019_Q3",40.3271875,"Up",206453000,-123008000,83445000,-35706000,-35706000,47739000,1000,1000,47740000,47740000,-12030000,35710000,35710000,35710000,35710000,106084000,106084000,117909000,117909000,42919000,19251000,19251000,286163000,129612000,120423000,46129000,250035000,536198000,81469000,27307000,54162000,81469000,63196000,2125000,61071000,63196000,144665000,123421000,484207000,391533000,391533000,536198000,35710000,3463000,1721000,112154000,153048000,-10414000,-10414000,-3.5e+07,-9457000,258000,-9715000,-44457000,98177000,98177000,98177000,51202000,3.63797880709171e-12,164972000,0.40418,0.23123,0.17297,0.09121,0.0666,4.61977,3.51254,0.36948,0,0.30529,0.30424,1.76498,3.34724,1.41036,0.07853,0.36279,-2.07187,-2.22217
"37","2019_Q4",44.03953125,"Up",194551000,-112120000,82431000,-27409000,-27409000,55022000,744000,744000,55766000,55766000,-13790000,41976000,41976000,41976000,41976000,133282000,133282000,117386000,117386000,43923000,13254000,13254000,307845000,143893000,119032000,44843000,262925000,570770000,87524000,24641000,62883000,87524000,59696000,2125000,57571000,59696000,147220000,123543000,526183000,423550000,423550000,570770000,41976000,3620000,1007000,9325000,55928000,-17844000,-17844000,0,-10886000,158000,-11044000,-10886000,27198000,27198000,27198000,58642000,0,63913000,0.4237,0.28282,0.21576,0.09911,0.07354,1.52261,3.51726,0.34759,0,0.35938,0.35813,1.66568,3.62629,0.5472,0.08686,0.13226,-2.27281,-2.42234
"38","2020_Q1",46.8622580645161,"Up",164772000,-93510000,71262000,-25023000,-25023000,46239000,702000,702000,46941000,46941000,-11444000,35497000,35497000,35497000,35497000,148833000,148833000,78462000,78462000,56106000,19803000,19803000,303204000,171300000,117735000,43651000,289035000,592239000,78670000,15227000,63443000,78670000,64394000,9831000,54563000,64394000,143064000,124698000,561680000,449175000,449175000,592239000,35497000,3554000,9141000,9174000.00000001,57366000,-30339000,-30339000,7.45058059692383e-09,-10958000,371000,-11329000,-11476000,15551000,15551000,15551000,49793000,-2.91038304567337e-11,40072000,0.43249,0.28062,0.21543,0.07903,0.05994,1.12888,3.85412,0.3185,2.71050543121376e-20,0.30447,0.30334,1.41331,3.85273,0.34371,0.06912,0.07803,-2.98903,-3.21878
"39","2020_Q2",53.3333333333333,"Up",200395000,-110699000,89696000,-34561000,-34561000,55135000,522000,522000,55657000,55657000,-13255000,42402000,42402000,42402000,42402000,5339000,5339000,241242000,241242000,58716000,16582000,16582000,321879000,193099000,115878000,41898000,308977000,630856000,88450000,28917000,59533000,116950000,62183000,9831000,52352000,62183000,179133000,123916000,604082000,451723000,451723000,630856000,42402000,3851000,2684000,-157705000,-108768000,-20597000,-20597000,28500000,-42629000,3e+05,-42929000,-14129000,-143494000,-143494000,-143494000,58986000,0,-106061000,0.4476,0.27513,0.21159,0.09387,0.06721,-2.50132,2.75228,0.39655,0,0.36472,0.36351,1.72369,3.88549,-0.91228,0.08251,-0.20638,-0.09051,-0.09684
"40","2020_Q3",69.1840625,"Up",220648000,-128242000,92406000,-29010000,-29010000,63396000,71000.0000000001,71000.0000000001,63467000,63467000,-16249000,47218000,47218000,47218000,47218000,12237000,12237000,249682000,249682000,49649000,19516000,19516000,331084000,224909000,114997000,41122000,339906000,670990000,111769000,28135000,83634000,111769000,59560000,9831000,49729000,59560000,171329000,124636000,651300000,499661000,499661000,670990000,47218000,4064000,1252000,23902000,76436000,-39870000,-39870000,-28500000,-807000.000000015,388000,-1195000,-29668000,6898000.00000003,6898000.00000003,6898000.00000003,67460000,-4.65661287307739e-10,67741000,0.41879,0.28732,0.214,0.0945,0.07037,1.43464,2.96222,0.34289,0,0.40799,0.40683,1.90651,4.31733,0.58532,0.08444,0.12113,-0.1814,-0.19302
"41","2020_Q4",76.51984375,"Up",231502000,-146538000,84964000,-28027000,-28027000,56937000,208000,208000,57145000,57145000,-14434000,42711000,42711000,42711000,42711000,20081000,20081000,253416000,253416000,51581000,17822000,17822000,342900000,260519000,114816000,41046000,375335000,718235000,110109000,33345000,76764000,110109000,64062000,9831000,54231000,64062000,174171000,126329000,694010000,544064000,544064000,718235000,42711000,4535000,1817000,-4217000,44846000,-37079000,-37079000,0,77000,390000,-313000,77000,7844000,7844000,7844000,61472000,0,34610000,0.36701,0.24595,0.1845,0.0785,0.05947,0.81033,3.11419,0.32013,0,0.36893,0.36778,1.99965,4.69947,0.29895,0.07023,0.05691,-0.32667,-0.35269
"42","2021_Q1",94.0406557377049,"Up",228286000,-135895000,92391000,-34224000,-34224000,58167000,198000,198000,58365000,58365000,-15065000,43300000,43300000,43300000,43300000,121701000,121701000,106748000,106748000,68238000,25310000,25310000,321997000,336537000,111958000,38293000,448495000,770492000,106353000,38622000,67731000,106353000,75608000,22956000,52652000,75608000,181961000,127493000,737311000,588531000,588531000,770492000,43300000,5489000,14498000,111493000,174780000,-73112000,-73112000,0,-48999.9999999963,368000,-417000.000000004,-48000,101620000,101620000,101620000,63656000,0,117102000,0.40472,0.2548,0.18967,0.07357,0.0562,2.70443,3.02762,0.30918,6.93889390390723e-18,0.37395,0.37273,1.97153,5.0827,1.01132,0.0652,0.17632,-1.91185,-2.09227
"43","2021_Q2",100.95873015873,"Up",245524000,-149723000,95801000,-32049000,-32049000,63752000,3000,3000,63755000,64492000,-15947000,48545000,48545000,48545000,48545000,8221000,8221000,309527000,309527000,75012000,17322000,17322000,410082000,378167000,112041000,38481000,490208000,900290000,99625000,39167000,60458000,235625000,74521000,22956000,51565000,74521000,310146000,126084000,785856000,590144000,590144000,900290000,48545000,6423000,2155000,-199697000,-142574000,-57800000,-57800000,1.36e+08,-49106000,460000,-49566000,86894000,-113480000,-113480000,-113480000,70175000,1.36e+08,-171375000,0.39019,0.25966,0.19772,0.08226,0.05392,-3.53023,1.7404,0.52554,0.15106,0.41971,0.41843,2.12275,5.10226,-1.48167,0.06063,-0.21404,1.82086,2.00431
"44","2021_Q3",104.56125,"Up",311596000,-193323000,118273000,-36900000,-36900000,81373000,-13000,-13000,81360000,82343000,-20978000,61365000,61365000,61365000,61365000,5470000.00000003,5470000.00000003,263863000,263863000,77232000,30386000,30386000,376951000,404990000,116879000,43423000,521869000,898820000,122056000,42876000,79180000,171556000,78488000,22956000,55532000,78488000,250044000,127171000,847221000,648776000,648776000,898820000,61365000,9279000,843999.999999998,52843999.9999999,124332000,-35717000,-35717000,-86500000,-4866000,4e+05,-5266000,-91366000,-2751000,-2751000,-2751000,90652000,49500000,128757000,0.37957,0.26115,0.19694,0.09459,0.06827,2.09822,2.19725,0.38541,0.05507,0.53055,0.52893,2.69399,5.60917,1.1132,0.079,0.16576,0.4857,0.54109
"45","2021_Q4",120.044375,"Up",335872000,-207622000,128250000,-33931000,-33931000,94319000,10000,10000,94329000,98106000,-24311000,73795000,73795000,73795000,73795000,54042000,54042000,265560000,265560000,73636000,19782000,19782000,413020000,424974000,115457000,42106000,540431000,953451000,156008000,45415000,110593000,156008000,76634000,22956000,53678000,76634000,232642000,128363000,921016000,720809000,720809000,953451000,73795000,9902000,2099000,45505000,131301000,-29579000,-29579000,-49500000,-3650000,463000,-4113000,-53150000,48572000,48572000,48572000,104221000,0,144458000,0.38184,0.28082,0.21971,0.10238,0.0774,1.95756,2.64743,0.32275,0,0.63916,0.63744,2.9091,6.24317,1.2512,0.09254,0.18115,-0.51853,-0.57297
"46","2022_Q1",89.0470967741935,"Down",303960000,-185780000,118180000,-36744000,-36744000,81436000,15000,15000,81451000,30450000,-5418000,25032000,25032000,25032000,25032000,141053000,141053000,151096000,151096000,83753000,25152000,25152000,401054000,460365000,58902000,39901000,519267000,920321000,88702000,24861000,63841000,88702000,106585000,43967000,62618000,106585000,195287000,129194000,946048000,725034000,725034000,920321000,25032000,10342000,78592000,31039000,145005000,-34943000,-34943000,0,-23051000,477000,-23528000,-23051000,87011000,87011000,87011000,91778000,-1.86264514923096e-09,93292000,0.3888,0.26792,0.08235,0.03453,0.0272,3.72691,4.52136,0.26935,0,0.21765,0.21729,2.64291,6.30413,0.81117,0.0301,0.11218,-1.53689,-1.73207
"47","2022_Q2",60.3341935483871,"Down",339228000,-204316000,134912000,-39960000,-39960000,94952000,-14000,-14000,94938000,94938000,-23727000,71211000,71211000,71211000,71211000,115188000,115188000,200920000,200920000,98176000,22878000,22878000,437162000,472525000,62709000,43813000,535234000,972396000,143020000,61707000,81313000,143020000,108311000,43967000,64344000,108311000,251331000,129031000,1017259000,721065000,721065000,972396000,71211000,10473000,2303000,-10108000,73879000,-22288000,-22288000,-253952938.264311,-77406000,523000,-77929000,-77456000,-25865000,-25865000,-25865000,105425000,0,96756000,0.3977,0.27991,0.20992,0.09876,0.07323,1.35872,3.05665,0.34856,0,0.61729,0.61584,2.9406,6.25055,0.83873,0.08586,0.11666,-1.09261,-1.21312
"48","2022_Q3",53.49609375,"Down",386249000,-228872000,157377000,-39569000,-39569000,117808000,118000,118000,117926000,117926000,-29010000,88916000,88916000,88916000,88916000,16648000,16648000,178084000,178084000,100872000,23645000,23645000,319249000,505395000,62650000,43859000,568045000,887294000,138823000,57825000,80998000,138823000,106996000,43967000,63029000,106996000,245819000,130517000,1106175000,641475000,641475000,887294000,88916000,11331000,571000,15295000,116113000,-44273000,-44273000,-1058358814.79293,-169564000,428000,-169992000,-170380000,-98540000,-98540000,-98540000,129139000,0,129171000,0.40745,0.30501,0.2302,0.13861,0.10021,1.45273,2.29968,0.38321,-2.16840434497101e-19,0.78617,0.78506,3.41512,5.67177,1.1421,0.1188,0.17258,-0.12892,-0.14131
