"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",68.414262295082,"Down",179214000,-81039000,98175000,-40113000,-22682000,-16257000,-1174000,58062000,559000,559000,58621000,58621000,-87628000,-29007000,-29590000,-29590000,-29590000,410387000,407283000,3104000,87429000,87429000,78450000,18959000,8129000,595225000,17795000,120288000,53812000,18841000,3051000,138083000,733308000,71954000,48177000,5365000,18412000,34165000,6402000,27763000,106119000,106548000,4556000,53313000,106548000,212667000,184883000,333225000,2533000,520641000,520641000,733308000,-29007000,2632000,56808000,19216000,49687000,-3396000,-3396000,-3396000,-3397000,588000,-4407000,41883000,41883000,1070000,42953000,60694000,7.27595761418343e-12,164142000,0.54781,0.32398,-0.16511,-0.05683,-0.04035,-5.54721,5.60903,0.40847,-3.3881317890172e-21,-0.74641,-0.73785,4.5207,13.13324,4.1405,-0.04718,0.26171,-6.76157,-7.06808
"31","2018_Q2",62.603125,"Down",195617000,-91972000,103645000,-47542000,-28648000,-17637000,-1257000,56103000,26000,26000,56129000,56129000,-9759000,46370000,46510000,46479000,46479000,417071000,413874000,3197000,116900000,116900000,96842000,19759000,7895000,650572000,20706000,142383000,54906000,38741000,4207000,163089000,813661000,88229000,61328000,13011000,13890000,38405000,9738000,28667000,126634000,109818000,6592000,56504000,109818000,236452000,172500000,399410000,4837000,576747000,577209000,813661000,46370000,2861000,4632000,-18978000,33101000,-3923000,-3923000,-3923000,-9995000,-4032000,-16782000,6324000,6324000,167000,6491000,58964000,0,45822000,0.52984,0.2868,0.2376,0.08052,0.05712,0.98586,5.13742,0.40965,0,1.17315,1.16212,4.93745,14.55733,1.15657,0.06765,0.0667,-7.07332,-7.43402
"32","2018_Q3",57.3269841269841,"Down",196032000,-94797000,101235000,-45217000,-24758000,-19195000,-1264000,56018000,-485000,-485000,55533000,55533000,-9133000.00000001,46400000,46405000,46361000,46361000,436145000,432999000,3146000,106302000,106302000,109834000,18532000,7263000,670813000,24148000,140097000,54256000,38419000,3670000,164245000,835058000,90132000,58028000,14898000,17206000,42197000,14335000,27862000,132329000,107213000,6527000,56763000,107213000,239542000,150686000,445771000,-1447000,595010000,595516000,835058000,46400000,3056000,1867000,1696000.00000001,52353000,-5503000,-5503000,-5503000,-8590000,1456000,-23853000,19910000,19910000,-1327000,18583000,59074000,-5.82076609134674e-11,64400000,0.51642,0.28576,0.2365,0.07785,0.05552,1.3891,5.06928,0.40224,2.71050543121376e-20,1.1782,1.17064,4.98188,15.12135,1.63664,0.06597,0.09164,-7.38303,-7.7858
"33","2018_Q4",44.0995238095238,"Down",173082000,-87543000,85539000,-45274000,-25386000,-18451000,-1437000,40265000,401000,401000,40666000,40263000,-5106000,35157000,34786000,34779000,34779000,341731000,338673000,3058000,110440000,110440000,110327000,22279000,9777000,584777000,30174000,218681000,102813000,44112000,5608000,248855000,833632000,90683000,45620000,23620000,21443000,33913000,7770000,26143000,124596000,109461000,12763000,54915000,109461000,234057000,120667000,480550000,-2155000,599062000,599575000,833632000,35157000,3571000,1129000,-9278000,28479000,-7160000,-7160000,-7160000,-91889000,-60000,-31022000,-94432000,-94432000,438000,-93994000,43836000,0,32504000,0.49421,0.23264,0.20094,0.05801,0.04172,0.93459,4.69339,0.39037,0,0.89246,0.88733,4.44142,15.37239,0.83408,0.04905,0.04584,-7.79567,-8.48705
"34","2019_Q1",48.1203278688525,"Up",154161000,-78973000,75188000,-51782000,-29241000,-20725000,-1816000,23406000,881000,881000,24287000,20451000,-1229000,19222000,19410000,19406000,19406000,351771000,349301000,2470000,100442000,100442000,97987000,18248000,10173000,568448000,31269000,216767000,101900000,47099000,6874000,248036000,816484000,74679000,39646000,13258000,21775000,35630000,7345000,28285000,110309000,98873000,6988000,52062000,98873000,209182000,97456000,512783000,-3449000,606790000,607302000,816484000,19222000,4104000,8174000,1444000,37338000,-3744000,-3744000,-3744000,-3117999.99999999,627000,-25477000,8743000,8743000,-308000,8435000,27510000,0,26439000,0.48772,0.15183,0.12588,0.03195,0.02377,1.36241,5.15323,0.34444,-4.33680868994202e-19,0.50555,0.50255,4.01607,15.80759,0.68877,0.02748,0.03744,-12.78702,-15.0291
"35","2019_Q2",53.0519047619048,"Up",140743000,-75003000,65740000,-52276000,-29014000,-21289000,-1973000,13464000,743000,743000,14207000,12534000,2853000,15387000,15378000,15370000,15370000,353665000,351149000,2516000,102405000,102405000,99070000,18126000,11309000,573266000,31058000,252626000,101306000,47513000,45032000,283684000,856950000,73140000,44028000,12584000,16528000,38910000,5510000,33400000,112050000,122756000,6592000,77530000,122756000,234806000,98948000,528153000,-5477000,621624000,622144000,856950000,15387000,4181000,2556000,-15269000,5446000,-2436000,-2436000,-2436000,-2436000,-1707000,-1707000,1303000,1303000,-566000,737000,17645000,0,-2913000,0.46709,0.09566,0.10921,0.0247,0.01794,-0.18953,5.11616,0.37741,0,0.40238,0.39999,3.68456,16.27373,-0.07626,0.02063,-0.00391,-20.04336,-26.26745
"36","2019_Q3",53.4625,"Up",134810000,-70684000,64126000,-51326000,-27612000,-21840000,-1874000,12800000,15545000,15545000,28345000,26550000,-3177000,23373000,31697000,31686000,31686000,359816000,359070000,746000,93045000,93045000,92740000,17421000,12776000,563022000,34692000,268054000,91637000,40464000,63869000,302746000,865768000,64175000,37281000,6592000,20302000,32322000,4875000,27447000,96497000,113222000,10397000,91997000,113222000,209719000,100550000,559839000,-4871000,655518000,656049000,865768000,23373000,4215000,-8625000,-7488000,10970000,-4688000,-6430000,-6430000,-7488000.00000001,665000,665000.000000015,4147000,4147000,-366000,3781000,17015000,0,8016000,0.47568,0.09495,0.23504,0.0483,0.0366,0.25298,5.83461,0.31967,0,0.82787,0.82387,3.52223,17.12698,0.20944,0.04119,0.01042,-21.14699,-28.11062
"37","2019_Q4",61.608125,"Up",175127000,-101636000,73491000,-63949000,-36401000,-24546000,-3002000,9542000,1361000,1361000,10903000,10751000,-3495000,7256000,7631000,7621000,7621000,341149000,340402000,747000,250151000,250151000,240699000,47965000,45757000,879964000,104568000,610887000,232200000,56488000,131843000,715455000,1595419000,266402000,210647000,7070000,48685000,71995000,10804000,61191000,355897000,253585000,46992000,197395000,579354000,935251000,101795000,567460000,-9628000,659627000,660168000,1595419000,7256000,6905000,-753000,-2880000,12759000,-6815000,-6815000,-6815000,-372613000,328000,343439000,-16415000,-16415000,-2253000,-18668000,16447000,343269000,10247000,0.41964,0.05449,0.04352,0.01154,0.00478,1.34457,2.47252,1.41669,0.21516,0.19897,0.19803,4.57227,17.22174,0.26753,0.00606,0.00815,0.1289,0.22218
"38","2020_Q1",62.8633870967742,"Up",338268000,-225973000,112295000,-88675000,-49528000,-33828000,-5319000,23620000,-4843000,-4843000,18777000,17359000,-6880000,10479000,10269000,10264000,10264000,349055000,346441000,2614000,246564000,246564000,230019000,41100000,36855000,866738000,108109000,557559000,202932000,42656000,127960000,665668000,1532406000,273594000,170671000,9687000,93236000,29238000,10926000,18312000,320332000,213287000,9952000,127155000,534814000,855146000,104887000,577724000,-5897000,676714000,677260000,1532406000,10479000,10846000,2169000,-4453000,19217000,-11249000,-9507000,-9507000,-11310000,818000,-3557000.00000006,4350000,4350000,1689000,6039000,34466000,339027000,25644000,0.33197,0.06983,0.03034,0.01516,0.0067,2.49844,2.70575,1.26266,0.22124,0.26764,0.26584,8.82055,17.64574,0.66868,0.00835,0.02086,-0.29095,-0.424560000000001
"39","2020_Q2",58.9887301587302,"Down",315456000,-203225000,112231000,-85767000,-45991000,-34770000,-5006000,26464000,-3510000,-3510000,22954000,22298000,-3900000,18398000,18078000,18063000,18063000,355030000,352540000,2490000,214360000,214360000,235299000,56536000,55291000,861225000,105592000,555733000,202149000,43258000,131847000,661325000,1522550000,213233000,167442000,6574000,39217000,73041000,10894000,62147000,303774000,215533000,10213000,131086000,532818000,836592000,98516000,595685000,-8804000,685397000,685958000,1522550000,18398000,11616000,2677000,-3751000,28522000,-6134000,-6134000,-6134000,-7124000,-2171000,-13794000,7604000,7604000,-1505000,6099000,38080000,334785000,32095000,0.35577,0.08389,0.05726,0.02633,0.01186,1.77684,2.83508,1.2196,0.21988,0.47091,0.46832,8.22399,17.86842,0.83672,0.01461,0.02596,-0.53164,-0.765
"40","2020_Q3",69.14625,"Up",339880000,-209576000,130304000,-89038000,-48174000,-35855000,-5009000,41266000,-1587000,-1587000,39679000,33889000,-4610000,29279000,29128000,29144000,29144000,383366000,380637000,2729000,235613000,235613000,260049000,50654000,45792000,929682000,107554000,557014000,207926000,45894000,129550000,664568000,1594250000,243120000,180415000,8202000,54503000,82250000,13637000,68613000,342870000,219982000,11989000,133023000,533022000,875892000,102132000,624829000,-9148000,717813000,718358000,1594250000,29279000,11580000,2721000,-4960000,38452000,-7188000,-7257000,-7257000,-7364999.99999999,779000,-3596000,27491000,27491000,606000,28097000,52846000,330540000,45308000,0.38338,0.12141,0.08575,0.04057,0.01828,1.55463,2.71147,1.2193,0.20733,0.76106,0.75738,8.87554,18.74479,1.18316,0.02297,0.03571,-0.99962,-1.28013
"41","2020_Q4",84.26203125,"Up",389521000,-235736000,153785000,-93337000,-51481000,-36807000,-5049000,60448000,-6558000,-6558000,53890000,52396000,-6783000,45613000,45663000,45627000,45627000,431578000,428977000,2601000,240147000,240147000,257374000,49377000,36335000,978476000,109975000,554068000,206559000,50136000,128123000,664043000,1642519000,241163000,159332000,14074000,67757000,77857000,14332000,63525000,336520000,228472000,10128000,140831000,537266000,873786000,101523000,670456000,-3827000,768152000,768733000,1642519000,45613000,12237000,-2182000,11804000,67399000,-11807000,-11841000,-11841000,-12764000,-59000,-8765000,45870000,45870000,2470000,48340000,72685000,326294000,79465000,0.39481,0.15519,0.11714,0.05935,0.02778,1.74162,2.90763,1.13666,0.19865,1.19087,1.18379,10.16654,20.04886,2.07405,0.03447,0.06004,-1.4485,-1.74173
"42","2021_Q1",107.384590163934,"Up",370969000,-225420000,145549000,-84538000,-42944000,-36529000,-5065000,61011000,-6221000,-6221000,54790000,49564000,-7703000,41861000,41861000,41841000,41841000,483022000,480368000,2654000,235178000,235178000,221346000,40703000,35899000,980249000,114731000,552682000,209983000,50801000,122959000,667413000,1647662000,250126000,125224000,11850000,113052000,28771000,12179000,16592000,296397000,231379000,10088000,133492000,535925000,832322000,105047000,712297000,-2605000,814739000,815340000,1647662000,41861000,12337000,10451000,2478000,66863000,-11235000,-11132000,-11132000,-15587000,969000,-3457000,47819000,47819000,3572000,51391000,73348000,322046000,72294000,0.39235,0.16446,0.11279,0.05132,0.02539,1.72783,3.30722,1.02083,0.19546,1.09274,1.08467,9.6884,21.27811,1.88806,0.03057,0.05282,-2.19469,-2.63848
"43","2021_Q2",105.081746031746,"Down",351620000,-214117000,137503000,-92283000,-46731000,-40168000,-5384000,45220000,-507000,-507000,44713000,43675000,-5284000,38391000,38701000,38668000,38668000,512764000,509910000,2854000,236916000,236916000,247567000,42835000,37514000,1040082000,112842000,546327000,207994000,50280000,118664000,659169000,1699251000,280756000,162616000,15586000,102554000,28617000,13271000,15346000,326873000,225806000,9672000,130029000,526103000,852976000,106103000,747111000,-7573000,845641000,846275000,1699251000,38391000,12721000,5971000,-2819000,54079000,-8811000,-8817000,-8817000,-12415000,-4214000,-12443000,29221000,29221000,321000,29542000,57941000,317797000,51595000,0.39106,0.1286,0.10997,0.04569,0.02276,1.33431,3.18191,1.00792,0.18702,1.00887,1.0022,9.17397,22.06327,1.34614,0.03059,0.03712,-3.36492,-4.31152
"44","2021_Q3",92.83796875,"Down",361311000,-226278000,135033000,-93742000,-48110000,-40119000,-5513000,41291000,-3662000,-3662000,37629000,37418000,-1876000,35542000,35440000,35409000,35409000,510004000,507176000,2828000,243353000,243353000,296739000,53890000,38815000,1103986000,115160000,557086000,214211000,51896000,120065000,672246000,1776232000,324291000,206723000,12770000,104798000,35605000,20065000,15540000,377396000,226185000,9702000,130506000,522230000,899626000,103833000,778646000,-6538000,875941000,876606000,1776232000,35542000,13023000,1957000,-16720000,33610000,-5392000,-5386000,-5386000,-20474000,955999.999999999,-13796000,-659999.999999993,-659999.999999993,-2074000,-2734000,54314000,313545000,34078000,0.37373,0.11428,0.098,0.04039,0.01993,0.96241,2.92527,1.02626,0.17652,0.92384,0.91774,9.42682,22.85381,0.88912,0.02774,0.02406,-3.6171,-4.75791
"45","2021_Q4",88.406875,"Down",346093000,-226054000,120039000,-94558000,-48373000,-40578000,-5607000,25481000,495000,495000,25976000,24704000,-3657000,21047000,21010000,21004000,21004000,550756000,547923000,2833000,220112000,220112000,341500000,51989000,32984000,1164357000,114801000,552897000,213625000,50994000,123246000,667698000,1832055000,326345000,190228000,14787000,121330000,40943000,24806000,16137000,387288000,225379000,9606000,132334000,602976000,990264000,105961000,744873000,-9714000,841120000,841791000,1832055000,21047000,13481000,3772000,-19956000,18198000,-6981000,-6981000,-6981000,-6232000,-1228000,29793000,41759000,41759000,-1012000,40747000,38962000,397597000,15682000,0.34684,0.07362,0.06069,0.02495,0.01146,0.74662,3.00644,1.17638,0.21702,0.55009,0.54751,9.06406,22.02865,0.41071,0.01697,0.01071,-3.93098,-6.01071
"46","2022_Q1",86.1520967741936,"Down",396930000,-257183000,139747000,-95306000,-48784000,-40966000,-5556000,44441000,704000,704000,45145000,42914000,-3187000,39727000,39629000,39655000,39655000,544372000,544372000,2715706.67781609,237227000,237227000,338410000,42225000,42225000,1162234000,114830000,540276000,212190000,48584486.0176933,168680000,655106000,1817340000,312212000,193708000,15018813.711303,118504000,37984000,28164615.3925832,37984000,370196000,202915000,9524978.17962686,135660000,575648000,945844000,115744000,756323000,-1216000,870851000,871496000,1817340000,39727000,13668000,6223000,-25114000,34358000,-7633000,-7633000,-7633000,-8181000,1374000,-28926000,-2749000.00000001,-2749000.00000001,-802000,-3550999.99999999,58109000,392733000,28549000,0.35207,0.11196,0.0999,0.0455,0.02182,0.71993,3.13951,1.08531,0.2161,1.03855,1.03368,10.39546,22.8073,0.74769,0.02962,0.01946,-2.60956,-3.41214
"47","2022_Q2",77.0303225806452,"Down",397459000,-253143000,144316000,-98441000,-49318000,-43614000,-5509000,45875000,-842000,-842000,45033000,43815000,-6953000,36862000,36764000,36778000,36778000,523518000,521236000,2282000,248732000,248732000,360801000,41429000,41429000,1174480000,117287000,540591000,211493000,46734000,128756000,657878000,1832358000,298034000,183085000,15627000,99322000,45361000,29643000,15718000,363395000,199776000,9346000,124474000,567644000,931039000,116966000,782972000,750000,900688000,901319000,1832358000,36862000,13888000,3144000,-43981000,9821000,-13075000,-13075000,-13075000,-13675000,-2430000,-17813000,-21667000,-21667000,-1469000,-23136000,59763000,387868000,9660000,0.3631,0.11542,0.09253,0.0408,0.02007,0.26266,3.23197,1.03297,0.21168,0.97627,0.97127,10.55051,23.90869,0.25642,0.02725,0.00649,-2.2698,-2.95695
"48","2022_Q3",85.57625,"Up",440949000,-278791000,162158000,-109554000,-55022000,-48009000,-6523000,52604000,3249000,3249000,55853000,56014000,-11203000,44811000,44991000,44970000,44970000,372685000,372685000,1368379.96655173,270839000,270839000,395866000,48126000,48126000,1087516000,126793000,663765000,280885000,47267000,133835000,790558000,1878074000,324356000,197870000,22665000,103821000,44665000,27754000,16911000,389021000,201172000,8804000,130140000,564173000,953194000,122019000,807843000,-5634000,924228000,924880000,1878074000,44811000,14989000,4239000,-26411000,37775000,-12401000,-12401000,-12401000,-157580000,763000,-25027000,-144832000,-144832000,-3719000,-148551000,67593000,383001000,39984000,0.36775,0.1193,0.10198,0.04862,0.02394,0.88913,2.79552,1.03061,0.20393,1.19856,1.19252,11.75237,24.63294,1.06567,0.03232,0.0265,0.15262,0.19611
