"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q4",7.72444444444444,"Down",514961000,-356812000,158149000,-147947000,-148294000,347000,10202000,-32000,-32000,10170000,10170000,-2203000,7967000,7967000,7967000,7967000,161189000,161189000,15496000,15496000,362767000,59039000,59039000,598491000,375135000,1074712000,-699577000,220640000,213252000,595775000,1194266000,318507000,225100000,93407000,34473000,34473000,352980000,230249000,230249000,230249000,583229000,210812000,-314874000,715099000,611037000,611037000,1194266000,7967000,21665000,83369000,-102559000,10442000,-15013000,-15013000,-916000,-25085000,-29656000,-29656000,-29656000,31867000,0,-83502000,0.30711,0.01981,0.01547,0.01304,0.00667,-10.48098,1.69554,0.95449,0,0.10987,0.10843,7.10173,8.4267,-1.15156,0.00947,-0.09926,-5.05818,-15.79975
"34","2019_Q1",5.03983606557377,"Down",628426000,-455229000,173197000,-160470000,-160765000,295000,12727000,-8257000,143000,4470000,4304000,-5392000,-1088000,-1088000,-1088000,-1088000,171670000,171670000,17369000,17369000,267766000,55223000,55223000,512028000,364279000,1083347000,-719068000,210320000,204878000,574599000,1086627000,234226000,155913000,78313000,40466000,40466000,274692000,226757000,226757000,226757000,501449000,212917000,-341603000,713864000,585178000,585178000,1086627000,-1088000,21754000,-42932000,77668000,55402000,-17376000,-17376000,-475000,-27545000,10481000,10481000,10481000,34481000,1.49011611938477e-08,100165000,0.2756,0.02025,-0.00173,-0.00186,-0.000999999999999999,-92.06342,1.86401,0.85692,3.46944695195361e-18,-0.01595,-0.01584,9.21513,8.58095,1.4688,-0.00134,0.12337,-4.97868,-13.48865
"35","2019_Q2",3.41555555555556,"Down",451271000,-328768000,122503000,-134057000,-135367000,1310000,-11554000,712000,712000,-10842000,-10842000,908000,-9934000,-9934000,-9934000,-9934000,144233000,144233000,13916000,13916000,285641000,35431000,35431000,479221000,287248000,1010648000,-723400000,1360218000,1353613000,1647466000,2126687000,229350000,133598000,95752000,36304000,36304000,493866000,1067074000,1067074000,1067074000,1560940000,210973000,-334939000,689713000,565747000,565747000,2126687000,-9934000,24588000,-11296000,-20303000,-16945000,-4078000,-4078000,-27000,-6414000,-27437000,-27437000,-27437000,13034000,228212000,-12255000,0.27146,-0.0256,-0.02201,-0.01756,-0.00467,1.23364,0.97035,2.75908,0.10731,-0.14861,-0.14861,6.75101,8.46356,-0.18333,-0.00534,-0.00659,6.44307,-7.26839
"36","2019_Q3",2.4571875,"Down",472715000,-346217000,126498000,-136258000,-135723000,-535000,-9760000,783000,783000,-8977000,-8977000,-726000,-9703000,-9703000,-9703000,-9703000,153959000,153959000,12527000,12527000,268805000,37454000,37454000,472745000,270817000,994796000,-723979000,1309045000,1302618000,1579862000,2052607000,218587000,145168000,73419000,34836000,34836000,477311000,1016832000,1016832000,1016832000,1494143000,213086000,-333765000,679143000,558464000,558464000,2052607000,-9703000,18655000,-4439000.00000001,14160000,18673000,-8067000,-8067000,-27000,-880000,9726000,9726000,9726000,8895000,223888000,15714000,0.2676,-0.02065,-0.02053,-0.01737,-0.00473,-1.61950000000001,0.99043,2.67545,0.10907,-0.14428,-0.14428,7.02891,8.30393,0.23366,-0.00539,0.00873,7.86161,-7.16486
"37","2019_Q4",3.9296875,"Up",488483000,-350810000,137673000,-144348000,-144301000,-47000,-6675000,690000,690000,-5985000,-5985000,2880000,-3105000,-3105000,-3105000,-3105000,167915000,167915000,12199000,12199000,345931000,40292000,40292000,566337000,256994000,991550000,-734556000,1254583000,1248204000,1511577000,2077914000,315225000,221721000,93504000,32394000,32394000,570058000,958854000,958854000,958854000,1528912000,215325000,-341862000,675539000,549002000,549002000,2077914000,-3105000,20878000,24749000,-11416000,31106000,-8358000,-8358000,-27000,-8792000,13956000,13956000,13956000,14203000,222439000,-8451000,0.28184,-0.01366,-0.00636,-0.00566,-0.00149,2.72174,0.99347,2.78489,0.10705,-0.04674,-0.04674,7.35257,8.2635,-0.1272,-0.00179,-0.00488,3.83891,-8.16839
"38","2020_Q1",3.66661290322581,"Down",606725000,-442824000,163901000,-148822000,-148941000,119000,15079000,796000,796000,15875000,-189080000,47464000,-141616000,-141616000,-141616000,-141616000,207139000,207139000,10824000,10824000,220303000,32423000,22573000,470689000,248330000,979639000,-731309000,1071720000,1016747000,1320050000,1790739000,203074000,126863000,76211000,38227000,38227000,467475000,916962000,916962000,916962000,1384437000,216143000,-343531000,533690000,406302000,406302000,1790739000,-141616000,21262000,150361000,27869000,57876000,-16536000,-16536000,-9000,-2115999.99999999,39224000,39224000,39224000,36341000,226174000,209999.999999985,0.27014,0.02485,-0.23341,-0.34855,-0.07908,-0.00148000000000303,1.00688,3.40741,0.1263,-2.21285,-2.21285,9.48052,6.34877,0.00328000000000003,-0.0914,0.00014,0.52379,1.26235
"39","2020_Q2",1.84396825396825,"Down",210275000,-256482000,-46207000,-99072000,-99165000,93000,-145279000,-2789000,-56000,-148068000,-148068000,-5982000,-154050000,-154050000,-154050000,-154050000,236185000,236185000,12897000,12897000,268787000,36211000,36211000,554080000,230677000,985091000,-754414000,1014427000,1014427000,1245104000,1799184000,215226000,123429000,91797000,31331000,31331000,471940000,908030000,908030000,1073030000,1544970000,217036000,-334803000,371981000,254214000,254214000,1799184000,-154050000,19332000,84233000,-80753000,-131238000,-4176000,-4176000,1.65e+08,164460000,29046000,29046000,29046000,-125947000,390383000,-204894000,-0.21975,-0.6909,-0.73261,-0.60599,-0.08562,1.33005,1.17405,6.07744,0.21698,-2.4059,-2.4059,3.28401,3.97023,-3.19997,-0.09922,-0.13197,-1.22431,-1.06139
"40","2020_Q3",1.10671875,"Down",245703000,-289760000,-44057000,-92237000,-92805000,568000,-136294000,-1023000,-1023000,-137317000,-137317000,29547000,-107770000,-107770000,-107770000,-107770000,192894000,192894000,18806000,18806000,232302000,121890000,33166000,565892000,215617000,989589000,-773972000,905935000,905935000,1121552000,1687444000,289490000,143491000,145999000,30932000,30932000,528094000,845474000,845474000,1010474000,1538568000,218764000,-330417000,260529000,148876000,148876000,1687444000,-107770000,17991000,8359000,42275000,-39145000,-5954000,-5954000,1836000,1808000,-43291000,-43291000,-43291000,-118303000,372672000,-111529000,-0.17931,-0.55471,-0.43862,-0.72389,-0.06387,1.03488,1.07157,10.33456,0.22085,-1.66708,-1.66708,3.80075,2.30294,-1.72523,-0.07884,-0.08159,-1.51964,-1.31905
"41","2020_Q4",0.944375,"Down",322061000,-308115000,13946000,-124862000,-124863000,1000,-110916000,-936000,-936000,-111852000,-111852000,21503000,-90349000,-90349000,-90349000,-90349000,107347000,107347000,12657000,12657000,350643000,143094000,24397000,613741000,199264000,990300000,-791036000,859066000,859066000,1058330000,1672071000,398221000,239624000,158597000,30005000,30005000,636601000,809650000,809650000,974650000,1611251000,220983000,-329201000,169038000,60820000,60820000,1672071000,-90349000,18376000,12327000,-21573000,-81219000,-3420000,-3420000,-495000,-908000,-85547000,-85547000,-85547000,-92540000,373375000,-139036000,0.0433,-0.34439,-0.28053,-1.48551,-0.05403,1.53888,0.96409,26.49212,0.2233,-1.39279,-1.39279,4.96479,0.93758,-2.14334,-0.07264,-0.11178,-2.87474,-2.39846
"42","2021_Q1",3.13639344262295,"Up",430335000,-358924000,71411000,-134137000,-134001000,-136000,-62726000,-1386000,-1386000,-64112000,-64112000,10832000,-53280000,-53280000,-53280000,-53280000,55874000,55874000,14556000,14556000,264360000,139720000,20495000,474510000,180198000,969402000,-789204000,803749000,803749000,983947000,1458457000,279182000,150230000,128952000,235871000,32430000,515053000,741683000,741683000,933715000,1448768000,223077000,-328120000,114732000,9689000,9689000,1458457000,-53280000,17999000,-2892000,-33851000,-72024000,-3304000,-3304000,30479000,23855000,-51473000,-51473000,-51473000,-44727000,192032000,-92714000,0.16594,-0.14576,-0.12381,-5.49902,-0.03653,1.74013,0.92128,149.52709,0.13167,-0.82031,-0.82031,6.62553,0.14917,-1.42745,-0.05648,-0.09828,-3.0442,-2.17068
"43","2021_Q2",4.21825396825397,"Up",345759000,-266955000,78804000,-119360000,-119393000,33000,-40556000,-5252000,-5252000,-45808000,-45808000,84000,-45724000,-45724000,-45724000,-45724000,84072000,84072000,11213000,11213000,264488000,122577000,19340000,482350000,166465000,965854000,-799389000,757924000,757924000,924389000,1406739000,277919000,159013000,118906000,29861000,29861000,552442000,699951000,699951000,889976000,1442418000,219123000,-308151000,53349000,-35679000,-35679000,1406739000,-45724000,18497000,2446000,23201000,-1580000,-3562000,-3562000,35970000,33340000,28198000,28198000,28198000,-22059000,434687000,-2504000,0.22792,-0.1173,-0.13224,1.28154,-0.0325,0.05476,0.87312,-40.42765,0.309,-0.70754,-0.70754,5.35032,-0.5521,-0.03875,-0.04161,-0.00228,-15.89442,-8.64521
"44","2021_Q3",5.503125,"Up",457627000,-308320000,149307000,-134531000,-134562000,31000,14776000,-4115000,-4115000,10661000,10661000,-22000.0000000009,10639000,10639000,10639000,10639000,33852000,33852000,10470000,10470000,266593000,73198000,14415000,384113000,157049000,963089000,-806040000,709218000,709218000,866267000,1250380000,268750000,156896000,111854000,242333000,29674000,520049000,644618000,644618000,753825000,1273874000,216409000,-298261000,57422000,-23494000,-23494000,1250380000,10639000,17369000,2786000,38377000,69171000,-6996000,-6996000,-111052000,-112395000,-50220000,-50220000,-50220000,32145000,118173000,63548000,0.32626,0.03229,0.02325,-0.452840000000001,0.00851000000000001,5.97312,0.73861,-54.22125,0.09451,0.16153,0.16153,6.94817,-0.37092,0.96485,0.01439,0.08596,2.62315,5.70662
"45","2021_Q4",3.92890625,"Down",471981000,-315173000,156808000,-140554000,-141055000,501000,16254000,-2879000,-2879000,13375000,13375000,-289000,13086000,13086000,13086000,13086000,36795000,36795000,14033000,14033000,383588000,77123000,19464000,511539000,150502000,971230000,-820728000,662087000,662087000,812589000,1324128000,378903000,252752000,126151000,235239000,30412000,624233000,599670000,599670000,708064000,1332297000,219175000,-297133000,69789000,-8169000,-8169000,1324128000,13086000,16098000,2379000,-20870000,10693000,-7537000,-7537000,0,-213000,2943000,2943000,2943000,32352000,118485000,4234000,0.33223,0.03444,0.02773,-1.60191,0.00988,0.32355,0.81947,-163.09181,0.08948,0.19869,0.19869,7.1661,-0.12403,0.06428,0.01843,0.00596,2.52504,5.02584
"46","2022_Q1",3.67,"Down",594929000,-421381000,173548000,-163243000,-163177000,-66000,10305000,-2654000,-2952000,7651000,7651000,-88000,7563000,7563000,7563000,7563000,41176000,41176000,11744000,11744000,358795000,79022000,19755000,490737000,147982000,975802000,-827820000,620735000,620735000,768717000,1259454000,342824000,231974000,110850000,232613000,35985000,586653000,553912000,553912000,671493000,1258146000,221014000,-296799000,77093000,1308000,1308000,1259454000,7563000,15658000,1842000,-13967000,11096000,-16676000,-16676000,1e+07,9960999.99999999,4381000,4381000,4381000,25963000,128797000,-4592000,0.29171,0.01732,0.01271,5.78211,0.006,-0.607170000000001,0.8365,961.88532,0.10226,0.11703,0.11703,9.20601,0.02024,-0.0710599999999999,0.01106,-0.00670999999999999,3.37484,8.50277
"47","2022_Q2",3.00112903225806,"Down",450785000,-319285000,131500000,-140603000,-141093000,490000,-9103000,-3294000,-3494000,-12397000,-12397000,483000,-11914000,-11914000,-11914000,-11914000,37140000,37140000,9331000,9331000,371249000,30934000,23383000,448654000,138240000,979377000,-841137000,643690000,643690000,781930000,1230584000,292566000,181318000,111248000,228176000,32833000,525242000,511962000,511962000,715445000,1240687000,218369000,-281716000,53244000,-10103000,-10103000,1230584000,-11914000,15172000,2246000,-81383000,-75879000,-5142000,-5142000,78875000,76985000,-4036000,-4036000,-4036000,6069000,207983000,-80939000,0.29171,-0.02019,-0.02643,1.17925,-0.00968,6.7936,0.85419,-122.80382,0.16901,-0.17726,-0.17726,6.70701,-0.15032,-1.20425,-0.01678,-0.11402,28.15011,-18.76777
"48","2022_Q3",1.7075,"Down",464919000,-311218000,153701000,-143289000,-143278000,-11000,10412000,-3124000,-3800000,7288000,7288000,-252000,7036000,7036000,7036000,7036000,37667000,37667000,11924000,11924000,346229000,31178000,22628000,426998000,132764000,989088000,-856324000,603193000,603193000,735957000,1162955000,272465000,166378000,106087000,221956000,31632000,498921000,466874000,466874000,664547000,1163468000,220353000,-279111000,58245000,-513000.000000004,-513000.000000004,1162955000,7036000,14916000,2554000,-9436000,15070000,-8352000,-8352000,-6125000,-6191000,527000,527000,526999.999999999,25328000,202173000,7792000,0.3306,0.0224,0.01513,-13.7154,0.00605,1.10745,0.85584,-2267.96881,0.17384,0.10324,0.10235,6.822,-0.00753000000000001,0.11434,0.01052,0.01166,6.49503,15.79965
