"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"38","2019_Q3",2.993125,"Down",3012000,-321000,2691000,-3875000,-1784000,-2091000,-1184000,278000,278000,-906000,-906000,-31999.9999999999,-938000,-938000,-938000,-938000,48959000,48959000,2936000,2936000,3893000,234000,55788000,3933000,5334000,9267000,65055000,1520000,167000,1353000,2345000,2345000,3865000,79000,79000,79000,3944000,96515000,-35404000,61111000,61111000,65055000,-938000,111000,176000,-616000,-1267000,-49000,-49000,-7.27595761418343e-12,-139000,-1455000,-1455000,-1455000,-1073000,0,-1706000,0.89343,-0.39309,-0.31142,-0.01535,-0.01442,1.81876,14.43415,0.06454,0,-0.04355,-0.04359,0.13985,2.83749,-0.07921,-0.01533,45.62815,41.35051
"39","2019_Q4",3.11390625,"Up",3010000,-267000,2743000,-3915000,-1844000,-2071000,-1172000,253000,253000,-919000,-919000,768000,-151000,-151000,-151000,-151000,48007000,48007000,3450000,3450000,4681000,426000,56138000,3832000,5929000,9761000,65899000,1486000,231000,1255000,3584000,3584000,5070000,64000,64000,64000,5134000,96320000,-35555000,60765000,60765000,65899000,-151000,110000,-568000,51000,-558000,-9000,-9000,-43000,-385000,-952000,-952000,-952000,-1062000,0,-1788000,0.9113,-0.38937,-0.05017,-0.00248000000000002,-0.00229,11.84106,11.07258,0.08449,0,-0.00702,-0.00702,0.13986,2.82352,-0.08308,-0.00248000000000001,45.20433,40.9616
"40","2020_Q1",3.12532258064516,"Up",2450000,-155000,2295000,-4024000,-2018000,-2006000,-1729000,243000,243000,-1486000,-1535000,-5944000,-7479000,-7479000,-7479000,-7479000,47742000,47742000,2487000,2487000,3571000,256000,53800000,3755000,3016638.62441496,3755000,57555000,1283000,187000,1096000,2777000,2777000,4060000,60000,60000,60000,4120000,96469000,-43034000,53435000,53435000,57555000,-7479000,110000,6241000,1059000,-69000.0000000001,-33000,-33000,0,-163000,-265000,-265000,-265000,-1619000,0,5351000,0.93673,-0.70571,-3.05265,-0.13996,-0.12995,-0.715469999999998,13.25123,0.0771,0,-0.34836,-0.34836,0.11412,2.48894,0.24924,-0.13981,29.48857,27.61249
"41","2020_Q2",3.02444444444444,"Down",3518000,-170000,3348000,-4695000,-2423000,-2272000,-1347000,148000,148000,-1199000,-1199000,139000,-1060000,-1060000,-1060000,-1060000,46857000,46857000,1939000,1939000,3565000,340000,52361000,3909000,146000,4055000,56416000,1391000,215000,1176000,2573000,2573000,3964000,44000,44000,44000,4008000,96502000,-44094000,52408000,52408000,56416000,-1060000,132000,83000,296000,-549000,-286000,-286000,-50000,-50000,-885000,-885000,-885000,-1215000,0,-1344000,0.95168,-0.38289,-0.30131,-0.02023,-0.01879,1.26792,13.20913,0.07648,0,-0.04925,-0.04925,0.16346,2.43509,-0.06245,-0.02021,38.56543,34.78619
"42","2020_Q3",2.91640625,"Down",1891000,-164000,1727000,-5428000,-3006000,-2422000,-3701000,19000,19000,-3682000,-3682000,541000,-3141000,-3141000,-3141000,-3141000,44951000,44951000,2397000,2397000,2283000,265000,49631000,3844000,691000,4535000,54166000,2154000,284000,1870000,2882000,2882000,5036000,79000,79000,79000,5115000,96287000,-47236000,49051000,49051000,54166000,-3141000,131000,230000.000000001,1385000,-1395000,-65999.9999999999,-66000,1.45519152283669e-11,-445000,-1906000,-1906000,-1906000,-3570000,0,-2792000,0.91327,-1.95717,-1.66103,-0.06404,-0.05799,0.888889999999999,9.85524,0.10428,0,-0.14631,-0.14631,0.08808,2.28484,-0.13005,-0.06393,12.59132,12.14564
"43","2020_Q4",2.975625,"Up",2474000,-149000,2325000,-4845000,-2512000,-2333000,-2520000,7000,7000,-2513000,-2513000,736000,-1777000,-1777000,-1777000,-1777000,42318000,42318000,2071000,2071000,2852000,625000,47241000,3818000,1179000,4997000,52238000,1952000,258000,1694000,3016000,3016000,4968000,25000,25000,25000,4993000,96258000,-49013000,47245000,47245000,52238000,-1777000,138000,244000,-851000,-2246000,-112000,-112000,-39000,-275000,-2633000,-2633000,-2633000,-2382000,0,-4081000,0.93977,-1.01859,-0.71827,-0.03761,-0.03402,2.29657,9.50906,0.10568,0,-0.08317,-0.08317,0.11579,2.21122,-0.191,-0.03759,17.76574,16.79286
"44","2021_Q1",4.26344262295082,"Up",3426000,-327000,3099000,-4955000,-2889000,-2066000,-1856000,2000,2000,-1854000,-1854000,218000,-1636000,-1636000,-1636000,-1636000,38565000,38565000,2285000,2285000,2811000,582000,43661000,3701000,4266000,7967000,51628000,2025000,494000,1531000,3843000,3843000,5868000,90000,90000,90000,5958000,96318000,-50648000,45670000,45670000,51628000,-1636000,160000,399000,-7000.00000000023,-1084000,-20000,-2450000,-3999.99999999999,-219000,-3753000,-3753000,-3753000,-1696000,0,-1941000,0.90455,-0.54174,-0.47752,-0.03582,-0.03169,1.18643,7.44052,0.13046,0,-0.07597,-0.07597,0.15908,2.12064,-0.09013,-0.03575,22.7388,20.77856
"45","2021_Q2",3.67888888888889,"Down",4419000,-383000,4036000,-5485000,-3089000,-2396000,-1449000,1000,1000,-1448000,-1448000,-702464.20151265,-1448000,-1448000,-1448000,-1448000,36040000,36040000,2872000,2872000,3013000,531000,41925000,3567000,4223000,7790000,49715000,1807000,504000,1303000,3417000,3417000,5224000,126000,126000,126000,5350000,96461000,-52096000,44365000,44365000,49715000,-1448000,177000,197000,-1397000,-2471000,4872.31065325583,-1961310.88068271,-54000,-54000,-2525000,-2525000,-2525000,-1272000,0,1798503.11140994,0.91333,-0.3279,-0.32768,-0.03264,-0.02913,-1.27099256407795,8.02546,0.12059,0,-0.06737,-0.06737,0.20559,2.06406,0.0861989985764282,-0.03255,28.33333,24.87233
"46","2021_Q3",3.9071875,"Up",4263000,-309000,3954000,-5497000,-3133000,-2364000,-1543000,1000,1000,-1542000,-1542000,-1309218.9353502,-1542000,-1542000,-1542000,-1542000,35192000,35192000,1974000,1974000,3226000,359000,40392000,3460000,4179000,7639000,48031000,1797000,267000,1530000,2835000,2835000,4632000,112000,112000,112000,4744000,96925000,-53638000,43287000,43287000,48031000,-1542000,172000,439000,80000.0000000002,-851000,-21000,-20999.9999999991,-7.27595761418343e-12,24000,-848000,-848000,-848000,-1371000,0,4503070.81521325,0.92752,-0.36195,-0.36172,-0.03562,-0.0321,-3.0530934187706,8.72021,0.10959,0,-0.07174,-0.07174,0.19833,2.01391,0.213743331435238,-0.03553,25.66885,22.80752
"47","2021_Q4",3.4309375,"Down",4175000,-243000,3932000,-5512000,-3205000,-2307000,-1580000,1000,1000,-1579000,-1579000,-1139614.20151265,-1579000,-1579000,-1579000,-1579000,33297000,33297000,3135000,3135000,5415000,745000,41847000,3333000,2737000,6070000,47917000,2622000,565000,2057000,3040000,3040000,5662000,106000,106000,106000,5768000,97366000,-55217000,42149000,42149000,47917000,-1579000,171000,441000,-929000,-1896000,0,0,0,1000,-1895000,-1895000,-1895000,-1409000,0,4041353.11140994,0.9418,-0.37844,-0.3782,-0.03746,-0.03295,-2.66981006407795,7.39085,0.13685,0,-0.07333,-0.07333,0.1939,1.95751,0.191935998576428,-0.03737,23.63165,21.07405
"48","2022_Q1",3.09967741935484,"Down",3997000,-275000,3722000,-5247000,-3055000,-2192000,-1525000,1000,1000,-1524000,-1524000,269000,-1255000,-1255000,-1255000,-1255000,29963000,29963000,3763000,3763000,5089000,591000,38815000,3216000,6342000,9558000,48373000,2192000,283000,1909000,3549000,3549000,5741000,1110000,191000,1110000,6851000,97994000,-56472000,41522000,41522000,48373000,-1255000,167000,157000,-85000,-1016000,-6000,-2456000,0,138000,-3334000,-3334000,-3334000,-1358000,0,-1718000,0.9312,-0.38154,-0.31399,-0.03022,-0.02594,1.36892,6.76102,0.165,0,-0.05829,-0.05829,0.18563,1.92839,-0.0797899999999999,-0.02944,22.06406,19.64787
"49","2022_Q2",2.65467741935484,"Down",4692000,-314000,4378000,-5666000,-3242000,-2424000,-1288000,9000,9000,-1279000,-1279000,3379273.66918775,-1279000,-1279000,-1279000,-1279000,25082000,25082000,4131000,4131000,5571000,985000,34784000,3095000,8745000,11840000,46624000,1732000,472000,1260000,3477000,3071000,5209000,742000,229000,742000,5951000,98424000,-57751000,40673000,40673000,46624000,-1279000,225000,430000,-1757000,-2381000,-19392.1486432157,-2500000,73177.9201056616,243276.26879795,-4881000,-4881000,-4881000,-1063000,0,-14906338.5190166,0.93308,-0.27451,-0.27259,-0.03145,-0.02743,10.5531592734632,6.67767,0.14631,0,-0.05927,-0.05927,0.21744,1.88493,-0.702001664294047,-0.03088,23.59548,19.4736
"50","2022_Q3",2.13765625,"Down",4238000,-324000,3914000,-5266000,-3037000,-2229000,-1352000,64000,64000,-1288000,-1288000,8653856.8060506,-1288000,-1288000,-1288000,-1288000,24984000,24984000,4195000,4195000,5811000,970000,34990000,113000,11547000,11660000,46650000,2345000,556000,1789000,3503000,3097000,5848000,949000,436000,949000,6797000,98892000,-59039000,39853000,39853000,46650000,-1288000,221000,378000,512000,-177000,-11000,-11000,273533.760316985,90000,-98000,-98000,-98000,-1131000,0,-37655012.4456398,0.92355,-0.31902,-0.30392,-0.03232,-0.02761,26.3729702563118,5.98324,0.17055,0,-0.05948,-0.05948,0.19571,1.84036,-1.77526599430571,-0.03157,22.09019,18.47929
