"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","pension_liabilities","other_post_retirement_benefits","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","dividends_paid","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2018_Q1",46.1019672131148,"Up",96650000,-57647000,39003000,-25128000,-25128000,13875000,-222000,-222000,13653000,12929000,-5696000,7233000,7233000,7233000,7233000,11164000,11164000,58210000,85172000,4077000,4077000,158623000,93601000,212485000,-118884000,139503000,59326000,67424000,9897000,233104000,391727000,45192000,28601000,16591000,3367000,3367000,93109000,21166000,13659000,5703000,4073000,21166000,114275000,69347000,-24766000,244224000,-11353000,277452000,277452000,391727000,7233000,6230000,-2058000,-7583000,3822000,-3515000,-5515000,-3771000,-671000,53999.9999999999,523000,-1170000,-1170000,-1060000,-2230000,20105000,44550000,14703000,0.40355,0.14356,0.07484,0.02607,0.01846,2.03277,1.70363,0.41187,0.11373,0.25002,0.24817,3.34087,9.59061,0.50823,0.13035,0.03207,0.04284,0.52136,1.66058,2.4062
"31","2018_Q2",42.29671875,"Down",105041000,-68293000,36748000,-26774000,-26774000,9974000,-290000,-290000,9684000,9703000,-2157000,7546000,7546000,7546000,7546000,13532000,13532000,63372000,85128000,4728000,4728000,166760000,93533000,215512000,-121979000,134973000,57468000,67424000,9226000,228506000,395266000,36678000,24300000,12378000,3702000,3702000,88550000,25994000,13124000,5834000,11324000,25994000,114544000,70047000,-26319000,247866000,-10872000,280722000,280722000,395266000,7546000,6712000,566000,-8049000,6775000,-3043000,-3043000,-3770000,-1323000,296000,-1593000,2139000,2139000,229000,2368000,16686000,48170000,7751000,0.34984,0.09495,0.07184,0.02688,0.01909,1.02717,1.88323,0.40803,0.12187,0.26081,0.25887,3.63052,9.70256,0.2679,0.1303,0.03189,0.02184,0.4996,2.07587,3.47283
"32","2018_Q3",49.8515873015873,"Up",113648000,-72144000,41504000,-25153000,-25153000,16351000,-409000,-409000,15942000,7911000,-1757000,6154000,6154000,6154000,6154000,12125000,12125000,65303000,85656000,5070000,5070000,168154000,92675000,215513000,-122838000,140278000,59113000,71109000,9240000,232953000,401107000,39087000,28092000,10995000,4110000,4110000,85627000,27010000,12059000,5718000,13657000,27010000,112637000,70858000,-26661000,250242000,-5969000,288470000,288470000,401107000,6154000,5725000,7089000,-544000,18424000,-2199000,-10247000,-3772000,-4000,366000,-9276000,-1099000,-1099000,-308000,-1407000,22076000,42430000,21090000,0.3652,0.14387,0.05415,0.02133,0.01534,3.42704,1.9638,0.39046,0.10578,0.21248,0.21123,3.92385,9.95982,0.72816,0.13023,0.02773,0.05893,0.61293,1.37276,1.8534
"33","2018_Q4",49.211746031746,"Down",110630000,-66684000,43946000,-28212000,-28212000,15734000,-295000,-295000,15439000,3652000,-801000,2851000,2851000,2851000,2851000,10629000,10629000,70029000,84345000,5881000,5881000,170884000,91639000,214234000,-122595000,138797000,57301000,71258000,9436000,230436000,401320000,37607000,24860000,12747000,4302000,4302000,77866000,28224000,12455000,5704000,14446000,28224000,106090000,74007000,-29042000,250432000,-167000,295230000,295230000,401320000,2851000,6034000,13152000,-7353000,14684000,-1977000,-1977000,-4353000,-1662000,8e+05,-14482000,-1775000,-1775000,279000,-1496000,21768000,35957000,13239000,0.39723,0.14222,0.02577,0.00966,0.0071,4.64363,2.19459,0.35935,0.0896,0.09835,0.09765,3.81625,10.18414,0.45669,0.15016,0.02004,0.03684,1.52683,1.16354,1.60976
"34","2019_Q1",53.5637704918033,"Up",104413000,-64262000,40151000,-25341000,-25341000,14810000,-163000,-163000,14647000,14586000,-3347000,11239000,11239000,11239000,11239000,13086000,13086000,66300000,80804000,4469000,4469000,164659000,90321000,213722000,-123401000,137711000,55418000,71258000,8872000,228032000,392691000,37749000,22469000,15280000,4206000,4206000,60015000,29173000,11869000,5184000,13972000,29173000,89188000,75280000,-29364000,257313000,274000,303503000,303503000,392691000,11239000,5844000,-4398000,7782000,20467000,-1424000,-1424000,-4370000,160000,504000,-16789000,2254000,2254000,203000,2457000,20654000,18060000,30359000,0.38454,0.14184,0.10764,0.03703,0.02862,2.70122,2.74363,0.29386,0.04599,0.3864,0.38391,3.58972,10.43445,1.04374,0.15024,0.0445,0.08656,0.38882,0.24083,0.33585
"35","2019_Q2",53.5434920634921,"Down",104881000,-64424000,40457000,-26130000,-26130000,14327000,-129000,-129000,14198000,14151000,-3327000,10824000,10824000,10824000,10824000,15033000,15033000,68095000,80554000,7541000,7541000,171223000,89282000,215098000,-125816000,142744000,53534000,71258000,15810000,232026000,403249000,35566000,25983000,9583000,11378000,11378000,57924000,36712000,12001000,5214000,21494000,36712000,94636000,75956000,-31125000,263777000,5000,308613000,308613000,403249000,10824000,6242000,381000,368000,17815000,-2160000,-2160000,-4357000,-1350000,523000,-13707000,1948000,1948000,-1000,1947000,20569000,10980000,22104000,0.38574,0.1366,0.1032,0.03507,0.02684,2.04213,2.95599,0.30665,0.02723,0.37287,0.3702,3.61298,10.63121,0.76145,0.15009,0.04261,0.06204,0.40253,-0.19704,-0.28289
"36","2019_Q3",52.2684375,"Down",103542000,-63266000,40276000,-25243000,-25243000,15033000,-85000,-85000,14948000,14913000,-3555000,11358000,11358000,11358000,11358000,23894000,23894000,60294000,83319000,8037000,8037000,175544000,88512000,213201000,-124689000,140805000,51717000,71258000,15819000,229317000,404861000,41812000,29556000,12256000,7935000,7935000,54307000,34102000,9097000,5191000,21772000,34102000,88409000,76946000,-32026000,270772000,760000,316452000,316452000,404861000,11358000,6118000,-109000.000000001,5721000,23088000,-2306000,-2306000,-4360000,-642000,322000,-12152000,8630000,8630000,231000,8861000,21151000,4560000,28121000,0.38898,0.14519,0.10969,0.03589,0.02805,2.47588,3.23244,0.27938,0.01126,0.39138,0.38883,3.56794,10.90457,0.96902,0.15024,0.04426,0.07919,0.38387,-0.91409,-1.2861
"37","2019_Q4",57.680625,"Up",108646000,-66976000,41670000,-25225000,-25225000,16445000,-66000,-66000,16379000,16338000,-3617000,12721000,12721000,12721000,12721000,37728000,37728000,61406000,84835000,7572000,7572000,191541000,86657000,208315000,-121658000,139292000,49934000,71258000,16126000,225949000,417490000,45177000,32363000,12814000,9308000,9308000,58845000,35006000,9066000,5163000,22863000,35006000,93851000,77506000,-32516000,278551000,98000,323639000,323639000,417490000,12721000,5651000,478000,1386000,20236000,-1123000,-1123000,-4935000,-261000,260000,-5196000,13917000,13917000,-83000,13834000,22096000,4360000,25976000,0.38354,0.15136,0.11709,0.03931,0.03047,2.04198,3.25501,0.28999,0.01044,0.4384,0.4357,3.7442,11.15337,0.89519,0.17007,0.04864,0.07156,0.38794,-1.51014,-2.02907
"38","2020_Q1",59.361935483871,"Up",107556000,-66431000,41125000,-24782000,-24782000,16343000,27000,27000,16370000,16205000,-3931000,12274000,12274000,12274000,12274000,48871000,48871000,61365000,81948000,7910000,7910000,200094000,85761000,209825000,-124064000,136038000,48163000,71258000,15875000,221799000,421893000,44277000,31523000,12754000,8490000,8490000,57247000,33578000,5711000,5711000,26991000,33578000,90825000,79156000,-34238000,285879000,271000,331068000,331068000,421893000,12274000,6135000,-1100000,2266000,19575000,-1907000,-1907000,-4943000,-806000,1043000,-6654000,11014000,11014000,129000,11143000,22478000,4480000,26768000,0.38236,0.15195,0.11412,0.03707,0.02909,2.18087,3.49527,0.27434,0.01062,0.42257,0.41985,3.70298,11.39815,0.92158,0.17018,0.04664,0.07252,0.40272,-1.97486,-2.71621
"39","2020_Q2",58.0028571428571,"Down",108508000,-65186000,43322000,-27307000,-27307000,16015000,-31000,-31000,15984000,15940000,-4086000,11854000,11854000,11854000,11854000,70376000,70376000,59164000,74430000,7459000,7459000,211429000,84570000,211457000,-126887000,134957000,46396000,71258000,15288000,219527000,430956000,45096000,35915000,9181000,10960000,10960000,60456000,34779000,9258000,5721000,23093000,34779000,95235000,79910000,-36619000,292785000,-355000,335721000,335721000,430956000,11854000,6231000,787000,11666000,30538000,-1942000,-1942000,-4938000,-1934000,533000,-6872000,21724000,21724000,-219000,21505000,22246000,4400000,36056000,0.39925,0.14759,0.10925,0.03531,0.02751,3.04167,3.49724,0.28367,0.01021,0.40817,0.40563,3.73622,11.55978,1.24151,0.17003,0.04479,0.09617,0.41657,-2.96575,-4.11964
"40","2020_Q3",62.58171875,"Up",91119000,-55269000,35850000,-23186000,-23186000,12664000,-32000,-32000,12632000,12588000,-3054000,9534000,9534000,9534000,9534000,85201000,85201000,54021000,76846000,7339000,7339000,223407000,83190000,212846000,-129656000,132936000,44638000,71258000,15022000,216126000,439533000,45127000,35449000,9678000,13094000,13094000,62701000,35689000,9495000,5643000,23639000,35689000,98390000,80676000,-36994000,297370000,91000,341143000,341143000,439533000,9534000,6230000,767000,5217000,21748000,-1637000,-1637000,-4940000,-368000,38000,-5308000,14803000,14803000,21999.9999999999,14825000,18894000,4480000,25528000,0.39344,0.13898,0.10463,0.02795,0.02169,2.67757,3.56305,0.28841,0.01019,0.32819,0.32574,3.13658,11.74314,0.87875,0.17005,0.03796,0.06695,0.51815,-4.27231,-6.37405
"41","2020_Q4",78.48546875,"Up",113587000,-68564000,45023000,-25508000,-25508000,19515000,45000,45000,19560000,19539000,-4678000,14861000,14861000,14861000,14861000,93901000,93901000,57706000,76987000,4156000,4156000,232750000,82435000,214354000,-131919000,133451000,42884000,71258000,17297000,215886000,448636000,50462000,37791000,12671000,9730000,9730000,60192000,36901000,10005000,5608000,24247000,36901000,97093000,81070000,-37053000,306996000,530000,351543000,351543000,448636000,14861000,6474000,459000,-402000,21392000,-2276000,-2276000,-5230000,-1000,60000,-9831000,9285000,9285000,-585000,8700000,25989000,0,27989000,0.39637,0.17181,0.13083,0.04227,0.03312,1.88339,3.86679,0.27619,0,0.51145,0.50953,3.90918,12.09861,0.96326,0.17999,0.05172,0.07205,0.35193,-3.61311,-4.81173
"42","2021_Q1",99.1496721311475,"Up",112330000,-68276000,44054000,-27092000,-27092000,16962000,-12000,-12000,16950000,16914000,-3820000,13094000,13094000,13094000,13094000,72273000,72273000,61689000,81586000,8140000,8140000,223688000,82705000,217404000,-134699000,164824000,53598000,88708000,17428000,247529000,471217000,49540000,34923000,14617000,18496000,18496000,68036000,41922000,5789000,5789000,30437000,41922000,109958000,82185000,-37089000,314850000,1313000,361259000,361259000,471217000,13094000,6281000,-3474000,-999.999999999069,15900000,-3204000,-32338000,-5232000,425000,607000,-5808000,-22246000,-22246000,618000,-21628000,23243000,4.65661287307739e-10,23858000,0.39218,0.151,0.11657,0.03625,0.02779,1.82206,3.28779,0.30437,0,0.4506,0.44748,3.86559,12.43193,0.82102,0.18005,0.04545,0.05917,0.39957,-3.10945,-4.26088
"43","2021_Q2",93.2057142857143,"Down",117842000,-68480000,49362000,-31615000,-31615000,17747000,-7000,-7000,17740000,17709000,-3928000,13781000,13781000,13781000,13781000,51402000,51402000,61642000,84251000,6817000,6817000,204112000,82084000,217193000,-135109000,200099000,72119000,104836000,18063000,282183000,486295000,51519000,40014000,11505000,20247000,20247000,71766000,44680000,5786000,5786000,32837000,44680000,116446000,82820000,-36956000,323383000,602000,369849000,369849000,486295000,13781000,6939000,493000,9343000,30556000,-1759000,-46320000,-5239000,394000,394000,-4845000,-20609000,-20609000,-262000,-20871000,24686000,0,36198000,0.41888,0.1506,0.11694,0.03726,0.02834,2.62666,2.84413,0.31485,-2.16840434497101e-19,0.4736,0.47008,4.04976,12.71025,1.24398,0.18004,0.04588,0.08732,0.38016,-2.08223,-2.89638
"44","2021_Q3",101.016875,"Up",122869000,-72767000,50102000,-31427000,-31427000,18675000,-7000,-7000,18668000,18639000,-4667000,13972000,13972000,13972000,13972000,57359000,57359000,63951000,90793000,7210000,7210000,219313000,81582000,216727000,-135145000,198121000,70178000,105631000,17235000,279703000,499016000,56938000,41252000,15686000,15371000,15371000,72309000,44860000,5762000,5762000,32938000,44860000,117169000,83721000,-37389000,332104000,3411000,381847000,381847000,499016000,13972000,7012000,659000,-7130000,14513000,-2619000,-2564000,-5240000,-430000,30000.0000000001,-5670000,6279000,6279000,-322000,5957000,25687000,5.82076609134674e-11,20605000,0.40777,0.15199,0.11371,0.03659,0.028,1.47474,3.033,0.30685,0,0.48016,0.47659,4.22252,13.12257,0.70811,0.18008,0.04502,0.04829,0.37504,-2.233,-3.07143
"45","2021_Q4",104.27921875,"Up",128738000,-77554000,51184000,-31744000,-31744000,19440000,-14000,-14000,19426000,19396000,-3541000,15855000,15855000,15855000,15855000,67038000,67038000,73747000,91824000,13083000,13083000,245692000,79941000,216531000,-136590000,193394000,67076000,104726000,16508000,273335000,519027000,61282000,42408000,18874000,18553000,18553000,79835000,47368000,5763000,5763000,35607000,47368000,127203000,85653000,-37046000,342050000,1167000,391824000,391824000,519027000,15855000,7026000,628000,-8144000,15365000,-1465000,-1636000,-5839000,1685000,1685000,-4154000,9575000,9575000,104000,9679000,26466000,0,20398000,0.39758,0.151,0.12316,0.04046,0.03055,1.28653,3.0775,0.32464,0,0.54377,0.54035,4.41524,13.43813,0.69958,0.20026,0.0494,0.04644,0.36827,-2.53299,-3.44846
"46","2022_Q1",97.1875806451613,"Down",135749000,-80913000,54836000,-31975000,-31975000,22861000,48000,48000,22909000,22879000,-5603000,17276000,17276000,17276000,17276000,87174000,87174000,65866000,99611000,8709000,8709000,261360000,78050000,216796000,-138746000,191408000,64176000,104313000,15390000,269458000,530818000,62503000,41859000,20644000,19643000,19643000,82146000,45602000,5214000,5214000,35003000,45602000,127748000,86445000,-37046000,353535000,136000,403070000,403070000,530818000,17276000,6885000,-2739000,5654000,27076000,-903000,-902999.999999999,-5837000,-1000,-1000,-5838000,20335000,20335000,-199000,20136000,29746000,1.81898940354586e-12,40100000,0.40395,0.16841,0.12726,0.04286,0.03255,2.32114,3.18165,0.31694,0,0.5925,0.58878,4.65569,13.82383,1.37528,0.20019,0.05151,0.08937,0.33787,-2.93061,-3.81322
"47","2022_Q2",82.1675806451613,"Down",132402000,-81679000,50723000,-31861000,-31861000,18862000,-13000,-13000,18849000,18817000,-4457000,14360000,14360000,14360000,14360000,89219000,89219000,78147000,103020000,10891000,10891000,281277000,76069000,216583000,-140514000,188592000,61252000,103287000,16541000,264661000,545938000,64541000,52437000,12104000,23968000,23968000,88509000,47548000,5079000,5079000,37255000,47548000,136057000,86979000,-36965000,362046000,-2179000,409881000,409881000,545938000,14360000,6776000,469000,-12355000,9250000,-1141000,-1141000,-5869000,-2132979.25780151,-10828949.9624085,-5869000,2240000,2240000,-195000,2045000,25638000,0,16599000,0.3831,0.14246,0.10846,0.03503,0.0263,1.15592,3.17795,0.33194,0,0.49188,0.48897,4.53523,14.03985,0.56857,0.20103,0.04422,0.03629,0.4087,-3.47995,-4.73009
"48","2022_Q3",92.47828125,"Up",137833000,-83073000,54760000,-32672000,-32672000,22088000,-9000,-9000,22079000,22046000,-5382000,16664000,16664000,16664000,16664000,100210000,100210000,77247000,111437000,15027000,15027000,303921000,74040000,216547000,-142507000,182070000,57772000,101206000,15580000,256110000,560031000,76538000,61597000,14941000,20797000,20797000,97335000,46513000,5089000,5089000,36487000,46513000,143848000,88236000,-37365000,372856000,-7544000,416183000,416183000,560031000,16664000,6679000,949000,-4630000,19662000,-1632000,-1632000,-5843000,-427000,-36158849.8872254,-6270000,11760000,11760000,-769000,10991000,28767000,0,27887000,0.39729,0.16025,0.1209,0.04004,0.02976,1.67349,3.12242,0.34564,0,0.57048,0.56788,4.71862,14.24775,0.95469,0.20003,0.04864,0.06027,0.35064,-3.48351,-4.53685
