"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_compensation","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_acquisitions_divestitures","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"30","2017_Q3",101.705714285714,"Down",1920055000,-1476537000,443518000,-343964000,-48675000,-295289000,99554000,-10075000,-10075000,89479000,89479000,-32299000,57180000,57180000,57180000,57180000,177973000,177973000,32930000,208064000,7026000,4960000,425993000,2377051000,149207000,149207000,2526258000,2952251000,371605000,250948000,15410000,387015000,915051000,450772000,15330000,414773000,20669000,1365823000,1752838000,83050000,1116363000,1199413000,1199413000,2952251000,57180000,48675000,11072000,-38192000,78735000,-120512000,-2742000,-123254000,-9411000,42401000,121000,121000,-109000,33002000,-11517000,-11517000,-11517000,148229000,930461000,21824000,0.23099,0.05185,0.02978,0.04767,0.01937,0.38167,1.10071,1.46141,0.31517,1.45871,1.4414,48.98221,30.59803,0.55675,0.24008,0.0258,0.00846,0.16459,5.07652,7.55859
"31","2017_Q4",109.619206349206,"Up",1769993000,-1380364000,389629000,-343473000,-51152000,-292321000,46156000,-10559000,-10559000,35597000,35597000,-12762000,22835000,22835000,22835000,22835000,115721000,115721000,34542000,209692000,15747000,4726000,375702000,2450358000,150319000,150319000,2600677000,2976379000,371341000,230472000,15415000,386756000,914955000,459162000,15603000,422334000,21225000,1374117000,1760873000,85714000,1129792000,1215506000,1215506000,2976379000,22835000,51152000,10485000,-8529000,75943000,-120817000,-7969000,-128786000,-9419000,-1e+05,256000,256000,-146000,-9409000,-62252000,-62252000,-62252000,97308000,930370000,-19276000,0.22013,0.02608,0.0129,0.01879,0.00767,-0.84414,0.97142,1.44867,0.31258,0.5826,0.57594,45.15902,31.01202,-0.4918,0.24031,0.01238,-0.0074,0.41248,8.37186,17.6499
"32","2018_Q1",111.154426229508,"Up",1846460000,-1448241000,398219000,-344537000,-51947000,-292590000,53682000,-10362000,-10362000,43320000,43320000,-13242000,30078000,30078000,30078000,30078000,76717000,76717000,43244000,201644000,29080000,9179000,350685000,2513158000,156259000,156259000,2669417000,3020102000,293903000,293903000,16321000,361955000,926524000,541003000,15784000,440124000,85095000,1467527000,1829482000,40074000,1150546000,1190620000,1190620000,3020102000,30078000,51947000,22619000,38602000,143246000,-106559000,-11908000,-118467000,-9351000,-6702000,-47511000,382000,-219000,-63783000,-39004000,-39004000,-39004000,105629000,942845000,50914000,0.21567,0.02907,0.01629,0.02526,0.00996,1.69273,0.96886,1.53658,0.31219,0.77225,0.76405,47.40774,30.56909,1.30721,0.24009,0.01474,0.01904,0.31089,8.19972,16.13442
"33","2018_Q2",97.375625,"Down",2093739000,-1617042000,476697000,-373616000,-52369000,-321247000,103081000,-11375000,-11375000,91706000,91706000,-34948000,56758000,56758000,56758000,56758000,159101000,159101000,44544000,225973000,9681000,8251000,439299000,2561744000,156438000,156438000,2718182000,3157481000,426434000,281645000,15429000,441863000,1057238000,491868000,15959000,455688000,20221000,1549106000,1990969000,0,1166512000,1166512000,1166512000,3157481000,56758000,52369000,25511000,-17499000,117139000,-89941000,-3322000,-93263000,-9312000,148997000,-77683000,195000,-3494000,58508000,82384000,82384000,82384000,155450000,1072667000,82958000,0.22768,0.04923,0.02711,0.04866,0.01798,1.46161,0.9942,1.70677,0.33972,1.47961,1.46132,54.58116,30.40951,2.16261,0.24275,0.02419,0.03038,0.16406,5.87691,8.8626
"34","2018_Q3",111.040158730159,"Up",2153745000,-1686088000,467657000,-377106000,-54157000,-322949000,90551000,-12976000,-12976000,77575000,77575000,-28657000,48918000,48918000,48918000,48918000,285185000,285185000,42498000,241681000,6864000,6767000,576228000,2682169000,161785000,161785000,2843954000,3420182000,452195000,307110000,15434000,467629000,1299626000,498595000,16102000,461667000,20826000,1798221000,2265850000,0,1154332000,1154332000,1154332000,3420182000,48918000,54157000,10823000,10526000,124424000,-156559000,-19459000,-176018000,-9923000,242395000,-54632000,103000,-162000,177678000,126084000,126084000,126084000,144708000,1315060000,27332000,0.21714,0.04204,0.02271,0.04238,0.0143,0.55873,1.23223,1.96291,0.3845,1.29221,1.28274,56.89294,30.49262,0.722,0.26212,0.01983,0.00921,0.20285,7.11692,11.37342
"35","2018_Q4",123.028412698413,"Up",2054603000,-1634679000,419924000,-380083000,-57042000,-323041000,39841000,-13470000,-13470000,26371000,26371000,166594000,192965000,192965000,192965000,192965000,138711000,138711000,41507000,255584000,40433000,7197000,476235000,2804644000,172302000,172302000,2976946000,3453181000,445850000,294262000,15369000,461219000,1299311000,362848000,16488000,324572000,21788000,1662159000,2123378000,2286000,1327517000,1329803000,1329803000,3453181000,192965000,57042000,-133498000,-62096000,54413000,-176041000,-3411000,-179452000,-9788000,-389000,-10988000,503000,-270000,-21435000,-146474000,-146474000,-146474000,96883000,1314680000,-307848000,0.20438,0.01939,0.09392,0.14511,0.05588,-1.59536,1.03256,1.59676,0.38072,5.13478,5.08741,54.67277,35.38592,-8.1918,0.26046,0.06742,-0.10237,0.05072,12.13803,29.51655
"36","2019_Q1",126.874590163934,"Up",2089037000,-1683922000,405115000,-373211000,-57402000,-315809000,31904000,-13119000,-13119000,18785000,18785000,477000,19262000,19262000,19262000,19262000,53679000,53679000,45045000,241668000,56448000,5766000,396840000,2902920000,170167000,170167000,3073087000,3469927000,321419000,321419000,54974000,433214000,1311473000,454099000,15928000,341946000,96225000,1765572000,2198786000,0,1271141000,1271141000,1271141000,3469927000,19262000,57402000,20067000,27090000,123821000,-149634000,-10968000,-160602000,-9757000,32009000,-70003000,576000,-5e+05,-48251000,-85032000,-85032000,-85032000,89306000,1366447000,-33715000.0000001,0.19392,0.01527,0.00922000000000001,0.01515,0.00555,-1.75034,0.91604,1.72977,0.3938,0.516170000000001,0.511980000000001,55.98084,34.06332,-0.90348,0.26146,0.00939,-0.01091,0.50654,14.69966,41.14744
"37","2019_Q2",132.695396825397,"Up",2588432000,-2066664000,521768000,-418232000,-58840000,-359392000,103536000,-14406000,-14406000,89130000,89130000,-18906000,70224000,70224000,70224000,70224000,44842000,44842000,46486000,263879000,51344000,8940000,406551000,2944564000,173392000,173392000,3117956000,3524507000,482723000,333299000,42790000,525513000,1291638000,408657000,16095000,349656000,42906000,1700295000,2225808000,7322000,1291377000,1298699000,1298699000,3524507000,70224000,58840000,19822000,1185000,150071000,-95611000,-841000,-96452000,-9592000,-12281000,-37331000,148000,-3252000,-62456000,-8837000,-8837000,-8837000,162376000,1334428000,86856000,0.20158,0.04,0.02713,0.05407,0.01992,1.23684,0.77363,1.71388,0.37861,1.91508,1.89895,70.58907,35.41679,2.36865,0.26158,0.02624,0.02855,0.13659,7.94197,12.45544
"38","2019_Q3",160.49078125,"Up",2538005000,-2027684000,510321000,-405542000,-61356000,-344186000,104779000,-14191000,-14191000,90588000,90588000,-23973000,66615000,66615000,66615000,66615000,51887000,51887000,46875000,258644000,24772000,7923000,382178000,2983043000,180436000,180436000,3163479000,3545657000,455592000,324806000,15384000,470976000,1304147000,413455000,15584000,374665000,23206000,1717602000,2188578000,9702000,1347377000,1357079000,1357079000,3545657000,66615000,61356000,24845000,1402000,154218000,-99643000,-1749000,-101392000,-10601000,-35062000,231000,231000,-349000,-45781000,7045000,7045000,7045000,166135000,1319531000,91867000,0.20107,0.04128,0.02625,0.04909,0.01879,1.37907,0.81146,1.61271,0.37215,1.81523,1.79968,69.15945,36.97977,2.50333,0.28887,0.02499,0.02973,0.15914,7.6302,12.09826
"39","2019_Q4",161.535,"Up",2048076000,-1577811000,470265000,-402860000,-61324000,-341536000,67405000,-13310000,-13310000,54095000,54095000,-12260000,41835000,41835000,41835000,41835000,34169000,34169000,40899000,250897000,25307000,9752000,351272000,3040860000,191467000,191467000,3232327000,3583599000,397064000,242399000,66637000,463701000,1310347000,418683000,15571000,379376000,23736000,1729030000,2192731000,12279000,1378589000,1390868000,1390868000,3583599000,41835000,61324000,6528000,-46062000,63625000,-101910000,-18431000,-120341000,-10615000,49904000,789000,789000,-1080000,38998000,-17718000,-17718000,-17718000,128729000,1376984000,-6983000,0.22961,0.03291,0.02043,0.03008,0.01167,-0.16692,0.75754,1.57652,0.38425,1.13942,1.13181,55.78153,37.88177,-0.19019,0.28911,0.01646,-0.00219,0.25373,10.43133,19.92159
"40","2020_Q1",158.36564516129,"Down",2178397000,-1726027000,452370000,-409032000,-62867000,-346165000,43338000,-13749000,-13749000,29589000,29589000,-4377000,25212000,25212000,25212000,25212000,63296000,63296000,37856000,273040000,36388000,7493000,410580000,3122419000,198377000,198377000,3320796000,3731376000,498727000,335240000,92205000,590932000,1305938000,425737000,15881000,385788000,24068000,1731675000,2322607000,15600000,1393169000,1408769000,1408769000,3731376000,25212000,62867000,11936000,62685000,162700000,-92466000,-47179000,-139645000,-10622000,16839000,1122000,1122000,-1267000,6071999.99999999,29127000,29127000,29127000,106205000,1398143000,80801000,0.20766,0.01989,0.01157,0.0179,0.00676,3.20486,0.6948,1.64868,0.3747,0.68591,0.68245,59.26508,38.32672,2.19826,0.28898,0.01109,0.025,0.42131,12.56859,30.80084
"41","2020_Q2",147.622222222222,"Down",2626629000,-2060943000,565686000,-439649000,-59808000,-379841000,126037000,-13721000,-13721000,112316000,112316000,-26501000,85815000,85815000,85815000,85815000,96733000,96733000,39554000,273755000,28028000,12969000,438070000,3198307000,200369000,200369000,3398676000,3836746000,506182000,347181000,68846000,575028000,1324960000,447544000,16027000,402840000,28677000,1772504000,2347532000,22002000,1467212000,1489214000,1489214000,3836746000,85815000,59808000,25121000,8013000,178757000,-99699000,-4868000,-104567000,-10633000,-25905000,2261000,2261000,-6476000,-40753000,33437000,33437000,33437000,185845000,1393806000,120660000,0.21537,0.04798,0.03267,0.05762,0.02237,1.40605,0.76182,1.57636,0.36328,2.32788,2.31395,71.25174,40.39744,3.27311,0.28844,0.02896,0.03623,0.12391,6.97933,10.29121
"42","2020_Q3",165.92890625,"Up",2487586000,-1930521000,557065000,-436271000,-62888000,-373383000,120794000,-12683000,-12683000,108111000,108111000,-26130000,81981000,81981000,81981000,81981000,43976000,43976000,44775000,271443000,35127000,13783000,395321000,3246884000,223664000,223664000,3470548000,3865869000,481363000,327114000,602698000,1084061000,737307000,482653000,15847000,417271000,49535000,1219960000,2304021000,24428000,1537420000,1561848000,1561848000,3865869000,81981000,62888000,17541000,-29758000,132652000,-139534000,-1323000.00000001,-140857000,-11772000,-32777000,46000,46000,-49000,-44552000,-52757000,-52757000,-52757000,183682000,1340005000,40520000,0.22394,0.04856,0.03296,0.05249,0.02121,0.49426,0.36467,1.47519,0.34662,2.22059,2.20776,67.38033,42.3052,1.09755,0.31886,0.0277,0.01197,0.14359,7.05583,10.72925
"43","2020_Q4",178.4715625,"Up",2248198000,-1751335000,496863000,-440615000,-63285000,-377330000,56248000,-13209000,-13209000,43039000,43039000,-9080000,33959000,33959000,33959000,33959000,43539000,43539000,46383000,263185000,36521000,14430000,389628000,3303943000,228463000,228463000,3532406000,3922034000,451079000,275903000,577743000,1104822000,737794000,490828000,15892000,425242000,49694000,1228622000,2333444000,28985000,1559605000,1588590000,1588590000,3922034000,33959000,63285000,13301000,-22247000,88298000,-120861000,-6453000,-127314000,-11773000,50353000,85000,85000,-86000,38579000,-437000,-437000,-437000,119533000,1315537000,-14495000,0.22101,0.02502,0.0151,0.02138,0.00866,-0.42684,0.35266,1.46888,0.33542,0.91977,0.91414,60.89152,43.02631,-0.39259,0.31887,0.01347,-0.00427,0.34668,10.6414,22.6141
"44","2021_Q1",197.138032786885,"Up",1812883000,-1287813000,525070000,-432682000,-65193000,-367489000,92388000,-13806000,-13806000,78582000,78582000,-16491000,62091000,62091000,62091000,62091000,78275000,78275000,48500000,236007000,24468000,9801000,387250000,3323801000,232841000,232841000,3556642000,3943892000,206897000,184800000,570280000,1063428000,737364000,499895000,13604000,435598000,50693000,1237259000,2300687000,33286000,1609919000,1643205000,1643205000,3943892000,62091000,65193000,15471000,-38148000,104607000,-73842000,-20062000,-93904000,-11773000,35853000,566000,566000,-613000,24033000,34736000,34736000,34736000,157581000,1307644000,62082000,0.28963,0.05096,0.03425,0.03779,0.01574,0.99986,0.36415,1.40012,0.33156,1.67269,1.66126,48.83786,44.26684,1.67245,0.31716,0.02141,0.01799,0.18961,7.80151,13.30659
"45","2021_Q2",212.639206349206,"Up",2105021000,-1867606000,237415000,-65820000,-65820000,-1147141309.51659,171595000,-13407000,-13407000,158188000,158188000,-37596000,120592000,120592000,120592000,120592000,336545000,336545000,79698000,286598000,20792000,11214000,723633000,3493459000,243222000,82147000,3736681000,4460314000,610395000,355471000,2354000,638988000,1361395000,527252000,15094000,439721000,72437000,1888647000,2527635000,58951000,1873728000,1932679000,1932679000,4460314000,120592000,65820000,17128000,148510000,352050000,-43451000,-66105637.2716572,-43451000,-11779000,-120873000,211000,211000,-7917000,-140358000,168241000,168241000,168241000,237415000,1363749000,380070000,0.11279,0.08152,0.05729,0.0624,0.02704,3.1517,1.13247,1.30784,0.30575,3.26177,3.23805,56.93651,52.27501,10.28012,0.3186,0.03462,0.0994,0.09768,4.32662,5.98621
"46","2021_Q3",194.00015625,"Down",2215905000,-1198057000,1017848000,-860730000,-64294000,-796436000,157118000,-10634000,-10634000,146484000,146484000,-34501000,111983000,111983000,111983000,111983000,404685000,404685000,56109000,249842000,18182000,18182000,728818000,3361577000,233273000,233273000,3594850000,4323668000,559712000,323662000,2297000,562009000,1361925000,539883000,14365000,451205000,74313000,1901808000,2463817000,41114000,1818737000,1859851000,1859851000,4323668000,111983000,64294000,15130000,8500000.00000003,199907000,-112697000,-87611179.671227,-112697000,-11812000,80135000,1042000,1042000,1594000,70959000,158169000,158169000,158169000,221412000,1364222000,151716000,0.45934,0.0709,0.05054,0.06021,0.0259,1.35481,1.29681,1.32474,0.31552,3.02375,3.00584,59.83365,50.21952,4.09662,0.31895,0.03289,0.04031,0.10548,4.33372,6.10711
"47","2021_Q4",191.5184375,"Down",2008028000,-2678731000,-670703000,731251000,-65185000,796436000,60548000,-11469000,-11469000,49079000,49079000,-10452000,38627000,38627000,38627000,38627000,388946000,388946000,66617000,271421000,17794000,17794000,744778000,3412924000,239285000,239285000,3652209000,4396987000,579499000,332103000,2327000,581826000,1362076000,559496000,14636000,449152000,95708000,1921572000,2503398000,48855000,1844734000,1893589000,1893589000,4396987000,38627000,65185000,8371000,-1061000,111122000,-102106000,-5779999.99999997,-107886000,-11819000,-261000,412000,412000,-7307000,-18975000,-15739000,-15739000,-15739000,125733000,1364403000,33018000,-0.33401,0.03015,0.01924,0.0204,0.00878,0.85479,1.28007,1.32204,0.3103,1.04264,1.03617,54.20193,51.11292,0.89124,0.31903,0.01321,0.00864999999999999,0.30598,7.75816,16.11047
"48","2022_Q1",186.75064516129,"Down",2378235000,-606360000,1771875000,-1707087000,-69896000,-1637191000,64788000,-11169000,-11169000,53619000,53619000,-11921000,41698000,41698000,41698000,41698000,336545000,336545000,79698000,286598000,20792000,11214000,723633000,3493459000,243222000,82147000,3736681000,4460314000,424697000,355471000,2354000,612749000,1361395000,553491000,15094000,439721000,98676000,1914886000,2527635000,58951000,1873728000,1932679000,1932679000,4460314000,41698000,69896000,6763000,22652000,141009000,-176730000,-3576000,-180306000,-12561000,-662000,119000,119000,1.86264514923096e-09,-13104000,-52401000,-52401000,-52401000,134684000,1363749000,-7473000.00000001,0.74504,0.02724,0.01753,0.02158,0.00935,-0.17922,1.18096,1.30784,0.30575,1.11743,1.10755,63.7321,51.79206,-0.20026,0.33661,0.01409,-0.00194,0.30124,7.62677,15.85485
"49","2022_Q2",200.078064516129,"Up",3181994000,-2458107000,723887000,-554816000,-75888000,-478928000,169071000,-13730000,-13730000,155341000,155341000,-36182000,119159000,119159000,119159000,119159000,198928000,198928000,109017000,338082000,25239000,16878000,671266000,3816190000,588516000,588516000,4404706000,5075972000,706841000,453514000,34101000,740942000,1707900000,596465000,15159000,471838000,109468000,2304365000,3045307000,50458000,1980207000,2030665000,2030665000,5075972000,119159000,75888000,40672000,5840000,241559000,-27044000,-617291000,-644335000,-12609000,295133000,133000,133000,-17498000,265159000,-137617000,-137617000,-137617000,244959000,1742001000,259937000,0.22749,0.05313,0.03745,0.05868,0.02348,2.18143,0.90596,1.49966,0.34319,3.20958,3.19158,85.70783,54.69649,7.00147,0.33963,0.03016,0.05949,0.10582,6.29931,9.12678
"50","2022_Q3",206.40171875,"Up",3262942000,-2545352000,717590000,-574902000,-74258000,-500644000,142688000,-13520000,-13520000,129168000,129168000,-32337000,96831000,96831000,96831000,96831000,311698000,311698000,90598000,350182000,42543000,25312000,795021000,3854692000,602397000,147849000,4457089000,5252110000,769362000,509300000,34134000,803496000,1702765000,622715000,15140000,496451000,111124000,2325480000,3128976000,59214000,2063920000,2123134000,2123134000,5252110000,96831000,74258000,33911000,8818000,213818000,-74584000,-8835000,-83418999.9999999,-12625000,-4883000,0,2.91038304567337e-11,-121000,-17629000,112770000,112770000,112770000,216946000,1736899000,183517000,0.21992,0.04373,0.02968,0.04561,0.01844,1.89523,0.98945,1.47375,0.3307,2.60555,2.59146,87.79981,57.12966,4.93811,0.33972,0.02442,0.04094,0.13038,6.56938,9.98823
