"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","deferred_tax_assets_long_term","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","net_income_2","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"31","2017_Q4",10.7938095238095,"Down",76303000,-69505000,6798000,-4278000,-4278000,2520000,-2202000,318000,-119000,199000,-749000,-550000,-550000,-1726000,-1726000,1336000,1336000,54717000,54717000,3741000,2606000,575000,59794000,18302000,18049000,366000,2764000,36351000,96145000,20616000,6220000,14396000,1370000,974000,24792000,1992000,1313000,23089000,47881000,82314000,-34749000,699000,48264000,48264000,96145000,-550000,-550000,2904000,-1056000,12216000,13514000,-32000,-32000,-32000,635000,-4570999.99999999,768365.9431045,768365.943452549,-13321000,828000,828000,6000,834000,5424000,23903000,18357000,0.08909,0.03303,-0.02262,-0.03576,-0.01795,-10.63557,2.41183,0.99206,0.24861,-0.10803,-0.10803,4.7758,3.02084,1.14896,0.09472,0.24754,4.16058,8.95516
"32","2018_Q1",10.8440983606557,"Up",-17516000,5528000,-11988000,-479000,-479000,-12467000,3611000,-8856000,-1409000,-10265000,3614000,-6651000,-6651000,-3939000,-3939000,1456000,1456000,53052000,53052000,3641000,2351000,1290000,58149000,19943000,17906000,2386496.98931113,3272000,37849000,95998000,21974000,7019000,14955000,1249000,1249000,25948000,905000.000000001,905000,23111000,49059000,82756000,-37201000,1384000,46939000,46939000,95998000,-6651000,-6651000,-523000,1161000,1266000,-4747000,752000,402000,402000,-1230000,-9489000,1023000,1023000,284000,-5693000,-5693000,538000,-5155000,-12990000,24931000,-14586000,0.6844,0.71175,0.22488,-0.08392,-0.04103,3.70297,2.24098,1.04517,0.2597,-0.24381,-0.28868,-1.08418,2.90536,-0.90282,-0.17436,-0.20043,-1.80716,-1.88297000000001
"33","2018_Q2",7.6940625,"Down",115095000,-93938000,21157000,-14405000,-14405000,6752000,-4129000,2623000,-7471000,-4848000,-332000,-5180000,-5180000,-6152000,-6152000,17693000,17693000,63138000,63138000,71405000,18772000,52633000,152236000,36726000,277679000,4481000,9512000,314405000,466641000,94095000,20672000,73423000,28000,28000,117966000,27397000,9686000,154530000,272496000,153910000,-6815000,-402000,146693000,194145000,466641000,-5180000,-5180000,6025000,-544000,3457000,3758000,-2919000,-2919000,-2919000,-2897000,488000,-808287.138553053,-808287.140311874,488000,1349000,1349000,-31000,1318000,12777000,150976000,13647000,0.18382,0.05866,-0.05345,-0.03169,-0.01318,-2.2183,1.29051,1.40357,0.32354,-0.37987,-0.37987,7.10682,9.05792,0.84267,-0.01651,0.03663,10.43148,19.73978
"34","2018_Q3",6.64111111111111,"Down",110223000,-93340000,16883000,-15258000,-15258000,1625000,-3273000,-1648000,-1893000,-3541000,-233000,-3774000,-3774000,-3708000,-3708000,1336000,1336000,51812000,51812000,3393999.99999997,2926000,468000.000000007,56542000,16265000,15273000,4522888.86661904,3378000,31538000,88079999.9999999,18783000,6387000,12396000,1444000,1444000,22622000,688000.000000007,688000,30209000,52830999.9999999,86068000,-50933000,114000,35249000,35249000,88079999.9999999,-3774000,-3774000,4724000,-247000,-1317000,-614000,566000,566000,566000,562000,-5178000,-2260771.31380291,-2260771.31653601,-5178000,-5230000,-5230000,4000,-5226000,6349000,31916000,5831000,0.15317,0.01474,-0.03364,-0.10519,-0.0421,-1.57255,2.49943,1.49879,0.36235,-0.22869,-0.228689999999999,6.79801,2.17399,0.35963,-0.05465,0.08594,4.81651000000001,18.81846
"35","2018_Q4",6.2147619047619,"Down",151509000,-128747000,22762000,-22817000,-22817000,-55000,-4116000,-4171000,-5767000,-9938000,-954000,-10892000,-10892000,-10902000,-10902000,14133000,14133000,145156000,145156000,25854000,19462000,6392000,185143000,35784000,407354000,4354000,12412000,443138000,628281000,106226000,24898000,81328000,673000,673000,134909000,27002000,9976000,177338000,312247000,296556000,-21425000,-6495000,268636000,316034000,628281000,-10892000,-10892000,7919000,1856000,2188000,1071000,-5077000,-5077000,-5077000,-3577000,6467000,114999.999999999,114999.999999999,6582000,4076000,4076000,-1244000,2832000,7864000,178346000,5929000,0.15024,-0.00036,-0.07196,-0.0345,-0.01735,-0.54385,1.37235,0.98802,0.28386,-0.32243,-0.32243,4.48092,7.94499,0.17535,-0.02091,0.01137,20.88161,-2985.69091
"36","2019_Q1",7.45983606557377,"Up",43490000,-39566000,3923999.99999999,-7540000,-7540000,-3616000,298000,-3318000,2939000,-379000,-2051000,-2430000,-2430000,-3550000,-3550000,16617000,16617000,107836000,107836000,68937000,18850000,50087000,193390000,42242000,369007000,5048000,15076000,411249000,604639000,111767000,26886000,84881000,10914972.1656875,10912981.2729314,145358000,30808000,11907000,182908000,328266000,267691000,-31127000,-5547000,231017000,276373000,604639000,-2430000,-2430000,1794000,2237000,-4308000,-2707000,-260000,-260000,-260000,-233999.999999999,4578000,4490000,4490000,5931000,2990000,2990000,-264000,2726000,-1822000,185691000,-4339000,0.09023,-0.08315,-0.08163,-0.01284,-0.00587,1.22225,1.33044,1.18776,0.30711,-0.0946099999999997,-94.61116,1.15904,6.15676,-0.11564,-0.000839999999999997,-0.0088,-92.79583,-46.7571900000007
"37","2019_Q2",7.64730158730159,"Up",161142000,-133928000,27214000,-24079000,-24079000,3135000,-4465000,-1330000,-1443000,-2773000,-385000,-3158000,-3158000,-3347000,-3347000,14595000,14595000,102548000,102548000,79046000,17454000,61592000,196189000,41638000,446291000,4075000,94545000,487929000,684118000,109553000,26757000,82796000,23204000,23204000,173273000,86429000,69302000,236011000,409284000,268631000,-34473000,-4955000,229203000,274834000,684118000,-3157000,-3157000,7304000,-197000,-4327000,-377000,-3495000,-3495000,-3495000,-3495000,4702000,514999.999999999,514999.999999999,5217000,1345000,1345000,-226000,1119000,10439000,190098000,3002000,0.16888,0.01945,-0.02077,-0.01218,-0.00489,-0.89692,1.13225,1.4892,0.27787,-0.0892,-89.201,4.29454,6.10842,0.08001,-0.00607,0.00544,16.81224,55.98182
"38","2019_Q3",6.7734375,"Down",160553000,-132993000,27560000,-24936000,-24936000,2624000,-4027000,-1403000,-69999.9999999991,-1473000,-728000,-2201000,-2201000,-3593000,-3593000,15452000,15452000,107646000,107646000,77288000,17567000,59721000,200386000,39638000,440646000,6116000,90232000,480284000,680670000,102431000,24810000,77621000,2.2e+07,2.2e+07,167800000,84265000,65679000,232991000,400791000,275668000,-38067000,-4634000,232967000,279879000,680670000,-2202000,-2202000,7327000,1430000,-11605000,-5050000,-3807000,-3807000,-3807000,-2478000,1611000,5951000,5951000,7562000,34000,34000,186000,220000,9951000,192095000,-4733000,0.17166,0.01634,-0.02238,-0.01284,-0.00528,1.31728,1.1942,1.43202,0.28221,-0.0944599999999963,-0.0475799999999822,4.22113999999999,6.12499,-0.124439999999999,-0.00646,-0.00851,17.75128,67.3182199999999
"39","2019_Q4",7.29484375,"Up",164629000,-136143000,28486000,-22923000,-22923000,5563000,-3372000,2191000,-2115000,76000,-3437000,-3361000,-3361000,-2787000,-2787000,17795000,17795000,105574000,105574000,68478000,15082000,53396000,191847000,35745000,432122000,5052000,85408000,467867000,659714000,100770000,20965000,79805000,19838000,19838000,163379000,79925000,60363000,221557000,384936000,276135000,-40854000,-6821000,228460000,274778000,659714000,-3361000,-3361000,7425000,884000,7100000,12048000,-1725000,-1725000,-1725000,-1737000,-7482000,97000,97000,-7385000,2926000,2926000,-457000,2469000,12988000,184403000,21800000,0.17303,0.03379,-0.01693,-0.01014,-0.00422,-7.82203,1.17425,1.4009,0.27952,-0.07244,-0.07244,4.27886,5.93788,0.5666,-0.00517,0.04044,12.82784,29.94931
"40","2020_Q1",6.68806451612903,"Down",171586000,-143950000,27636000,-19425000,-19425000,8211000,-3960000,4251000,-8571000,-4320000,-241000,-4561000,-4561000,-5291000,-5291000,20464000,20464000,108479000,108479000,65619000,12008000,53611000,194562000,37507000,426014000,5251000,90062000,463521000,658083000,70888000,25449000,45439000,56836000,56836000,172448000,83707000,65481000,213851000,386299000,277212000,-46145000,-6022000,225045000,271784000,658083000,-4561000,-4561000,7667000,10019000,8225000,21350000,-6537000,-6537000,-6537000,-6546000,-10903000,147000,147000,-10756000,4048000,4048000,201000,4249000,15878000,174868000,17807000,0.16106,0.04785,-0.03084,-0.01947,-0.00804,-3.36553,1.12824,1.42135,0.26572,-0.137449999999972,-0.137450000000001,4.45736000000021,5.84608000000031,0.462579999999994,-0.00998,0.03358,9.7244,18.80453
"41","2020_Q2",3.94888888888889,"Down",160899000,-140841000,20058000,-17255000,-17255000,2803000,-3506000,-703000,-22402000,-23105000,-2876000,-25981000,-25981000,-26557000,-26557000,27795000,27795000,100152000,100152000,71964000,19516000,52448000,199911000,34133000,403282000,3009000,94938000,437415000,637326000,109604000,20004000,89600000,20761000,20761000,182168000,90024000,72285000,213411000,395579000,278237000,-73115000,-10853000,194269000,241747000,637326000,-25981000,-25981000,7093000,25696000,3738000,10546000,-2884000,-2884000,-2884000,-2884000,378000,43000,43000,421000,8083000,8083000,-1052000,7031000,9896000,175190000,13626000,0.12466,0.01742,-0.16505,-0.10985,-0.04167,-0.51309,1.0974,1.63633,0.27488,-689.29091,-689.29091,4176.1576,5042.28094,353.66487,-0.05238,0.02688,14.8944,52.58473
"42","2020_Q3",5.13921875,"Up",142167000,-126354000,15813000,-14644000,-14644000,1169000,-3190000,-2021000,-1884000,-3905000,-1283000,-5188000,-5188000,-5217000,-5217000,47451000,47451000,70194000,70194000,63455000,14308000,49147000,181100000,37644000,399916000,2980000,94550000,437560000,618660000,73526000,18669000,54857000,59312000,59312000,171835000,93281000,76186000,204204000,376039000,286606000,-78332000,-11373000,196901000,242621000,618660000,-5188000,-5188000,7235000,1258000,35307000,38612000,-4980000,-4980000,-4980000,-4585000,-25788000,7966000,7966000,-17822000,16205000,16205000,555000,16760000,8404000,149920000,40014000,0.11123,0.00822,-0.0367,-0.0215,-0.00843,-7.66993,1.05392,1.5499,0.24233,-0.0676600000001599,-0.0676599999999326,1.8438500000002,2.55371999999898,0.518959999999993,-0.01074,0.08236,12.19288,87.65526
"43","2020_Q4",6.5646875,"Up",162687000,-141552000,21135000,-13131000,-13131000,8004000,-3988000,4016000,-615000,3401000,-1649000,1752000,1752000,367000,367000,48463000,48463000,77767000,77767000,60860000,12612000,48248000,187090000,34423000,385962000,2782000,83396000,420385000,607475000,78966000,14591000,64375000,58503000,58503000,171817000,86828000,70232000,188454000,360271000,287624000,-77965000,-9973000,199686000,247204000,607475000,1752000,1752000,6951000,2009000,5575000,16287000,-2277000,-2277000,-2277000,-2243000,-14487000,370000,370000,-14117000,-73000,-73000,241000,168000,14955000,135974000,19902000,0.12991,0.0492,0.00226,0.00148,6e-04,54.22888,1.08889,1.45738,0.22383,0.00911,0.00911,4.0382,4.95659,0.49401,0.00078,0.04234,5.85162,10.93341
"44","2021_Q1",8.28196721311475,"Up",174469000,-144226000,30243000,-14714000,-14714000,15529000,-4906000,10623000,-12898000,-2275000,-1952000,-4227000,-4227000,-7578000,-7578000,44507000,44507000,83560000,83560000,70373000,14542000,55831000,198440000,34225000,371877000,5294000,82746000,406213000,604653000,77192000,20074000,57118000,59314000,59314000,154191000,85265000,67550000,203580000,357771000,289105000,-85543000,-7286000,196276000,246882000,604653000,-4227000,-4227000,6922000,13473000,-15560000,608000,-7273000,-7273000,-7273000,-7307000,-336000,647000,647000,311000,-6388000,-6388000,362000,-6026000,22451000,1.36e+08,1570000,0.17334,0.08901,-0.04343,-0.03069,-0.01253,-0.207180000000001,1.28698,1.44916,0.22492,-0.186689999999991,-0.186689999999991,4.29810999999988,4.83534000000031,0.0386799999999964,-0.01619,0.00334999999999999,4.07523,5.89175
"45","2021_Q2",7.35666666666667,"Down",163070000,-138383000,24687000,-14171000,-14171000,10516000,-13557000,-3041000,-1912000,-4953000,-4902000,-9855000,-9855000,-12155000,-12155000,57665000,57665000,69712000,69712000,76839000,12328000,64511000,204216000,34353000,392415000,4042000,82001000,426768000,630984000,72483000,14457000,58026000,63854000,63854000,143979000,84381000,67187000,249497000,393476000,291054000,-97698000,-8685000,184671000,237508000,630984000,-9855000,-9855000,6803000,12648000,9072000,18668000,-2922000,-2922000,-2922000,-27922000,25522000,1244000,1244000,23766000,14512000,14512000,-425000,14087000,17319000,172758000,28371000,0.15139,0.06449,-0.07454,-0.05118,-0.01926,-2.3341,1.41837,1.65669,0.27379,-0.29944,-0.29944,4.01729,4.54944,0.69893,-0.02457,0.05736,6.64548,10.94456
"46","2021_Q3",6.15375,"Down",189031000,-164477000,24554000,-12298000,-12298000,12256000,-2076000,10180000,33000.0000000009,10213000,-2093000,8120000,8120000,6885000,6885000,47018000,47018000,93735000,93735000,73878000,15148000,58730000,214631000,34692000,356570000,3154000,74722000,416314000,630945000,68088000,9885000,58203000,64436000,64436000,141801000,79051000,62080000,243674000,385475000,291809000,-90813000,-9598000,191398000,245470000,630945000,8120000,8120000,6667000,-786000,-21191000,-7190000,-4591000,-4591000,-4591000,-7487000,1178000,39000,39000,4217000,-10460000,-10460000,-123000,-10583000,18923000,173900000,-4766000,0.12989,0.06484,0.03642,0.02805,0.01091,-0.692229999999988,1.51361,1.57035,0.27562,0.169609999999998,0.169609999999999,4.65685,4.71517000000001,-0.117409999999999,0.01381,-0.00956000000000001,6.70517,10.35264
"47","2021_Q4",5.01109375,"Down",172787000,-151264000,21523000,-13099000,-13099000,8424000,-2769000,5655000,-131000,5524000,-2402000,3122000,3122000,76000,76000,56840000,56840000,68504000,68504000,82628000,13928000,68700000,207972000,35228000,351622000,3273000,72257000,411856000,619828000,63544000,6351000,57193000,61626000,61626000,131316000,76204000,58588000,240444000,371760000,292133000,-90737000,-10072000,191324000,248068000,619828000,3122000,14586237.0273229,6928000,3701000,5803000,19554000,-5845000,-4998387.29604245,-4998387.29604245,-5847000,-3714000,-178000,151000,-3892000,9815000,9815000,548000,10363000,15352000,170386000,17712000,0.12456,0.04875,0.00044,0.00031,0.00012,233.05263,1.58375,1.49862,0.27489,0.00186,0.00185,4.23622,4.69069,0.43425,0.00015,0.03581,7.39617,13.47887
"48","2022_Q1",4.72016129032258,"Down",178745000,-151907000,26838000,-15075000,-15075000,11763000,5261000,17024000,-6216000,10808000,-2469000,8339000,8339000,6694000,6694000,47940000,47940000,106937000,106937000,70141000,12611000,57530000,225018000,34168000,351601000,3664000,74448000,417457000,642475000,65119000,11916000,53203000,72658000,72658000,147629000,81351000,63825000,241526000,389155000,291946000,-84043000,-10687000,195304000,253320000,642475000,8339000,8005541.74466005,7739000,-1939000,-16043000,-1904000,-4212000,-3084173.7338452,-3084173.7338452,-4210000,-511000,-1507000,76000,-2018000,-8132000,-8132000,-898000,-9030000,19502000,170027000,1715999.99999999,0.15015,0.06581,0.03745,0.02643,0.01042,0.256349999999941,1.52421,1.53622,0.26464,0.16412,0.16289,4.38229,4.78827,0.04207,0.01326,0.00339999999999999,6.26023,10.3789
"49","2022_Q2",3.705,"Down",167317000,-146260000,21057000,-15881000,-15881000,5176000,-1382000,3794000,-1415000,2379000,-2093000,286000,286000,-1243000,-1243000,43302000,43302000,85542000,85542000,93932000,17720000,76212000,222776000,32332000,345763000,4731000,70104000,409775000,632551000,61875000,8169000,53706000,68288000,68288000,143914000,80552000,62308000,236323000,380237000,289331000,-85286000,-10621000,193424000,252314000,632551000,286000,286000.000000004,7588000,539000,-7849000,564000,-1902000,-1902000,-1902000,-1902000,-643000,-1131000,140000,-1774000,-3112000,-3112000,-36000,-3148000,12764000,169522000,5106000,0.12585,0.03094,-0.00743,-0.00493,-0.00197,-4.1078,1.54798,1.507,0.268,-0.03054,-0.03042,4.11028,4.75162,0.12543,-0.00247,0.01016,9.88875,24.38563
"50","2022_Q3",3.4640625,"Down",167641000,-150914000,16727000,-13743000,-13743000,2984000,1804000,4788000,-737000,4051000,-1423000,2628000,2628000,1867000,1867000,47145000,47145000,84115000,84115000,95759000,19483000,76276000,227019000,32494000,332555000,4800000,59408000,400562000,627581000,64108000,10615000,53493000,68140000,68140000,153634000,72760000,54958000,222043000,375677000,289779000,-83419000,-14388000,191972000,251904000,627581000,2628000,2628000,6970000,-3970000,2514000,8142000,-4289000,-4289000,-4289000,-4289000,1097000,43000,106000,1140000,4993000,4993000,-1450000,3543000,9954000,170669000,9602000,0.09978,0.0178,0.01114,0.00741,0.00297,5.14301,1.47766,1.49135,0.27195,0.04635,0.04632,4.16148,4.76547,0.23836,0.00377,0.01938,12.40948,41.39544
