"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","foreign_exchange_gain_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","short_term_investments","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_change_in_long_term_investment","net_cash_from_investing_activities","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"37","2019_Q2",5.52777777777778,"Down",21965000,-8432000,13533000,-29601000,-16161000,-13440000,-16068000,-2664000,-2924000,-162000,422000,-18732000,-18732000,-18792000,-18792000,-18792000,-18792000,100428000,29002000,71426000,13756000,13756000,15778000,4958000,134920000,16089000,24917000,1316000,23317000,41006000,175926000,39309000,20912000,18397000,8285000,763000,47594000,39433000,19399000,19399000,58832000,106426000,867229000,-797659000,69500000,69500000,175926000,-18792000,376000,3428000,-7190000,-22178000,-3315000,16500000,13895000,8423000,8423000,140000,140000,140000,-15692000,39433000,0.61612,-0.73153,-0.85554,-0.27039,-0.10682,2.83481,1.53131,0.22415,-0.14643,3.88701,3.79605
"38","2019_Q3",5.36125,"Down",22475000,-8111000,14364000,-31157000,-16740000,-14417000,-16793000,-708000,-1150000,105000,337000,-17501000,-17501000,-17562000,-17562000,-17562000,-17562000,96202000,23543000,72659000,13432000,13432000,17447000,8756000,135837000,15345000,23445000,1316000,21896000,38790000,174627000,37712000,21058000,16654000,8574000,665000,46286000,43823000,18886000,18886000,62709000,108995000,880762000,-815221000,65632000,65632000,174627000,-17562000,736000,3646000,298000,-12882000,-3201000,-1228000,-3869000,4461000,11244000,-5507000,-5507000,-5507000,-16057000,43823000,0.63911,-0.74719,-0.7814,-0.26758,-0.10057,2.93473,1.6607,0.25095,-0.13684,3.26207,3.1191
"39","2019_Q4",4.30890625,"Down",22846000,-7583000,15263000,-32221000,-16140000,-16081000,-16958000,-949000,-1031000,-254000,336000,-17907000,-17907000,-17967000,-17967000,-17967000,-17967000,85111000,24425000,60686000,14502000,14502000,20906000,5798000,126317000,15218000,22903000,1316000,21404000,38121000,164438000,38413000,19964000,18449000,2153000,561000,40566000,44364000,18700000,18700000,63064000,103630000,893857000,-833188000,60808000,60808000,164438000,-17967000,669000,4119000,-9038000,-22217000,-1944000,11972000,11612000,462000,11482000,877000,877000,877000,-16289000,44364000,0.66808,-0.74227,-0.78644,-0.29547,-0.10926,3.11386,1.70422,0.26979,-0.14504,2.5015,2.40282
"40","2020_Q1",4.52870967741935,"Up",26488000,-9293000,17195000,-33602000,-17164000,-16438000,-16407000,-434000,-960000,225000,301000,-16841000,-16841000,-16923000,-16923000,-16923000,-16923000,85718000,34986000,50732000,16882000,16882000,19490000,6018000,128108000,14898000,22529000,1316000,21081000,37427000,165535000,43136000,22185000,20951000,2183000,570000,50336000,39414000,18733000,18733000,58147000,108483000,907049000,-850111000,57052000,57052000,165535000,-16923000,622000,4453000,3626000,-8222000,-475000,9876000,9757000,0,9128000,10663000,10663000,10324000,-15785000,44431000,0.64916,-0.61941,-0.63889,-0.29662,-0.10223,2.54506,1.90148,0.26841,-0.14077,2.61558,2.51643
"41","2020_Q2",5.73253968253968,"Up",24641000,-8320000,16321000,-31723000,-15913000,-15810000,-15402000,-1007000,-935000,-223000,151000,-16409000,-16409000,-16466000,-16466000,-16466000,-16466000,133105000,33679000,99426000,18165000,18165000,21684000,5365000,178319000,14654000,22390000,1316000,20992000,37044000,215363000,37383000,20185000,17198000,2893000,1142000,45089000,39458000,18408000,18408000,57866000,102955000,979108000,-866577000,112408000,112408000,215363000,-16466000,706000,4440000,-8482000,-19802000,-452000,-49733000,-48992000,-204000,67491000,-1303000,-1303000,-1303000,-14696000,44271000,0.66235,-0.62506,-0.66824,-0.14648,-0.07646,3.95482,0.9159,0.20556,-0.09404,6.04477,5.76769
"42","2020_Q3",6.63578125,"Up",26827000,-9705000,17122000,-31730000,-16112000,-15618000,-14608000,-196000,-929000,273000,460000,-14804000,-14804000,-14871000,-14871000,-14871000,-14871000,136470000,34900000,101570000,17624000,17624000,18425000,6452000,178971000,14534000,21989000,1316000,20642000,36523000,215494000,35696000,18831000,16865000,2499000,706000,43145000,39500000,18324000,18324000,57824000,100969000,994848000,-881448000,114525000,114525000,215494000,-14871000,782000,4955000,1215000,-7919000,-455000,-1140000,-2788000,76732000,11834000,1127000,1127000,1242000,-13826000,44450000,0.63824,-0.54453,-0.55433,-0.12985,-0.06901,4.14813,0.88163,0.20627,-0.08388,6.65558,6.29929
"43","2020_Q4",6.55671875,"Down",29191000,-10953000,18238000,-32220000,-16299000,-15921000,-13982000,-89000,-930000,490000,351000,-14071000,-14071000,-14139000,-14139000,-14139000,-14139000,135124000,28950000,106174000,16236000,16236000,19460000,6479000,177299000,14261000,21794000,1316000,20478000,36055000,213354000,38789000,19244000,19545000,2418000,561000,46189000,39545000,18385000,18385000,57930000,104119000,1003915000,-895587000,109235000,109235000,213354000,-14139000,810000,5010000,3130000,-5189000,-242000,-5138000,1604000,-16000,-2813000,-6398000,-6398000,-5888000,-13172000,44527000,0.62478,-0.47898,-0.48436,-0.12944,-0.06627,3.83855,0.95317,0.2087,-0.08213,6.878,6.47955
"44","2021_Q1",6.80377049180328,"Up",33590000,-12179000,21411000,-35752000,-18691000,-17061000,-14341000,52000,-952000,253000,751000,-14289000,-14289000,-14381000,-14381000,-14381000,-14381000,133594000,36594000,9.7e+07,21166000,21166000,23254000,5417000,183431000,13867000,24117000,1316000,22801000,37984000,221415000,48966000,24213000,24753000,2492000,577000,59974000,39588000,18047000,18047000,57635000,117609000,1013100000,-909968000,103806000,103806000,221415000,-14381000,811000,4736000,-67000,-8901000,-466000,8068000,12368000,-73013000,3521000,6988000,6988000,7431000,-13530000,48104000,0.63742,-0.42694,-0.42813,-0.13854,-0.06495,3.05851,1.13297,0.21726,-0.08462,6.31855,5.96123
"45","2021_Q2",5.86253968253968,"Down",29566000,-11095000,18471000,-34918000,-19170000,-15748000,-16447000,-912000,-972000,-396000,456000,-17359000,-17359000,-17457000,-17457000,-17457000,-17457000,131725000,57607000,74118000,18253000,18253000,24285000,7009000,181272000,13283000,26027000,1316000,24711000,39310000,220582000,42284000,22538000,19746000,2542000,1056000,54764000,54616000,18567000,18567000,73183000,127947000,1019604000,-927425000,92635000,92635000,220582000,-17457000,794000,5536000,-6328000,-17455000,-193000,21585000,21392000,16422000,17488000,21425000,21425000,20904000,-15653000,64554000,0.62474,-0.55628,-0.59044,-0.18845,-0.07914,3.31006,1.3812,0.29265,-0.09933,4.29125,4.08409
"46","2021_Q3",5.83140625,"Down",37763000,-15323000,22440000,-36841000,-19758000,-17083000,-14401000,-883000,-1338000,118000,337000,-15284000,-15284000,-15361000,-15361000,-15361000,-15361000,122841000,59030000,63811000,22865000,22865000,31255000,8629000,185590000,12811000,24822000,1316000,23506000,37633000,223223000,54098000,30891000,23207000,2388000,871000,65815000,54682000,18489000,18489000,73171000,138986000,1026706000,-942786000,84237000,84237000,223223000,-15361000,777000,6338000,-417000,-8663000,-32000,9889000,11951000,-609000,-1967000,1321000,1321000,1479000,-13624000,64011000,0.59423,-0.38135,-0.40677,-0.18235,-0.06881,2.81987,1.64994,0.28676,-0.09213,4.31812,4.08513
"47","2021_Q4",6.7321875,"Up",42101000,-17582000,24519000,-35645000,-20357000,-15288000,-11126000,-1238000,-1279000,-164000,205000,-12364000,-12364000,-12437000,-12437000,-12437000,-12437000,119961000,78460000,41501000,22439000,22439000,29420000,6232000,178052000,12684000,28210000,1316000,26894000,40894000,218946000,52371000,26187000,26184000,2360000,744000,64717000,54675000,18479000,18479000,73154000,137871000,1035117000,-955223000,80075000,81075000,218946000,-12437000,765000,6631000,-1541000,-6582000,-221000,21950000,24720000,657000,1590000,19728000,19728000,19452000,-10361000,64661000,0.58239,-0.26427,-0.29541,-0.1534,-0.0568,2.75124,1.70054,0.29533,-0.07574,5.33732,4.97034
"48","2022_Q1",5.53725806451613,"Down",50088000,-19475000,30613000,-37575000,-22003000,-15572000,-6962000,-2088000,-1334000,-130000,-624000,-9050000,-9050000,-9121000,-9121000,-9119000,-9119000,129359000,48759000,80600000,25129000,25129000,26793000,5821000,187102000,12208000,38189000,1316000,36873000,50397000,237499000,61281000,35608000,25673000,2578000,673000,78556000,54724000,18602000,18602000,73326000,151882000,1049110000,-964342000,84619000,85617000,237499000,-9121000,812000,8198000,-1111000,-1222000,-464000,-39826000,-36005000,4711000,7813000,-29414000,-29414000,-29694000,-6150000,69421000,0.61118,-0.139,-0.18206,-0.10651,-0.0384,2.38177,1.77397,0.2923,-0.05252,9.74602,8.60931
"49","2022_Q2",4.99467741935484,"Down",43020000,-18076000,24944000,-34792000,-20735000,-14057000,-9848000,-2360000,-1380000,-198000,-782000,-12208000,-12208000,-12284000,-12284000,-12284000,-12284000,108557000,38372000,70185000,25645000,25645000,28521000,10089000,172812000,11659000,37435000,1316000,36119000,49094000,221906000,48422000,31474000,16948000,3226000,1258000,66659000,54769000,20067000,20067000,74836000,141495000,1057674000,-976626000,79413000,80411000,221906000,-12284000,865000,7602000,-17639000,-21456000,-113000,8735000,8622000,314000,2449000,-10385000,-10385000,-10669000,-8983000,69780000,0.57982,-0.22892,-0.28554,-0.15277,-0.05536,2.59248,1.75965,0.31446,-0.07215,4.31671,3.93755
"50","2022_Q3",4.7846875,"Down",47631000,-19718000,27913000,-34748000,-19532000,-15216000,-6835000,-1482000,-1348000,-104000,-30000,-8317000,-8317000,-8395000,-8395000,-8389000,-8389000,107047000,32309000,74738000,26837000,26837000,27758000,3030000,164672000,11201000,40583000,1316000,39267000,51784000,216456000,47630000,29355000,18275000,2969000,975000,79279000,41065000,19351000,19351000,60416000,139695000,1062937000,-985015000,75769000,76761000,216456000,-8395000,762000,6309000,979000,-345000.000000007,-78000,-5397000,-2962999.99999999,-81000,-2310000,-5618000,-5618000,-6052000,-6073000,69745000,0.58603,-0.1435,-0.17612,-0.10929,-0.03876,2.07712,1.81987,0.32221,-0.05058,6.14227,5.4575
