"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","selling_marketing","general_administrative","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",17.8953968253968,"Up",716887000,-600747000,116140000,-84406000,-64917000,-18619000,-46298000,-19489000,31734000,-14275000,-20453000,6178000,17459000,17459000,66545000,84004000,84004000,84004000,84004000,204100000,204100000,541587000,541587000,121285000,335667000,34950000,1202639000,1072578000,1203715000,414600000,30266000,2276293000,3478932000,640867000,448455000,192412000,689276000,1555425000,130488000,130488000,1685913000,2375189000,786806000,315975000,962000,1103743000,1103743000,3478932000,84004000,59787000,-55078000,-33074000,55639000,-38948000,-635344000,432592000,-147113000,-147113000,-1363000,-148476000,91521000,1596154000,-47046000,0.16201,0.04427,0.11718,0.07611,0.02415,-0.560039999999999,1.74479,2.15194,0.45881,0.81122,0.62354,6.9229,10.65873,-0.45432,0.02968,-0.01662,15.21021,43.86633
"33","2018_Q4",12.2628571428571,"Down",755837000,-626253000,129584000,-75034000,-58425000,-18533000,-39892000,-16609000,54550000,-20012000,-22225000,2213000,34538000,34538000,-7537000,27001000,27001000,27001000,27001000,207952000,207952000,569215000,569215000,122232000,333609000,36773000,1233008000,1059246000,1196972000,394825000,36280000,2256218000,3489226000,650251000,451645000,198606000,695276000,1518315000,138072000,138072000,1656387000,2351663000,792267000,343177000,2119000,1137563000,1137563000,3489226000,27001000,59866000,10290000,-17165000,79992000,-35038000,-35038000,-40660000,4294000,4294000,-442000,3852000,114416000,1558315000,69750000,0.17144,0.07217,0.03572,0.02374,0.00774,2.58324,1.77341,2.06728,0.44661,0.26044,0.1979,7.29038,10.97229,0.67277,0.00953,0.02461,11.80222,24.75459
"34","2019_Q1",11.4685245901639,"Down",101436000,-33169000,68267000,-60921000,-32180000,-15302000,-16878000,-15024000,7346000.00000001,-22645000,-19339000,-3306000,-15299000,-19959000,34249000,14290000,52482000,52482000,52482000,256360000,256360000,523165000,523165000,109377000,318012000,30271000,1206914000,1052024000,1198565000,375923000,55597000,2250589000,3457503000,526238000,431288000,94950000,673214000,1462425000,94777000,94777000,1557202000,2230416000,797999000,433008000,-3920000,1227087000,1227087000,3457503000,52482000,60445000,-28136000,66977000,151768000,-33671000,-33671000,-70001000.0000001,48096000,48096000,312000,48408000,67791000,1492425000,66848000,0.67301,0.07242,0.51739,0.04277,0.01518,1.27373,1.79276,1.81765,0.43165,0.50618,0.33328,0.978329999999999,11.83499,0.64473,0.01865,0.02375,18.23347,168.26368
"35","2019_Q2",11.0736507936508,"Down",620200000,-531515000,88685000,-71195000,-54369000,-18901000,-35468000,-16826000,17490000,-22218000,-21688000,-530000,-4728000,-4728000,1476000,-3252000,-3252000,-3252000,-3252000,235219000,235219000,516828000,516828000,114800000,302702000,39629000,1169549000,1037696000,1207040000,357918000,82077000,2244736000,3414285000,503309000,424291000,79018000,607732000,1466010000,113684000,113684000,1579694000,2187426000,801924000,429756000,-4821000,1226859000,1226859000,3414285000,-3252000,59607000,-29605000,10174000,36924000,-28446000,-28446000,-30010000,-21532000,-21532000,391000,-21141000,77097000,1466010000,57349000,0.14299,0.0282,-0.00524,-0.00265,-0.00095,-17.63499,1.92445,1.78295,0.42938,-0.03117,-0.03117,5.94545,11.7611,0.54977,-0.00116,0.02043,15.96419,70.37113
"36","2019_Q3",10.72953125,"Down",633038000,-548423000,84615000,-67771000,-56504000,-17867000,-38637000,-11267000,16844000,-16250000,-20871000,4621000,593999.999999998,593999.999999996,2830000,3424000,3424000,3424000.00000001,3424000.00000001,284466000,284466000,482740000,482740000,122149000,300331000,39260000,1189686000,1037087000,1213340000,345471000,100824000,2250427000,3440113000,514426000,432936000,81490000,623955000,1469270000,117811000,117811000,1587081000,2211036000,805526000,433180000,-9629000,1229077000,1229077000,3440113000,3424000,53682000,33433000,-4415999.99999999,86123000,-34741000,-34741000,-1532000,49850000,49850000,-603000,49247000,70526000,1469270000,28539000,0.13366,0.02661,0.00540999999999999,0.00279000000000001,0.001,8.33499000000001,1.90669,1.79894,0.4271,0.0324600000000001,0.03188,6.00201,11.65322,0.27059,0.00122,0.01013,16.79953,70.33982
"37","2019_Q4",13.1453125,"Up",344257000,-240625000,103632000,-57727000,-36005000,-14843000,-21162000,-8152000,45905000,-15118000,-19552000,4434000,30787000,30787000,-9835000,20952000,15870000,15870000,15870000,316589000,316589000,529942000,529942000,126324000,304980000,36438000,1277835000,1027868000,1192655000,334116000,91494000,2220523000,3498358000,552809000,470233000,82576000,666673000,1472578000,111754000,111754000,1584332000,2251005000,810188000,449050000,-11885000,1247353000,1247353000,3498358000,15870000,53074000,14081000,-24283000,58742000,-25803000,-25803000,-107000,32832000,32832000,-709000,32123000,98979000,1472578000,58728000,0.30103,0.13335,0.0461,0.01272,0.00454,3.70057,1.91673,1.80463,0.42093,0.15044,0.14905,3.26341,11.82437,0.55672,0.0056,0.02074,11.67913,25.1822
"38","2020_Q1",13.1535483870968,"Up",535715000,-435470000,100245000,-65475000,-51577000,-17560000,-34017000,-9531000,34770000,-21717000,-19976000,-1741000,13053000,7673000,3124000,10797000,25259000,25259000,25259000,379818000,379818000,503598000,503598000,113753000,345515000,23343000,1342684000,678201000,1540048000,325680000,507844000,2218249000,3560933000,414980000,329866000,85114000,946666000,1225962000,109268000,109268000,1335230000,2281896000,814814000,474309000,-10086000,1279037000,1279037000,3560933000,25259000,53507000,-1424000,52806000,130148000,-46982000,-46982000,-164000.000000004,83002000,83002000,563000,83565000,88277000,1475937000,90977000,0.18712,0.0649,0.04715,0.01975,0.00709,3.60177,1.41833,1.78407,0.41448,0.23941,0.23577,5.07767,12.12311,0.86231,0.00882,0.03176,12.41681,31.52485
"39","2020_Q2",11.1363492063492,"Down",497646000,-416304000,81342000,-65160000,-50836000,-16169000,-34667000,-9562000,16182000,-17279000,-19781000,2502000,-1097000,-1097000,-2123000,-3220000,-1174000,-1174000,-1174000,361992000,361992000,458639000,458639000,120949000,810207000,30751000,1751787000,666611000,1105720000,314735000,84461000,1772331000,3524118000,379861000,309580000,70281000,904363000,1229372000,113183000,113183000,1342555000,2246918000,819649000,473135000,-15584000,1277200000,1277200000,3524118000,-1174000,54252000,8910000,-34075000,27913000,-32451000,2891000,-125542455.494854,30804000,30804000,-521000,30283000,70434000,1479347000,6031000,0.16345,0.03252,-0.00236,-0.00092,-0.00033,-5.13714,1.93704,1.75925,0.41978,-0.01111,-0.01111,4.70872,12.08486,0.05707,-0.00041,0.0021,15.86386,69.04925
"40","2020_Q3",11.6953125,"Up",570298000,-469868000,100430000,-77434000,-62692000,-15969000,-46723000,-9561000,22996000,-18117000,-18572000,455000,4879000,4879000,4467000,9346000,181767000,181767000,181767000,694668000,694668000,414329000,414329000,122847000,640068000,38202000,1871912000,660866000,1061893000,303790000,51579000,1722759000,3594671000,431243000,351819000,79424000,1197457000,832834000,118815000,118815000,951649000,2149106000,822296000,665945000,-42676000,1445565000,1445565000,3594671000,181767000,39950000,-197728000,95007000,118996000,-22370000,145040000,-302657808.898082,264036000,264036000,195000,264231000,62946000,1482809000,131116000,0.1761,0.04032,0.31872,0.12574,0.05057,0.721339999999997,1.56324,1.48669,0.4125,1.71004,1.6649,5.36529,13.59969,1.23352,0.05965,0.04303,12.52091,34.27296
"41","2020_Q4",12.78890625,"Up",513576000,-424298000,89278000,-60330000,-44981000,-15895000,-29086000,-10126000,28948000,-22520000,-20204000,-2316000,6428000,-62772000,1300000,-61472000,-42018000,-42018000,-42018000,413310000,413310000,374971000,374971000,127588000,570308000,38670000,1486177000,654837000,1007400000,292280000,77796000,1662237000,3148414000,419030000,341505000,77525000,787322000,840023000,121766000,121766000,961789000,1749111000,826966000,612884000,-40547000,1399303000,1399303000,3148414000,-42018000,37179000,55011000,34604000,84776000,-29067000,275024000,-392488000,-32688000,-32688000,1305000,-31383000,66127000,1089998000,70364000,0.17384,0.05637,-0.08181,-0.03003,-0.01335,-1.67462,1.88764,1.24999,0.34621,-0.39487,-0.40586,4.82639,13.15011,0.66125,-0.01609,0.02695,10.23316,23.37598
"42","2021_Q1",14.1762295081967,"Up",523802000,-435829000,87973000,-42043000,-27850000,-15849000,-12001000,-9589000,45930000,-16453000,-14599000,-1854000,29477000,12713000,26247000,38960000,38960000,38960000,38960000,451565000,451565000,381105000,381105000,115651000,300437000,27181000,1248758000,650435000,996751000,281307000,78120000,1647186000,2895944000,424370000,327102000,97268000,518046000,842853000,91036000,91036000,933889000,1451935000,831078000,651844000,-38913000,1444009000,1444009000,2895944000,38960000,34748000,7898999.99999997,-26116000,55491000,-18663000,-18663000.0000001,-249818000,-212990000,-212990000,1270000,-211720000,80678000,842853000,9652000.00000001,0.16795,0.08769,0.07438,0.02698,0.01345,0.247739999999999,2.41052,1.00549,0.29105,0.363859999999999,0.36386,4.89196,13.48608,0.09014,0.01638,0.00406,4.85,8.51922
"43","2021_Q2",14.9368253968254,"Up",526432000,-444832000,81600000,-61800000,-47809000,-16282000,-31527000,-9521000,19800000,-8882000,-11389000,2507000,10918000,-4299000,1107000,-3192000,-3192000,-3192000,-3192000,539648000,539648000,366768000,366768000,121124000,305099000,33397000,1332639000,651194000,981995000,270402000,74269000,1633189000,2965828000,418940000,336739000,82201000,509154000,926128000,88079000,88079000,1014207000,1523361000,830942000,648652000,-37127000,1442467000,1442467000,2965828000,-3192000,32381000,20112000,-8156000,41145000,-20966000,-20966000,68080000,88259000,88259000,-176000,88083000,52181000,926128000,21952000,0.15501,0.03761,-0.00606,-0.00221,-0.00108,-6.87719,2.61736,1.05608,0.31227,-0.02988,-0.02988,4.92799,13.50308,0.20549,-0.0013,0.00894,7.40653,19.51919
"44","2021_Q3",13.743125,"Down",567383000,-467473000,99910000,-59022000,-45798000,-14605000,-31193000,-9042000,40888000,-10773000,-11079000,306000,30115000,30115000,-1854000,28261000,28261000,28261000,28261000,558291000,558291000,378762000,378762000,126355000,341107000,40410000,1404515000,650764000,970457000,259977000,73156000,1621221000,3025736000,451769000,364005000,87764000,554750000,926523000,74092000,74092000,1000615000,1555365000,833547000,676913000,-34689000,1470371000,1470371000,3025736000,28261000,31666000,3631000.00000001,-6649000,56909000,-22727000,-22727000,-16047000,18135000,18135000,508000,18643000,72554000,926523000,45032000,0.17609,0.07206,0.04981,0.01922,0.00934,1.59343,2.5318,1.0578,0.30621,0.26455,0.26455,5.31133,13.7643,0.42155,0.01144,0.01822,5.07528,9.00587
"45","2021_Q4",13.9303125,"Up",556784000,-463605000,93179000,-60944000,-48247000,-14855265.2435069,-26077233.5367287,-8274000,32235000,-8622000,-11147000,2525000,23613000,23613000,-2655000,20958000,20958000,20958000,20958000,529816000,529816000,388233000,388233000,140055000,365244000,39470000,1423348000,669736000,954547000,250319000,66904000,1624283000,3047631000,471809000,386705000,85104000,567442000,926922000,86678000,86678000,1013600000,1581042000,835770000,697871000,-32703000,1466589000,1466589000,3047631000,20958000,30652000,5289000,-40690000,16209000,-17376000,-17376000,-27245000,-28412000,-28412000,-63000,-28475000,62887000,926922000,7476000,0.16735,0.05789,0.03764,0.01429,0.00688,0.35671,2.50836,1.07804,0.30415,0.19569,0.19344,5.19883,13.6939,0.06981,0.00845,0.00301,6.3146,12.31909
"46","2022_Q1",13.7162903225806,"Down",598141000,-500819000,97322000,-60009000,-46027000,-16739350.6095044,-26092912.2506456,-8911000,37313000,-12444000,-11860000,-584000,24869000,20624000,-12237000,8387000,8387000,8387000,8387000,537678000,537678000,386347000,386347000,127612000,355776000,30914000,1407413000,665755000,952379000,239918000,75137000,1618134000,3025547000,450930000,361484000,89446000,558148000,927818000,84164000,84164000,1011982000,1570130000,840221000,706258000,-27255000,1455417000,1455417000,3025547000,8387000,32632000,6101000,15249000,62369000,-19455000,-23074000,-32020000,7275000,7275000,587000,7862000,69945000,927818000,77976000,0.16271,0.06238,0.01402,0.00576,0.00277,9.29725,2.52158,1.07882,0.30666,0.07831,0.07741,5.58499,13.58958,0.72808,0.0034,0.0316,5.57781,10.45587
"47","2022_Q2",13.8246774193548,"Up",581260000,-490337000,90923000,-65055000,-51226000,-18272000,-32954000,-8274000,25868000,-9391000,-11361000,1970000,16477000,16477000,769000,17246000,17246000,17246000,17246000,519079000,519079000,412432000,412432000,137343000,365329000,46616000,1434183000,663394000,946571000,230260000,78987000,1609965000,3044148000,472921000,383929000,88992000,586566000,928210000,81543000,81543000,1009753000,1596319000,842896000,723504000,-25104000,1447829000,1447829000,3044148000,17246000,31158000,109000,-12522000,35991000,-23420000,-23420000,-31119000,-18548000,-18548000,-51000,-18599000,57026000,928210000,20315000,0.15642,0.0445,0.02967,0.01191,0.00567,1.17795,2.44505,1.10256,0.30492,0.16553,0.16305,5.57906,13.89658,0.19499,0.00702,0.00827,7.17446,15.8161
"48","2022_Q3",14.416875,"Up",625550000,-508477000,117073000,-79871000,-66363000,-17557000,-48806000,-8275000,37202000,-3073000,-10711000,7638000,34129000,34129000,-6337000,27792000,27792000,27792000,27792000,266546000,266546000,474829000,474829000,209960000,429548000,53181000,1380883000,748439000,1085329000,311352000,58386000,1833768000,3214651000,525719000,425135000,100584000,722309000,928605000,89657000,89657000,1018262000,1740571000,847323000,751296000,-25880000,1474080000,1474080000,3214651000,27792000,31447000,5644000,14434000,79317000,-26394000,-325606000,-5192000,-251481000,-251481000,-1052000,-252533000,68649000,928605000,63026000,0.18715,0.05947,0.04443,0.01885,0.00865,2.26777,1.91176,1.18078,0.28887,0.27084,0.26645,6.09621,14.36543,0.61421,0.01115,0.02529,9.64412,17.79633
