"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_investment_income_loss","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","treasury_stock","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","total_debt","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","dividends_per_share","return_on_invested_capital","dividend_payout_ratio","net_debt_ebit"
"35","2020_Q1",30.2859677419355,"Up",1386000,13474000,14860000,-4360000,-4360000,10500000,12467000,-1555000,14067000,-45000,22967000,21978000,-5701000,16277000,16277000,16509000,16509000,18630000,18630000,713000,713000,40143000,2491000,1049000,61977000,345648000,9763000,7517000,355411000,417388000,17468000,4163000,7769000,5338000,6145000,6145000,28951000,158111000,30928000,-1197000,189039000,217990000,28197000,-31943000,198049000,194303000,199398000,417388000,7146000,8750000,638000,9388000,-490000,-2731000,-3221000,13313000,13313000,13313000,163449000,10.7215,7.57576,11.91126,0.08279,0.03955,2.14076,1.09324,0.3916,2.20768,2.20414,0.18534,25.9832799999999,0.06553,0.04317,0.02968,13.79229
"36","2020_Q2",26.7080952380952,"Down",11005000,-5390999.99999999,5614000,-2760000,-2760000,2854000,-1595000,-1544000,25000,-76000,1259000,1259000,-361000,898000,898000,790999.999999998,790999.999999998,5546000,5546000,1852000,1852000,43288000,2968000,1526000,53654000,345572000,5843000,3597000,351415000,405069000,11839000,1493000,4449000,5130000,6023000,6023000,22992000,151187000,31202000,-923000,182389000,205381000,28273000,-31956000,198169000,194486000,199688000,405069000,-6043000,-3499000,-190000,-3689000,-448000,-7132000,-7841000,-17573000,-17573000,-17573000,156317000,0.51013,0.259339999999998,0.0718800000000002,0.00396,0.00195,2.33359,1.02851,0.3859,0.105789999999995,0.105589999999997,1.47184999999999,26.01123,0.059920000000001,0.0032,0.56637,52.82796
"37","2020_Q3",28.00296875,"Up",50515000,-43898000,6617000,-2953000,-2953000,3664000,1398000,-1452000,2838000,12000,5062000,5062000,-1496000,3566000,3566000,3571000,3571000,80407000,80407000,4385000,4385000,28503000,2887000,1521000,116182000,347816000,8286000,6040000,356102000,472284000,12757000,5154000,4943000,5130000,5780000,5780000,23667000,215213000,30336000,-962000,245549000,269216000,28590000,-31784000,201065000,197871000,203068000,472284000,17731000,-3467000,195000,-3272000,-672000,64026000,63354000,77813000,77813000,77813000,220343000,0.13099,0.07253,0.07069,0.01759,0.00756,4.90903,1.32574,0.46655,0.47747,0.47632,6.75425,26.4568799999988,0.08985,0.00935,0.18818,38.19214
"38","2020_Q4",27.82546875,"Down",26122000,-19902000,6220000,-2556000,-2556000,3664000,-1405000,-1603000,154000,44000,2259000,2259000,-171000,2088000,2088000,2096000,2096000,80426000,80426000,909000,909000,29253000,3011000,1645000,113599000,351077000,5256000,3010000,356333000,469932000,13108000,4503000,5803000,5130000,6365000,6365000,24603000,210190000,30404000,-949000,240594000,265197000,28597000,-31539000,202488000,199546000,204735000,469932000,9433000,-6719000,114000,-6605000,-673000,-5022999.99999999,-5696000,-2868000.00000001,-2868000.00000001,-2868000.00000001,215320000,0.238110000000001,0.14026,0.08024,0.01024,0.00446,4.61728,1.29532,0.45819,280.17645,279.72775,3491.77917,26673.70672,89.96124,0.00615,0.32109,36.81605
"39","2021_Q1",27.6062295081967,"Down",4865000,-5397000,-532000,-2729000,-2729000,-3261000,-4366000,-1382000,-2919000,-65000,-7627000,22797000,-5635000,17162000,17162000,17204000,17204000,3163000,3163000,4347000,4347000,40855000,3534000,1387000,51899000,350061000,21977000,19731000,372038000,423937000,10628000,3533000,7095000,9145000,1385000,1385000,21158000,142048000,38949000,-779000,180997000,202155000,28101000,-30779000,219019000,216341000,221782000,423937000,-20072000,26441000,-466000,23055000,-673000,-64127000,-64506000,-61523000,-61523000,-61523000,151193000,-0.10935,-0.6703,3.53628,0.07757,0.04058,2.45293,0.9115,0.35664,0.57512,0.5742,0.16264,7.2322099999983,0.0225,0.0434,0.03912,-45.39405
"40","2021_Q2",28.9546031746032,"Up",13732000,-8335000,5397000,-2528000,-2528000,2869000,2185000,-1189000,3364000,10000,5054000,5054000,-1250000,3804000,3804000,3845000,3845000,2601000,2601000,5598000,5598000,46430000,3165000,1755000,57794000,367221000,5167000,2921000,372388000,430182000,7892000,1950000,5473000,9090000,1031000,1031000,18013000,148676000,38951000,-777000,187627000,205640000,28050000,-30421000,221513000,219142000,224542000,430182000,-5109000,-1637000,211000,-17876000,-674000,6573000,5899000,-17086000,-17086000,-17086000,157766000,0.39302,0.20893,0.280000000000001,0.01712,0.00894,3.20846,0.91582,0.36674,0.512460000000006,0.512459999999985,1.83019999999987,29.20725,0.0898299999999983,0.01073,0.17529,54.0833
"41","2021_Q3",33.449375,"Up",55944000,-45718000,10226000,-2653000,-2653000,7573000,-1104000,-1089000,-17000,2000,6469000,6469000,-1579000,4890000,4890000,4867000,4867000,10371000,10371000,11009000,11009000,30035000,3491000,1443000,54906000,369036000,4841000,2595000,373877000,428783000,17817000,11811000,5118000,8410000,761000,761000,26988000,134464000,38928000,-8e+05,173392000,200380000,28175000,-30223000,225028000,222980000,228403000,428783000,30735000,-5257000,315000,-6722000,-1351000,-14892000,-16243000,7770000,7770000,7770000,142874000,0.18279,0.13537,0.087,0.02131,0.01135,2.03446,0.87731,0.33321,0.64781,0.64781,7.44629,29.6792199999996,0.17982,0.01516,0.27758,17.49676
"42","2021_Q4",33.59734375,"Up",34888000,-26378000,8510000,-1911000,-1911000,6599000,29387000,-907000,30288000,6000,35986000,35986000,-8853000,27133000,27133000,27119000,27119000,31410000,31410000,6484000,6484000,31564000,2460000,1516000,71918000,370138000,5011000,2765000,375149000,447067000,23637000,7998000,8558000,8355000,885000,885000,32877000,123080000,39013000,-715000,162093000,194970000,28278000,-30004000,248386000,246660000,252097000,447067000,7982000,26035000,267000,25849000,-1353000,-11439000,-12792000,21039000,21039000,21039000,131435000,0.24392,0.18915,0.77732,0.10757,0.06066,2.18749,0.77339,0.29399,3.61201,3.61201,4.64678000000003,32.85296,0.180209999999999,0.06738,0.0498899999999998,15.1576
"43","2022_Q1",33.2385483870968,"Down",4e+06,-4240000,-240000,-2361000,-2361000,-2601000,-34419000,-802000,-33612000,-5000,-37020000,-1122000,115000,-1007000,-1007000,-972000,-972000,886000,886000,6105000,6105000,43377000,4545000,1152000,54913000,373231000,5073000,2827000,378304000,433217000,17146000,7274000,9872000,4285000,875000,875000,22306000,121023000,39771000,306000,160794000,183100000,28405000,-29853000,246163000,244715000,250117000,433217000,-17104000,-4586000,-89000,-4519000,-3760000,-5141000,-8901000,-30524000,-30524000,-30524000,125308000,-0.06,-0.65025,-0.243,-0.00389,-0.00224,2.4618,0.73206,0.28925,-0.129,-0.12888,0.53086,32.47711,0.499,0.00671000000000001,-3.86831,-47.83622
"44","2022_Q2",38.6161290322581,"Up",15337000,-13526000,1811000,-2584000,-2584000,-772999.999999999,-892000.000000007,-901000,-77120614.0602049,9000,-1664999.99999999,6780000,3300000,10080000,10080000,10131000,10131000,69000,69000,8901000,8901000,45950000,3659000,1571000,58579000,373159000,5144000,2898000,378303000,436882000,10825000,2780000,8045000,4285000,758000,758000,15868000,130314000,36240000,-861000,166554000,182422000,28496000,-29399000,250012000,249109000,254460000,436882000,-9608000,4411000,-196000,4079000,-3763000,8305000,4712000,-817000,-817000,-817000,134599000,0.11808,-0.0504,0.66056,0.03981,0.02319,3.69164,0.7169,0.30809,1.34453,1.34328,2.03543,33.06025,0.4994,0.03267,0.371430000000001,-174.03622
"45","2022_Q3",33.1365625,"Down",49641000,-45642000,3999000,-2538000,-2538000,1461000,34180000,-870000,35049000,1000,35641000,27196000,-6579000,20617000,20617000,20702000,20702000,23516000,23516000,12527000,12527000,33183000,1356000,1227000,70582000,373863000,8467000,6221000,382330000,452912000,19435000,7377000,12058000,4285000,811000,811000,24531000,119866000,36959000,-272000,156825000,181356000,28379000,-29027000,266938000,266290000,271556000,452912000,18406000,21818000,101000,21919000,-3770000,-10448000,-14218000,26107000,26107000,26107000,124151000,0.08056,0.02943,0.41703,0.07623,0.04571,2.87726,0.66784,0.27412,2.74745,2.7449,6.58806,35.34041,0.50033,0.05656,0.18211,68.8809
