"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","depreciation_amortization","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","intangible_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"34","2019_Q1",41.3139344262295,"Up",315571000,-68248000,247323000,-141666000,-108153000,-25580000,-7933000,105657000,3912000,12674000,-8762000,109569000,109569000,-26060000,83509000,83509000,83509000,83509000,1100416000,1100416000,89192000,89192000,23690000,23690000,1213298000,83303000,2006286000,288911000,1611535000,98371000,2099659000,3312957000,96024000,6327000,75409000,58135000,53982000,154159000,136856000,87243000,49613000,136856000,291015000,3021942000,3312957000,83509000,19743000,21029000,-9507000,114774000,-7831000,-86126000,-26429000,642000,29290000,29290000,-660000,28630000,125400000,-4.65661287307739e-10,134122000,0.78373,0.33481,0.26463,0.02763,0.02521,1.60608,7.87043,0.0963,0,0.23109,0.22895,0.87326,0.37115,0.02644,0.04246,-8.77525,-10.41498
"35","2019_Q2",51.1073015873016,"Up",328425000,-71153000,257272000,-163780000,-128170000,-27928000,-7682000,93492000,4213000,-732000,4945000,97705000,97705000,-12536000,85169000,85169000,85169000,85169000,1232817000,1232817000,92841000,92841000,20713000,20713000,1346371000,85978000,2105865000,275750000,1612065000,211599000,2201913000,3548284000,116010000,7919000,85555000,82217000,56155000,198227000,221443000,94125000,127318000,221443000,419670000,3128614000,3548284000,85169000,19659000,30542000,13124000,148494000,-9429000,-9429000,-6618000,-6618000,132447000,132447000,-46000,132401000,113151000,0,129382000,0.78335,0.28467,0.25933,0.02722,0.024,1.51912,6.79207,0.13414,0,0.23503,0.23291,0.90633,0.35704,0.02542,0.03862,-10.89533,-13.18634
"36","2019_Q3",59.8553125,"Up",343760000,-71918000,271842000,-197042000,-161412000,-28455000,-7175000,74800000,5216000,-697000,5913000,80016000,80016000,-16768000,63248000,63248000,63248000,63248000,1297812000,1297812000,95583000,95583000,20367000,20367000,1413762000,84518000,2112248000,272177000,1617853000,216548000,2206836000,3620598000,111873000,6996000,96326000,85387000,58290000,197260000,219267000,94992000,124275000,219267000,416527000,3204071000,3620598000,63248000,18754000,32874000,-29803000,85073000,-4958000,-18679000,-1035000,-1035000,65359000,65359000,-364000,64995000,93554000,0,75561000,0.79079,0.21759,0.18399,0.01974,0.01747,1.19468,7.167,0.13,-4.33680868994202e-19,0.17419,0.17268,0.94676,0.20811,0.01848,0.02207,-13.87233,-17.35043
"37","2019_Q4",58.384375,"Down",352808000,-71172000,281636000,-187367000,-147112000,-32639000,-7616000,94269000,4654000,2208000,2446000,98923000,98923000,-20304000,78619000,78619000,78619000,78619000,1389619000,1389619000,91325000,91325000,23778000,23778000,1504722000,107989000,2092610000,259444000,1616538000,212202000,2210669000,3715391000,110571000,8082000,93373000,87465000,60328000,198036000,218189000,100292000,117897000,218189000,416225000,3299166000,3715391000,78619000,18822000,52529000,-33520000,116450000,-29775000,-29775000,5460000,5460000,92135000,92135000,-328000,91807000,113091000,0,70100000,0.79827,0.2672,0.22284,0.02383,0.02116,0.89164,7.59822,0.12616,0,0.21638,0.21451,0.97104,0.19294,0.02235,0.01993,-12.28762,-14.741
"38","2020_Q1",65.1753225806452,"Up",374726000,-74996000,299730000,-198744000,-150642000,-36580000,-11522000,100986000,13319000,15963000,-2644000,114305000,114305000,-26378000,87927000,87927000,87927000,87927000,1070731000,1070731000,92240000,92240000,36194000,36194000,1199165000,107529000,2537222000,421196000,1882020000,228598000,2654821000,3853986000,110112000,7640000,91767000,96944000,67274000,207056000,241337000,107617000,133720000,241337000,448393000,3405593000,3853986000,87927000,23930000,32658000,-36752000,107763000,-2035000,-425870000,-27041000,-1960999.99999999,-320068000,-320068000,1180000,-318888000,124916000,-2.98023223876953e-08,112507000,0.79986,0.26949,0.23464,0.02582,0.02281,1.27955,5.7915,0.13166,-6.93889390390723e-18,0.24182,0.23975,1.03057,0.30942,0.02411,0.03085,-8.57161,-10.60277
"39","2020_Q2",64.6468253968254,"Down",391847000,-78909000,312938000,-237074000,-183980000,-41610000,-11484000,75864000,2492000,1651000,841000,78356000,78356000,-5563000,72793000,72793000,72793000,72793000,1927923000,1927923000,112248000,112248000,30219000,30219000,2070390000,106409000,2507798000,400689000,1873987000,228360000,2614207000,4684597000,124281000,22486000,89612000,112398000,84717000,236679000,240107000,109410000,130697000,985107000,1221786000,3462811000,4684597000,72793000,24256000,46029000,-11614000,131464000,-7133000,2694000,-30144000,725151000,859309000,859309000,-2117000,857192000,100120000,7.45e+08,86936000,0.79862,0.19361,0.18577,0.02102,0.01554,1.19429,8.74767,0.35283,0.15903,0.19959,0.19794,1.07441,0.23837,0.01637,0.01955,-11.81505,-15.59268
"40","2020_Q3",79.699375,"Up",397159000,-74040000,323119000,-241800000,-187864000,-39001000,-14935000,81319000,-4070000,-3596000,-474000,77249000,77249000,-16889000,60360000,60360000,60360000,60360000,3548405000,3548405000,113667000,113667000,28576000,28576000,3690648000,104316000,2684066000,437550000,2009117000,233027000,2788382000,6479030000,152102000,26864000,102474000,111263000,80358000,263365000,246344000,114672000,131672000,991344000,1254709000,5224321000,6479030000,60360000,27979000,39603000,-10760000,117182000,-5649000,-189719000,-5159000,1691207000,1618670000,1618670000,1812000,1620482000,109298000,7.45e+08,109778000,0.81358,0.20475,0.15198,0.01155,0.00932,1.81872,14.01343,0.24017,0.11499,0.16085,0.15995,1.05839,0.29255,0.00971,0.01766,-25.64919,-34.47417
"41","2020_Q4",87.6803125,"Up",425620000,-77865000,347755000,-270946000,-211956000,-40732000,-18258000,76809000,-7875000,-7537000,-338000,68934000,68934000,-10748000,58186000,58186000,58186000,58186000,3867805000,3867805000,105014000,105014000,34414000,34414000,4007233000,127280000,2662812000,414608000,2015079000,229234000,2790092000,6797325000,138616000,20266000,118094000,106495000,75001000,245111000,247743000,118136000,129607000,1234156000,1479267000,5318058000,6797325000,58186000,31676000,48246000,-31416000,106692000,-29355000,-36855000,-16145000,249544000,319381000,319381000,19000,319400000,108485000,986413000,58462000,0.81706,0.18046,0.13671,0.01094,0.00856,1.00474,16.34865,0.27816,0.14512,0.14859,0.14769,1.08693,0.1493,0.00888,0.00892,-26.56028,-37.51373
"42","2021_Q1",86.3327868852459,"Down",444393000,-78154000,366239000,-311029000,-251676000,-41573000,-17780000,55210000,-8769000,-7913000,-856000,46441000,46441000,-10652000,35789000,35789000,35789000,35789000,3755912000,3755912000,103949000,103949000,28651000,28651000,3888512000,126325000,2900583000,426745000,2235999000,232856000,3026908000,6915420000,223351000,15732000,191303000,107499000,74851000,330850000,222496000,98273000,124223000,1209211000,1540061000,5375359000,6915420000,35789000,33033000,22042000,39904000,130768000,-6210000,-240283000,-5716000,-3605000,-113120000,-113120000,1227000,-111893000,88243000,986715000,132589000,0.82413,0.12424,0.08053,0.00666,0.00518,3.70474,11.7531,0.2865,0.14268,0.09144,0.09085,1.13545,0.33877,0.00544,0.02014,-31.38149,-50.15753
"43","2021_Q2",86.4487301587302,"Up",457697000,-88748000,368949000,-220956000,-202537000,-85932506.4144526,-18419000,147993000,-7928000,-7878000,-50000,140065000,93281000,-19069000,74212000,74212000,74212000,74212000,3690296000,3690296000,109798000,109798000,22233000,22233000,3822327000,239480000,2880164000,450341000,2210976000,215214000,3119644000,6941971000,172507000,16870000,126880000,117628000,89696000,290135000,217893000,111468000,106425000,1204911000,1495046000,5446925000,6941971000,74212000,35410000,45071000,-66840000,87853000,-133878000,-134320000,-27667000,-18543000,-65010000,-65010000,-606000,-65616000,183403000,987018000,1754000,0.8061,0.32334,0.16214,0.01362,0.01069,0.02363,13.17431,0.27448,0.14218,0.19492,0.19363,1.20216,0.00461,0.01116,0.00026,-14.73955,-18.26626
"44","2021_Q3",86.4371875,"Down",480333000,-89566000,390767000,-241183000,-222838000,-140823004.081924,-18345000,149584000,-7030000,-7877000,847000,142554000,93981000,-32833000,61148000,61148000,61148000,61148000,3674909000,3674909000,108269000,108269000,34753000,34753000,3817931000,239125000,3018558000,476179000,2294452000,244893000,3257683000,7075614000,207201000,16376000,165298000,121477000,92698000,328678000,232384000,102459000,129925000,1219709000,1548387000,5527227000,7075614000,61148000,33106000,46751000,-8569000,132436000,-2637000.00000003,-150470000,-794999.999999993,2405000.00000001,-15629000,-15629000,242000,-15387000,182690000,987325000,204317000,0.81353,0.31142,0.1273,0.01106,0.00864,3.34135,11.61602,0.28014,0.13954,0.16061,0.15955,1.26161,0.53665,0.00906,0.03028,-14.71117,-17.96706
"45","2021_Q4",83.91109375,"Down",499319000,-92597000,406722000,-412347000,-244726000,-148500000,-19121000,-5625000,-6397000,-7943000,1546000,-12022000,83335000,-19031000,64304000,64304000,64304000,64304000,3761587000,3761587000,115651000,115651000,37599000,37599000,3914837000,238866000,2977613000,447900000,2293514000,234224000,3216479000,7131316000,199008000,17487000,169693000,122509000,92631000,321517000,218743000,109587000,109156000,1206376000,1527893000,5603423000,7131316000,64304000,33874000,48816000,-48065000,98929000,-8396000,-12715000,-901000,1800000,88014000,88014000,-1336000,86678000,28249000,987633000,-9181000,0.81455,-0.01127,0.12878,0.01148,0.00902,-0.14277,12.17614,0.27267,0.13849,0.16387,0.16309,1.27241,-0.0234,0.00944,-0.00135,-98.19654,493.14738
"46","2022_Q1",66.3917741935484,"Down",506786000,-86330000,420456000,-280071000,-208617000,-52522000,-18932000,140385000,-7014000,-7923000,909000,133371000,133371000,-40471000,92900000,92900000,92900000,92900000,3827126000,3827126000,124817000,124817000,36182000,36182000,3988125000,271431000,2997315000,435662000,2321015000,235604000,3268746000,7256871000,216950000,22244000,163470000,121739000,95471000,338689000,218566000,111152000,107414000,1206510000,1545199000,5711672000,7256871000,92900000,37168000,51713000,-31268000,150513000,-43461000,-83838000,-4362000,-1341000,65334000,65334000,205000,65539000,177553000,987944000,143295000,0.82965,0.27701,0.18331,0.01626,0.0128,1.54247,11.77518,0.27053,0.13614,0.23674,0.23561,1.29144,0.36516,0.01343,0.02071,-15.99062,-20.22425
"47","2022_Q2",60.5696774193548,"Down",515825000,-95479000,420346000,-238050000,-221958000,198340494.751812,-16092000,182296000,-6854000,-7718000,864000,175442000,121421000,-32103000,89318000,89318000,89318000,89318000,3929097000,3929097000,134978000,134978000,36183000,36183000,4100258000,283718000,2973466000,409326000,2319785000,239320000,3257184000,7357442000,229826000,19191000,138260000,140369000,107749000,370195000,201692000,104264000,97428000,1189949000,1560144000,5797298000,7357442000,89318000,32190000,36635000,-27436000,130707000,-12401000,-12401000,-19459000,-15754000,102552000,102552000,-581000,101971000,214486000,988257000,206752000,0.8149,0.35341,0.17316,0.01541,0.01214,2.31479,11.07594,0.26912,0.13432,0.22754,0.22639,1.31408,0.52671,0.01278,0.02959,-13.7111,-16.13222
"48","2022_Q3",67.635,"Up",536308000,-100971000,435337000,-273567000,-258689000,654013984.255435,-14878000,161770000,-2056000,-3399000,1343000,159714000,108127000,-24654000,83473000,83473000,83473000,83473000,3964116000,3964116000,152173000,152173000,64472000,55194000,4180761000,298361000,2941626000,385245000,2314176000,237171000,3239987000,7420748000,209686000,32132000,175713000,140264000,104838000,349950000,197873000,101769000,96104000,1186445000,1536395000,5884353000,7420748000,83473000,31937000,42373000,-76391000,81392000,-38975000,-45306000,-296000,1184000,37270000,37270000,-2251000,35019000,193707000,988572000,102995000,0.81173,0.30164,0.15564,0.01419,0.01125,1.23387,11.94674,0.2611,0.13322,0.21221,0.2116,1.36346,0.26185,0.01181,0.01457,-15.36106,-18.39367
