"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","research_development","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","goodwill","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","other_short_term_liabilities","deferred_revenue_short_term","total_current_liabilities","other_long_term_liabilities","deferred_revenue_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"33","2018_Q3",16.1520634920635,"Up",13538000,-2611000,10927000,-14765000,-7395000,-7370000,-3838000,92000,174000,-82000,-3746000,-3746000,11000,-3735000,-3735000,-3735000,-3735000,53621000,53621000,9910000,9910000,1036000,1716000,1162000,66283000,3883000,5791000,3241000,2550000,9674000,75957000,11950000,3082000,8868000,4460000,4460000,16410000,6769000,4994000,1775000,7017000,23427000,380556000,-328026000,52530000,52530000,75957000,-3735000,265000,2478000,-6964000,-7956000,-1456000,-1456000,38921000,38921000,38682000,29270000,29270000,29270000,-3573000,248000,-12004000,0.80714,-0.2835,-0.27589,-0.0711,-0.04917,3.21392,4.03918,0.44597,0.00327,-0.07072,-0.07072,0.25635,0.99468,-0.2273,-0.06272,-0.20159,14.93787,13.90646
"34","2018_Q4",17.2604761904762,"Up",16946000,-3792000,13154000,-15260000,-7344000,-7916000,-2106000,120000,199000,-79000,-1986000,-1986000,-2000.00000000001,-1988000,-1988000,-1988000,-1988000,54225000,54225000,9308000,9308000,830000,4087000,2219000,68450000,4531000,5619000,3241000,2378000,10150000,78600000,13375000,2280000,11095000,4253000,4253000,17628000,6057000,4431000,1626000,6199000,23827000,384787000,-330014000,54773000,54773000,78600000,-1988000,309000,1794000,-1348000,-1233000,-601000,-601000,2460999.99999999,2460999.99999999,2399999.99999999,565999.999999993,565999.999999993,565999.999999993,-1797000,142000,-3744000,0.77623,-0.12428,-0.11731,-0.0363000000000001,-0.02529,1.8833,3.88303,0.43501,0.00181,-0.03707,-0.03707,0.31597,1.02129,-0.06981,-0.03261,-0.06141,30.09627,25.68044
"35","2019_Q1",19.4232786885246,"Up",16068000,-2392000,13676000,-14320000,-6806000,-7514000,-644000,157000,227000,-70000,-487000,-487000,26000,-461000,-461000,-461000,-461000,53039000,53039000,11551000,11551000,589000,3019000,1068000,68198000,4759000,6326000,3241000,3085000,11085000,79283000,13177000,3050000,10127000,4936000,4936000,18113000,4829000,3352000,1477000,4864000,22977000,386780000,-330474000,56306000,56306000,79283000,-461000,335000,329000,-923000,-720000,-693000,-693000,361000,361000,251000,-1162000,-1162000,-1162000,-309000,35000,-1951000,0.85113,-0.04008,-0.02869,-0.00819,-0.00581,4.2321,3.76514,0.40807,0.00044,-0.00854,-0.00854,0.29759,1.04284,-0.03613,-0.00754,-0.03189,171.53398,82.30435
"36","2019_Q2",19.2819047619048,"Down",15583000,-4391000,11192000,-16431000,-8415000,-8016000,-5239000,106000,231000,-125000,-5133000,-5133000,-3000,-5136000,-5136000,-5136000,-5136000,47322000,47322000,12604000,12604000,633000,3155000,1232000,63714000,4535000,32874000,3241000,29633000,37409000,101123000,15776000,2180000,13596000,1554000,1554000,18654000,31259000,3797000,27462000,31259000,49913000,386820000,-335610000,51210000,51210000,101123000,-5136000,319000,2925000,-959000,-2851000,-445000,-445000,775999.999999996,775999.999999996,-2082000,-5378000,-5378000,-5378000,-4920000,1324000,-6321000,0.71822,-0.3362,-0.32959,-0.10029,-0.05079,1.23072,3.41557,0.97467,0.01309,-0.09481,-0.09481,0.28767,0.94536,-0.11669,-0.06129,-0.07544,9.34918999999999,8.77992
"37","2019_Q3",15.73015625,"Down",12318000,-2772000,9546000,-16170000,-7896000,-8274000,-6624000,133000,219000,-86000,-6491000,-6491000,-16000,-6507000,-6507000,-6507000,-6507000,93421000,93421000,11814000,11814000,720000,4286000,1950000,110241000,5312000,31240000,3241000,27999000,36552000,146793000,10774000,2164000,8610000,5851000,5851000,17491000,30618000,3249000,27369000,30618000,48109000,440801000,-342117000,98684000,98684000,146793000,-6507000,374000,2779000,-1704000,-5058000,-812000,-812000,52067000,52067000,51933000,46063000,46063000,46063000,-6250000,866000,-8750000,0.77496,-0.53775,-0.52825,-0.06594,-0.04433,1.34471,6.30273,0.48751,0.0059,-0.1184,-0.1184,0.22413,1.79563,-0.15921,-0.04999,-0.06722,14.8088,13.97268
"38","2019_Q4",14.7975,"Down",21907000,-5067000,16840000,-16579000,-7869000,-8710000,261000,75000,479000,-404000,336000,336000,7000,343000,343000,343000,343000,92143000,92143000,12327000,12327000,397000,5063000,1553000,109930000,6241000,30025000,3241000,26784000,36266000,146196000,12620000,1743000,10877000,1288000,1288000,14923000,28765000,1988000,26777000,28765000,43688000,444282000,-341774000,102508000,102508000,146196000,343000,425000,2834000,-4592000,-990000,-2056000,-1994000,1778000,1778000,1688000,-1296000,-1296000,-1296000,685999.999999999,1015000,-5969000,0.7687,0.01191,0.01566,0.00335000000000001,0.00235,-17.40233,7.36648,0.42619,0.00694,0.00588000000000001,0.00588,0.3756,1.7575,-0.10234,0.00259,-0.04512,-132.83965,-349.14943
"39","2020_Q1",13.9761290322581,"Down",18650000,-3402000,15248000,-16195000,-7322000,-8873000,-947000,317000,358000,-41000,-630000,-630000,-5000,-635000,-635000,-635000,-635000,90464000,90464000,9063000,9063000,371000,14307000,2520000,114205000,6282000,28586000,3241000,25345000,34868000,149073000,14164000,2621000,11543000,57000,57000,15388000,28168000,1987000,26181000,28168000,43556000,447926000,-342409000,105517000,105517000,149073000,-635000,452000,-3950000,472000,-3661000,-414000,-414000,2478000,2478000,2422000,-1653000,-1653000,-1653000,-495000,1167000,-432000,0.81759,-0.05078,-0.03405,-0.00602,-0.00426,0.68031,7.42169,0.41279,0.00783,-0.01083,-0.01083,0.31801,1.79922,-0.00737,-0.00471,-0.0032,180.39798,94.29461
"40","2020_Q2",11.2996825396825,"Down",14670000,-2541000,12129000,-19956000,-8989000,-10967000,-7827000,180000,266000,-86000,-7647000,-7647000,-5000,-7652000,-7652000,-7652000,-7652000,87293000,87293000,8384000,8384000,701000,18184000,2989000,114562000,6647000,28263000,3241000,25022000,34910000,149472000,14488000,2441000,12047000,5970000,5970000,22282000,28124000,2566000,25558000,28124000,50406000,449127000,-350061000,99066000,99066000,149472000,-7652000,438000,98000,5691000,-1425000,-761000,-761000,39000,39000,-1019000,-3205000,-3205000,-3205000,-7389000,1824000,-2454000,0.82679,-0.53354,-0.52161,-0.07724,-0.05119,0.3207,5.14146,0.50881,0.0122,-0.12994,-0.12994,0.24912,1.68228,-0.04167,-0.05931,-0.01902,11.5670600000001,10.91976
"41","2020_Q3",12.4565625,"Up",14967000,-1699000,13268000,-19376000,-8523000,-10853000,-6108000,71000,57000,14000,-6037000,-6037000,-307000,-6344000,-6344000,-6344000,-6344000,75615000,75615000,14035000,14035000,686000,16162000,3131000,106498000,6822000,28463000,3241000,25222000,35285000,141783000,14559000,2637000,11922000,1903000,1903000,18944000,28053000,3142000,24911000,28053000,46997000,451191000,-356405000,94786000,94786000,141783000,-6344000,462000,-912000,-3279000,-10073000,-729000,-1729000,158000,158000,116000,-11686000,-11686000,-11686000,-5646000,2482000,-9347000,0.88648,-0.4081,-0.42387,-0.06693,-0.04474,1.47336,5.62173,0.49582,0.01751,-0.10773,-0.10773,0.25416,1.6096,-0.15873,-0.05062,-0.07458,12.95306,11.97331
"42","2020_Q4",16.459375,"Up",18386000,-3642000,14744000,-20805000,-8795000,-12010000,-6061000,-14000,39000,-53000,-6075000,-6075000,-19000,-6094000,-6094000,-6094000,-6094000,71442000,71442000,10711000,10711000,737000,20043000,3450000,102933000,7289000,27797000,3241000,24556000,35086000,138019000,16346000,2499000,13847000,1596000,1596000,20496000,26722000,2460000,24262000,26722000,47218000,453300000,-362499000,90801000,90801000,138019000,-6094000,503000,8910000,-6793000,-3474000,-770000,-770000,342000,342000,125000.000000004,-4119000,-4119000,-4119000,-5558000,2554000,-13102000,0.80191,-0.32965,-0.33145,-0.06711,-0.04415,2.14998,5.0221,0.52002,0.0185,-0.10332,-0.10332,0.31171,1.53942,-0.22213,-0.05075,-0.10911,12.39439,11.36578
"43","2021_Q1",23.3945901639344,"Up",21033000,-5860000,15173000,-19097000,-8742000,-10355000,-3924000,12000,43000,-31000,-3912000,-3912000,-8000,-3920000,-3920000,-3920000,-3920000,149043000,149043000,13894000,13894000,964000,20522000,3416000,184423000,9675000,27548000,3241000,24307000,37223000,221646000,20530000,2970000,17560000,1824000,1824000,24981000,4238000,2967000,1271000,26562000,51543000,536522000,-366419000,170103000,170103000,221646000,-3920000,547000,-7332000,9213000,-1492000,-1488000,-2488000,87034000,87034000,81586000,77606000,77606000,77606000,-3377000,24951000,4356000,0.72139,-0.18656,-0.18637,-0.02304,-0.01769,-1.11122,7.38253,0.30301,0.11257,-0.06481,-0.06481,0.34772,2.81218,0.07201,-0.01967,0.02186,36.74622,31.62385
"44","2021_Q2",21.6696825396825,"Down",18032000,-4218000,13814000,-22969000,-11398000,-11571000,-9155000,89000,177000,-88000,-9066000,-9066000,-2000.00000000001,-9068000,-9068000,-9068000,-9068000,139674000,139674000,11368000,11368000,1029000,21492000,3390000,173563000,10396000,28211000,3241000,24970000,38607000,212170000,18038000,3569000,14469000,1897000,1897000,22553000,25878000,2900000,22978000,25878000,48431000,539226000,-375487000,163739000,163739000,212170000,-9068000,659000,4223000,-2254000,-6440000,-2533000,-2533000,1223000,1223000,17000,-8956000,-8956000,-8956000,-8496000,2618000,-13281000,0.76608,-0.50771,-0.50288,-0.05538,-0.04274,1.4646,7.69578,0.29578,0.01234,-0.14105,-0.14105,0.28048,2.54688,-0.20658,-0.04717,-0.06909,16.13183,14.97062
"45","2021_Q3",23.66484375,"Up",25453000,-4318000,21135000,-25621000,-12795000,-12826000,-4486000,230000,205000,25000,-4256000,-4256000,-9000,-4265000,-4265000,-4265000,-4265000,129432000,129432000,19488000,19488000,1078000,22397000,3578000,172395000,11232000,28683000,3241000,25442000,39915000,212310000,19105000,3164000,15941000,2313000,2313000,24090000,25447000,3166000,22281000,25447000,49537000,542525000,-379752000,162773000,162773000,212310000,-4265000,716000,-5699000,953000,-8295000,-1782000,-2412000,456000,456000,456000,-10251000,-10251000,-10251000,-3770000,2672000,-4590000,0.83035,-0.17625,-0.16756,-0.0262,-0.02009,1.0762,7.15629,0.30433,0.01259,-0.06634,-0.06634,0.39591,2.53186,-0.0714,-0.02234,-0.02405,33.62334,28.2568
"46","2021_Q4",32.88984375,"Up",36769000,-6867000,29902000,-28572000,-13407000,-15165000,1330000,1024000,41000,983000,2354000,2354000,-110000,2244000,2244000,2244000,2244000,119189000,119189000,25084000,25084000,1084000,28755000,4787000,174112000,16124000,37315000,3241000,34074000,53439000,227551000,28249000,3281000,24968000,2449000,2449000,33480000,4798000,3747000,1051000,25016000,58496000,546563000,-377508000,169055000,169055000,227551000,2244000,768000,-9357000,6153000,-192000,-3997000,-10997000,1021000,1021000,868000,-10321000,-10321000,-10321000,2098000,2.3e+07,4364000,0.81324,0.03617,0.06103,0.01327,0.00986,1.94474,5.20048,0.34602,0.10108,0.03482,0.03482,0.57049,2.62296,0.06771,0.0114,0.02217,-45.84795,-72.32256
"47","2022_Q1",20.7098387096774,"Down",24500000,-6806000,17694000,-28080000,-11723000,-16357000,-10386000,264000,36000,228000,-10122000,-10122000,-68000,-10190000,-10190000,-10190000,-10190000,116797000,116797000,24953000,24953000,1160000,18978000,5700000,161888000,21345000,49148000,3241000,45907000,84495000,246383000,26692000,2995000,23697000,2586000,2586000,33371000,5060000,3749000,1311000,48621000,81992000,552089000,-387698000,164391000,164391000,246383000,-10190000,970000,13200000,-3320000,660000,-5480000,-5480000,2480000,2480000,2426000,-2394000,-2394000,-2394000,-9416000,47654000,-18148000,0.7222,-0.42392,-0.41592,-0.06199,-0.04136,1.78096,4.85116,0.49876,0.19341,-0.15639,-0.1313,0.37602,2.52304,-0.27853,-0.04694,-0.08359,7.34314,6.65733
"48","2022_Q2",12.5398387096774,"Down",35340000,-8521000,26819000,-35205000,-15705000,-19500000,-8386000,39000,42000,-3000,-8347000,-8347000,-8999.99999999999,-8356000,-8356000,-8356000,-8356000,93844000,93844000,25197000,25197000,1560000,24268000,4365000,144869000,23474000,66931000,3241000,63690000,90405000,235274000,22964000,1949000,21015000,1604000,1604000,29495000,4790000,3464000,1326000,47144000,76639000,554689000,-396054000,158635000,158635000,235274000,-8356000,1215000,-1677000,-2368000,-11186000,-5082000,-10082000,181000,181000,-1280000,-22548000,-22548000,-22548000,-7171000,47281000,-14612000,0.75889,-0.23729,-0.23645,-0.05267,-0.03552,1.74868,4.91165,0.48312,0.20096,-0.12872,-0.12872,0.54441,2.44377,-0.2251,-0.03966,-0.06935,6.49324000000001,5.55247
"49","2022_Q3",8.0434375,"Down",38406000,-11270000,27136000,-29745000,-10655000,-19090000,-2609000,77000,140000,-63000,-2532000,-2532000,-108000,-2640000,-2640000,-2640000,-2640000,90004000,90004000,29200000,29200000,1718000,24361000,3985000,145283000,23694000,46691000,3241000,43450000,89687000,234970000,22681000,2015000,20666000,2230000,2230000,30014000,45497000,3151000,42346000,45497000,75511000,558153000,-398694000,159459000,159459000,234970000,-2640000,1341000,-389000,-493000,-2181000,-1920000,-2220000,251000,251000,233000,-4168000,-4168000,-4168000,-1268000,5103000,-3573000,0.70656,-0.06793,-0.06874,-0.01656,-0.01124,1.35341,4.84051,0.47354,0.02172,-0.04044,-0.04044,0.58826,2.44239,-0.05473,-0.01257,-0.01701,66.95662,32.54159
