"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","depreciation_amortization","other_operating_expenses","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","property_plant_equipment","accumulated_depreciation","other_long_term_assets","goodwill","investments_in_affiliates","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","short_term_debt","short_term_borrowings","current_portion_of_long_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","long_term_borrowings","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","common_stock","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","other_non_cash_adjustments","change_in_working_capital","change_in_accounts_receivable","change_in_inventories","change_in_accounts_payable","change_in_other","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","acquisition_of_fixed_assets_intangibles","purchase_of_fixed_assets","net_change_in_long_term_investment","decrease_in_long_term_investment","increase_in_long_term_investment","other_investing_activities","net_cash_from_investing_activities","dividends_paid","cash_from_repayment_of_debt","cash_from_repayment_of_short_term_debt_net","cash_from_repayment_of_long_term_debt_net","repayments_of_long_term_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","dividends_per_share","piotroski_f_score","return_on_invested_capital","cash_return_on_invested_capital","dividend_payout_ratio","net_debt_ebitda","net_debt_ebit"
"27","2016_Q4",57.4084126984127,"Down",3.132e+09,-6.77e+08,2.455e+09,-1.31e+09,-4e+08,-9.1e+08,1.145e+09,-1.87e+08,-2.5e+08,6.3e+07,9.58e+08,9.58e+08,-2.3e+08,7.28e+08,7.28e+08,-3.8e+07,6.9e+08,6.9e+08,2.51e+08,2.51e+08,1.259e+09,1.259e+09,1.516e+09,7.73e+08,6.26e+08,3.799e+09,4.8888e+10,6.8282e+10,-1.9394e+10,1.6912e+10,6.405e+09,1.498e+09,7.914e+09,6.58e+10,6.9599e+10,1.485e+09,6.85e+08,6.028e+09,3.097e+09,2.931e+09,1.514e+09,1.514e+09,9.027e+09,2.8707e+10,2.8707e+10,1.5673e+10,8.675e+09,6.998e+09,4.438e+10,5.3407e+10,8.592e+09,8.592e+09,6.837e+09,-4.71e+08,1.4958e+10,1.6192e+10,6.9599e+10,7.28e+08,4.72e+08,1.5e+08,1.5e+08,1.8e+07,-6.3e+07,-7e+06,3e+06,8.5e+07,1.368e+09,-1.397e+09,-1.397e+09,-1.397e+09,-1.3e+07,3e+08,-3.13e+08,4.78e+08,-5.304e+09,-4.38e+08,3.69e+09,5.59e+08,3.131e+09,-6.69e+08,6.21e+08,6.21e+08,-6.3e+07,3.81e+09,-1.26e+08,-1.26e+08,-1.26e+08,1.617e+09,3.4735e+10,4.68e+08,0.78384,0.36558,0.22031,0.04261,0.00991,0.67826,0.42085,3.29836,0.49907,1.10241,1.10224,5.00399,23.89839,0.74772,0.69979,4,0.01694,0.00703,0.63478,21.32591,30.11703
"28","2017_Q1",59.5045161290323,"Up",3.086e+09,-7.41e+08,2.345e+09,-1.741e+09,-4.47e+08,-1.294e+09,6.04e+08,-5.5e+07,-2.95e+08,2.4e+08,5.49e+08,5.85e+08,-9.4e+07,4.91e+08,4.91e+08,-3.4e+07,4.57e+08,4.57e+08,2.61e+08,2.61e+08,1.523e+09,1.523e+09,1.524e+09,9.4e+08,7.46e+08,4.248e+09,4.9964e+10,6.9556e+10,-1.9592e+10,1.7398e+10,6.399e+09,1.561e+09,7.742e+09,6.7362e+10,7.161e+10,1.798e+09,1e+09,4.864e+09,3.155e+09,1.709e+09,1.453e+09,1.453e+09,8.115e+09,3.0231e+10,3.0231e+10,1.6424e+10,8.602e+09,5.71e+09,4.6655e+10,5.477e+10,8.55e+09,8.55e+09,6.854e+09,-7.99e+08,1.4605e+10,1.684e+10,7.161e+10,4.91e+08,5.24e+08,2.23e+08,2.23e+08,-4.73e+08,-3.05e+08,1.1e+07,1.86e+08,-3.65e+08,7.65e+08,-1.568e+09,-1.568e+09,-1.568e+09,-2.6e+07,4.13e+08,-4.39e+08,-7.1e+07,-1.672e+09,-4.4e+08,4.2e+08,-1.131e+09,1.551e+09,-4.41e+08,1.045e+09,1.045e+09,-7.2e+07,9.53e+08,4.6e+07,4.6e+07,4.6e+07,1.128e+09,3.5095e+10,-8.19e+08,0.75988,0.19572,0.14809,0.02714,0.00638,-1.79212,0.52348,3.25238,0.49009,0.72829,0.72864,4.91793,23.2749,-1.30518,0.7012,7,0.01312,-0.01198,0.9628,30.88121,57.67219
"29","2017_Q2",62.4261904761905,"Up",3.384e+09,-8.63e+08,2.521e+09,-1.442e+09,-4.69e+08,-9.73e+08,1.079e+09,-1.3e+08,-2.92e+08,1.62e+08,9.49e+08,9.49e+08,-2.75e+08,6.74e+08,6.74e+08,-4.2e+07,6.32e+08,6.32e+08,4.86e+08,4.86e+08,1.361e+09,1.361e+09,1.453e+09,9.85e+08,9.85e+08,4.285e+09,5.0716e+10,7.0728e+10,-2.0012e+10,1.7851e+10,6.399e+09,1.713e+09,9.739e+09,6.8567e+10,7.2852e+10,1.503e+09,7.24e+08,5.018e+09,2.627e+09,2.391e+09,1.321e+09,1.321e+09,7.842e+09,3.1096e+10,3.1096e+10,1.6733e+10,8.897e+09,7.836e+09,4.7829e+10,5.5671e+10,8.629e+09,8.629e+09,7.023e+09,-7.35e+08,1.4917e+10,1.7181e+10,7.2852e+10,6.74e+08,5.48e+08,1.82e+08,1.82e+08,-4.4e+07,1.36e+08,6.1e+07,-1.4e+08,-1.01e+08,1.36e+09,-1.529e+09,-1.529e+09,-1.529e+09,-3e+07,7.56e+08,-7.86e+08,-1.42e+08,-1.701e+09,-4.74e+08,1.021e+09,-5.28e+08,1.549e+09,-4.01e+08,7.9e+07,7.9e+07,-6.7e+07,5.59e+08,2.18e+08,2.18e+08,2.18e+08,1.627e+09,3.6114e+10,3.29e+08,0.74498,0.31885,0.18676,0.03678,0.00868,0.52057,0.54642,3.24027,0.49572,1.00621,1.00621,5.38768,23.7494,0.5238,0.75466,6,0.01579,0.0047,0.75,21.89797,33.01946
"30","2017_Q3",62.3334920634921,"Down",2.813e+09,-5.98e+08,2.215e+09,-1.462e+09,-4.67e+08,-9.95e+08,7.53e+08,-2e+08,-3.08e+08,1.08e+08,5.53e+08,5.53e+08,-1.36e+08,4.17e+08,4.17e+08,-2.7e+07,3.9e+08,3.9e+08,2.6e+08,2.6e+08,1.242e+09,1.242e+09,1.469e+09,9.4e+08,9.4e+08,3.911e+09,5.1748e+10,7.2163e+10,-2.0415e+10,1.8243e+10,6.399e+09,1.808e+09,1.0036e+10,6.9991e+10,7.3902e+10,1.42e+09,6.95e+08,6.883e+09,2.833e+09,4.05e+09,1.199e+09,1.199e+09,9.502e+09,3.0155e+10,3.0155e+10,1.704e+10,9.099e+09,7.941e+09,4.7195e+10,5.6697e+10,8.717e+09,8.717e+09,6.938e+09,-6.82e+08,1.4973e+10,1.7205e+10,7.3902e+10,4.17e+08,5.4e+08,1.76e+08,1.76e+08,-1.45e+08,1.71e+08,-4e+07,-7.1e+07,-2.05e+08,9.88e+08,-1.499e+09,-1.499e+09,-1.499e+09,-7e+06,3.63e+08,-3.7e+08,-1.02e+08,-1.608e+09,-4.75e+08,8.97e+08,2.06e+08,6.91e+08,-8.9e+07,7.7e+07,7.7e+07,-9.5e+07,4.04e+08,-2.16e+08,-2.16e+08,-2.16e+08,1.293e+09,3.7038e+10,-2.15e+08,0.78742,0.26769,0.13864,0.02267,0.00528,-0.55128,0.4116,3.29538,0.50118,0.61983,0.61983,4.47076,23.79688,-0.3417,0.75493,4,0.01213,-0.00302,1.21795,28.44393,48.84197
"31","2017_Q4",65.5393650793651,"Up",3.179e+09,-6.83e+08,2.496e+09,-1.344e+09,-4.85e+08,-8.59e+08,1.152e+09,-1.84e+08,-3.05e+08,1.21e+08,9.68e+08,9.68e+08,-2.72e+08,6.96e+08,6.96e+08,-3.1e+07,6.65e+08,6.65e+08,2.27e+08,2.27e+08,1.292e+09,1.292e+09,1.527e+09,9.48e+08,9.48e+08,3.994e+09,5.2811e+10,7.361e+10,-2.0799e+10,1.8586e+10,6.405e+09,1.895e+09,1.0286e+10,7.1397e+10,7.5391e+10,1.6e+09,7.57e+08,5.848e+09,3.06e+09,2.788e+09,1.111e+09,1.111e+09,8.559e+09,3.0886e+10,3.0886e+10,1.7444e+10,9.379e+09,8.065e+09,4.833e+10,5.6889e+10,9.789e+09,9.789e+09,7.119e+09,-6.28e+08,1.628e+10,1.8502e+10,7.5391e+10,6.96e+08,5.61e+08,1.62e+08,1.62e+08,-9.5e+07,-6e+07,-5.5e+07,5.3e+07,-3.3e+07,1.324e+09,-1.437e+09,-1.437e+09,-1.437e+09,-2.2e+07,3.77e+08,-3.99e+08,-1.05e+08,-1.564e+09,-4.86e+08,-3.07e+08,2.32e+08,-5.39e+08,-1.289e+09,1.077e+09,1.077e+09,-6.7e+07,2.17e+08,-2.3e+07,-2.3e+07,-2.3e+07,1.713e+09,3.6734e+10,4.53e+08,0.78515,0.36238,0.20919,0.03594,0.00882,0.6812,0.46664,3.07475,0.48725,1.03502,1.03502,4.94786,25.33852,0.70506,0.75642,6,0.01584,0.00623,0.73083,21.31173,31.6901
"32","2018_Q1",60.3265573770492,"Down",3.21e+09,-8.64e+08,2.346e+09,-1.525e+09,-4.84e+08,-1.041e+09,8.21e+08,-3.33e+08,-3e+08,-3.3e+07,4.88e+08,6.2e+08,7.13e+08,1.333e+09,1.333e+09,-2.1e+07,1.312e+09,1.312e+09,1.2e+08,1.2e+08,1.66e+09,1.66e+09,1.477e+09,1.077e+09,8.17e+08,4.334e+09,5.3758e+10,7.4823e+10,-2.1065e+10,1.8493e+10,6.405e+09,1.544e+09,8.481e+09,7.2251e+10,7.6585e+10,1.723e+09,8.75e+08,6.376e+09,3.298e+09,3.078e+09,1.537e+09,1.537e+09,9.636e+09,3.0948e+10,3.0948e+10,1.6631e+10,4.523e+09,9.948e+09,4.7579e+10,5.7215e+10,9.865e+09,9.865e+09,7.936e+09,-6.59e+08,1.7142e+10,1.937e+10,7.6585e+10,1.333e+09,5.53e+08,-5.66e+08,-5.66e+08,-4.9e+08,-3.5e+08,4.9e+07,6.9e+07,-2.58e+08,8.3e+08,-1.444e+09,-1.444e+09,-1.444e+09,-5e+07,3.35e+08,-3.85e+08,1.2e+07,-1.207e+09,-4.96e+08,6.6e+08,5.3e+07,6.07e+08,2.07e+08,1.55e+08,1.55e+08,-5.8e+07,2.61e+08,-1.16e+08,-1.16e+08,-1.16e+08,1.374e+09,3.7324e+10,-1.273e+09,0.73084,0.25576,0.40872,0.06773,0.01713,-0.97027,0.44977,2.95379,0.48735,2.03663,2.03663,4.98292,26.60975,-1.97609,0.76995,4,0.02466,-0.01736,0.37805,27.07715,45.31547
"33","2018_Q2",53.85671875,"Down",3.466e+09,-1.098e+09,2.368e+09,-1.493e+09,-4.98e+08,-9.95e+08,8.75e+08,-2.14e+08,-3.14e+08,1e+08,6.61e+08,6.61e+08,-1.35e+08,5.26e+08,5.26e+08,-2.3e+07,5.03e+08,5.03e+08,1.89e+08,1.89e+08,1.615e+09,1.615e+09,1.367e+09,1.11e+09,1.11e+09,4.281e+09,5.4129e+10,7.5632e+10,-2.1503e+10,1.8944e+10,6.405e+09,1.638e+09,1.0901e+10,7.3073e+10,7.7354e+10,7.02e+08,7.02e+08,6.316e+09,2.713e+09,3.603e+09,2.321e+09,2.321e+09,9.339e+09,3.112e+10,3.112e+10,1.6853e+10,4.719e+09,1.2134e+10,4.7973e+10,5.7312e+10,1.0316e+10,1.0316e+10,8.924e+09,-1.551e+09,1.7689e+10,2.0042e+10,7.7354e+10,5.26e+08,5.72e+08,3.15e+08,3.15e+08,-2.82e+08,4.7e+07,1.04e+08,-5.7e+07,-3.76e+08,1.131e+09,-1.11e+09,-1.11e+09,-1.11e+09,-3.4e+07,4.19e+08,-4.53e+08,1.8e+07,-1.126e+09,-5.44e+08,1.79e+08,4.09e+08,-2.3e+08,-1.18e+09,5.81e+08,5.81e+08,-7.2e+07,1.44e+08,1.49e+08,1.49e+08,1.49e+08,1.447e+09,3.7436e+10,1.9e+08,0.68321,0.25245,0.14512,0.0251,0.0065,0.37773,0.4584,2.85959,0.48396,0.77325,0.77325,5.32821,27.19293,0.29208,0.83628,4,0.01409,0.00256,1.08151,25.74084,42.568
"34","2018_Q3",59.2336507936508,"Up",3.088e+09,-7.1e+08,2.378e+09,-1.501e+09,-4.63e+08,-1.038e+09,8.77e+08,-1.76e+08,-3.61e+08,1.85e+08,7.01e+08,5.66e+08,-8.8e+07,4.78e+08,4.78e+08,-2.9e+07,4.49e+08,4.49e+08,1.9e+08,1.9e+08,1.51e+09,1.51e+09,1.429e+09,1.481e+09,1.481e+09,4.61e+09,5.4604e+10,7.6458e+10,-2.1854e+10,1.8861e+10,6.405e+09,1.71e+09,1.0746e+10,7.3465e+10,7.8075e+10,6.6e+08,6.6e+08,5.695e+09,2.745e+09,2.95e+09,2.563e+09,2.563e+09,8.918e+09,3.2115e+10,3.2115e+10,1.7006e+10,4.844e+09,1.2162e+10,4.9121e+10,5.8039e+10,1.0782e+10,1.0782e+10,8.82e+09,-1.538e+09,1.8064e+10,2.0036e+10,7.8075e+10,4.78e+08,5.34e+08,2.53e+08,2.53e+08,-7.9e+07,1.11e+08,-7.3e+07,-9.4e+07,-2.3e+07,1.186e+09,-9.87e+08,-9.87e+08,-9.87e+08,-1.2e+07,4.25e+08,-4.37e+08,-4.7e+07,-1.046e+09,-5.45e+08,3.22e+08,5.32e+08,-2.1e+08,-1.66e+09,80999999.9999999,8.1e+07,2.2e+07,-1.2e+08,2e+07,2e+07,2e+07,1.411e+09,3.781e+10,4.33e+08,0.77008,0.284,0.1454,0.02241,0.00575,0.96437,0.51693,2.89674,0.48428,0.68781,0.68749,4.73039,27.67157,0.6633,0.83487,5,0.01328,0.00578,1.21381,26.66194,42.89624
"35","2018_Q4",61.8287301587302,"Up",3.451e+09,-8.16e+08,2.635e+09,-1.62e+09,-5.26e+08,-1.094e+09,1.015e+09,-5e+06,-3.78e+08,3.73e+08,1.01e+09,1.145e+09,-2.62e+08,8.83e+08,8.83e+08,-2.9e+07,8.54e+08,8.54e+08,3.1e+08,3.1e+08,1.539e+09,1.539e+09,1.455e+09,2.398e+09,2.398e+09,5.702e+09,5.4185e+10,7.619e+10,-2.2005e+10,1.9195e+10,6.41e+09,1.858e+09,1.0927e+10,7.338e+10,7.9082e+10,5.87e+08,5.87e+08,6.036e+09,2.935e+09,3.101e+09,2.589e+09,2.589e+09,9.212e+09,3.2188e+10,3.2188e+10,1.7256e+10,5.079e+09,1.2177e+10,4.9444e+10,5.8656e+10,1.0862e+10,1.0862e+10,9.128e+09,-1.52e+09,1.847e+10,2.0426e+10,7.9082e+10,8.83e+08,6e+08,-1.89e+08,-1.89e+08,1e+08,-2.9e+07,-6.8e+07,-1.6e+07,2.13e+08,1.394e+09,-1.031e+09,-1.122e+09,-1.122e+09,-1.7e+07,4.57e+08,-4.74e+08,-2.58e+08,-1.306e+09,-5.46e+08,4.91e+08,2.55e+08,2.36e+08,-1.764e+09,7.5e+07,7.5e+07,-7.5e+07,-5.5e+07,3.3e+07,3.3e+07,3.3e+07,1.615e+09,3.8224e+10,9.46e+08,0.76355,0.29412,0.24746,0.04181,0.0108,1.10773,0.61898,2.87163,0.48335,1.30601,1.30402,5.27757,28.24591,1.4467,0.83499,7,0.01844,0.01246,0.63934,23.47616,37.35369
"36","2019_Q1",62.5880327868852,"Up",1.194e+09,-7.89e+08,4.05e+08,-4.12e+08,-1.73e+08,-2.39e+08,-7e+06,1e+06,-2.26e+08,2.27e+08,-6e+06,2.47e+08,-3.7e+07,2.1e+08,6.62e+08,-2.1e+07,6.41e+08,6.41e+08,2.68e+08,2.68e+08,1.749e+09,1.749e+09,1.418e+09,1.726e+09,1.461e+09,5.161e+09,5.456e+10,7.6578e+10,-2.2018e+10,1.8193e+10,6.41e+09,1.278e+09,8.556e+09,7.2753e+10,7.7914e+10,1.75e+09,9.14e+08,3.958e+09,3.34e+08,3.624e+09,1.939e+09,1.939e+09,7.647e+09,3.1144e+10,3.1144e+10,1.7075e+10,5.116e+09,9.631e+09,4.8219e+10,5.5866e+10,1.2588e+10,1.2588e+10,9.219e+09,-1.7e+09,2.0107e+10,2.2048e+10,7.7914e+10,6.62e+08,5.74e+08,-1.94e+08,-1.94e+08,2e+07,-2.39e+08,8e+06,2.34e+08,1.7e+07,1.062e+09,1.265e+09,-1.186e+09,-1.186e+09,-2.7e+07,5.03e+08,-5.3e+08,-1.18e+08,1.12e+09,-5.5e+08,-3.203e+09,-4.087e+09,8.84e+08,-1.078e+09,1.724e+09,1.724e+09,-1.49e+08,-2.178e+09,3999999.99999999,3999999.99999999,3999999.99999999,5.67e+08,3.5102e+10,1.889e+09,0.3392,-0.00585999999999992,0.53685,0.02907,0.00823,2.94696,0.67491,2.53384,0.45052,0.9718,0.9696,1.81019,30.48363,2.86386,0.83384,5,0.01605,0.02545,0.85803,61.43563,-4976.28571
"37","2019_Q2",66.0234920634921,"Up",3.858e+09,-1.56e+09,2.298e+09,-1.945e+09,-6.51e+08,-1.294e+09,3.53e+08,-8.1e+07,-4.69e+08,3.88e+08,2.72e+08,-5.63e+08,-1.14e+08,-6.77e+08,-6.77e+08,-3e+06,-6.8e+08,-6.8e+08,4.22e+08,4.22e+08,2.236e+09,2.236e+09,1.657e+09,1.66e+09,1.66e+09,5.975e+09,6.6567e+10,9.3485e+10,-2.6918e+10,2.7512e+10,8.96e+09,1.433e+09,1.6232e+10,9.4079e+10,1.00054e+11,1.877e+09,9.2e+08,5.492e+09,2.412e+09,3.08e+09,2.407e+09,2.407e+09,9.776e+09,3.6861e+10,3.6861e+10,2.5818e+10,6.108e+09,1.971e+10,6.2679e+10,7.2455e+10,2.0834e+10,2.0834e+10,7.806e+09,-1.731e+09,2.6909e+10,2.7599e+10,1.00054e+11,-6.77e+08,7.34e+08,1.534e+09,1.534e+09,-4.2e+08,1.53e+08,5.3e+07,-2.84e+08,-3.42e+08,1.171e+09,-8.77e+08,-1.031e+09,-1.031e+09,1.2e+07,5.06e+08,-4.94e+08,3.13e+08,-5.52e+08,-7.33e+08,1.75e+08,1.792e+09,-1.617e+09,-2.217e+09,2.47e+08,2.47e+08,-7.2e+07,-3.83e+08,2.36e+08,2.36e+08,2.36e+08,1.087e+09,4.2353e+10,-9.6e+07,0.59565,0.0915,-0.17626,-0.02464,-0.0068,0.14118,0.61119,2.62528,0.4233,-0.8574,-0.8574,4.86446,33.92889,-0.12104,0.92422,4,0.00055,-0.001,-1.07794,38.57498,118.7847
"38","2019_Q3",67.82453125,"Up",3.97e+09,-9.69e+08,3.001e+09,-2.228e+09,-6.61e+08,-1.567e+09,7.73e+08,-3.6e+08,-4.52e+08,91999999.9999999,4.13e+08,1.01e+08,-4.3e+07,57999999.9999999,5.8e+07,-4e+06,5.4e+07,5.4e+07,3.82e+08,3.82e+08,1.908e+09,1.908e+09,1.724e+09,1.713e+09,1.713e+09,5.727e+09,6.7141e+10,9.4873e+10,-2.7732e+10,2.7954e+10,8.985e+09,1.467e+09,1.5063e+10,9.5095e+10,1.00822e+11,1.91e+09,7.87e+08,4.911e+09,2.547e+09,2.364e+09,2.682e+09,2.682e+09,9.503e+09,3.6648e+10,3.6648e+10,2.629e+10,6.185e+09,1.7493e+10,6.2938e+10,7.2441e+10,2.066e+10,2.066e+10,7.124e+09,-1.683e+09,2.7697e+10,2.8381e+10,1.00822e+11,5.8e+07,7.38e+08,5.8e+07,5.8e+07,2.88e+08,3.39e+08,-6.7e+07,-1.62e+08,1.78e+08,1.142e+09,-1.191e+09,-1.233e+09,-1.233e+09,-1.8e+07,3.76e+08,-3.94e+08,-71999999.9999999,-1.281e+09,-7.36e+08,-8.28e+08,1.35e+08,-9.63e+08,-1.161e+09,7.8e+07,7.8e+07,1.558e+09,7.2e+07,-6.7e+07,-6.7e+07,-6.7e+07,1.511e+09,4.1559e+10,6.51e+08,0.75592,0.19471,0.0136,0.00190000000000001,0.000540000000000001,12.05556,0.60265,2.55245,0.4122,0.0672900000000002,0.0672899999999997,4.94704,32.52461,0.81121,0.91713,6,0.00821,0.00677,13.62963,27.25149,53.2690799999999
"39","2019_Q4",72.4846875,"Up",2.678e+09,-9.15e+08,1.763e+09,-1.062e+09,-4.01e+08,-6.61e+08,7.01e+08,-1.66e+08,-2.12e+08,4.6e+07,5.35e+08,4.63e+08,-4e+06,4.59e+08,9.85e+08,-1e+07,9.75e+08,9.75e+08,3.78e+08,3.78e+08,1.972e+09,1.972e+09,1.8e+09,2.119e+09,1.726e+09,6.269e+09,6.7978e+10,9.6122e+10,-2.8144e+10,2.8112e+10,8.986e+09,1.528e+09,1.5215e+10,9.609e+10,1.02359e+11,2.054e+09,7.91e+08,7.244e+09,2.42e+09,4.824e+09,2.893e+09,2.893e+09,1.2191e+10,3.3635e+10,3.3635e+10,2.6576e+10,6.198e+09,1.7807e+10,6.0211e+10,7.2402e+10,2.2131e+10,2.2131e+10,7.336e+09,-1.777e+09,2.9286e+10,2.9957e+10,1.02359e+11,9.85e+08,7.63e+08,-1.22e+08,-1.22e+08,-2.3e+08,-1.38e+08,-9.2e+07,0,0,1.396e+09,-1.311e+09,-1.326e+09,-1.326e+09,-1.3e+07,4.29e+08,-4.42e+08,-3e+06,-1.327e+09,-7.55e+08,-8.44e+08,2.873e+09,-3.717e+09,-5.217e+09,1.477e+09,1.477e+09,-6.7e+07,-1.89e+08,-1.2e+08,-1.2e+08,-1.2e+08,1.464e+09,4.0879e+10,-7.3e+07,0.65833,0.26176,0.36408,0.03255,0.00953,-0.07487,0.51423,2.41686,0.39937,1.19911,1.19867,3.29357,34.05485,-0.08978,0.92855,4,0.01776,-0.00075,0.77436,27.66462,57.77603
"40","2020_Q1",73.3338709677419,"Up",3.895e+09,-1.089e+09,2.806e+09,-1.721e+09,-5.7e+08,-1.151e+09,1.085e+09,-6.8e+07,-3.53e+08,2.77e+08,1.017e+09,8.68e+08,-4.8e+07,8.2e+08,1.01e+09,-1e+06,1.009e+09,1.009e+09,1.35e+08,1.35e+08,2.085e+09,2.085e+09,1.616e+09,2.26e+09,1.429e+09,6.096e+09,5.72e+10,8.2043e+10,-2.4843e+10,4.0148e+10,7.395e+09,1.334e+09,2.9027e+10,9.7727e+10,1.03823e+11,2.307e+09,1.023e+09,3.311e+09,8.49e+08,2.462e+09,4.322e+09,4.322e+09,9.94e+09,2.8998e+10,2.8998e+10,3.0852e+10,6.277e+09,2.2211e+10,5.985e+10,6.979e+10,2.3824e+10,2.3824e+10,7.576e+09,-1.793e+09,3.1994e+10,3.4033e+10,1.03823e+11,1.01e+09,7.42e+08,3.44e+08,3.44e+08,-6.01e+08,-4.59e+08,1.6e+07,2.21e+08,-3.79e+08,1.495e+09,-1.495e+09,-1.731e+09,-1.731e+09,-1.8e+07,4.01e+08,-4.19e+08,5.1e+07,-1.462e+09,-7.59e+08,-2.954e+09,-4.396e+09,1.442e+09,-6.34e+08,1.504e+09,1.504e+09,2.005e+09,-2.04e+08,-1.71e+08,-1.71e+08,-1.71e+08,1.827e+09,3.2309e+10,-2.21e+08,0.72041,0.27856,0.25905,0.02965,0.00972,-0.219029999999998,0.61328,2.05066,0.31119,1.22081,1.22066,4.71264,35.82214,-0.26739,0.91833,7,0.01819,-0.00227,0.752229999999999,17.61029,29.65346
"41","2020_Q2",72.8092063492063,"Down",3.938e+09,-1.093e+09,2.845e+09,-1.709e+09,-5.78e+08,-1.131e+09,1.136e+09,-8.86e+08,-4.32e+08,-4.54e+08,2.5e+08,-5.18e+08,5e+07,-4.68e+08,-2.39e+08,-3.1e+07,-2.7e+08,-2.7e+08,1.192e+09,1.192e+09,2.177e+09,2.177e+09,1.677e+09,1.49e+09,1.49e+09,6.536e+09,6.7396e+10,9.5341e+10,-2.7945e+10,3.0194e+10,8.946e+09,1.886e+09,1.9362e+10,9.759e+10,1.04126e+11,1.931e+09,8.42e+08,5.109e+09,2.19e+09,2.919e+09,3.408e+09,2.615e+09,1.0448e+10,3.4615e+10,3.4615e+10,2.6311e+10,6.158e+09,1.93e+10,6.0926e+10,7.1374e+10,2.3902e+10,2.3902e+10,6.455e+09,-2.018e+09,3.0726e+10,3.2752e+10,1.04126e+11,-2.39e+08,7.59e+08,1.233e+09,1.233e+09,-1.2e+08,2.45e+08,7.1e+07,-1.64e+08,-2.72e+08,1.633e+09,-1.47e+09,-1.47e+09,-1.47e+09,-2.9e+07,6.02e+08,-6.31e+08,3.6e+07,-1.641e+09,-7.88e+08,1.797e+09,1.779e+09,1.8e+07,-9.32e+08,7.8e+07,7.8e+07,-8.1e+07,1.006e+09,9.98e+08,9.98e+08,9.98e+08,1.895e+09,3.9724e+10,2.55e+08,0.72245,0.28847,-0.06856,-0.00824,-0.00259,-0.94444,0.62557,2.17923,0.3815,-0.32212,-0.32212,4.69816,33.80935,0.30422,0.94011,6,0.00524,0.00258,-2.91852,20.33351,33.91901
"42","2020_Q3",72.105625,"Down",3.106e+09,-6.08e+08,2.498e+09,-1.65e+09,-5.78e+08,-1.072e+09,8.48e+08,1.02e+08,-3.98e+08,4.95e+08,9.5e+08,9.06e+08,-3.7e+07,8.69e+08,-1.132e+09,-3.7e+07,-1.169e+09,-1.169e+09,6.75e+08,6.75e+08,2.04e+09,2.04e+09,1.735e+09,1.674e+09,1.085e+09,6.124e+09,6.798e+10,9.6527e+10,-2.8547e+10,2.9624e+10,8.946e+09,5.84e+08,2.0094e+10,9.7604e+10,1.03728e+11,1.808e+09,7.97e+08,3.185e+09,3.86e+08,2.799e+09,4.544e+09,3.958e+09,9.537e+09,3.7146e+10,3.7146e+10,2.6161e+10,5.921e+09,1.9492e+10,6.3307e+10,7.2844e+10,2.3984e+10,2.3984e+10,4.48e+09,-1.98e+09,2.8871e+10,3.0884e+10,1.03728e+11,-1.132e+09,7.38e+08,2.305e+09,2.305e+09,-4.08e+08,1.15e+08,-6.4e+07,-2.7e+07,-4.32e+08,1.503e+09,-1.632e+09,-1.632e+09,-1.632e+09,-2.1e+07,1.058e+09,-1.079e+09,-4e+07,-1.693e+09,-7.89e+08,5.48e+08,-1.579e+09,2.127e+09,-1.278e+09,69999999.9999998,7e+07,-1.64e+08,-3.35e+08,-5.25e+08,-5.25e+08,-5.25e+08,1.586e+09,4.0331e+10,-4.17e+08,0.80425,0.27302,-0.37637,-0.03785,-0.01127,0.35672,0.64213,2.35863,0.38881,-1.39266,-1.39266,3.70026,31.55111,-0.49678,0.93996,5,-0.0039,-0.00428,-0.67494,25.00378,46.76415
