"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","pretax_income_loss_adj","abnormal_gains_losses","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","prepaid_expenses","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","accrued_taxes","other_payables_accruals","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","other_equity","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repurchase_of_equity","other_financing_activities","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","effect_of_foreign_exchange_rates","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q1",48.894262295082,"Up",107971000,-72355000,35616000,-31191000,-31191000,4425000,573000,573000,4998000,-9534000,-4536000,-66954000,-71490000,-71490000,-71490000,-71490000,493180000,493180000,191629000,191629000,291087000,32653000,32653000,1008549000,284247000,107009000,15613000,391256000,1399805000,95144000,33480000,24714000,36950000,4767000,4767000,99911000,5433000,3432000,2001000,5433000,105344000,20455000,1400296000,-126290000,1294461000,1294461000,1399805000,-71490000,8743000,52464000,43541000,33258000,-6049000,-5200000,105000,-1.45519152283669e-11,105000,28163000,28163000,-8028000,20135000,13168000,0,117614000,0.32987,0.04098,-0.66212,-0.05523,-0.05107,-1.64517999999974,10.09447,0.08138,0,-1.91926,-1.93798,2.89866,34.75189,3.15754,-0.055,0.09048,-37.45292,-111.45311
"33","2018_Q2",46.6046875,"Down",99173000,-73485000,25688000,-27547000,-27547000,-1859000,1795000,1795000,-64000,-4418000,-4482000,-2901000,-7383000,-7383000,-7383000,-7383000,495591000,495591000,193915000,193915000,276005000,36620000,36620000,1002131000,288466000,107265000,16084000,395731000,1397862000,81429000,25277000,27632000,28520000,5809000,5809000,87238000,5515000,3514000,2001000,5515000,92753000,24345000,1393933000,-113169000,1305109000,1305109000,1397862000,-7383000,8241000,3947000,6583000,11388000,-10500000,-10500000,52000,-604960.373760876,52000,940000,940000,1471000,2411000,6382000,0,5366000,0.25902,-0.01875,-0.07445,-0.00565999999999999,-0.00528,-0.7268,11.48732,0.07107,0,-0.19569,-0.19569,2.62856,34.59167,0.14222,-0.00563000000000001,0.00408999999999998,-77.6545,266.5901
"34","2018_Q3",52.1492063492064,"Up",94861000,-63708000,31153000,-24247000,-24247000,6906000,1930000,1930000,8836000,-10457000,-1621000,-1417000,-3038000,-3038000,-3038000,-3038000,493422000,493422000,184463000,184463000,264096000,34441000,34441000,976422000,283040000,102229000,15056000,385269000,1361691000,76325000,20967000,24976000,30382000,4144000,4144000,80469000,5775000,3055000,2720000,5775000,86244000,28543000,1381739000,-134835000,1275447000,1275447000,1361691000,-3038000,9001000,-883000,6998000,12078000,1412000,1412000,-9240000,-815000,-10055000,3435000.00000001,3435000.00000001,-5604000,-2169000,15907000,0,25734000,0.32841,0.0728,-0.0320299999999999,-0.00238,-0.00223,-8.47070000000001,12.13414,0.06762,0,-0.0807700000000003,-0.0807699999999999,2.52189,33.90794,0.68414,-0.00237,0.02009,-31.01917,-71.44831
"35","2018_Q4",40.35,"Down",93257000,-65631000,27626000,-31565000,-31565000,-3939000,1695000,1695000,-2244000,-10145000,-12389000,2027000,-10362000,-10362000,-10362000,-10362000,424053000,424053000,190437000,190437000,242123000,40837000,40837000,897450000,292667000,102642000,14475000,395309000,1292759000,60773000,21155000,4583000,35035000,7489000,7489000,68262000,33241000,3211000,30030000,33241000,101503000,31396000,1371368000,-140401000,1191256000,1191256000,1292759000,-10362000,8724000,859000,9920000,9141000,-6351000,-6351000,-70643000,0,-70643000,-67853000,-67853000,-1516000,-69369000,4785000,0,6327000,0.29624,-0.04224,-0.11111,-0.0087,-0.00802,-0.6106,13.14714,0.08521,0,-0.27916,-0.27916,2.51238,32.09289,0.17045,-0.00846,0.00516999999999999,-88.62132,107.65499
"36","2019_Q1",39.2937704918033,"Down",97335000,-90749000,6586000,-18738000,-18738000,-12152000,3336000,2329000,-8816000,-87681000,-96497000,21585000,-74912000,-74912000,-74912000,-74912000,418100000,418100000,202165000,202165000,191194000,41522000,41522000,852981000,274123000,65406000,14723000,339529000,1192510000,72610000,26693000,3138000,42779000,9648000,9648000,82258000,14090000,2466000,11624000,14090000,96348000,35329000,1205946000,-145113000,1096162000,1096162000,1192510000,-74912000,9346000,97849000,-19387000,12896000,266000,266000.000000004,-18553000,0,-18553000,-5390999.99999999,-5390999.99999999,-562000,-5952999.99999998,-2806000,-2.58493941422821e-26,-43512000,0.06766,-0.12485,-0.76963,-0.06834,-0.06282,0.58084,10.36958,0.0879,0,-2.09035,-2.09035,2.71605,30.58744,-1.21416,-0.06747,-0.03919,149.00214,34.40586
"37","2019_Q2",43.4857142857143,"Up",94317000,-69376000,24941000,-24544000,-24544000,397000,1885000,1885000,2282000,-6e+06,-3718000,-2333000,-6051000,-6051000,-6051000,-6051000,414808000,414808000,208156000,208156000,194547000,25829000,25829000,843340000,270424000,69965000,19868000,340389000,1183729000,56719000,20655000,3970000,32094000,14010000,14010000,70729000,17595000,2332000,15263000,17595000,88324000,40191000,1198700000,-143486000,1095405000,1095405000,1183729000,-6051000,8356000,6047000,-7514000,838000,-3186000,-3186000,-1116000,-255975.444754925,-1116000,-3464000,-3464000,172000,-3292000,8753000,0,386000,0.26444,0.00421,-0.06416,-0.00552,-0.00510999999999999,-0.06379,11.92354,0.08063,0,-0.17017,-0.17017,2.65241,30.80528,0.01086,-0.00544,0.00035000000000001,-47.3903799999999,-1044.85642
"38","2019_Q3",48.8059375,"Up",103808000,-73864000,29944000,-22834000,-22834000,7110000,2680000,2680000,9790000,-4989000,4800999.99999999,-3119000,1682000,1682000,1682000,1682000,423126000,423126000,218507000,218507000,194513000,31997000,31997000,868143000,265591000,68167000,18739000,333758000,1201901000,77288000,34681000,4441000,38166000,9809000,9809000,87097000,17676000,2623000,15053000,17676000,104773000,43429000,1199502000,-145803000,1097128000,1097128000,1201901000,1682000,8495000,1311000,-1676000,9812000,153000,153000,-880000,-378488.957707351,-880000,9085000,9085000,-767000,8318000,15605000,0,17201000,0.28846,0.06849,0.0162,0.00153,0.0014,10.22652,9.96754,0.0955,0,0.0467600000000003,0.0467600000000001,2.88604,30.50204,0.47822,0.00151,0.01543,-27.11477,-59.51139
"39","2019_Q4",45.78875,"Down",108228000,-76031000,32197000,-30033000,-30033000,2164000,3958000,1879000,6122000,-4020000,2102000,-3412000,-1310000,-1310000,-1310000,-1310000,413102000,413102000,235619000,235619000,201655000,28343000,28343000,878719000,259423000,67493000,18996000,326916000,1205635000,87266000,45785000,5899000,35582000,9267000,9267000,96533000,16430000,2259000,14171000,16430000,112963000,53272000,1194824000,-155424000,1092672000,1092672000,1205635000,-1310000,8304000,4532000,-15552000,-4026000,-3186000,-3186000,-1042000,-239000,-1281000,-8493000,-8493000,-1531000,-10024000,10468000,0,-4858000,0.29749,0.01999,-0.0121,-0.0012,-0.00109,3.7084,9.10278,0.10338,0,-0.03644,-0.03644,3.01026,30.39168,-0.13512,-0.00118,-0.00438000000000001,-39.46332,-190.89741
"40","2020_Q1",39.0327419354839,"Down",108453000,-75736000,32717000,-21001000,-21001000,11716000,733000,1182000,12449000,-5205000,7244000,154999.999999999,7399000,7399000,7399000,7399000,398946000,398946000,107626000,107626000,205062000,168855000,28321000,880489000,258497000,67579000,18451000,326076000,1206565000,88725000,46324000,4561000,37840000,8215000,8215000,96940000,18924000,4150000,14774000,18924000,115864000,53241000,1181023000,-143563000,1090701000,1090701000,1206565000,7399000,8865000,1091000,-9301000,8054000,-2252000,-2252000,-21351000,56000,-21295000,-15493000,-15493000,1337000,-14156000,20581000,-1.0097419586829e-28,8873000.00000001,0.30167,0.10803,0.06822,0.00678,0.00613,1.19922,9.08282,0.10623,0,0.20624,0.19929,3.02308,30.40282,0.24733,0.00667,0.008,-19.38419,-34.05138
"41","2020_Q2",30.7419047619048,"Down",95998000,-71414000,24584000,-24658000,-24658000,-74000,4257000,1015000,4183000,-45490000,-41307000,21609000,-19698000,-19698000,-19698000,-19698000,343472000,343472000,118640000,118640000,197035000,167144000,37834000,826291000,244495000,65324000,16241000,309819000,1136110000,85802000,49817000,6943000,29042000,7644000,7644000,93446000,18463000,3495000,14968000,18463000,111909000,56408000,1136335000,-168542000,1024201000,1024201000,1136110000,-19698000,8873000,32279000,-42691000,-21237000,-3500000,-3500000,-2.5e+07,-85000,-25085000,-49822000,-49822000,-5652000,-55474000,8799000,0,-59001000,0.25609,-0.00077,-0.20519,-0.01923,-0.01734,2.99528,8.84244,0.10926,2.35098870164458e-38,-0.55184,-0.55184,2.6894,28.69312,-1.65292,-0.01889,-0.05659,-39.03534,4641.51351
"42","2020_Q3",31.83734375,"Up",90446000,-66937000,23509000,-23331000,-23331000,178000.000000002,-372999.999999998,444000,-195000,-6866000,-7060999.99999999,-7081000,-14142000,-14142000,-14142000,-14142000,345808000,345808000,101034000,101034000,212412000,188958000,48732000,848212000,243796000,55683000,15644000,299479000,1147691000,105045000,58856000,8936000,37253000,8666000,8666000,113711000,18593000,3609000,14984000,18593000,132304000,59690000,1122191000,-166494000,1015387000,1015387000,1147691000,-14142000,7940000,13225000,-3977000,3045999.99999999,-1680000,-1680000,0,-44000,-43999.9999999963,1322000.00000001,1322000.00000001,1014000,2336000,8118000,-6.3108872417681e-30,9542000,0.25992,0.00196999999999999,-0.15636,-0.01393,-0.01232,-0.67473,7.45937,0.1303,0,-0.40379,-0.40379,2.58247,28.99201,0.27245,-0.01368,0.00923,-42.59768,-1942.74157
"43","2020_Q4",28.413125,"Down",91295000,-67201000,24094000,-20843000,-20843000,3251000,-696000,50000,2555000,-4609000,-2054000,16380000,14326000,14326000,14326000,14326000,359171000,359171000,93502000,93502000,219007000,191322000,45973000,863002000,239591000,56946000,17726000,296537000,1159539000,92591000,51186000,6783000,34622000,8391000,8391000,100982000,20995000,3657000,17338000,20995000,121977000,62694000,1136517000,-161649000,1037562000,1037562000,1159539000,14326000,7908000,3924000,-12269000,13889000,-1417000,-1417000,0,-47000,-47000,12425000,12425000,938000,13363000,11159000,0,-18907000,0.26391,0.03561,0.15692,0.01381,0.01235,-1.31977,8.5461,0.11756,-1.46936793852786e-39,0.40877,0.40877,2.60493,29.60487,-0.53948,0.01353,-0.01786,-32.18667,-110.48016
"44","2021_Q1",34.3124590163934,"Up",87234000,-64146000,23088000,-26225000,-26225000,-3137000,-4023000,1000.00000000003,-7160000,-4467000,-11627000,373000,-11254000,-11254000,-11254000,-11254000,345955000,345955000,116202000,116202000,212536000,188500000,48182000,863193000,234823000,53156000,17954000,287979000,1151172000,73063000,37424000,4343000,31296000,12449000,12449000,85512000,24132000,6779000,17353000,24132000,109644000,65976000,1125263000,-149711000,1041528000,1041528000,1151172000,-11254000,7668000,10948000,-24148000,-16786000,969000,969000,0,-7000,-7000,-15824000,-15824000,2608000,-13216000,4531000,0,-19021000,0.26467,-0.03596,-0.12901,-0.01081,-0.00978,1.69015,10.09441,0.10527,0,-0.31904,-0.31904,2.47297,29.52595,-0.53922,-0.01056,-0.01785,-76.3529,110.28212
"45","2021_Q2",33.6273015873016,"Down",81239000,-56787000,24452000,-29558000,-29558000,-5106000,-1764000,-390000,-6870000,-25102000,-31972000,-2386000,-34358000,-34358000,-34358000,-34358000,362213000,362213000,103803000,103803000,194911000,183794000,44278000,844721000,231385000,50725000,15873000,282110000,1126831000,80661000,38495000,5207000,36959000,14646000,14646000,95307000,23258000,6934000,16324000,23258000,118565000,69162000,1090905000,-151801000,1008266000,1008266000,1126831000,-34358000,7416000,23818000,16196000,13072000,3431000,3431000,7261418.01100317,-40000,-40000,16463000,16463000,-205000,16258000,2310000,0,24323000,0.30099,-0.06285,-0.42292,-0.03408,-0.03049,-0.70793,8.86316,0.11759,0,-0.97098,-0.97098,2.29586,28.49416,0.68738,-0.03331,0.02358,-156.80216,70.9387
"46","2021_Q3",26.57203125,"Down",80797000,-61539000,19258000,-29593000,-29593000,-10335000,479000,4000,-9856000,-4804000,-14660000,-4407000,-19067000,-19067000,-19067000,-19067000,370481000,370481000,90417000,90417000,202382000,186006000,40606000,849286000,229247000,46176000,11794000,275423000,1124709000,92159000,47610000,1960000,42589000,14376000,14376000,106535000,22850000,6694000,16156000,22850000,129385000,72241000,1071838000,-148755000,995324000,995324000,1124709000,-19067000,7343000,1097000,21970000,11343000,-3106000,-3106000,11047750.80342,-37000,-37000,8200000,8200000,68000,8268000,-2992000,-4.93038065763132e-32,20279000,0.23835,-0.12791,-0.23599,-0.01916,-0.01695,-1.06357,7.9719,0.12999,0,-0.53884,-0.53884,2.28337,28.12842,0.5731,-0.01873,0.01992,123.82386,35.84722
"47","2021_Q4",22.02453125,"Down",82997000,-62834000,20163000,-25265000,-25265000,-5102000,1757000,94000,-3345000,-3497000,-6842000,-4301000,-11143000,-11143000,-11143000,-11143000,375172000,375172000,102715000,102715000,194720000,154664000,40307000,827271000,224676000,41790000,8688000,266466000,1093737000,85360000,40007000,1687000,43666000,6466000,6466000,91826000,22134000,6194000,15940000,22134000,113960000,75517000,1059563000,-155303000,979777000,979777000,1093737000,-11143000,7899000,2212000,10355000,9323000,-2286000,-2286000,-1132000,-36000,-1168000,5869000,5869000,-1178000,4691000,2797000,0,15167000,0.24294,-0.06147,-0.13426,-0.01137,-0.01019,-1.36112,9.00912,0.11631,0,-0.31489,-0.31489,2.34541,27.68748,0.4286,-0.01112,0.01514,-134.13371,73.5343
"48","2022_Q1",28.706935483871,"Up",77912000,-61196000,16716000,-30620000,-30620000,-13904000,-1520000,80000,-15424000,-56152000,-71576000,8148000,-63428000,-63428000,-63428000,-63428000,355451000,355451000,100987000,100987000,145724000,143387000,40790000,745549000,216200000,48677000,10850000,264877000,1010426000,82871000,35232000,4102000,43537000,10792000,10792000,93663000,19655000,3925000,15730000,19655000,113318000,80606000,973087000,-156585000,897108000,897108000,1010426000,-63428000,7723000,49799000,10596000,4690000,-1246000,-1246000,-23059000,4000,-23055000,-19611000,-19611000,-110000,-19721000,-6181000,0,-4979000,0.21455,-0.17846,-0.8141,-0.0707,-0.06277,0.0785,7.95991,0.12631,0,-1.79241,-1.79241,2.20171,25.35134,-0.1407,-0.06919,-0.00543,57.50704,25.56466
"49","2022_Q2",30.4701612903226,"Up",83137000,-63995000,19142000,-22393000,-22393000,-3251000,1403000,149000,-1848000,-3594000,-5442000,-3496000,-8938000,-8938000,-8938000,-8938000,338008000,338008000,86375000,86375000,141289000,151704000,42156000,717376000,212944000,47790000,11085000,260734000,978110000,62898000,36599000,3583000,22716000,7423000,7423000,70321000,20014000,4335000,15679000,20014000,90335000,83130000,958344000,-153699000,887775000,887775000,978110000,-8938000,7559000,3772000,-13321000,-10928000,-1858000,-1858000,-5808000,-51000,-5859000,-18645000,-18645000,1202000,-17443000,4308000,0,-7375000,0.23025,-0.0391,-0.10751,-0.01007,-0.00914,0.82513,10.20145,0.10175,0,-0.25416,-0.25416,2.36406,25.24455,-0.20971,-0.00985,-0.00812,-78.46054,103.97047
"50","2022_Q3",23.18046875,"Down",93978000,-69663000,24315000,-22498000,-22498000,1817000,2893000,474000,4710000,-8105000.00000001,-3395000,-2175000,-5570000,-5570000,-5570000,-5570000,320784000,320784000,85293000,85293000,139794000,201992000,50378000,747863000,179938000,45765000,10743000,225703000,973566000,76634000,46267000,2405000,27962000,8222000,8222000,84856000,20021000,4234000,15787000,20021000,104877000,85699000,948917000,-165927000,868689000,868689000,973566000,-5570000,7670000,7675999.99999999,-19057000,-9281000,-989000,-989000,-3849000,-32000,-3881000,-14151000,-14151000,-3073000,-17224000,9487000,0,-8384000,0.25873,0.01933,-0.05927,-0.00641,-0.00572,1.50521,8.81332,0.12073,0,-0.16148,-0.16148,2.72447,25.18377,-0.24306,-0.00627,-0.00943,-33.81301,-176.54595
