"","YQ","p","d","revenue","cost_of_revenue","gross_profit","operating_expenses","selling_general_administrative","operating_income_loss","non_operating_income_loss","interest_expense_net","other_non_operating_income_loss","pretax_income_loss_adj","pretax_income_loss","income_tax_expense_benefit_net","income_loss_from_continuing_operations","income_loss_incl_minority_interest","net_income","net_income_common","cash_cash_equivalents_short_term_investments","cash_cash_equivalents","accounts_notes_receivable","accounts_receivable_net","inventories","other_short_term_assets","misc_short_term_assets","total_current_assets","property_plant_equipment_net","other_long_term_assets","misc_long_term_assets","total_noncurrent_assets","total_assets","payables_accruals","accounts_payable","other_payables_accruals","short_term_debt","other_short_term_liabilities","misc_short_term_liabilities","total_current_liabilities","long_term_debt","other_long_term_liabilities","deferred_tax_liabilities_long_term","misc_long_term_liabilities","total_noncurrent_liabilities","total_liabilities","share_capital_additional_paid_in_capital","retained_earnings","equity_before_minority_interest","total_equity","total_liabilities_equity","net_income_starting_line","depreciation_amortization_2","non_cash_items","change_in_working_capital","net_cash_from_operating_activities","change_in_fixed_assets_intangibles","net_cash_from_investing_activities","cash_from_repayment_of_debt","cash_from_repurchase_of_equity","increase_in_capital_stock","net_cash_from_financing_activities","net_cash_before_disc_operations_and_fx","net_cash_before_fx","net_change_in_cash","ebitda","total_debt","free_cash_flow","gross_profit_margin","operating_margin","net_profit_margin","return_on_equity","return_on_assets","free_cash_flow_to_net_income","current_ratio","liabilities_to_equity_ratio","debt_ratio","earnings_per_share_basic","earnings_per_share_diluted","sales_per_share","equity_per_share","free_cash_flow_per_share","return_on_invested_capital","cash_return_on_invested_capital","net_debt_ebitda","net_debt_ebit"
"32","2018_Q3",27.5749206349206,"Up",66071000,-54376000,11695000,-5849000,-5849000,5846000,-669000,-1268000,599000,5177000,5177000,-1139000,4038000,4038000,4038000,4038000,263000,263000,35812000,35812000,125615000,4165000,4165000,165855000,173227000,6656000,6656000,179883000,345738000,41776000,35885000,5891000,6742000,1233000,1233000,49751000,50386000,14361000,11520000,2841000,64747000,114498000,91823000,141692000,231240000,231240000,345738000,4038000,4857000,1465000,2199000,12559000,-4162000,-4162000,-42501000,32461000,32461000,-10559000,-2162000,-2162000,-2162000,10703000,57128000,9879000,0.17701,0.08848,0.06112,0.01746,0.01168,2.44651,3.3337,0.49515,0.16523,0.51652,0.49999,8.45154,29.5793,1.26368,0.01334,0.03263,5.313,9.72716
"33","2018_Q4",20.2960317460317,"Down",69056000,-58631000,10425000,-5131000,-5131000,5294000,-918000,-966000,48000,4376000,4376000,-460000,3916000,3916000,3916000,3916000,33000,33000,44185000,44185000,122839000,3068000,3068000,170125000,174446000,6681000,6681000,181127000,351252000,36724000,30129000,6595000,3896000,1171000,1171000,41791000,58563000,14804000,11964000,2840000,73367000,115158000,92756000,145608000,236094000,236094000,351252000,3916000,4847000,810000,-9049000,524000,-6564000,-6564000,5680000,565000,565000,5835000,-205000,-205000,-205000,10141000,62459000,-5012000,0.15096,0.07666,0.05671,0.01659,0.01115,-1.27988,4.07085,0.48776,0.17782,0.45012,0.43741,7.93751,27.13739,-0.5761,0.0125,-0.01599,6.1558,11.79184
"34","2019_Q1",17.1396721311475,"Down",57063000,-50639000,6424000,-5559000,-5559000,865000,-723000,-862000,139000,142000,142000,441000,583000,583000,583000,583000,3696000,3696000,32618000,32618000,134738000,3756000,3756000,174808000,177844000,668000,668000,178512000,353320000,52318000,44379000,7939000,3907000,2929000,2929000,59154000,42839000,14316000,11481000,2835000,57155000,116309000,93109000,146191000,237011000,237011000,353320000,583000,4458000,-81000,10918000,15878000,-2167000,-2167000,-13003000,30999.9999999963,31000,-15811000,-2100000,-2100000,-2100000,5323000,46746000,13633000,0.11258,0.01516,0.01022,0.00246,0.00165,23.38422,2.95513,0.49073,0.1323,0.06662,0.06574,6.52075,27.08393,1.55788,0.00196,0.04574,8.08754,49.76879
"35","2019_Q2",14.9588888888889,"Down",60271000,-52901000,7370000,-4966000,-4966000,2404000,-934000,-913000,-21000,1470000,1470000,-248000,1222000,1222000,1222000,1222000,237000,237000,34621000,34621000,147128000,5646000,5646000,187632000,176768000,1230000,1230000,177998000,365630000,45347000,41798000,3549000,3916000,996000,996000,50259000,61527000,15077000,11697000,3380000,76604000,126863000,93710000,147434000,238767000,238767000,365630000,1222000,4646000,667000,-24376000,-17841000,-5557000,-5557000,19915000,41000,41000,19956000,-3442000,-3442000,-3442000,7050000,65443000,-22635000,0.12228,0.03989,0.02028,0.00512,0.00334,-18.52291,3.7333,0.53133,0.17899,0.13947,0.13792,6.87904,27.25172,-2.58345,0.00383,-0.07089,9.24908,27.12396
"36","2019_Q3",15.7884375,"Up",70997000,-61891000,9106000,-5604000,-5604000,3502000,-1032000,-1022000,-10000,2470000,2470000,-384000,2086000,2086000,2086000,2086000,228000,228000,41017000,41017000,140103000,5351000,5351000,186699000,175938000,1406000,1406000,177344000,364043000,38005000,33293000,4712000,3924000,927000,927000,42856000,64237000,15438000,12112000,3326000,79675000,122531000,94236000,149520000,241512000,241512000,364043000,2086000,4776000,709000,-5395000.00000001,2176000,-3839000,-3839000,1385999.99999999,286000,286000,1672000,9000,9000,9000,8278000,68161000,-571999.999999993,0.12826,0.04933,0.02938,0.00864,0.00573,-0.274209999999993,4.35643,0.50735,0.18723,0.23767,0.23545,8.08903,27.51663,-0.0651700000000002,0.00642,-0.00176,8.20645,19.39834
"37","2019_Q4",14.2609375,"Down",56568000,-51260000,5308000,-4525000,-4525000,783000,-593000,-1045000,452000,190000,190000,577000,767000,767000,767000,767000,1204000,1204000,36422000,36422000,140672000,5756000,5756000,184054000,175962000,1002000,1002000,176964000,361018000,35984000,32154000,3830000,3929000,912000,912000,40825000,62155000,15380000,12097000,3283000,77535000,118360000,94557000,150287000,242658000,242658000,361018000,767000,4813000,301000,711000,6592000,-3912000,-3912000,-2134000,0,0,-2134000,546000,546000,546000,5596000,66084000,1818000,0.09383,0.01384,0.01356,0.00316,0.00212,2.37027,4.50836,0.48776,0.18305,0.08713,0.08627,6.42578,27.56448,0.20651,0.00237,0.00561,11.594,82.86079
"38","2020_Q1",11.7570967741935,"Down",55171000,-49317000,5854000,-5252000,-5252000,602000,-959000,-1012000,53000,-357000,-357000,557000,2e+05,2e+05,2e+05,2e+05,170000,170000,35595000,35595000,147402000,8300000,8300000,191467000,176061000,871000,871000,176932000,368399000,45361000,40912000,4449000,3934000,830000,830000,50125000,60411000,14727000,10962000,3765000,75138000,125263000,94991000,150487000,243136000,243136000,368399000,2e+05,4898000,-804000,370000,4664000,-4046000,-4046000,-1796000,144000,144000,-1652000,-1034000,-1034000,-1034000,5500000,64345000,1267000,0.10611,0.01091,0.00363,0.00082,0.00054,6.335,3.81979,0.5152,0.17466,0.0228,0.02251,6.28855,27.71336,0.14442,0.00062,0.00393,11.66818,106.60299
"39","2020_Q2",7.69206349206349,"Down",58494000,-53585000,4909000,-5908000,-5908000,-999000,-935000,-952000,17000,-1934000,-1934000,523000,-1411000,-1411000,-1411000,-1411000,233000,233000,36614000,36614000,146779000,8877000,8877000,192503000,173994000,758000,758000,174752000,367255000,33669000,29907000,3762000,17203000,799000,799000,51671000,59075000,14153000,10472000,3681000,73228000,124899000,95502000,149076000,242356000,242356000,367255000,-1411000,5025000,-14000,-11372000,-7772000,-4042000,-4042000,11877000,210709.704278698,210709.704278691,11877000,63000,63000,63000,4026000,76278000,-11911000,0.08392,-0.01708,-0.02412,-0.00582,-0.00384,8.44153,3.72555,0.51535,0.2077,-0.16032,-0.16032,6.64604,27.53627,-1.35332,-0.00424,-0.03579,18.88847,-76.12112
"40","2020_Q3",7.1215625,"Down",52479000,-50542000,1937000,-5397000,-5397000,-3460000,-810000,-807000,-2999.99999999999,-4270000,-4270000,939000,-3331000,-3331000,-3331000,-3331000,263000,263000,33189000,33189000,135072000,6446000,6446000,174970000,172059000,752000,752000,172811000,347781000,21973000,16504000,5469000,16689000,752000,752000,39414000,55794000,13164000,9546000,3618000,68958000,108372000,95911000,145745000,239409000,239409000,347781000,-3331000,4964000,-595000,6317000,7355000,-3182000,-3182000,-4229000,86000,86000.0000000001,-4143000,29999.9999999999,29999.9999999999,29999.9999999999,1504000,72483000,3700000,0.03691,-0.06593,-0.06347,-0.01391,-0.00958,-1.11078,4.43929,0.45266,0.20842,-0.37808,-0.37808,5.95649,27.17347,0.41996,-0.01025,0.01138,48.01862,-20.87283
"41","2020_Q4",6.50828125,"Down",37434000,-41861000,-4427000,-4153000,-4153000,-8580000,-354000,-642000,288000,-8934000,-8934000,1934000,-7e+06,-7e+06,-7e+06,-7e+06,58000,58000,26451000,26451000,120947000,4824000,4824000,152280000,168623000,997000,997000,169620000,321900000,15678000,12443000,3235000,16690000,1664000,1664000,34032000,43879000,11348000,7609000,3739000,55227000,89259000,96206000,138745000,232641000,232641000,321900000,-7e+06,4732000,-1642000,16931000,13021000,-1256000,-1256000,-11970000,0,0,-11970000,-205000,-205000,-205000,-3848000,60569000,9893000,-0.11826,-0.2292,-0.187,-0.03009,-0.02175,-1.41329,4.47461,0.38368,0.18816,-0.79276,-0.79276,4.23946,26.34693,1.1204,-0.02298,0.03248,-15.72531,-7.05256
"42","2021_Q1",9.15606557377049,"Up",31324000,-36399000,-5075000,-4294000,-4294000,-9369000,213000,-608000,821000,-9156000,-9156000,1851000,-7305000,-7305000,-7305000,-7305000,164000,164000,18101000,18101000,111380000,7471000,7471000,137116000,164983000,947000,947000,165930000,303046000,14458000,12632000,1826000,16713000,2722000,2722000,33893000,33471000,10002000,5725000,4277000,43473000,77366000,94285000,131440000,225680000,225680000,303046000,-7305000,4728000,-1525000,15309000,11207000,-677000,-677000,-10488000,64000,64000,-10424000,106000,106000,106000,-4641000,50184000,8140000,-0.16202,-0.2991,-0.23321,-0.03237,-0.02411,-1.11431,4.04556,0.34281,0.1656,-0.82689,-0.82689,3.54574,25.54601,0.92141,-0.02555,0.02847,-10.77785,-5.33888
"43","2021_Q2",10.0185714285714,"Up",37038000,-37286000,-248000,-5231000,-5231000,-5479000,-566000,-550000,-16000,-6045000,-6045000,1516000,-4529000,-4529000,-4529000,-4529000,423000,423000,20669000,20669000,111596000,7177000,7177000,139865000,163693000,1079000,1079000,164772000,304637000,22238000,19151000,3087000,1893000,840000,840000,24971000,49672000,8519000,4214000,4305000,58191000,83162000,94594000,126911000,221475000,221475000,304637000,-4529000,4834000,-1209000,2521000,1617000,-2683000,-2683000,1864000,142488.500045162,142488.500045162,1325000,259000,259000,259000,-645000,51565000,-2323000,-0.0067,-0.14793,-0.12228,-0.02045,-0.01487,0.51292,5.6011,0.37549,0.16927,-0.50952,-0.50952,4.16681,24.91614,-0.26134,-0.01609,-0.00825,-79.28992,-9.33419
"44","2021_Q3",10.85078125,"Up",38502000,-36338000,2164000,-5151000,-5151000,-2987000,-499000,-492000,-7000,-3486000,-3486000,993000,-2493000,-2493000,-2493000,-2493000,158000,158000,21311000,21311000,120842000,6119000,6119000,148430000,161009000,1005000,1005000,162014000,310444000,29739000,25197000,4542000,2432000,963000,963000,33134000,50521000,7412000,3221000,4191000,57933000,91067000,94984000,124418000,219377000,219377000,310444000,-2493000,4805000,-720000,-1506000,86000.0000000009,-1800000,-1800000,1331000,118000,118000,1449000,-265000,-265000,-265000,1818000,52953000,-2481000,0.0562,-0.07758,-0.06475,-0.01136,-0.00803,0.99519,4.47969,0.41512,0.17057,-0.2801,-0.2801,4.32581,24.64765,-0.27875,-0.00891,-0.00887,29.04015,-17.67492
"45","2021_Q4",8.95234375,"Down",37169000,-34862000,2307000,-5010000,-5010000,-2703000,-548000,-539000,-9000,-3251000,6749000,1141000,7890000,7890000,7890000,7890000,79000,79000,19712000,19712000,135604000,5261000,5261000,160656000,159348000,950000,950000,160298000,320954000,34730000,29949000,4781000,2408000,974000,974000,38112000,49126000,6171000,2089000,4082000,55297000,93409000,95236000,132308000,227545000,227545000,320954000,7890000,4780000,-10884000,-8360000,-6574000,-2031000,-2031000,8526000,0,0,8526000,-79000,-79000,-79000,2077000,51534000,-9455000,0.06207,-0.07272,0.21227,0.03467,0.02458,-1.19835,4.21537,0.41051,0.16057,0.88472,0.84266,4.16781,25.51492,-1.0602,0.02766,-0.03315,24.77371,-19.03626
"46","2022_Q1",9.14370967741936,"Up",43225000,-39477000,3748000,-4851000,-4851000,-1103000,-156000,-633000,477000,-1259000,-1259000,-367000,-1626000,-1626000,-1626000,-1626000,118000,118000,21192000,21192000,140684000,8567000,8567000,170561000,159162000,909000,909000,160071000,330632000,28303000,2.4e+07,4303000,2392000,943000,943000,31638000,66852000,5821000,2461000,3360000,72673000,104311000,95599000,130682000,226321000,226321000,330632000,-1626000,4881000,646000.000000002,-16999000,-13098000,-4591000,-4591000,17653000,75000,75000,17728000,38999.9999999999,38999.9999999999,38999.9999999999,3778000,69244000,-17445000,0.08671,-0.02552,-0.0376200000000001,-0.00718000000000001,-0.00492,10.72878,5.39102,0.4609,0.20943,-0.18139,-0.17718,4.82208,25.24783,-1.94612,-0.0054,-0.05788,18.29698,-62.6709
"47","2022_Q2",8.0508064516129,"Down",47562000,-43509000,4053000,-5049000,-5049000,-996000,-722000,-709000,-13000,-1718000,-1718000,103000,-1615000,-1615000,-1615000,-1615000,279000,279000,28347000,28347000,147632000,8498000,8498000,184756000,157157000,886000,886000,158043000,342799000,34157000,31549000,2608000,2376000,1720000,1720000,38253000,73585000,5711000,2391000,3320000,79296000,117549000,96008000,129067000,225250000,225250000,342799000,-1615000,4871000,287000,-7522000,-3979000,-2520000,-2520000,6660000,166832.293101891,166832.293101891,6660000,161000,161000,161000,3875000,75961000,-6270000,0.08522,-0.02094,-0.03396,-0.00717,-0.00471,3.88235,4.82984,0.52186,0.22159,-0.18097,-0.18097,5.32967,25.24091,-0.7026,-0.00526,-0.02043,19.53084,-75.98594
"48","2022_Q3",7.8459375,"Down",52156000,-47417000,4739000,-5277000,-5277000,-538000,-831000,-870000,39000,-1369000,-1369000,-68000,-1437000,-1437000,-1437000,-1437000,315000,315000,30137000,30137000,148977000,8931000,8931000,188360000,158665000,873000,873000,159538000,347898000,32808000,30156000,2652000,2360000,1087000,1087000,36255000,81623000,5738000,2492000,3246000,87361000,123616000,96356000,127630000,224282000,224282000,347898000,-1437000,4823000,356000,-8773000,-5031000,-2962000,-2962000,7967000,62000,62000,8029000,36000,36000,36000,4285000,83983000,-7382000,0.09086,-0.01032,-0.02755,-0.00641,-0.00413,5.13709,5.19542,0.55116,0.2414,-0.16037,-0.16037,5.82048,25.02932,-0.82381,-0.00458,-0.02351,19.52579,-155.51673
